故	故/SL
입장을	입장/NNG+을/JKO
전달했다	전달하/VV+였/EP+다/EC

김정하	김정하/NNP
조직국장은	조직국장/NNG+은/JX
“안	“/SN+안/NNG
후보가	후보/NNG+가/JKS
기사를	기사/NNG+를/JKO
보고	보/VV+고/EC
장례식장을	장례식장/NNG+을/JKO
찾아	찾/VV+아/EC
(관련	(/SS+관련/NNG
내용에	내용/NNG+에/JKB
대해)	대하/VV+여/EC+)/SS
들으셨고,	들으하/VV+시었/EP+고/EC+,/SP
주로	주로/MAG
정책적	정책적/NNG
내용들을	내용/NNG+들/XSN+을/JKO
검토하고	검토하/VV+고/EC
답변하겠다고	답변하/VV+겠/EP+다고/EC
밝혔다”면서	밝허/VV+였/EP+다/EC+”/VV+면서/EC
“특별히	“/SN+특별히/MAG
정책적	정책적/NNG
내용에	내용/NNG+에/JKB
대해	대하/VV+여/EC
답을	답/NNG+을/JKO
한	한/MM
건	것/NNB+ㄴ/JX
아니고,	아니/VCN+고/EC+,/SP
(문제점)	(/SS+문제점/NNG+)/SS
이야기를	이야기/NNG+를/JKO
듣고	듣/VV+고/EC
가는	가/VV+는/ETM
수준이었다”고	수준/NNG+이/VCP+었/EP+다/EC+”/VX+고/EC
설명했다	설명하/VV+었/EP+다/EC

이후	이후/NNG
오전	오전/NNG
11시	11/SN+시/NNB
30분경	30/SN+분/NNB+경/XSN
이정희	이정희/NNP
후보도	후보/NNG+도/JX
고인의	고인/NNG+의/JKG
빈소를	빈소/NNG+를/JKO
찾아,	찾/VV+아/EC+,/SP
유가족들을	유가족/NNG+들/XSN+을/JKO
위로했다	위로하/VV+였/EP+다/EC

한편	한편/MAG
고(故)	고/NP+(/SS+故/SL+)/SS
김주영씨의	김주영/NNP+씨/NNB+의/JKG
장례는	장례/NNG+는/JX
오는	오/VV+는/ETM
30일	30/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
광화문에서	광화문/NNP+에서/JKB
전장연장으로	전장연장/NNG+으로/JKB
치러질	치르/VV+어/EC+지/VX+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
앞선	앞서/VV+ㄴ/ETM
29일	29/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
장례식장	장례식장/NNG
앞에서	앞/NNG+에서/JKB
추모식	추모식/NNG
및	및/MAG
입관식,	입관식/NNG+,/SP
30일	30/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
30분	30/SN+분/NNB
발인예배를	발인예배/NNG+를/JKO
갖는다	갖/VV+는다/EF

29일	29/SN+일/NNB
이른	이르/VA+ㄴ/ETM
아침	아침/NNG
무소속	무소속/NNG
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
故김주영	故/SL+김주영/NNP
활동가의	활동가/NNG+의/JKG
빈소를	빈소/NNG+를/JKO
찾아	찾/VV+아/EC
조문	조문/NNG
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임대표와	상임대표/NNG+와/JC
이야기	이야기/NNG
나누는	나누/VV+는/ETM
모습	모습/NNG

ⓒ전국장애인차별철폐연대	ⓒ/SL+전국장애인차별철폐연대/NNG
