"아태장애인	"/SS+아태장애인/NNG
나아	나/VV+아/EC
가겠다”고	가/VX+겠/EP+다/EC+”/VX+고/EC
다짐했다	다짐하/VV+었/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
아태장애포럼	아태장애포럼/NNG
류스케	류스케/NNP
마쯔이	마쯔/NNP+이/JKS
전	전/MM
사무총장은	사무총장/NNG+은/JX
“	“/SL
박	박/NNP
신임회장의	신임회장/NNG+의/JKG
책임감이	책임감/NNG+이/JKS
그	그/MM
어느	어느/MM
때보다	때/NNG+보다/JKB
크다”며	크다”/VV+며/EC
“장애인권리협약에	“/SN+장애인권리협약/NNG+에/JKB
담겨있는	담기/VV+어/EC+있/VX+는/ETM
것을	것/NNB+을/JKO
실천하기	실천하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
이제	이제/MAG
실행이	실행/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

2012아시아태평양장애포럼	2012/SN+아시아태평양/NNP+장애포럼/NNG
컨퍼런스가	컨퍼런스/NNG+가/JKS
29일	29/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아의	송도컨벤시아/NNP+의/JKG
폐회식을	폐회식/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
나흘간의	나흘/NNG+간/XSN+의/JKG
공식일정을	공식일정/NNG+을/JKO
마무리했다	마무리하/VV+였/EP+다/EC
