“자립센터,	“/SN+자립센터/NNG+,/SP
장애인복지정책의	장애인복지정책/NNG+의/JKG
전달체계,	전달체계/NNG+,/SP
재원지원	재원지원/NNG
방식을	방식/NNG+을/JKO
바꿔야	바꾸/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

김	김/NNP
교수는	교수/NNG+는/JX
"장애인의	"/SS+장애인/NNG+의/JKG
선택권을	선택권/NNG+을/JKO
보다	보다/MAG
폭넓게	폭넓/VA+게/EC
보장하기	보장하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
서구	서구/NNP
유럽의	유럽/NNP+의/JKG
많은	많/VA+은/ETM
국가들이	국가/NNG+들/XSN+이/JKS
시행하고	시행하/VV+고/EC
있는	있/VX+는/ETM
개인별예산제도(IF)’를	개인별예산제도/NNG+(/SS+IF/SL+)/SS+’/SL+를/JKO
중장기적인	중장기적/NNG+이/VCP+ㄴ/ETM
측면에서	측면/NNG+에서/JKB
논의	논의/NNG
및	및/MAG
도입해	도입하/VV+여/EC
장애인의	장애인/NNG+의/JKG
자기선택권	자기선택권/NNG
및	및/MAG
자기결정권을	자기결정/NNG+권/XSN+을/JKO
보장해야	보장하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
주문했다	주문하/VV+였/EP+다/EF

한편	한편/MAG
새누리당	새누리당/NNP
김정록	김정록/NNP
의원은	의원/NNG+은/JX
토론회	토론회/NNG
진행에	진행/NNG+에/JKB
앞선	앞서/VV+ㄴ/ETM
축사에서	축사/NNG+에서/JKB
이달	이달/NNG
중	중/NNB
자립생활의	자립생활/NNG+의/JKG
실질적	실질적/NNG
지원을	지원/NNG+을/JKO
위해	위하/VV+여/EC
‘장애인복지법	‘/SN+장애인복지법/NNG
개정안’	개정안’/NNG
발의를	발의/NNG+를/JKO
준비	준비/NNG
중에	중/NNB+에/JKB
있다고	있/VA+다고/EC
밝혔다	밝히/VV+었/EP+다/EC
