새누리,	새누리/NNG+,/SP
계획을	계획/NNG+을/JKO
마련하기	마련하/VV+기/ETN
위해	위하/VV+여/EC
공약재원팀도	공약재원팀/NNG+도/JX
별도로	별도/NNG+로/JKB
가동한다	가동하/VV+ㄴ다/EF

각	각/MM
공약단은	공약/NNG+단/XSN+은/JX
이미	이미/MAG
`톡톡	`/SW+톡톡/NNP
튀는'	튀/VV+는/ETM+'/SS
다양한	다양하/VA+ㄴ/ETM
아이디어를	아이디어/NNG+를/JKO
대선	대선/NNG
공약으로	공약/NNG+으로/JKB
만들기	만들/VV+기/ETN
위해	위하/VV+여/EC
내부	내부/NNG
연구작업에	연구작업/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

장애인이나	장애인/NNG+이나/JC
다문화	다/XPN+문화/NNG
가정,	가정/NNG+,/SP
응급의료	응급의료/NNG
선진화	선진화/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
다루는	다루/VV+는/ETM
`이웃사촌	`/SW+이웃사촌/NNG
공약단'의	공약/NNG+단/XSN+'/SS+의/JKG
김현숙	김현숙/NNP
의원은	의원/NNG+은/JX
전국	전국/NNG
7개	7/SN+개/NNB
권역에	권역/NNG+에/JKB
주요	주요/NNG
사망원인인	사망원인/NNG+이/VCP+ㄴ/ETM
외상과	외상/NNG+과/JC
심혈관	심혈관/NNG
질환,	질환/NNG+,/SP
뇌	뇌/NNG
질환을	질환/NNG+을/JKO
치료하는	치료하/VV+는/ETM
응급의료종합센터를	응급의료종합센터/NNG+를/JKO
만드는	만들/VV+는/ETM
것을	것/NNB+을/JKO
개인	개인/NNG
아이디어	아이디어/NNG
차원에서	차원/NNG+에서/JKB
구상하고	구상하/VV+고/EC
있다고	있/VX+다고/EC
전했다	전하/VV+었/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
미성년	미성년/NNG
부부가	부부/NNG+가/JKS
혼인	혼인/NNG
신고를	신고/NNG+를/JKO
하더라도	하/VV+더라도/EC
23세까지	23/SN+세/NNB+까지/JX
한부모가정	한부모가정/NNG
지원을	지원/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
정책	정책/NNG
공약	공약/NNG
등도	등/NNB+도/JX
제시했다	제시하/VV+였/EP+다/EC

노인	노인/NNG
문제를	문제/NNG+를/JKO
다루는	다루/VV+는/ETM
`어르신	`/SW+어르/VV+시/EP+ㄴ/ETM
공약단'의	공약/NNG+단/XSN+'/SS+의/JKG
권성동	권성동/NNP
의원은	의원/NNG+은/JX
전체	전체/NNG
노인의	노인/NNG+의/JKG
70%에	70/SN+%/SW+에/JKB
일괄적으로	일괄적/NNG+으로/JKB
지원하는	지원하/VV+는/ETM
기초노령연금의	기초노령연금/NNG+의/JKG
경우	경우/NNG
보편적	보편적/NNG
복지를	복지/NNG+를/JKO
벗어나	벗어나/VV+아/EC
부유층에	부유층/NNG+에/JKB
적게	적/VA+게/EC
주고	주/VV+고/EC
빈곤층에게	빈곤층/NNG+에게/JKB
더	더/MAG
많이	많이/MAG
지원하는	지원하/VV+는/ETM
방안을	방안/NNG+을/JKO
고민하고	고민하/VV+고/EC
있다고	있/VX+다고/EC
말했다	말하/VV+였/EP+다/EC

권	권/NNP
의원은	의원/NNG+은/JX
또	또/MAG
서류상으로	서류/NNG+상/XSN+으로/JKB
자녀가	자녀/NNG+가/JKS
있어	있/VA+어/EC
지원을	지원/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
극빈	극빈/NNG
노인과	노인/NNG+과/JC
위급	위급/NNG
상황에	상황/NNG+에/JKB
노출될	노출되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
독거노인	독거노인/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
도우미	도우미/NNG
확충	확충/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
검토	검토/NNG
중이다	중/NNB+이/VCP+다/EC

이밖에	이/NP+밖에/JX
다른	다른/MM
공약단도	공약단/NNG+도/JX
`국민	`/SW+국민/NNG
중심',	중심/NNG+'/SS+,/SP
`소통',	`/SW+소통/NNG+'/SS+,/SP
`공정사회'	`/SW+공정사회/NNG+'/SS
등을	등/NNB+을/JKO
키워드로	키워드/NNG+로/JKB
내걸고	내걸/VV+고/EC
대선	대선/NNG
승리를	승리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공약	공약/NNG
개발을	개발/NNG+을/JKO
다짐했다	다짐하/VV+었/EP+다/EC

min22@yna	min/SL+22/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
