文,	文/SL+,/SP
폐지와	폐지/NNG+와/JC
욕구별·상황별	욕구/NNG+별/XSN+·/SP+상황/NNG+별/XSN
지원체계	지원체계/NNG
구축과	구축/NNG+과/JKB
함께	함께/MAG
故	故/SL
김주영	김주영/NNP
활동가	활동가/NNG
사망과	사망/NNG+과/JKB
관련	관련/NNG
장애계의	장애/NNG+계/XSN+의/JKG
이슈로	이슈/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
장애인활동보조서비스	장애인활동보조서비스/NNG
최대	최대/NNG
일24시간까지	일/NNB+24/SN+시간/NNB+까지/JX
확대	확대/NNG
등을	등/NNB+을/JKO
내세웠다	내세우/VV+었/EP+다/EC

반면,	반면/NNG+,/SP
청각장애인단체가	청각장애인단/NNG+체/XSN+가/JKS
문	문/NNP
후보	후보/NNG
캠프측에	캠프/NNG+측/NNB+에/JKB
제시한	제시하/VV+ㄴ/ETM
수화언어권	수화언어/NNG+권/XSN
확보,	확보/NNG+,/SP
제2외국어에	제/XPN+2/SN+외국어/NNG+에/JKB
수화	수화/NNG
포함	포함/NNG
등은	등/NNB+은/JX
이번	이번/NNG
공약에	공약/NNG+에/JKB
포함되지	포함되/VV+지/EC
않았다	않/VX+았/EP+다/EC

이에	이/NP+에/JKB
청각장애인단체는	청각장애인단/NNG+체/XSN+는/JX
오는	오/VV+는/ETM
14일	14/SN+일/NNB
1인시위를	1/SN+인시위/NNG+를/JKO
통해	통하/VV+여/EC
각	각/MM
후보	후보/NNG
캠프에서	캠프/NNG+에서/JKB
공약할	공약하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
촉구할	촉구하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

한편,	한편/NNG+,/SP
문	문/NNP
후보는	후보/NNG+는/JX
이외에도	이외/NNG+에/JKB+도/JX
복지공약으로	복지공약/NNG+으로/JKB
△임신·출산에	△/SN+임신/NNG+·/SP+출산/NNG+에/JKB
필수적인	필수적/NNG+이/VCP+ㄴ/ETM
의료비	의료비/NNG
전액지원	전액지원/NNG
△뇌수막염,	△뇌수막염/NNG+,/SP
폐렴구균	폐렴구균/NNG
등	등/NNB
필수예방접종	필수예방접종/NNG
항목	항목/NNG
확대	확대/NNG
△13세	△/SL+13/SN+세/NNB
미만	미만/NNG
아동의	아동/NNG+의/JKG
필수예방접종	필수예방접종/NNG
무상제공	무상제공/NNG
△임기	△/SL+임기/NNG
중	중/NNB
국공립어린이집을	국공립어린이집/NNG+을/JKO
2020년까지	2020/SN+년/NNB+까지/JX
시설기준	시설기준/NNG
30%,	30/SN+%/SW+,/SP
이용아동기준	이용아동기준/NNG
50%로	50/SN+%/SW+로/JKB
확충	확충/NNG
등을	등/NNB+을/JKO
발표했다	발표하/VV+였/EP+다/EC
