문재인,	문재인/NNG+,/SP
공존	공존/NNG
등	등/NNB
다섯	다섯/NR
가지	가지/NNB
청사진을	청사진/NNG+을/JKO
발표하며,	발표하/VV+며/EC+,/SP
대선	대선/NNG
행보를	행보/NNG+를/JKO
본격화할	본격화하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
"이명박	"/SS+이명박/NNP
정부	정부/NNG
5년이	5/SN+년/NNB+이/JKS
격차를	격차/NNG+를/JKO
확대시켰다	확대/NNG+시키/XSV+었/EP+다/EF

격차	격차/NNG
해소가	해소/NNG+가/JKS
국정의	국정/NNG+의/JKG
최우선	최우선/NNG
목표가	목표/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"노인복지,	"/SS+노인복지/NNG+,/SP
고령화	고령화/NNG
사회,	사회/NNG+,/SP
고령사회에	고령사회/NNG+에/JKB
대비하겠다	대비하/VV+겠/EP+다/EC

복지국가를	복지국가/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
임기	임기/NNG
중	중/NNB
계획은	계획/NNG+은/JX
물론	물론/MAG
중장기계획도	중장기계획/NNG+도/JX
세우겠다	세우/VV+겠/EP+다/EF

시혜적이고	시혜적/NNG+이/VCP+고/EC
선별적인	선별적/NNG+이/VCP+ㄴ/ETM
복지를	복지/NNG+를/JKO
뛰어넘겠다"고	뛰어넘/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
문	문/NNP
후보는	후보/NNG+는/JX
"보편적	"/SS+보편적/NNG
복지가	복지/NNG+가/JKS
계획의	계획/NNG+의/JKG
핵심이	핵심/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
‘복지국가	‘/SL+복지국가/NNG
대한민국’의	대한민국/NNP+’/SL+의/JKG
5년,	5/SN+년/NNB+,/SP
10년,	10/SN+년/NNB+,/SP
20년	20/SN+년/NNB
계획을	계획/NNG+을/JKO
세우겠다"고	세우/VV+겠/EP+다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

민주통합당	민주통합당/NNP
대선	대선/NNG
후보	후보/NNG
수락	수락/NNG
연설문	연설문/NNG
전문변화의	전문변화/NNG+의/JKG
새	새/MM
시대로	시대/NNG+로/JKB
가는	가/VV+는/ETM
문을	문/NNG+을/JKO
열겠습니다존경하는	열/VV+겠/EP+습니다/EC+존경하/VV+는/ETM
국민	국민/NNG
여러분	여러분/NP

당원	당원/NNG
동지	동지/NNG
여러분	여러분/NP

감사합니다	감사하/VV+ㅂ니다/EF

여러분은	여러분/NP+은/JX
대한민국의	대한민국/NNP+의/JKG
변화를	변화/NNG+를/JKO
선택하셨습니다	선택하/VV+시었/EP+습니다/EF

정권교체를	정권교체/NNG+를/JKO
선택하셨습니다	선택하/VV+시었/EP+습니다/EF

민주통합당의	민주통합당/NNP+의/JKG
승리를	승리/NNG+를/JKO
선택하셨습니다	선택하/VV+시었/EP+습니다/EF

그리고	그리고/MAJ
저	저/MM
문재인을	문재인/NNG+을/JKO
선택하셨습니다	선택하/VV+시었/EP+습니다/EF

여러분의	여러분/NP+의/JKG
간절한	간절하/VA+ㄴ/ETM
소망을	소망/NNG+을/JKO
이루어내는	이루/VV+어/EC+내/VX+는/ETM
주역이	주역/NNG+이/JKC
되라는	되/VV+라는/ETM
막중한	막중하/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
맡기셨습니다	맡기/VV+시었/EP+습니다/EF

저는	저/NP+는/JX
두렵지만	두렵/VA+지만/EC
무거운	무겁/VA+ㄴ/ETM
소명의식으로	소명의식/NNG+으로/JKB
민주통합당의	민주통합당/NNP+의/JKG
대통령	대통령/NNG
후보직을	후보직/NNG+을/JKO
수락합니다	수락하/VV+ㅂ니다/EF

그리고	그리고/MAJ
저에게	저/NP+에게/JKB
부여된	부여되/VV+ㄴ/ETM
막중한	막중하/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
반드시	반드시/MAG
이루어낼	이루/VV+어/EC+내/VX+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
약속드립니다	약속드립/VV+니다/EF

여러분의	여러분/NP+의/JKG
지지와	지지/NNG+와/JC
성원에	성원/NNG+에/JKB
보답하겠습니다	보답하/VV+겠/EP+습니다/EF

12월	12/SN+월/NNB
대통령선거에서	대통령선거/NNG+에서/JKB
반드시	반드시/MAG
승리하겠습니다	승리하/VV+겠/EP+습니다/EF

1년	1/SN+년/NNB
전만	전/NNG+만/JX
해도	하/VV+여도/EC
저는	저/NP+는/JX
현실정치로부터	현실정치/NNG+로부터/JKB
멀리	멀리/MAG
있었습니다	있/VX+었/EP+습니다/EF

그런	그런/MM
제가	제/NP+가/JKS
민주통합당의	민주통합당/NNP+의/JKG
대통령후보가	대통령후보/NNG+가/JKC
되었습니다	되/VV+었/EP+습니다/EC

많은	많/VA+은/ETM
분들의	분/NNB+들/XSN+의/JKG
도움이	도움/NNG+이/JKS
있었습니다	있/VX+었/EP+습니다/EF

먼저,	먼저/MAG+,/SP
수평적	수평/NNG+적/XSN
정권교체를	정권교체/NNG+를/JKO
이뤄내고	이루/VV+어/EC+내/VX+고/EC
국민참여시대를	국민참여시대/NNP+를/JKO
열었던	열/VV+었/EP+던/ETM
김대중,	김대중/NNP+,/SP
노무현	노무현/NNP
두	두/MM
분	분/NNB
대통령이	대통령/NNG+이/JKS
계십니다	계십니/VV+다/EF

저의	저/NP+의/JKG
오늘은	오늘/NNG+은/JX
두	두/MM
분의	분/NNB+의/JKG
역사	역사/NNG
위에	위/NNG+에/JKB
서있습니다	서/VV+어/EC+있/VX+습니다/EF

변화를	변화/NNG+를/JKO
갈망하는	갈망하/VV+는/ETM
국민들이	국민/NNG+들/XSN+이/JKS
계셨습니다	계하/VV+시었/EP+습니다/EF

저에게	저/NP+에게/JKB
큰	크/VA+ㄴ/ETM
용기가	용기/NNG+가/JKC
되었습니다	되/VV+었/EP+습니다/EC

변화에	변화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
그분들의	그분/NP+들/XSN+의/JKG
간절함이	간절하/VA+ㅁ/ETN+이/JKS
승리의	승리/NNG+의/JKG
원동력이	원동력/NNG+이/JKC
되었습니다	되/VV+었/EP+습니다/EC

국민경선에	국민경선/NNG+에/JKB
함께	함께/MAG
한	하/VV+ㄴ/ETM
100만	100/SN+만/NR
명의	명/NNB+의/JKG
시민들이	시민/NNG+들/XSN+이/JKS
계십니다	계십니/VV+다/EF

저에게	저/NP+에게/JKB
정권교체에	정권교체/NNG+에/JKB
나서도록	나서/VV+도록/EC
힘을	힘/NNG+을/JKO
모아주셨습니다	모으/VV+아/EC+주/VX+시었/EP+습니다/EF

무엇보다	무엇/NP+보다/JKB
당원	당원/NNG
동지들의	동지/NNG+들/XSN+의/JKG
격려가	격려/NNG+가/JKS
있었습니다	있/VX+었/EP+습니다/EF

경선기간	경선기간/NNG
내내	내내/MAG
저를	저/NP+를/JKO
지탱해준	지탱하/VV+여/EC+주/VX+ㄴ/ETM
버팀목이었습니다	버팀목/NNG+이/VCP+었/EP+습니다/EF

저는	저/NP+는/JX
자랑스러운	자랑스럽/VA+ㄴ/ETM
민주통합당의	민주통합당/NNP+의/JKG
후보입니다	후보/NNG+이/VCP+ㅂ니다/EF

그	그/MM
사실을	사실/NNG+을/JKO
언제나	언제나/MAG
잊지	잊/VV+지/EC
않을	않/VX+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

세	세/MM
분	분/NNB
후보님이	후보/NNG+님/XSN+이/JKS
끝까지	끝/NNG+까지/JX
경선을	경선/NNG+을/JKO
함께	함께/MAG
했습니다	하/VV+였/EP+습니다/EF

위로의	위로/NNG+의/JKG
인사와	인사/NNG+와/JKB
함께	함께/MAG
감사의	감사/NNG+의/JKG
말씀을	말씀/NNG+을/JKO
드립니다	드리/VV+ㅂ니다/EF

경쟁이	경쟁/NNG+이/JKS
저를	저/NP+를/JKO
거듭나게	거듭나/VV+게/EC
했습니다	하/VX+였/EP+습니다/EF

소명과	소명/NNG+과/JC
책무를	책무/NNG+를/JKO
더욱	더욱/MAG
명확히	명확히/MAG
인식하게	인식하/VV+게/EC
되었습니다	되/VV+었/EP+습니다/EC

이제	이제/MAG
세	세/MM
분	분/NNB
후보님과	후보/NNG+님/XSN+과/JC
손을	손/NNG+을/JKO
잡겠습니다	잡/VV+겠/EP+습니다/EC

민주통합당의	민주통합당/NNP+의/JKG
이름으로	이름/NNG+으로/JKB
하나가	하나/NR+가/JKC
되겠습니다	되/VV+겠/EP+습니다/EF

존경하는	존경하/VV+는/ETM
국민	국민/NNG
여러분!우리는	여러/MM+분/NP+!/SF+우리/NP+는/JX
세계사적	세계사적/NNG
전환기에	전환기/NNG+에/JKB
살고	살/VV+고/EC
있습니다	있/VX+습니다/EF

수년	수년/NNG
전	전/NNG
미국	미국/NNP
발	발/NNG
금융위기가	금융위기/NNG+가/JKS
있었습니다	있/VX+었/EP+습니다/EF

지금은	지금/NNG+은/JX
유럽이	유럽/NNP+이/JKS
재정위기에	재정위기/NNG+에/JKB
처해	처하/VV+여/EC
있습니다	있/VX+습니다/EF

세계경제가	세계경제/NNG+가/JKS
요동치고	요동치/VV+고/EC
있습니다	있/VX+습니다/EF

나라마다	나라/NNG+마다/JX
양극화가	양극화/NNG+가/JKS
심화되고	심화되/VV+고/EC
있습니다	있/VX+습니다/EF

시장만능주의와	시장만능주의/NNG+와/JC
성장지상주의가	성장지상주의/NNG+가/JKS
빚어낸	빚어내/VV+ㄴ/ETM
결과입니다	결과/NNG+이/VCP+ㅂ니다/EC

곳곳에서	곳곳/NNG+에서/JKB
보통사람들의	보통사람/NNG+들/XSN+의/JKG
삶이	삶/NNG+이/JKS
무너지고	무너지/VV+고/EC
있습니다	있/VX+습니다/EF

세계	세계/NNG
자본주의의	자본주의/NNG+의/JKG
위기를	위기/NNG+를/JKO
걱정하는	걱정하/VV+는/ETM
소리가	소리/NNG+가/JKS
높습니다	높/VA+습니다/EF

대한민국도	대한민국/NNP+도/JX
위기로부터	위기/NNG+로부터/JKB
자유롭지	자유롭/VA+지/EC
못합니다	못하/VX+ㅂ니다/EF

우리	우리/NP
경제는	경제/NNG+는/JX
개발독재와	개발독재/NNG+와/JC
정경유착으로	정경유착/NNG+으로/JKB
파행적인	파행적/NNG+이/VCP+ㄴ/ETM
압축	압축/NNG
성장을	성장/NNG+을/JKO
이루었습니다	이루/VV+었/EP+습니다/EF

대외의존도가	대외의존도/NNG+가/JKS
높은	높/VA+은/ETM
경제가	경제/NNG+가/JKS
되었습니다	되/VV+었/EP+습니다/EC

그래서	그래서/MAJ
지금,	지금/MAG+,/SP
안팎의	안팎/NNG+의/JKG
어려움에	어려움/NNG+에/JKB
직면해	직면하/VV+여/EC
있습니다	있/VX+습니다/EF

성장만을	성장/NNG+만/JX+을/JKO
외치며	외치/VV+며/EC
달려오는	달려오/VV+는/ETM
동안	동안/NNG
특권과	특권/NNG+과/JC
부패가	부패/NNG+가/JKS
만연했습니다	만연하/VA+었/EP+습니다/EF

독선과	독선/NNG+과/JC
아집이	아집/NNG+이/JKS
횡행했습니다	횡행하/VV+였/EP+습니다/EF

갈등과	갈등/NNG+과/JC
반목이	반목/NNG+이/JKS
되풀이되었습니다	되풀이되/VV+었/EP+습니다/EF

이	이/MM
구시대	구시대/NNG
문화가	문화/NNG+가/JKS
우리의	우리/NP+의/JKG
전진을	전진/NNG+을/JKO
가로막고	가로막/VV+고/EC
있습니다	있/VX+습니다/EF

시대는	시대/NNG+는/JX
질서의	질서/NNG+의/JKG
전환을	전환/NNG+을/JKO
요구하고	요구하/VV+고/EC
있습니다	있/VX+습니다/EF

‘경쟁과	‘/SL+경쟁/NNG+과/JC
효율’에서	효율/NNG+’/SL+에서/JKB
‘상생과	‘/SN+상생/NNG+과/JC
협력’으로의	협력/NNG+’/SL+으로/JKB+의/JKG
전환입니다	전환/NNG+이/VCP+ㅂ니다/EF

‘불통과	‘/SL+불통/NNG+과/JC
독선’의	독선/NNG+’/SL+의/JKG
리더십은	리더십/NNG+은/JX
구시대의	구시대/NNG+의/JKG
유산입니다	유산/NNG+이/VCP+ㅂ니다/EC

권위주의	권위주의/NNG
시대의	시대/NNG+의/JKG
역사의식으로는	역사의식/NNG+으로/JKB+는/JX
새	새/MM
시대를	시대/NNG+를/JKO
열	열/VV+ㄹ/ETM
수	수/NNB
없습니다	없/VA+습니다/EF

‘협력과	‘/SL+협력/NNG+과/JC
상생’이	상생/NNG+’/SL+이/JKS
오늘의	오늘/NNG+의/JKG
시대정신입니다	시대정신/NNG+이/VCP+ㅂ니다/EC

저는	저/NP+는/JX
‘소통과	‘/SL+소통/NNG+과/JC
화합’의	화합/NNG+’/SL+의/JKG
리더십을	리더십/NNG+을/JKO
발휘하겠습니다	발휘하/VV+겠/EP+습니다/EF

‘공감과	‘/SL+공감/NNG+과/JC
연대’의	연대/NNG+’/SL+의/JKG
리더십을	리더십/NNG+을/JKO
펼치겠습니다	펼치/VV+겠/EP+습니다/EF

저	저/MM
문재인이	문재인/NNG+이/JKS
변화의	변화/NNG+의/JKG
새	새/MM
시대를	시대/NNG+를/JKO
열겠습니다	열/VV+겠/EP+습니다/EF

존경하는	존경하/VV+는/ETM
국민	국민/NNG
여러분	여러분/NP

행복하십니까?	행복하/VA+시/EP+ㅂ니까/EF+?/SF
국가가	국가/NNG+가/JKS
나를	나/NP+를/JKO
위해	위하/VV+여/EC
존재한다고	존재하/VV+ㄴ다고/EC
느끼십니까?	느끼십니/VV+까/EF+?/SF
나의	나/NP+의/JKG
어려움을	어려움/NNG+을/JKO
함께	함께/MAG
걱정해주는	걱정하/VV+여/EC+주/VX+는/ETM
정부라고	정부/NNG+이/VCP+라고/EC
생각하십니까?보통사람들의	생각하/VV+시/EP+ㅂ니까/EF+?/SF+보통사람/NNG+들/XSN+의/JKG
현실은	현실/NNG+은/JX
불안하고	불안하/VA+고/EC
아프기만	아프/VA+기/ETN+만/JX
합니다	하/VV+ㅂ니다/EF

힘겨운	힘겹/VA+ㄴ/ETM
직장생활에도	직장생활/NNG+에/JKB+도/JX
가계는	가계/NNG+는/JX
여전히	여전히/MAG
빚투성이입니다	빚투/NNG+성이/XSN+이/VCP+ㅂ니다/EF

40대,	40/SN+대/NNB+,/SP
50대	50/SN+대/NNB
가장들은	가장/NNG+들/XSN+은/JX
언제	언제/MAG
일자리를	일자리/NNG+를/JKO
잃을지	잃/VV+을지/EC
몰라	모르/VV+아/EC
불안합니다	불안하/VA+ㅂ니다/EF

자영업자들은	자영업자/NNG+들/XSN+은/JX
이미	이미/MAG
포화상태입니다	포화상태/NNG+이/VCP+ㅂ니다/EF

청년들은	청년/NNG+들/XSN+은/JX
일자리를	일자리/NNG+를/JKO
구할	구하/VV+ㄹ/ETM
수	수/NNB
없습니다	없/VA+습니다/EF

수명은	수명/NNG+은/JX
많이	많이/MAG
늘어났는데,	늘어나/VV+았/EP+는데/EC+,/SP
노후	노후/NNG
대책이	대책/NNG+이/JKS
없습니다	없/VA+습니다/EF

불공평	불공평/NNG
속의	속/NNG+의/JKG
빈곤과	빈곤/NNG+과/JC
사회안전망의	사회안전망/NNG+의/JKG
부족이	부족/NNG+이/JKS
우리나라를	우리나라/NNG+를/JKO
자살률	자살률/NNG
1위	1/SN+위/NNB
국가로	국가/NNG+로/JKB
만들었습니다	만들/VV+었/EP+습니다/EF

청소년들은	청소년/NNG+들/XSN+은/JX
끔찍한	끔찍하/VA+ㄴ/ETM
성적	성적/NNG
경쟁으로	경쟁/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
좌절과	좌절/NNG+과/JC
절망	절망/NNG
속에서,	속/NNG+에서/JKB+,/SP
스스로	스스로/MAG
삶을	삶/NNG+을/JKO
포기하고	포기하/VV+고/EC
있습니다	있/VX+습니다/EF

여성들은	여성/NNG+들/XSN+은/JX
어두운	어둡/VA+ㄴ/ETM
밤길이	밤길/NNG+이/JKS
무섭습니다	무섭/VA+습니다/EF

주부들은	주부/NNG+들/XSN+은/JX
자녀들의	자녀/NNG+들/XSN+의/JKG
등하굣길을	등하/NNG+굣/SN+길/NNG+을/JKO
살펴야	살피/VV+어야/EC
합니다	하/VX+ㅂ니다/EF

집에	집/NNG+에/JKB
있는	있/VA+는/ETM
아이들의	아이/NNG+들/XSN+의/JKG
안전도	안전/NNG+도/JX
걱정해야	걱정하/VV+여야/EC
합니다	하/VX+ㅂ니다/EF

범죄가	범죄/NNG+가/JKS
만연하지만	만연하/VV+지만/EC
치안은	치안/NNG+은/JX
무력합니다	무력하/VA+ㅂ니다/EC

대통령	대통령/NNG
측근들의	측근/NNG+들/XSN+의/JKG
비리는	비리/NNG+는/JX
끝이	끝/NNG+이/JKS
없습니다	없/VA+습니다/EF

기득권	기득권/NNG
정치,	정치/NNG+,/SP
정치	정치/NNG
검찰,	검찰/NNG+,/SP
재벌이	재벌/NNG+이/JKS
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
있습니다	있/VX+습니다/EF

이	이/MM
특권	특권/NNG
카르텔의	카르텔/NNG+의/JKG
횡포가	횡포/NNG+가/JKS
극에	극/NNG+에/JKB
달하고	달하/VV+고/EC
있습니다	있/VX+습니다/EF

이명박	이명박/NNP
정부	정부/NNG
5년이	5/SN+년/NNB+이/JKS
시대를	시대/NNG+를/JKO
과거로	과거/NNG+로/JKB
돌려놓았습니다	돌려놓/VV+았/EP+습니다/EF

민주주의와	민주주의/NNG+와/JC
인권도	인권/NNG+도/JX
후퇴되었습니다	후퇴되/VV+었/EP+습니다/EF

국민들은	국민/NNG+들/XSN+은/JX
불안	불안/NNG
속에서	속/NNG+에서/JKB
절망하고,	절망하/VV+고/EC+,/SP
좌절하고	좌절하/VV+고/EC
있습니다	있/VX+습니다/EF

우리	우리/NP
역사가	역사/NNG+가/JKS
계속	계속/MAG
후퇴할	후퇴하/VV+ㄹ/ETM
것이냐,	것/NNB+이/VCP+냐/EC+,/SP
다시	다시/MAG
전진할	전진하/VV+ㄹ/ETM
것이냐,	것/NNB+이/VCP+냐/EC+,/SP
지금	지금/MAG
우리는	우리/NP+는/JX
그	그/MM
기로에	기로/NNG+에/JKB
서	서/VV+어/EC
있습니다	있/VX+습니다/EF

우리가	우리/NP+가/JKS
바꿔야	바꾸/VV+어야/EC
합니다	하/VX+ㅂ니다/EF

변화의	변화/NNG+의/JKG
새시대로	새/MM+시대/NNG+로/JKB
가야	가/VV+아야/EC
합니다	하/VX+ㅂ니다/EF

이번	이번/NNG
대통령	대통령/NNG
선거에서	선거/NNG+에서/JKB
역사의	역사/NNG+의/JKG
물줄기를	물줄기/NNG+를/JKO
다시	다시/MAG
돌려놓아야	돌려놓/VV+아야/EC
합니다	하/VX+ㅂ니다/EF

저	저/MM
문재인이	문재인/NNG+이/JKS
앞장서겠습니다	앞장서/VV+어/EC+겠/EP+습니다/EF

존경하는	존경하/VV+는/ETM
국민	국민/NNG
여러분!‘사람이	여러/MM+분/NP+!/SF+‘/SL+사람/NNG+이/JKS
먼저입니다’제가	먼저이/VV+ㅂ니다/EF+’/SL+제/NP+가/JKS
대통령이	대통령/NNG+이/JKC
되면	되/VV+면/EC
이	이/MM
말이	말/NNG+이/JKS
국정철학이	국정철학/NNG+이/JKC
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

‘사람이	‘/SN+사람/NNG+이/JKS
먼저인	먼저/VA+이/VCP+ㄴ/EC
세상’을	세상’/NNG+을/JKO
만들겠습니다	만들/VV+겠/EP+습니다/EF

모든	모든/MM
사람이	사람/NNG+이/JKS
똑같이	똑같이/MAG
존엄한	존엄하/VA+ㄴ/ETM
세상입니다	세상/NNG+이/VCP+ㅂ니다/EC

돈과	돈/NNG+과/JC
지위의	지위/NNG+의/JKG
차별이	차별/NNG+이/JKS
없을	없/VA+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

직업과	직업/NNG+과/JC
신분의	신분/NNG+의/JKG
차별도	차별/NNG+도/JX
학력과	학력/NNG+과/JC
학벌의	학벌/NNG+의/JKG
차별도	차별/NNG+도/JX
없을	없/VA+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

‘보통사람들이	‘/SN+보통사람/NNG+들/XSN+이/JKS
함께	함께/MAG
기회를	기회/NNG+를/JKO
가지는	가지/VV+는/ETM
나라’‘상식이	나라/NNG+’‘/SL+상식/NNG+이/JKS
통하고,	통하/VV+고/EC+,/SP
권한과	권한/NNG+과/JC
책임이	책임/NNG+이/JKS
비례하는	비례하/VV+는/ETM
사회’‘세금이	사회/NNG+’‘/SL+세금/NNG+이/JKS
제대로	제대로/MAG
쓰이는	쓰이/VV+는/ETM
나라’‘힘없는	나라/NNG+’/SL+‘/SN+힘없/VA+는/ETM
사람에게	사람/NNG+에게/JKB
관대하고	관대하/VA+고/EC
힘	힘/NNG
있는	있/VA+는/ETM
사람에게	사람/NNG+에게/JKB
엄격한	엄격하/VA+ㄴ/ETM
잣대가	잣대/NNG+가/JKC
적용되는	적용되/VV+는/ETM
사회’출마	사회/NNG+’/SL+출마/NNG
선언	선언/NNG
때	때/NNG
시민들이	시민/NNG+들/XSN+이/JKS
제게	저/NP+에게/JKB
주셨던	주/VV+시었/EP+던/ETM
‘공평’과	‘/SL+공평/NNG+’/SL+과/JC
‘정의’에	‘/SL+정의’/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
요구들이었습니다	요구/NNG+들/XSN+이/VCP+었/EP+습니다/EF

제가	제/NP+가/JKS
대통령이	대통령/NNG+이/JKC
되면,	되/VV+면/EC+,/SP
‘공평’과	‘/SL+공평/NNG+’/SL+과/JC
‘정의’가	‘/SL+정의/NNG+’/SL+가/JKS
국정운영의	국정운영/NNG+의/JKG
근본이	근본/NNG+이/JKC
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EF

기회는	기회/NNG+는/JX
평등할	평등하/VA+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

과정은	과정/NNG+은/JX
공정할	공정하/VA+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

결과는	결과/NNG+는/JX
정의로울	정의롭/VA+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

이것을	이것/NP+을/JKO
국정운영의	국정운영/NNG+의/JKG
원칙으로	원칙/NNG+으로/JKB
바로	바로/MAG
세우겠습니다	세우/VV+겠/EP+습니다/EF

특권과	특권/NNG+과/JC
반칙은	반칙/NNG+은/JX
결코	결코/MAG
용납하지	용납하/VV+지/EC
않을	않/VX+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

특권층이나	특권층/NNG+이나/JC
힘	힘/NNG
있는	있/VA+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
범죄는	범죄/NNG+는/JX
더욱	더욱/MAG
엄중하게	엄중하/VA+게/EC
처벌할	처벌하/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EF

권력형	권력/NNG+형/XSN
비리와	비리/NNG+와/JC
부패를	부패/NNG+를/JKO
엄단하겠습니다	엄단하/VA+겠/EP+습니다/EF

재벌이	재벌/NNG+이/JKS
돈으로	돈/NNG+으로/JKB
정치와	정치/NNG+와/JC
행정을	행정/NNG+을/JKO
매수하여	매수하/VV+여/EC
특권을	특권/NNG+을/JKO
키우지	키우/VV+지/EC
못하도록	못하/VX+도록/EC
특별히	특별히/MAG
경계하겠습니다	경계하/VV+겠/EP+습니다/EF

병역의무를	병역의무/NNG+를/JKO
회피한	회피하/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
고위공직에	고위공직/NNG+에/JKB
오르는	오르/VV+는/ETM
일은	일/NNG+은/JX
없을	없/VA+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

민간	민간/NNG
분야도	분야/NNG+도/JX
반부패	반/XPN+부패/NNG
대책을	대책/NNG+을/JKO
세우겠습니다	세우/VV+겠/EP+습니다/EF

맑고	맑/VA+고/EC
투명한	투명하/VA+ㄴ/ETM
사회로	사회/NNG+로/JKB
거듭나도록	거듭나/VV+도록/EC
하겠습니다	하/VX+겠/EP+습니다/EF

존경하는	존경하/VV+는/ETM
국민여러분!새로운	국민여러/NNG+분/NP+!/SF+새롭/VA+ㄴ/ETM
시대로	시대/NNG+로/JKB
가는	가/VV+는/ETM
다섯	다섯/NR
개의	개/NNB+의/JKG
문이	문/NNG+이/JKS
