“3차	“/SL+3/SN+차/NNB
장애인	장애인/NNG
당사자의	당사자/NNG+의/JKG
참여가	참여/NNG+가/JKS
보장될	보장되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
매커니즘이	매커니즘/NNG+이/JKS
바로	바로/MAG
AP-DPO	AP/SL+-/SO+DPO/SL
UNITED라고	UNITED/SL+이/VCP+라고/EC
여기고	여기/VV+고/EC
지난	지나/VV+ㄴ/ETM
2년	2/SN+년/NNB
동안	동안/NNG
조직화를	조직화/NNG+를/JKO
위해	위하/VV+여/EC
꾸준히	꾸준히/MAG
준비해왔다	준비하/VV+여/EC+오/VX+았/EP+다/EF

현재	현재/MAG
AP-DPO	AP/SL+-/SO+DPO/SL
UNITED에는	UNITED/SL+에/JKB+는/JX
15개국	15/SN+개국/NNB
39단체가	39/SN+단체/NNG+가/JKS
가입했다	가입하/VV+였/EP+다/EF

김효진	김효진/NNP
준비위원장은	준비위원장/NNG+은/JX
“지난	“/SL+지나/VV+ㄴ/ETM
20년	20/SN+년/NNB
동안의	동안/NNG+의/JKG
아태장애인	아태장애인/NNG
10년은	10/SN+년/NNB+은/JX
아래로부터의	아래/NNG+로부터/JKB+의/JKG
추동력이	추동력/NNG+이/JKC
빠져	빠지/VV+어/EC
있는	있/VX+는/ETM
행동계획이었기	행동계획/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
장애인이	장애인/NNG+이/JKS
체감하는	체감하/VV+는/ETM
변화로	변화/NNG+로/JKB
이이저지는	이이/VV+저/EP+지/EC+는/JX
못했다”고	못하/VX+였/EP+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“지금까지	“/SN+지금/NNG+까지/JX
당사자	당사자/NNG
단체는	단체/NNG+는/JX
개별적으로	개별적/NNG+으로/JKB
에스캅에	에스캅/NNG+에/JKB
참여해	참여하/VV+여/EC
의견을	의견/NNG+을/JKO
개진해	개진하/VV+여/EC
왔기에	오/VX+았/EP+기에/EC
한	하/VV+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
내지	내/VV+지/EC
못했고	못하/VX+였/EP+고/EC
정리된	정리되/VV+ㄴ/ETM
힘을	힘/NNG+을/JKO
만들어내지	만들/VV+어/EC+내/VX+지/EC
못했다”며	못하/VX+였/EP+다/EC+”/VV+며/EC
“새로운	“/SL+새롭/VA+ㄴ/ETM
10년에서는	10/SN+년/NNB+에서/JKB+는/JX
장애인	장애인/NNG
연합을	연합/NNG+을/JKO
결성해	결성하/VV+여/EC
새로운	새롭/VA+ㄴ/ETM
운동사를	운동사/NNG+를/JKO
만들어야	만들/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
피력했다	피력하/VV+었/EP+다/EC

특히	특히/MAG
“아태지역의	“/SL+아태/NNP+지역/NNG+의/JKG
특성을	특성/NNG+을/JKO
고려해서	고려하/VV+여서/EC
하위지역	하위지역/NNG
차원의	차원/NNG+의/JKG
국제협력을	국제협력/NNG+을/JKO
활성화하기	활성화하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
연	연/NNG
1회	1/SN+회/NNB
이사	이사/NNG
정부와	정부/NNG+와/JC
민간이	민간/NNG+이/JKS
동등한	동등하/VA+ㄴ/ETM
자격으로	자격/NNG+으로/JKB
참가할수	참가하/VV+ㄹ/ETM+수/NNB
있는	있/VA+는/ETM
회의를	회의/NNG+를/JKO
통해	통하/VV+여/EC
하위	하위/NNG
지역에의	지역/NNG+에의/JKG
공통	공통/NNG
현안과	현안/NNG+과/JC
새로운	새롭/VA+ㄴ/ETM
10년	10/SN+년/NNB
이행의	이행/NNG+의/JKG
점검·평가·촉진에	점검/NNG+·/SP+평가/NNG+·/SP+촉진/NNG+에/JKB
관해	관하/VV+여/EC
논의할	논의하/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이날	이날/NNG
대회에서는	대회/NNG+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
제2차	제/XPN+2/SN+차/NNB
아태장애인	아태장애인/NNG
10년을	10/SN+년/NNB+을/JKO
평가하고	평가하/VV+고/EC
향후	향후/NNG
AP-DPO	AP/SL+-/SO+DPO/SL
UNITED의	UNITED/SL+의/JKG
활동계획과	활동계획/NNG+과/JC
방향을	방향/NNG+을/JKO
점검하게	점검하/VV+게/EC
된다	되/VV+ㄴ다/EF

또한	또한/MAG
AP-DPO	AP/SL+-/SO+DPO/SL
UNITED출범식을	UNITED/SL+출범식/NNG+을/JKO
갖고	갖/VV+고/EC
제3차	제/XPN+3/SN+차/NNB
아·태장애인	아/NNG+·/SP+태장애인/NNG
10년을	10/SN+년/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
행보에	행보/NNG+에/JKB
나선다는	나서/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC
