“복지부,	“/SL+복지부/NNG+,/SP
부양능력을	부양능력/NNG+을/JKO
판단했는데,	판단하/VV+였/EP+는데/EC+,/SP
이것이	이것/NP+이/JKS
현재의	현재/NNG+의/JKG
실제소득과	실제소득/NNG+과/JKB
달랐던	다르/VA+았/EP+던/ETM
것이	것/NNB+이/JKS
문제였다”고	문제/NNG+이/VCP+었/EP+다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이어	이어/MAG
“진실은	“/SN+진실/NNG+은/JX
이	이/MM
할머니가	할머니/NNG+가/JKS
딸과	딸/NNG+과/JC
사위로부터	사위/NNG+로부터/JKB
부양을	부양/NNG+을/JKO
받지	받/VV+지/EC
못했다는	못하/VX+였/EP+다는/ETM
데	데/NNB
있고,	있/VA+고/EC+,/SP
이	이/MM
경우	경우/NNG
정부는	정부/NNG+는/JX
실체적	실체적/NNG
빈곤을	빈곤/NNG+을/JKO
근거로	근거/NNG+로/JKB
이	이/MM
할머니를	할머니/NNG+를/JKO
보호했어야	보호하/VV+였/EP+어야/EC
하는	하/VX+는/ETM
게	것/NNB+이/JKS
옳은	옳/VA+은/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

정	정/NNP
대변인은	대변인/NNG+은/JX
“현재	“/SL+현재/NNG
말썽이	말썽/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
국민기초생활보장제도의	국민기초생활보장제도/NNG+의/JKG
‘부양의무자	‘/SL+부양의무자/NNG
기준’이	기준/NNG+’/SL+이/JKS
빈곤	빈곤/NNG
현실을	현실/NNG+을/JKO
제대로	제대로/MAG
반영해	반영하/VV+여/EC
혜택이	혜택/NNG+이/JKS
실제로	실제로/MAG
필요한	필요하/VA+ㄴ/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
적용될	적용되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
관련	관련/NNG
제도를	제도/NNG+를/JKO
개선해	개선하/VV+여/EC
나가야	나가/VX+아야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC
