'독해진'	'/SS+독하/VA+여/EC+지/VX+ㄴ/ETM+'/SS
예시와	예시/NNG+와/JKB
같은	같/VA+은/ETM
시설	시설/NNG
전체가	전체/NNG+가/JKS
금연임을	금연/NNG+이/VCP+ㅁ/ETN+을/JKO
알리는	알리/VV+는/ETM
표지판을	표지판/NNG+을/JKO
달거나	달/VV+거나/EC
스티커를	스티커/NNG+를/JKO
부착해야	부착하/VV+여야/EC
한다	하/VX+ㄴ다/EF

금연임을	금연임/NNG+을/JKO
알리는	알리/VV+는/ETM
표지판	표지판/NNG

ⓒ보건복지부	ⓒ/SN+보건복지부/NNG
설치가	설치/NNG+가/JKS
허용되는	허용되/VV+는/ETM
흡연실은	흡연실/NNG+은/JX
보건복지부령으로	보건복지부령/NNG+으로/JKB
정하는	정하/VV+는/ETM
설치	설치/NNG
기준·방법을	기준/NNG+·/SP+방법/NNG+을/JKO
준수해야	준수하/VV+여야/EC
하는데,	하/VX+는데/EC+,/SP
옥내	옥내/NNG
설치할	설치하/VV+ㄹ/ETM
경우	경우/NNG
담배	담배/NNG
연기가	연기/NNG+가/JKS
실내로	실내/NNG+로/JKB
유입되지	유입되/VV+지/EC
않도록	않/VX+도록/EC
실내와	실내/NNG+와/JKB
완전히	완전히/MAG
차단되어	차단되/VV+어/EC
밀폐되어야	밀폐되/VV+어야/EC
하고,	하/VX+고/EC+,/SP
환풍기	환풍기/NNG
등	등/NNB
환기시설을	환기시설/NNG+을/JKO
설치해야	설치하/VV+여야/EC
한다	하/VX+ㄴ다/EF

법률이	법률/NNG+이/JKS
적용되는	적용되/VV+는/ETM
공중이용시설의	공중이용시설/NNG+의/JKG
소유자	소유자/NNG
등이	등/NNB+이/JKS
그	그/MM
시설의	시설/NNG+의/JKG
전체를	전체/NNG+를/JKO
금연구역으로	금연구역/NNG+으로/JKB
지정하지	지정하/VV+지/EC
않을	않/VX+을/ETM
경우,	경우/NNG+,/SP
소유자	소유자/NNG
등에게	등/NNB+에게/JKB
1차	1/SN+차/NNB
위반시	위반/NNG+시/NNB
170만원,	170/SN+만/NR+원/NNB+,/SP
2차	2/SN+차/NNB
위반시	위반/NNG+시/NNB
330만원,	330/SN+만/NR+원/NNB+,/SP
3차	3/SN+차/NNB
위반시	위반/NNG+시/NNB
500만원	500/SN+만/NR+원/NNB
과태료가	과태료/NNG+가/JKS
부과된다	부과되/VV+ㄴ다/EF

아울러	아울러/MAG
담배를	담배/NNG+를/JKO
피운	피우/VV+ㄴ/ETM
장소에	장소/NNG+에/JKB
따라	따르/VV+아/EC
10만원과	10/SN+만/NR+원/NNB+과/JKB
5만원으로	5/SN+만/NR+원/NNB+으로/JKB
달리	달리/MAG
부과되던	부과되/VV+던/ETM
흡연자에	흡연자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
과태료도	과태료/NNG+도/JX
흡연구역이	흡연구역/NNG+이/JKS
없어짐에	없어지/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
10만원으로	10/SN+만/NR+원/NNB+으로/JKB
일률적으로	일률적/NNG+으로/JKB
부과된다	부과되/VV+ㄴ다/EF

이	이/MM
경우,	경우/NNG+,/SP
해당	해당/NNG
시설의	시설/NNG+의/JKG
소유자	소유자/NNG
등에게	등/NNB+에게/JKB
과태료가	과태료/NNG+가/JKS
부과되지는	부과되/VV+지/EC+는/JX
않는다	않/VX+는다/EC

■음식점	■/SW+음식점/NNG
금연은	금연/NNG+은/JX
‘단계적’으로=오는	‘/SN+단계적/NNG+’/SL+으로/JKB+=/SW+오/VV+는/ETM
8일부터는	8/SN+일/NNB+부터는/JX
150제곱미터	150/SN+제곱미터/NNB
이상	이상/NNG
면적(8만개소),	면적/NNG+(/SS+8/SN+만/NR+개소/NNB+)/SS+,/SP
2014년	2014/SN+년/NNB
1월부터는	1/SN+월/NNB+부터는/JX
100제곱미터	100/SN+제곱미터/NNB
이상	이상/NNG
면적(15만개소),	면적/NNG+(/SS+15/SN+만/NR+개소/NNB+)/SS+,/SP
2015년	2015/SN+년/NNB
1월부터는	1/SN+월/NNB+부터는/JX
모든	모든/MM
면적의	면적/NNG+의/JKG
음식점에서	음식점/NNG+에서/JKB
흡연이	흡연/NNG+이/JKS
금지된다	금지되/VV+ㄴ다/EF

법상	법/NNG+상/XSN
다른	다르/VA+ㄴ/ETM
시설과	시설/NNG+과/JC
마찬가지로	마찬가지/NNG+로/JKB
음식점도	음식점/NNG+도/JX
옥내	옥내/NNG
흡연실을	흡연실/NNG+을/JKO
설치하는	설치하/VV+는/ETM
경우,	경우/NNG+,/SP
보건복지부령으로	보건복지부령/NNG+으로/JKB
정하는	정하/VV+는/ETM
설치	설치/NNG
기준·방법을	기준/NNG+·/SP+방법/NNG+을/JKO
준수해야	준수하/VV+여야/EC
한다	하/VX+ㄴ다/EF

다만	다만/MAG
입법예고시	입법예고/NNG+시/NNB
제출된	제출되/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
반영,	반영/NNG+,/SP
일부	일부/NNG
음식점(예,	음식점/NNG+(/SS+예/NNG+,/SP
커피전문점)	커피전문점/NNG+)/SS
내	내/NNB
설치된	설치되/VV+ㄴ/ETM
흡연석과	흡연석/NNG+과/JKB
같이	같이/MAG
‘흡연구역이	‘/SN+흡연구역/NNG+이/JKS
유리벽	유리벽/NNG
등으로	등/NNB+으로/JKB
천장부터	천장/NNG+부터/JX
바닥까지	바닥/NNG+까지/JX
차단되어	차단되/VV+어/EC
담배연기가	담배연기/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
공간으로	공간/NNG+으로/JKB
흘러가지	흘러가/VV+지/EC
못하도록	못하/VX+도록/EC
차단하는	차단하/VV+는/ETM
설비를	설비/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
경우’,	경우/NNG+’/SL+,/SP
해당	해당/NNG
흡연석을	흡연석/NNG+을/JKO
당분간	당분간/MAG
흡연실로	흡연실/NNG+로/JKB
간주하여	간주하/VV+여/EC
운영할	운영하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
한다	하/VV+ㄴ다/EF

이	이/MM
경우에도	경우/NNG+에/JKB+도/JX
영업	영업/NNG
면적에	면적/NNG+에/JKB
차등없이	차등없이/MAG
모든	모든/MM
음식점에서	음식점/NNG+에서/JKB
전면	전면/NNG
금연이	금연/NNG+이/JKS
시행되는	시행되/VV+는/ETM
2015년	2015/SN+년/NNB
1월	1/SN+월/NNB
1일부터는	1/SN+일/NNB+부터는/JX
상기	상기/NNG
흡연석을	흡연석/NNG+을/JKO
폐쇄하고,	폐쇄하/VV+고/EC+,/SP
테이블	테이블/NNG
등	등/NNB
영업설비를	영업설비/NNG+를/JKO
철수한	철수하/VV+ㄴ/ETM
흡연실을	흡연실/NNG+을/JKO
운영해야	운영하/VV+여야/EC
한다	하/VX+ㄴ다/EF

이와	이/NP+와/JKB
함께	함께/MAG
시행규칙에서	시행규칙/NNG+에서/JKB
가족단위	가족단위/NNG
이용자가	이용자/NNG+가/JKS
많아	많/VA+아/EC
비흡연자	비흡연자/NNG
특히	특히/MAG
어린이·청소년들의	어린이/NNG+·/SP+청소년/NNG+들/XSN+의/JKG
간접	간접/NNG
흡연	흡연/NNG
피해	피해/NNG
민원이	민원/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
‘도로법’상	‘/SL+도로법/NNG+’/SN+상/NNB
고속도로	고속도로/NNG
휴게소	휴게소/NNG
건물	건물/NNG
및	및/MAG
그	그/MM
부속시설(가건물,	부속시설/NNG+(/SS+가건물/NNG+,/SP
임시	임시/NNG
지붕	지붕/NNG
외	외/NNB
지붕이	지붕/NNG+이/JKS
없는	없/VA+는/ETM
건물	건물/NNG
복도나	복도/NNG+나/JC
통로,	통로/NNG+,/SP
계단	계단/NNG
포함)을	포함/NNG+)/SS+을/JKO
새로	새로/MAG
공중이용시설에	공중이용시설/NNG+에/JKB
포함한다	포함하/VV+ㄴ다/EF

■‘가향향료	■/SW+‘/SN+가향향료/NNG
표시’	표시’/NNG
담배는	담배/NNG+는/JX
OUT=	OUT/SL+=/SW
2012년	2012/SN+년/NNB
8월	8/SN+월/NNB
현재	현재/MAG
시판중인	시판/NNG+중/NNB+이/VCP+ㄴ/ETM
담배제품(9개	담배제품/NNP+(/SS+9/SN+개/NNB
회사의	회사/NNG+의/JKG
총148개	총/MM+148/SN+개/NNB
제품)	제품/NNG+)/SS
중	중/NNB
총	총/MM
36개	36/SN+개/NNB
제품	제품/NNG
브랜드명	브랜드명/NNG
또는	또는/MAG
담뱃갑에	담뱃갑/NNG+에/JKB
표기된	표기되/VV+ㄴ/ETM
‘모히또(Mojito)’,	‘/SL+모히또/NNP+(/SS+Mojito/SL+)/SS+’/SL+,/SP
‘애플민트(Apple	‘/SL+애플민트/NNG+(/SS+Apple/SL
Mint)',	Mint/SL+)'/SS+,/SP
'체리(Cherry)',	'/SS+체리/NNG+(/SS+Cherry/SL+)'/SS+,/SP
'커피(Caf?,	'/SS+커피/NNG+(/SS+Caf/SL+?/SF+,/SP
Coffee)',	Coffee/SL+)'/SS+,/SP
'아로마(Aroma,	'/SS+아로마/NNG+(/SS+Aroma/SL+,/SP
Arome)'	Arome/SL+)'/SS
등을	등/NNB+을/JKO
더	더/MAG
이상	이상/NNG
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된다	되/VV+ㄴ다/EF

법률	법률/NNG
규정상	규정/NNG+상/XSN
담뱃잎	담뱃잎/NNG
외	외/NNB
모든	모든/MM
물질에	물질/NNG+에/JKB
대해	대하/VV+여/EC
표시를	표시/NNG+를/JKO
금지하고	금지하/VV+고/EC
있는	있/VX+는/ETM
점,	점/NNG+,/SP
상기	상기/NNG
가향	가향/NNG
물질과	물질/NNG+과/JKB
차별할	차별하/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없는	없/VA+는/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
멘톨(Menthol)도	멘톨/NNP+(/SS+Menthol/SL+)/SS+도/JX
규제대상에	규제대상/NNG+에/JKB
포함한다	포함하/VV+ㄴ다/EF

다만	다만/MAG
특수한	특수하/VA+ㄴ/ETM
향을	향/NNG+을/JKO
지칭하지	지칭하/VV+지/EC
않는,	않/VX+는/ETM+,/SP
보통명사처럼	보통명사/NNG+처럼/JKB
사용된	사용되/VV+ㄴ/ETM
‘special	‘special/SL
flavour',	flavour/SL+'/SS+,/SP
'natural	'/SS+natural/SL
flavour’,	flavour’/SL+,/SP
‘flavour	‘flavour/SL
plus'는	plus/SL+'/SS+는/JX
대상에서	대상/NNG+에서/JKB
제외했다	제외하/VV+였/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
현재	현재/MAG
시판중인	시판/NNG+중/NNB+이/VCP+ㄴ/ETM
담배제품	담배제품/NNG
중	중/NNB
17개(아래	17/SN+개/NNB+(/SS+아래/NNG
표)는	표/NNG+)/SS+는/JX
브랜드명	브랜드명/NNG
자체가	자체/NNG+가/JKS
시장에서	시장/NNG+에서/JKB
사라지고	사라지/VV+고/EC
향후	향후/NNG
새로운	새롭/VA+ㄴ/ETM
이름으로	이름/NNG+으로/JKB
출시되어야	출시되/VV+어야/EC
한다	하/VX+ㄴ다/EF

새로운	새롭/VA+ㄴ/ETM
이름으로	이름/NNG+으로/JKB
출시되어야	출시되/VV+어야/EC
할	하/VX+ㄹ/ETM
담배제품	담배제품/NNG

ⓒ보건복지부	ⓒ/SN+보건복지부/NNG
또한	또한/MAG
담배의	담배/NNG+의/JKG
제조자·수입판매업자는	제조자/NNG+·/SP+수입판매업자/NNG+는/JX
담뱃갑	담뱃갑/NNG
포장지와	포장지/NNG+와/JC
잡지,	잡지/NNG+,/SP
소매점내	소매점/NNG+내/NNB
광고	광고/NNG
등	등/NNB
담배	담배/NNG
광고에	광고/NNG+에/JKB
담뱃잎	담뱃잎/NNG
외	외/NNB
식품이나	식품/NNG+이나/JC
향기나는	향기/NNG+나/VV+는/ETM
물질을	물질/NNG+을/JKO
표시하는	표시하/VV+는/ETM
문구나	문구/NNG+나/JC
그림·사진을	그림/NNG+·/SP+사진/NNG+을/JKO
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된다	되/VV+ㄴ다/EF

이를	이/NP+를/JKO
위반해	위반하/VV+여/EC
가향물질을	가향물질/NNG+을/JKO
표시하는	표시하/VV+는/ETM
경우,	경우/NNG+,/SP
보건복지부장관은	보건복지부장관/NNG+은/JX
해당	해당/NNG
담배제품에	담배제품/NNG+에/JKB
대해	대하/VV+여/EC
1차	1/SN+차/NNB
위반시	위반/NNG+시/NNB
170만원,	170/SN+만/NR+원/NNB+,/SP
2차	2/SN+차/NNB
위반시	위반/NNG+시/NNB
330만원,	330/SN+만/NR+원/NNB+,/SP
3차	3/SN+차/NNB
위반시	위반/NNG+시/NNB
500만원	500/SN+만/NR+원/NNB
과태료를	과태료/NNG+를/JKO
부과하게	부과하/VV+게/EC
된다	되/VV+ㄴ다/EF

이는	이/NP+는/JX
8일	8/SN+일/NNB
최초로	최초/NNG+로/JKB
제조장	제조장/NNG
또는	또는/MAG
보세구역에서	보세구역/NNG+에서/JKB
반출하거나	반출하/VV+거나/EC
광고하는	광고하/VV+는/ETM
제품부터	제품/NNG+부터/JX
적용되게	적용되/VV+게/EC
되며,	되/VV+며/EC+,/SP
이미	이미/MAG
창고에서	창고/NNG+에서/JKB
반출된	반출되/VV+ㄴ/ETM
제품에	제품/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
소급	소급/NNG
적용하지	적용하/VV+지/EC
않는다	않/VX+는다/EF

그	그/MM
결과	결과/NNG
상기	상기/NNG
36개	36/SN+개/NNB
제품은	제품/NNG+은/JX
당분간	당분간/MAG
시장에	시장/NNG+에/JKB
유통·판매될	유통/NNG+·/SP+판매되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

■담배자판기는	■/SW+담배자판기/NNG+는/JX
‘흡연실’에서=‘법	‘/SN+흡연실/NNG+’/SL+에서/JKB+=/SW+‘/SN+법/NNG
시행으로	시행/NNG+으로/JKB
‘공중이용시설’에서	‘/SN+공중이용시설/NNG+’/SL+에서/JKB
‘흡연구역’이	‘/SN+흡연구역/NNG+’/SL+이/JKS
폐지되고	폐지되/VV+고/EC
흡연이	흡연/NNG+이/JKS
전면	전면/NNG
금지됨에	금지되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
설치	설치/NNG
허용	허용/NNG
장소를	장소/NNG+를/JKO
‘흡연실’로	‘/SN+흡연실’/NNG+로/JKB
변경되게	변경되/VV+게/EC
된다	되/VV+ㄴ다/EF

법	법/NNG
시행이후에도	시행이후/NNG+에/JKB+도/JX
기	기/NNG
설치된	설치되/VV+ㄴ/ETM
담배	담배/NNG
자판기를	자판기/NNG+를/JKO
계속	계속/MAG
허용해달라는	허용하/VV+여/EC+달/VX+라는/ETM
요청이있었으나,	요청/NNG+이/VCP+있/VA+었/EP+으나/EC+,/SP
이를	이/NP+를/JKO
허용할	허용하/VV+ㄹ/ETM
경우	경우/NNG
시설	시설/NNG
전체가	전체/NNG+가/JKS
금연이	금연/NNG+이/JKC
되는	되/VV+는/ETM
곳에	곳/NNG+에/JKB
담배	담배/NNG
자판기가	자판기/NNG+가/JKS
설치되는	설치되/VV+는/ETM
상황이	상황/NNG+이/JKS
발생해	발생하/VV+여/EC
법	법/NNG
제9조	제/XPN+9/SN+조/NNB
제2항	제/XPN+2/SN+항/NNG
취지에	취지/NNG+에/JKB
반하게	반하/VV+게/EC
되므로,	되/VV+므로/EC+,/SP
허용하지	허용하/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이를	이/NP+를/JKO
위반해	위반하/VV+여/EC
담배	담배/NNG
자판기를	자판기/NNG+를/JKO
설치해	설치하/VV+여/EC
담배를	담배/NNG+를/JKO
판매한	판매하/VV+ㄴ/ETM
경우,	경우/NNG+,/SP
시장·군수·구청장이	시장/NNG+·/SP+군수/NNG+·/SP+구청장/NNG+이/JKS
해당	해당/NNG
담배제품에	담배제품/NNG+에/JKB
대해	대하/VV+여/EC
1차	1/SN+차/NNB
위반시	위반/NNG+시/NNB
170만원,	170/SN+만/NR+원/NNB+,/SP
2차	2/SN+차/NNB
위반시	위반/NNG+시/NNB
330만원,	330/SN+만/NR+원/NNB+,/SP
3차	3/SN+차/NNB
위반시	위반/NNG+시/NNB
500만원	500/SN+만/NR+원/NNB
과태료를	과태료/NNG+를/JKO
부과하게	부과하/VV+게/EC
된다	되/VV+ㄴ다/EF
