청각장애,	청각장애/NNG+,/SP
kr/에이블뉴스제휴사*위	kr/SL+//SP+에이블뉴스제휴사/NNP+*/SW+위/NNG
기사에	기사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모든	모든/MM
법적	법적/NNG
책임	책임/NNG
및	및/MAG
권한은	권한/NNG+은/JX
저작권자인	저작권자/NNG+이/VCP+ㄴ/ETM
노컷뉴(www	노컷뉴/NNP+(/SS+www/SL

kdawu	kdawu/SL

org)에	org/SL+)/SS+에/JKB
있습니다	있/VA+습니다/EF
