"망막실명	"/SS+망막실명/NNG
가능성이	가능성/NNG+이/JKS
높다"면서	높/VA+다/EF+"/SS+면서/EC
"당뇨망막병증의	"/SS+당뇨망막병증/NNG+의/JKG
경우	경우/NNG
뚜렷한	뚜렷하/VA+ㄴ/ETM
자각	자각/NNG
증상이	증상/NNG+이/JKS
없어	없/VA+어/EC
시력을	시력/NNG+을/JKO
잃은	잃/VV+은/ETM
후에야	후/NNG+에/JKB+야/JX
안과를	안과/NNG+를/JKO
찾는	찾/VV+는/ETM
경우가	경우/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

따라서	따라서/MAJ
정기적인	정기적/NNG+이/VCP+ㄴ/ETM
망막	망막/NNG
검진을	검진/NNG+을/JKO
통해	통하/VV+여/EC
병을	병/NNG+을/JKO
조기에	조기/NNG+에/JKB
발견하고	발견하/VV+고/EC
치료하는	치료하/VV+는/ETM
게	것/NNB+이/JKS
매우	매우/MAG
중요하다고	중요하/VA+다고/EC
학회는	학회/NNG+는/JX
강조했다	강조하/VV+였/EP+다/EC

실제	실제/NNG
당뇨망막병증으로	당뇨망막병증/NNG+으로/JKB
실명한	실명하/VV+ㄴ/ETM
환자	환자/NNG
10명	10/SN+명/NNB
중	중/NNB
7명은	7/SN+명/NNB+은/JX
평소	평소/NNG
혈당	혈당/NNG
관리에	관리/NNG+에/JKB
소홀했으며,	소홀하/VA+었/EP+으며/EC+,/SP
10명	10/SN+명/NNB
중	중/NNB
1명은	1/SN+명/NNB+은/JX
자신이	자신/NNG+이/JKS
당뇨병인지조차	당뇨병/NNG+이/VCP+ㄴ지/EC+조차/JX
모르고	모르/VV+고/EC
있다가	있/VX+다가/EC
안과에서	안과/NNG+에서/JKB
당뇨망막병증으로	당뇨망막병증/NNG+으로/JKB
진단받고	진단/NNG+받/VV+고/EC
나서야	나서/VV+어야/EC
당뇨병에	당뇨병/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다	분석되/VV+었/EP+다/EF

또	또/MAG
학회가	학회/NNG+가/JKS
서울,	서울/NNP+,/SP
경기,	경기/NNP+,/SP
대전	대전/NNP
지역의	지역/NNG+의/JKG
주요	주요/NNG
6개	6/SN+개/NNB
보건소에서	보건소/NNG+에서/JKB
260명의	260/SN+명/NNB+의/JKG
당뇨환자를	당뇨환자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
당뇨망막병증	당뇨망막병증/NNG
인식조사	인식조사/NNG
결과에서도	결과/NNG+에서/JKB+도/JX
전체	전체/NNG
응답자의	응답자/NNG+의/JKG
약	약/MM
54%가	54/SN+%/SW+가/JKS
당뇨망막병증에	당뇨망막병증/NNG+에/JKB
대해	대하/VV+여/EC
들어본	듣/VV+어/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없다고	없/VA+다고/EC
답했다	답하/VV+였/EP+다/EF

'들어본	'/SS+들/VV+어/EC+보/VX+ㄴ/ETM
적은	적/NNB+은/JX
있지만	있/VA+지만/EC
자세히는	자세히/MAG+는/JX
모른다'는	모르/VV+ㄴ다/EF+'/SS+는/JX
답변도	답변/NNG+도/JX
31	31/SN

2%나	2/SN+%/SW+나/JX
됐다	되/VV+었/EP+다/EC

bio@yna	bio/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
