여름철	여름철/NNG
변화는	변화/NNG+는/JX
식중독균	식중독균/NNG
및	및/MAG
어패류독	어패류독/NNG
등의	등/NNB+의/JKG
증가와	증가/NNG+와/JC
밀접한	밀접하/VA+ㄴ/ETM
연관이	연관/NNG+이/JKS
있으므로	있/VA+으므로/EC
식중독	식중독/NNG
발생을	발생/NNG+을/JKO
예방하기	예방하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
식품	식품/NNG
구입부터	구입/NNG+부터/JX
섭취	섭취/NNG
단계	단계/NNG
까지	까지/JX
안전	안전/NNG
관리가	관리/NNG+가/JKS
필요하다	필요하/VA+다/EC

■식품	■/SW+식품/NNG
구입	구입/NNG
시=실온에서는	시/NNG+=/SW+실온/NNG+에서/JKB+는/JX
1시간이	1/SN+시간/NNB+이/JKS
지나면	지나/VV+면/EC
식품의	식품/NNG+의/JKG
세균이	세균/NNG+이/JKS
급속히	급속히/MAG
증가하므로	증가하/VV+므로/EC
생활	생활/NNG
잡화를	잡화/NNG+를/JKO
먼저	먼저/MAG
구입하고	구입하/VV+고/EC
식품	식품/NNG
구매는	구매/NNG+는/JX
나중에	나중/NNG+에/JKB
하며	하/VV+며/EC
식품	식품/NNG
장보기는	장보기/NNG+는/JX
가급적	가급적/MAG
1시간	1/SN+시간/NNB
이내로	이내/NNG+로/JKB
끝마치는	끝마치/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다	바람직하/VA+다/EC

식품	식품/NNG
장보기는	장/NNG+보/VV+기/ETN+는/JX
쌀,	쌀/NNG+,/SP
통조림,	통조림/NNG+,/SP
라면	라면/NNG
등	등/NNB
냉장이	냉장/NNG+이/JKS
필요	필요/NNG
없는	없/VA+는/ETM
식품	식품/NNG
〉채소,	〉/SN+채소/NNG+,/SP
과일	과일/NNG
등	등/NNB
실온	실온/NNG
보관	보관/NNG
가능한	가능하/VA+ㄴ/ETM
신선식품	신선식품/NNG
〉햄,	〉/SN+햄/NNG+,/SP
우유,	우유/NNG+,/SP
어묵	어묵/NNG
등	등/NNB
냉장이	냉장/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
가공식품	가공식품/NNG
〉닭고기	〉/SL+닭고기/NNG
등	등/NNB
육류	육류/NNG
〉고등어,	〉/SN+고등어/NNG+,/SP
조개	조개/NNG
등	등/NNB
어패류	어패류/NNG
순으로	순/XSN+으로/JKB
구입한다	구입하/VV+ㄴ다/EF

냉장이	냉장/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
가공식품이나	가공식품/NNG+이나/JC
육류,	육류/NNG+,/SP
어패류	어패류/NNG
등의	등/NNB+의/JKG
식품	식품/NNG
구매를	구매/NNG+를/JKO
하고	하/VV+고/EC
장본	장/NNG+보/VV+ㄴ/ETM
후	후/NNG
집까지	집/NNG+까지/JX
30분	30/SN+분/NNB
이상	이상/NNG
소요된다면	소요되/VV+ㄴ다면/EC
아이스박스에	아이스박스/NNG+에/JKB
넣는	넣/VV+는/ETM
것이	것/NNB+이/JKS
권장된다	권장되/VV+ㄴ다/EF

특히,	특히/MAG+,/SP
김밥,	김밥/NNG+,/SP
순대	순대/NNG
등	등/NNB
즉석식품은	즉석식품/NNG+은/JX
구매	구매/NNG
후	후/NNG
바로	바로/MAG
섭취하는	섭취하/VV+는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
좋다	좋/VA+다/EF

■식품	■/SW+식품/NNG
보관	보관/NNG
시=구매한	시/NNG+=/SW+구매하/VA+ㄴ/ETM
식품을	식품/NNG+을/JKO
냉장고에	냉장고/NNG+에/JKB
보관하는	보관하/VV+는/ETM
경우,	경우/NNG+,/SP
식품	식품/NNG
특성	특성/NNG
및	및/MAG
냉장고	냉장고/NNG
위치별	위치/NNG+별/XSN
온도	온도/NNG
등을	등/NNB+을/JKO
고려해서	고려하/VV+여서/EC
적정한	적정하/VA+ㄴ/ETM
위치에	위치/NNG+에/JKB
넣어야	넣/VV+어야/EC
식품의	식품/NNG+의/JKG
신선도를	신선도/NNG+를/JKO
최대한	최대한/NNG
유지할	유지하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
일반적으로	일반적/NNG+으로/JKB
냉장고	냉장고/NNG
문쪽은	문쪽/NNG+은/JX
안쪽	안쪽/NNG
보다	보다/MAG
온도가	온도/NNG+가/JKS
높고	높/VA+고/EC
온도	온도/NNG
변화가	변화/NNG+가/JKS
높기	높/VA+기/ETN
때문에	때문/NNB+에/JKB
달걀	달걀/NNG
보관	보관/NNG
시에도	시/NNG+에/JKB+도/JX
금방	금방/MAG
먹을	먹/VV+을/ETM
것만	것/NNB+만/JX
문쪽에	문/NNG+쪽/NNB+에/JKB
넣고,	넣/VV+고/EC+,/SP
좀	좀/MAG
더	더/MAG
오랜	오랜/MM
기간	기간/NNG
두고	두/VV+고/EC
먹을	먹/VV+을/ETM
달걀은	달걀/NNG+은/JX
포장	포장/NNG
채로	채로/NNG
냉장고	냉장고/NNG
안쪽에	안쪽/NNG+에/JKB
보관하는	보관하/VV+는/ETM
것이	것/NNB+이/JKS
좋다	좋/VA+다/EC

금방	금방/MAG
먹을	먹/VV+을/ETM
육류,	육류/NNG+,/SP
어패류만	어패류/NNG+만/JX
냉장실에	냉장실/NNG+에/JKB
넣고	넣/VV+고/EC
오래	오래/MAG
저장할	저장하/VV+ㄹ/ETM
경우는	경우/NNG+는/JX
냉동실	냉동실/NNG
하단에	하단/NNG+에/JKB
보관하고,	보관하/VV+고/EC+,/SP
패류는	패류/NNG+는/JX
씻어서	씻/VV+어서/EC
밀폐용기에	밀폐용기/NNG+에/JKB
넣어	넣/VV+어/EC
저장하는	저장하/VV+는/ETM
것이	것/NNB+이/JKS
좋다	좋/VA+다/EC

채소와	채소/NNG+와/JC
과일은	과일/NNG+은/JX
흙,	흙/NNG+,/SP
이물질	이물질/NNG
등을	등/NNB+을/JKO
제거한	제거하/VV+ㄴ/ETM
후	후/NNG
보관해야	보관하/VV+여야/EC
하는데,	하/VX+는데/EC+,/SP
채소는	채소/NNG+는/JX
신문지에	신문지/NNG+에/JKB
싸서	싸/VV+아서/EC
보관하면	보관하/VV+면/EC
수분만	수분/NNG+만/JX
빼앗기므로	빼앗기/VV+므로/EC
씻어서	씻/VV+어서/EC
밀폐용기에	밀폐용기/NNG+에/JKB
담아	담/VV+아/EC
보관하도록	보관하/VV+도록/EC
한다	하/VX+ㄴ다/EF

■식품	■/SW+식품/NNG
조리	조리/NNG
시=식품	시/NNG+=/SW+식품/NNG
조리	조리/NNG
시에는	시/NNG+에/JKB+는/JX
먼저	먼저/MAG
손을	손/NNG+을/JKO
깨끗이	깨끗이/MAG
씻고,	씻/VV+고/EC+,/SP
칼·도마	칼/NNG+·/SP+도마/NNP
등	등/NNB
조리기구는	조리기구/NNG+는/JX
교차오염이	교차오염/NNG+이/JKS
일어나지	일어나/VV+지/EC
않도록	않/VX+도록/EC
따로	따로/MAG
사용해야	사용하/VV+여야/EC
한다	하/VX+ㄴ다/EF

조리	조리/NNG
음식은	음식/NNG+은/JX
식품	식품/NNG
내부까지	내부/NNG+까지/JX
충분히	충분히/MAG
익도록	익/VV+도록/EC
가열해야	가열하/VV+여야/EC
하며,	하/VX+며/EC+,/SP
특히	특히/MAG
어패류는	어패류/NNG+는/JX
85℃에서	85/SN+℃/SL+에서/JKB
1분	1/SN+분/NNB
이상	이상/NNG
익혀야	익히/VV+어야/EC
한다	하/VX+ㄴ다/EF

생선은	생선/NNG+은/JX
조리	조리/NNG
전에	전/NNG+에/JKB
흐르는	흐르/VV+는/ETM
차가운	차갑/VA+ㄴ/ETM
물로	물/NNG+로/JKB
표면을	표면/NNG+을/JKO
세척해야	세척하/VV+여야/EC
하고,	하/VX+고/EC+,/SP
한	한/MM
번	번/NNB
개봉했던	개봉하/VV+였/EP+던/ETM
포장식품을	포장식품/NNG+을/JKO
사용하는	사용하/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
변질	변질/NNG
여부를	여부/NNG+를/JKO
반드시	반드시/MAG
확인하고	확인하/VV+고/EC
조리하도록	조리하/VV+도록/EC
한다	하/VX+ㄴ다/EF

조리한	조리하/VV+ㄴ/ETM
반찬은	반찬/NNG+은/JX
상온	상온/NNG
보관	보관/NNG
시	시/NNG
4시간	4/SN+시간/NNB
이내에	이내/NNG+에/JKB
섭취하고,	섭취하/VV+고/EC+,/SP
끓이거나	끓이/VV+거나/EC
볶지	볶/VV+지/EC
않은	않/VX+은/ETM
음식은	음식/NNG+은/JX
상온에서	상온/NNG+에서/JKB
더	더/MAG
빠른	빠르/VA+ㄴ/ETM
시간	시간/NNG
내에	내/NNB+에/JKB
상할	상하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
주의해야	주의하/VV+여야/EC
한다	하/VX+ㄴ다/EF

여름철에는	여름철/NNG+에/JKB+는/JX
생선회나	생선회/NNG+나/JC
육회와	육회/NNG+와/JKB
같은	같/VA+은/ETM
생식은	생식/NNG+은/JX
가급적	가급적/MAG
자제하는	자제하/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다	바람직하/VA+다/EC

식약청	식약청/NNG
관계자는	관계자/NNG+는/JX
“‘폭염	“‘/SL+폭염/NNG
대비	대비/NNG
식품	식품/NNG
취급	취급/NNG
및	및/MAG
안전관리	안전관리/NNG
요령’	요령/NNG+’/SL
리플릿을	리플릿/NNG+을/JKO
제작해	제작하/VV+여/EC
지방자치단체	지방자치단체/NNG
등에	등/NNB+에/JKB
배포할	배포하/VV+ㄹ/ETM
계획이다”라며	계획/NNG+이/VCP+다”/EC+이/VCP+라며/EC
“여름철	“/SN+여/XSN+름철/NNG
폭염	폭염/NNG
시	시/NNG
면역력이	면역력/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
노약자,	노약자/NNG+,/SP
임산부들의	임산부/NNG+들/XSN+의/JKG
식품	식품/NNG
섭취에	섭취/NNG+에/JKB
특히	특히/MAG
유의해줄	유의하/VV+여/EC+주/VX+ㄹ/EC
것”을	것/NNB+”/SL+을/JKO
당부했다	당부하/VV+였/EP+다/EC
