우리나라	우리나라/NNG
15세	15/SN+세/NNB
이상	이상/NNG
인구	인구/NNG
가운데	가운데/NNG
활동제약이	활동제약/NNG+이/JKS
있는	있/VA+는/ETM
사람은	사람/NNG+은/JX
6	6/SN

8%였으며	8/SN+%/SW+이/VCP+었/EP+으며/EC
활동제약	활동제약/NNG
가운데	가운데/NNG
이동제약(4	이동제약/NNG+(/SS+4/SN

4%),	4/SN+%/SW+)/SS+,/SP
신체내부	신체내부/NNG
장애(1	장애/NNG+(/SS+1/SN

4%),	4/SN+%/SW+)/SS+,/SP
시각ㆍ청각ㆍ언어장애(1	시각/NNG+ㆍ/SP+청각/NNG+ㆍ/SP+언어장애/NNG+(/SS+1/SN

0%)	0/SN+%/SW+)/SS
순으로	순/XSN+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

40세	40/SN+세/NNB
이상	이상/NNG
노후준비를	노후준비/NNG+를/JKO
하는	하/VV+는/ETM
사람은	사람/NNG+은/JX
61	61/SN

5%였으며	5/SN+%/SW+이/VCP+었/EP+으며/EC
노후준비	노후준비/NNG
방법으로는	방법/NNG+으로/JKB+는/JX
공적연금	공적연금/NNG
36	36/SN

5%,	5/SN+%/SW+,/SP
부동산	부동산/NNG
14	14/SN

1%,	1/SN+%/SW+,/SP
개인연금	개인연금/NNG
14	14/SN

0%	0/SN+%/SW
순이었다	순/XSN+이/VCP+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
말	말/NNB
기준으로	기준/NNG+으로/JKB
가구의	가구/NNG+의/JKG
15	15/SN

2%는	2/SN+%/SW+는/JX
가구주가	가구주/NNG+가/JKS
돈을	돈/NNG+을/JKO
벌지	벌/VV+지/EC
않고	않/VX+고/EC
있었으며	있/VX+었/EP+으며/EC
은퇴한	은퇴하/VV+ㄴ/ETM
연령은	연령/NNG+은/JX
62세로	62/SN+세/NNB+로/JKB
나타났다	나타나/VV+았/EP+다/EC

justdust@yna	justdust/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
