최동익,	최동익/NNG+,/SP
발생해	발생하/VV+여/EC
야기될	야기되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
노후	노후/NNG
빈곤문제를	빈곤문제/NNG+를/JKO
완화하기	완화하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정책방안이다	정책방안/NNG+이/VCP+다/EC

현재	현재/MAG
둘째	둘째/NR
자녀	자녀/NNG
이상을	이상/NNG+을/JKO
출산하는	출산하/VV+는/ETM
경우	경우/NNG
자녀수에	자녀수/NNG+에/JKB
따라	따르/VV+아/EC
12개월에서	12/SN+개월/NNB+에서/JKB
최장	최장/NNG
50개월까지	50/SN+개월/NNB+까지/JX
가입기간으로	가입기간/NNG+으로/JKB
인정해주는	인정하/VV+여/EC+주/VX+는/ETM
‘출산	‘/SL+출산/NNG
크레딧	크레딧/NNG
제도’와	제도’/NNG+와/JC
군에	군/NNG+에/JKB
입대해	입대하/VV+여/EC
병역의무를	병역의무/NNG+를/JKO
이행한	이행하/VV+ㄴ/ETM
현역병	현역병/NNG
및	및/MAG
공익근무요원에게	공익근무요원/NNG+에게/JKB
6개월간의	6/SN+개월/NNB+간/XSN+의/JKG
가입기간을	가입기간/NNG+을/JKO
인정해주는	인정하/VV+여/EC+주/VX+는/ETM
‘군복무	‘/SL+군복무/NNG
크레딧	크레딧/NNG
제도’를	제도’/NNG+를/JKO
운영	운영/NNG
중이다	중/NNB+이/VCP+다/EC

최	최/NNP
의원은	의원/NNG+은/JX
“장애아동을	“/SL+장애아동/NNG+을/JKO
돌보는	돌보/VV+는/ETM
부모는	부모/NNG+는/JX
소득활동에	소득활동/NNG+에/JKB
시간을	시간/NNG+을/JKO
투자할	투자하/VV+ㄹ/ETM
여력을	여력/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
국민연금에	국민연금/NNG+에/JKB
가입조차	가입/NNG+조차/JX
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
경우가	경우/NNG+가/JKS
많이	많이/MAG
발생하고	발생하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
특히	특히/MAG
장애아동수당을	장애아동수당/NNG+을/JKO
받는	받/VV+는/ETM
저소득층의	저소득층/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
노후	노후/NNG
소득보장대책이	소득보장대책/NNG+이/JKS
전무한	전무하/VA+ㄴ/ETM
형편”이라고	형편”/NNG+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

2012년	2012/SN+년/NNB
현재	현재/MAG
장애아동수당을	장애아동수당/NNP+을/JKO
받는	받/VV+는/ETM
저소득층	저소득층/NNG
아동은	아동/NNG+은/JX
1만8668명으로	1/SN+만/NR+8668/SN+명/NNB+으로/JKB
이중	이중/NNG
중증장애아동은	중증장애아동/NNG+은/JX
전체	전체/NNG
대비	대비/NNG
63%인	63/SN+%/SW+이/VCP+ㄴ/ETM
1만1773명인	1/SN+만/NR+1773/SN+명/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타나,	나타나/VV+아/EC+,/SP
부모	부모/NNG
중	중/NNB
적어도	적어도/MAG
1명은	1/SN+명/NNB+은/JX
돌봄으로	돌봄/NNG+으로/JKB
인해	인하/VV+여/EC
소득활동을	소득활동/NNG+을/JKO
하지	하/VV+지/EC
못하고	못하/VX+고/EC
있을	있/VX+을/ETM
것으로	것/NNB+으로/JKB
추정된다는	추정되/VV+ㄴ다는/ETM
지적인	지적/NNG+이/VCP+ㄴ/ETM
것	것/NNB

최	최/NNP
의원은	의원/NNG+은/JX
“전국민을	“/SL+전국민/NNG+을/JKO
가입대상으로	가입대상/NNG+으로/JKB
하고	하/VV+고/EC
있는	있/VX+는/ETM
국민연금의	국민연금/NNG+의/JKG
크레딧	크레딧/NNG
제도를	제도/NNG+를/JKO
활용하여	활용하/VV+여/EC
장애아동수당을	장애아동수당/NNG+을/JKO
지급받는	지급/NNG+받/VV+는/ETM
저소득층	저소득층/NNG
장애아동을	장애아동/NNG+을/JKO
돌보는	돌보/VV+는/ETM
가족	가족/NNG
또는	또는/MAG
친권자·후견인에게	친권자/NNG+·/SP+후견인/NNG+에게/JKB
장애아동을	장애아동/NNG+을/JKO
돌보는	돌보/VV+는/ETM
기간을	기간/NNG+을/JKO
국민연금	국민연금/NNG
가입기간으로	가입기간/NNG+으로/JKB
인정할	인정하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
최	최/NNP
의원은	의원/NNG+은/JX
“장애아동	“/SN+장애아동/NNG
돌봄	돌보/VV+ㅁ/ETN
크레딧을	크레딧/NNG+을/JKO
통해	통하/VV+여/EC
장애아동	장애아동/NNG
돌봄으로	돌봄/NNG+으로/JKB
인해	인하/VV+여/EC
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
노후	노후/NNG
빈곤의	빈곤/NNG+의/JKG
문제를	문제/NNG+를/JKO
최소화할	최소화하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“추후	“/SL+추후/NNG
이와	이/NP+와/JKB
관련한	관련하/VV+ㄴ/ETM
국민연금법	국민연금법/NNG
개정안을	개정안/NNG+을/JKO
발의할	발의하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
