국립의료기관	국립의료기관/NNG
늘어서	늘어서/VV+어/EC
신경외과의	신경외과/NNG+의/JKG
경우	경우/NNG
405회에서	405/SN+회/NNB+에서/JKB
996회로	996/SN+회/NNB+로/JKB
145	145/SN

9%나	9/SN+%/SW+나/JX
증가했고,	증가하/VV+였/EP+고/EC+,/SP
내과는	내과/NNG+는/JX
1290회에서	1290/SN+회/NNB+에서/JKB
2514회로,	2514/SN+회/NNB+로/JKB+,/SP
정형외과는	정형외과/NNG+는/JX
201회에서	201/SN+회/NNB+에서/JKB
389회로	389/SN+회/NNB+로/JKB
가파른	가파르/VA+ㄴ/ETM
상승세를	상승세/NNG+를/JKO
보였다	보이/VV+었/EP+다/EF

국립재활원의	국립재활원/NNP+의/JKG
경우	경우/NNG
의료급여	의료급여/NNG
환자	환자/NNG
진료	진료/NNG
30%	30/SN+%/SW
이상	이상/NNG
유지	유지/NNG
규정을	규정/NNG+을/JKO
어기고	어기/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
지적됐다	지적되/VV+었/EP+다/EF

최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
국립의료원의	국립의료원/NNP+의/JKG
의료급여	의료급여/NNG
환자	환자/NNG
비율은	비율/NNG+은/JX
2008년	2008/SN+년/NNB
24%에서	24/SN+%/SW+에서/JKB
올해는	올해/NNG+는/JX
10%까지	10/SN+%/SW+까지/JX
떨어졌다	떨어지/VV+었/EP+다/EC

환자들의	환자/NNG+들/XSN+의/JKG
평균	평균/NNG
입원일수도	입원일수/NNG+도/JX
기초생활수급자	기초생활수급/NNG+자/XSN
평균	평균/NNG
입원일수는	입원일수/NNG+는/JX
55일,	55/SN+일/NNB+,/SP
장애인은	장애인/NNG+은/JX
38일인데	38/SN+일/NNB+이/VCP+ㄴ/ETM+데/NNB
비해	비하/VV+여/EC
일반인,	일반인/NNG+,/SP
건강보험	건강보험/NNG
환자들은	환자/NNG+들/XSN+은/JX
74일에	74/SN+일/NNB+에/JKB
달했다	달하/VV+였/EP+다/EF

이	이/MM
의원은	의원/NNG+은/JX
“공공의료기관의	“/SL+공공의료기관/NNG+의/JKG
존재목적은	존재목적/NNG+은/JX
공공성”이라며	공공성”/NNG+이/VCP+라며/EC
“국립중앙의료원과	“국립중앙의료원/NNP+과/JC
국립재활원은	국립재활원/NNP+은/JX
국가의	국가/NNG+의/JKG
중추적	중추적/NNG
공공의료기관으로	공공의료기관/NNG+으로/JKB
모범을	모범/NNG+을/JKO
보이고,	보이/VV+고/EC+,/SP
합리적인	합리적/NNG+이/VCP+ㄴ/ETM
진료비와	진료비/NNG+와/JC
양질의	양질/NNG+의/JKG
의료서비스	의료서비스/NNG
모델을	모델/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
주문했다	주문하/VV+였/EP+다/EF
