내년	내년/NNG
지원비용으로는	지원비용/NNG+으로/JKB+는/JX
올해	올해/NNG
481억원	481/SN+억/NR+원/NNB
보다	보다/JKB
97억원	97/SN+억/NR+원/NNB
늘어난	늘어나/VV+ㄴ/ETM
578억원으로	578/SN+억/NR+원/NNB+으로/JKB
책정됐다	책정되/VV+었/EP+다/EF

이처럼	이/NP+처럼/JKB
검진요건과	검진요건/NNG+과/JC
지원기준이	지원기준/NNG+이/JKS
완화되면	완화되/VV+면/EC
대상은	대상/NNG+은/JX
250명에서	250/SN+명/NNB+에서/JKB
6500명까지	6500/SN+명/NNB+까지/JX
늘어날	늘어나/VV+ㄹ/ETM
전망이다	전망/NNG+이/VCP+다/EC

이외	이외/NNG
발달장애인의	발달장애인/NNG+의/JKG
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
권리보호를	권리보호/NNG+를/JKO
위해	위하/VV+여/EC
성년후견인제도를	성년후견인제도/NNG+를/JKO
도입하고,	도입하/VV+고/EC+,/SP
발달장애인	발달장애/NNG+이/VCP+ㄴ/ETM
부모에	부모/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심리치료를	심리치료/NNG+를/JKO
신규	신규/NNG
지원하기	지원하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
예산도	예산/NNG+도/JX
편성돼	편성되/VV+어/EC
있다	있/VX+다/EF

발달장애인을	발달장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
성년후견제	성년/NNP+후견제/NNG
예산은	예산/NNG+은/JX
6억원(신규),	6/SN+억/NR+원/NNB+(/SS+신규/NNG+)/SS+,/SP
발달장애인	발달장애인/NNG
부모심리	부모심리/NNG
치료	치료/NNG
예산은	예산/NNG+은/JX
13억원(신규)으로	13/SN+억/NR+원/NNB+(/SS+신규/NNG+)/SS+으로/JKB
책정돼	책정되/VV+어/EC
있다	있/VX+다/EF

한편	한편/MAG
정부예산안은	정부예산안/NNG+은/JX
국회	국회/NNG
각	각/MM
상임위에서	상임위/NNG+에서/JKB
해당	해당/NNG
부처	부처/NNG
예산안	예산안/NNG
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
예산결산특별위원회,	예산결산특별위원회/NNG+,/SP
국회	국회/NNG
본회의를	본회의/NNG+를/JKO
통과해야	통과하/VV+여야/EC
확정된다	확정되/VV+ㄴ다/EF
