서울시,	서울시/NNP+,/SP
문래동	문래동/NNP
독거어르신을	독거어르신/NNP+을/JKO
위한	위하/VV+ㄴ/ETM
자원봉사를	자원봉사/NNG+를/JKO
전개하며,	전개하/VV+며/EC+,/SP
노인상담사	노인상담사/NNG
자격증을	자격증/NNG+을/JKO
취득해	취득하/VV+여/EC
어르신들의	어르신/NNG+들/XSN+의/JKG
우울증과	우울증/NNG+과/JC
자살	자살/NNG
예방에	예방/NNG+에/JKB
힘써온	힘쓰/VV+어/EC+오/VX+ㄴ/ETM
홍인식	홍인식/NNP
씨(여,	씨/NNB+(/SS+여/NNG+,/SP
58세)가	58/SN+세/NNB+)/SS+가/JKS
선정됐다	선정되/VV+었/EP+다/EF

우수상에는	우수상/NNG+에/JKB+는/JX
직장	직장/NNG
외	외/NNB
사회복지	사회복지/NNG
시설	시설/NNG
및	및/MAG
봉사터	봉사터/NNG
5개	5/SN+개/NNB
단체에서	단체/NNG+에서/JKB
4,533시간	4,533/SN+시간/NNB
동안	동안/NNG
어르신과	어르신/NNG+과/JC
노숙인을	노숙인/NNG+을/JKO
위해	위하/VV+여/EC
봉사해	봉사하/VV+여/EC
온	오/VX+ㄴ/ETM
서울메트로	서울메트로/NNP
오재열(남,	오재열/NNP+(/SS+남/NNP+,/SP
53세)	53/SN+세/NNB+)/SS
역장과	역장/NNG+과/JC
국내	국내/NNG
아동복지시설을	아동복지시설/NNG+을/JKO
비롯해	비롯하/VV+여/EC
국외	국외/NNG
여러	여러/MM
나라	나라/NNG
아이들을	아이/NNG+들/XSN+을/JKO
지원하고	지원하/VV+고/EC
있는	있/VX+는/ETM
배우	배우/NNG
최지우	최지우/NNP
씨의	씨/NNB+의/JKG
팬클럽	팬클럽/NNG
‘스타	‘/SL+스타/NNG
지우’가	지우/NNG+’/SL+가/JKS
수상한다	수상하/VV+ㄴ다/EF

후원자분야	후원자분야/NNG
최우수상을	최우수상/NNG+을/JKO
차지한	차지하/VV+ㄴ/ETM
서영자	서영자/NNP
씨(여,	씨/NNB+(/SS+여/IC+,/SP
72세)는	72/SN+세/NNB+)/SS+는/JX
33년간	33/SN+년/NNB+간/XSN
홀트	홀트/NNP
아동복지회의	아동복지/NNG+회/XSN+의/JKG
후원자로서	후원자/NNG+로서/JKB
버려진	버려지/VV+ㄴ/ETM
아이들과	아이/NNG+들/XSN+과/JC
장애인	장애인/NNG
아동을	아동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
후원문화	후원문화/NNG
정착에	정착/NNG+에/JKB
이바지해	이바지하/VV+여/EC
선정됐다	선정되/VV+었/EP+다/EF

후원자	후원자/NNG
분야	분야/NNG
우수상에는	우수상/NNG+에/JKB+는/JX
중랑구	중랑구/NNP
내	내/NNB
위기가정을	위기가정/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
복지서비스를	복지서비스/NNG+를/JKO
제공해온	제공하/VV+여/EC+오/VX+ㄴ/ETM
민간조직	민간조직/NNG
사랑의	사랑/NNG+의/JKG
샘터	샘터/NNP
ECB와,	ECB/SL+와/JC+,/SP
아동·청소년	아동/NNG+·/SP+청소년/NNG
지원사업을	지원사업/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
공부방	공부방/NNG
운영비	운영비/NNG
지원	지원/NNG
등	등/NNB
지역주민의	지역주민/NNG+의/JKG
욕구를	욕구/NNG+를/JKO
반영해	반영하/VV+여/EC
다양한	다양하/VA+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
운영한	운영하/VV+ㄴ/ETM
주)현대HCN	주/NNG+)/SS+현대/NNP+HCN/SL
서초방송이	서초방송/NNG+이/JKS
뽑혔다	뽑허/VV+였/EP+다/EF

복지종사자분야	복지종사자분야/NNG
최우수상에는	최우수상/NNG+에/JKB+는/JX
1988년부터	1988/SN+년/NNB+부터/JX
현재까지	현재/NNG+까지/JX
정립회관에서	정립회관/NNG+에서/JKB
23년간	23/SN+년/NNB+간/XSN
근무하면서	근무하/VV+면서/EC
본인의	본인/NNG+의/JKG
소아마비	소아마비/NNG
지체장애를	지체장애/NNG+를/JKO
극복하고	극복하/VV+고/EC
장애인복지사업의	장애인복지사업/NNG+의/JKG
전문가로	전문가/NNG+로/JKB
활동중인	활동/NNG+중/NNB+이/VCP+ㄴ/ETM
김선이	김선이/NNP
씨(여,	씨/NNB+(/SS+여/NNG+,/SP
41세)가	41/SN+세/NNB+)/SS+가/JKS
수상자로	수상자/NNG+로/JKB
뽑혔다	뽑허/VV+였/EP+다/EF

복지종사자	복지종사자/NNG
우수상에는	우수상/NNG+에/JKB+는/JX
1992년	1992/SN+년/NNB
서울시	서울시/NNP
최초	최초/NNG
그룹홈	그룹홈/NNG
담당을	담당/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
20년간	20/SN+년/NNB+간/XSN
그룹홈의	그룹홈/NNG+의/JKG
전문성과	전문/NNG+성/XSN+과/JC
질적	질적/NNG
향상에	향상/NNG+에/JKB
기여한	기여하/VV+ㄴ/ETM
서울	서울/NNP
그룹홈	그룹홈/NNG
지원센터	지원센터/NNG
소장	소장/NNG
김수진	김수진/NNP
씨(여,	씨/NNB+(/SS+여/NNG+,/SP
43세)와	43/SN+세/NNB+)/SS+와/JC
18년간	18/SN+년/NNB+간/XSN
지역사회복지관에	지역사회복지관/NNG+에/JKB
근무하면서	근무하/VV+면서/EC
지역복지증진에	지역복지증진/NNG+에/JKB
공헌한	공헌하/VV+ㄴ/ETM
종로	종로/NNP
종합사회복지관	종합사회복지/NNG+관/XSN
팀장	팀장/NNG
오성택	오성택/NNP
씨(남,	씨/NNB+(/SS+남/NNP+,/SP
43세)가	43/SN+세/NNB+)/SS+가/JKS
각각	각각/MAG
수상자로	수상자/NNG+로/JKB
선정됐다	선정되/VV+었/EP+다/EF

한편,	한편/NNG+,/SP
서울시사회복지협의회	서울/NNP+시사회복지협의회/NNG
홍보대사로서	홍보대사/NNG+로서/JKB
푸드뱅크사업	푸드뱅크사업/NNP
자원봉사에	자원봉사/NNG+에/JKB
참여하고	참여하/VV+고/EC
있는	있/VX+는/ETM
탤런트	탤런트/NNG
윤세아	윤세아/NNP
씨(여,	씨/NNB+(/SS+여/NNG+,/SP
34세)와	34/SN+세/NNB+)/SS+와/JC
다방면의	다방면/NNG+의/JKG
후원활동과	후원활동/NNG+과/JC
기부문화	기부문화/NNG
확산에	확산/NNG+에/JKB
기여한	기여하/VV+ㄴ/ETM
가수	가수/NNG
션	션/NNP
씨(남,	씨/NNB+(/SS+남/NNP+,/SP
40세)	40/SN+세/NNB+)/SS
등	등/NNB
32명도	32/SN+명/NNB+도/JX
서울시장상을	서울/NNP+시장상/NNG+을/JKO
받는다	받/VV+는다/EC

한편,	한편/NNG+,/SP
시상식은	시상식/NNG+은/JX
오는	오/VV+는/ETM
4일	4/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
대한상공회의소에서	대한/NNP+상공회의소/NNG+에서/JKB
제13회	제/XPN+13/SN+회/NNB
사회복지의	사회복지/NNG+의/JKG
날을	날/NNG+을/JKO
기념하는‘2012	기념하/VV+는/ETM+‘/SL+2012/SN
서울사회복지대회’행사와	서울/NNP+사회복지대회/NNG+’/SL+행사/NNG+와/JKB
함께	함께/MAG
열릴	열리/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
박원순	박원순/NNP
서울시장이	서울/NNP+시장/NNG+이/JKS
참석해	참석하/VV+여/EC
각	각/MM
수상자에게	수상자/NNG+에게/JKB
직접	직접/MAG
시상할	시상하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
