중앙장애아동지원센터	중앙장애아동지원센터/NNG
“지역센터의	“/SL+지역센터/NNG+의/JKG
경우,	경우/NNG+,/SP
지자체의	지자체/NNG+의/JKG
예산으로	예산/NNG+으로/JKB
설립된다	설립되/VV+ㄴ다/EF

인구,	인구/NNG+,/SP
여건에	여건/NNG+에/JKB
따라	따르/VV+아/EC
각	각/MM
지자체	지자체/NNG
별	별/MM
사정이	사정/NNG+이/JKS
다른만큼	다르/VA+ㄴ/ETM+만큼/NNB
실제적으로	실제/NNG+적/XSN+으로/JKB
시행될	시행되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지자체의	지자체/NNG+의/JKG
협조가	협조/NNG+가/JKS
중요하다”고	중요하/VA+다”고/EC
말했다	말하/VV+였/EP+다/EC
