일교차	일교차/NNG
요인에	요인/NNG+에/JKB
더불어	더불/VV+어/EC
과음이나	과음/NNG+이나/JC
과로,	과로/NNG+,/SP
스트레스	스트레스/NNG
역시	역시/MAG
면역력을	면역력/NNG+을/JKO
약화시켜	약화/NNG+시키/XSV+어/EC
편도선염이	편도선염/NNG+이/JKS
쉽게	쉽/VA+게/EC
발생하게	발생하/VV+게/EC
된다”며	되/VV+ㄴ다/EC+”/VV+며/EC
“환절기나	“/SN+환절기/NNG+나/JX
추운	춥/VA+ㄴ/ETM
계절에는	계절/NNG+에/JKB+는/JX
상기도	상기/NNP+도/JX
염증을	염증/NNG+을/JKO
일으키는	일으키/VV+는/ETM
바이러스나	바이러스/NNG+나/JC
세균들이	세균/NNG+들/XSN+이/JKS
유행하기	유행하/VV+기/ETN
쉬워	쉽/VA+어/EC
이러한	이러하/VA+ㄴ/ETM
원인균	원인균/NNG
감염으로	감염/NNG+으로/JKB
편도선염이	편도선염/NNG+이/JKS
발생하기도	발생하/VV+기/ETN+도/JX
한다”고	하/VX+ㄴ다/EF+”/SN+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
이	이/NNP
교수는	교수/NNG+는/JX
“식사로는	“/SL+식사/NNG+로/JKB+는/JX
죽이나	죽이/VV+나/EC
미음같이	미음/NNG+같이/JKB
부드럽고	부드럽/VA+고/EC
자극	자극/NNG
없는	없/VA+는/ETM
유동식을	유동식/NNG+을/JKO
섭취하는	섭취하/VV+는/ETM
것이	것/NNB+이/JKS
좋으며	좋/VA+으며/EC
고열이나	고열/NNG+이나/JC
식사	식사/NNG
부족으로	부족/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
탈수를	탈수/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+여/EC
수분을	수분/NNG+을/JKO
자주	자주/MAG
섭취하고,	섭취하/VV+고/EC+,/SP
식후	식후/NNG
양치나	양치/NNG+나/JC
가글로	가글/NNG+로/JKB
구강을	구강/NNG+을/JKO
청결히	청결히/MAG
유지해야한다”며	유지하/VV+여야/EC+하/VX+ㄴ다/EC+”/VX+며/EC
“손,	“/SN+손/NNG+,/SP
발을	발/NNG+을/JKO
깨끗이	깨끗이/MAG
씻어서	씻/VV+어서/EC
접촉을	접촉/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
균	균/NNG
감염을	감염/NNG+을/JKO
줄이고	줄이/VV+고/EC
사람이	사람/NNG+이/JKS
많이	많이/MAG
모이는	모이/VV+는/ETM
사무실이나	사무실/NNG+이나/JC
교실	교실/NNG
등에서는	등/NNB+에서/JKB+는/JX
환기를	환기/NNG+를/JKO
자주	자주/MAG
시키거나	시키/VV+거나/EC
마스크를	마스크/NNG+를/JKO
사용함으로써	사용하/VV+ㅁ/ETN+으로써/JKB
공기로	공기/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
감염균의	감염균/NNG+의/JKG
전파를	전파/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC
