강원재활병원,	강원재활병원/NNP+,/SP
무시했다	무시하/VV+였/EP+다/EC

50cm	50/SN+cm/SL
화강암	화강암/NNG
제품이	제품/NNG+이/JKS
설치,	설치/NNG+,/SP
시각장애인이	시각장애인/NNG+이/JKS
보행	보행/NNG
중에	중/NNB+에/JKB
걸려	걸리/VV+어/EC
넘어져	넘어지/VV+어/EC
크게	크/VA+게/EC
다칠	다치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
높았다	높/VA+았/EP+다/EC

현행	현행/NNG
‘교통약자의	‘/SN+교통약자/NNG+의/JKG
이동편의증진법’	이동편의증진법/NNG+’/SN
시행규칙에	시행규칙/NNG+에/JKB
따르면	따르/VV+면/EC
자동차	자동차/NNG
진입	진입/NNG
억제용	억제/NNG+용/XSN
볼라드는	볼라들/VV+는/ETM
보행자의	보행자/NNG+의/JKG
안전하고	안전하/VA+고/EC
편리한	편리하/VA+ㄴ/ETM
통행을	통행/NNG+을/JKO
방해하지	방해하/VV+지/EC
않는	않/VX+는/ETM
범위	범위/NNG
내에서	내/NNB+에서/JKB
설치해야	설치하/VV+여야/EC
한다	하/VX+ㄴ다/EF

설치	설치/NNG
시에는	시/NNB+에/JKB+는/JX
보행자의	보행자/NNG+의/JKG
안전을	안전/NNG+을/JKO
고려해	고려하/VV+여/EC
높이	높이/NNG
80∼100㎝	80/SN+∼/SO+100/SN+㎝/SW
내외,	내외/NNG+,/SP
지름은	지름/NNG+은/JX
10∼20㎝	10/SN+∼/SO+20/SN+㎝/SW
내외,	내외/NNG+,/SP
간격1	간격/NNG+1/SN

5m	5/SN+m/SL
내외로	내외/NNG+로/JKB
하고	하/VV+고/EC
재질도	재질/NNG+도/JX
보행자	보행자/NNG
충격을	충격/NNG+을/JKO
흡수할	흡수하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
재료를	재료/NNG+를/JKO
사용해야	사용하/VV+여야/EC
한다	하/VX+ㄴ다/EF

반면	반면/NNG
병원입구	병원입구/NNG
점자촉지도식	점자촉지도식/NNG
안내판은	안내판/NNG+은/JX
반구형으로	반구형/NNG+으로/JKB
제대로	제대로/MAG
설치돼	설치되/VV+어/EC
있었고	있/VX+었/EP+고/EC
점자를	점자/NNG+를/JKO
읽지	읽/VV+지/EC
못하는	못하/VX+는/ETM
시각장애인들	시각장애인/NNG+들/XSN
위한	위하/VV+ㄴ/ETM
음성안내기	음성안/NNG+내/VV+기/ETN
및	및/MAG
직원호출용	직원호출/NNG+용/XSN
무선벨을	무선벨/NNG+을/JKO
갖추고	갖추/VV+고/EC
있었다	있/VX+었/EP+다/EF

하지만	하지만/MAJ
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
음성유도기는	음성유도기/NNG+는/JX
엘리베이터	엘리베이터/NNG
앞에만	앞/NNG+에/JKB+만/JX
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

시각장애인을	시각장애인/NNG+을/JKO
위해	위하/VV+여/EC
화장실	화장실/NNG
및	및/MAG
접수·수납	접수/NNG+·/SP+수납/NNG
창구	창구/NNG
앞에도	앞/NNG+에/JKB+도/JX
설치돼야	설치되/VV+어야/EC
한다	하/VX+ㄴ다/EF

장애인전용화장실은	장애인전용화장실/NNG+은/JX
남·여로	남/NNG+·/SP+여/NNP+로/JKB
구분해	구분하/VV+여/EC
1층	1/SN+층/NNG
후문	후문/NNG
앞에	앞/NNG+에/JKB
1곳이	1/SN+곳/NNG+이/JKS
마련돼	마련되/VV+어/EC
있었다	있/VX+었/EP+다/EF

이외	이외/NNG
장애인화장실은	장애인화장실/NNG+은/JX
지상	지상/NNG
1·2층에	1/SN+·/SP+2/SN+층/NNG+에/JKB
남·여로	남/NNG+·/SP+여/NNP+로/JKB
구분해	구분하/VV+여/EC
비장애인화장실에	비장애인화장실/NNG+에/JKB
각각	각각/MAG
2곳씩	2/SN+곳/NNG+씩/XSN
4개가	4/SN+개/NNB+가/JKS
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

3·4·5층	3/SN+·/SP+4/SN+·/SP+5/SN+층/NNG
병동에도	병동/NNG+에/JKB+도/JX
각각	각각/MAG
남·여	남/NNG+·/SP+여/NNG
장애인화장실이	장애인화장실/NNG+이/JKS
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

39개	39/SN+개/NNB
병실	병실/NNG
내부에도	내부/NNG+에/JKB+도/JX
장애인	장애인/NNG
화장실이	화장실/NNG+이/JKS
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

하지만	하지만/MAJ
중증장애인이	중증장애인/NNG+이/JKS
편리하게	편리하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
화장실은	화장실/NNG+은/JX
전무했다	전무하/VA+었/EP+다/EF

1층	1/SN+층/NNG
후문에	후문/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
장애인전용화장실	장애인전용화장실/NNG
출입문은	출입문/NNG+은/JX
미닫이로	미닫이/NNG+로/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EC

비장애인화장실내	비장애인화장실/NNG+내/NNB
장애인화장실을	장애인화장실/NNG+을/JKO
이용하기	이용하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
먼저	먼저/MAG
비장애인화장실	비장애인화장실/NNG
출입문인	출입문/NNG+이/VCP+ㄴ/ETM
여닫이문을	여닫이문/NNG+을/JKO
열고	열/VV+고/EC
들어가	들어가/VV+아/EC
장애인화장실	장애인화장실/NNG
출입문인	출입문/NNG+이/VCP+ㄴ/ETM
미닫이문을	미닫이문/NNG+을/JKO
열어야	열/VV+어야/EC
했다	하/VX+였/EP+다/EF

터치식자동문이	터치식자동문/NNG+이/JKC
아니라면	아니/VCN+라면/EC
중증장애인이	중증장애인/NNG+이/JKS
직접	직접/MAG
문을	문/NNG+을/JKO
열고	열/VV+고/EC
닫기에는	닫/VV+기/ETN+에/JKB+는/JX
불편이	불편/NNG+이/JKS
따른다	따르/VV+ㄴ다/EF

문고리	문고리/NNG
잠금	잠그/VV+ㅁ/ETN
장치	장치/NNG
역시	역시/MAG
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

장애인화장실은	장애인화장실/NNG+은/JX
공통으로	공통/NNG+으로/JKB
용변기에	용변/NNG+기/XSN+에/JKB
물자동내림	물자동내림/NNG
센서와	센서/NNG+와/JC
등받이가	등받이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
등받이는	등받이/NNG+는/JX
플라스틱	플라스틱/NNG
재질로	재질/NNG+로/JKB
장시간	장시간/NNG
사용하기	사용하/VV+기/ETN
어려웠다	어렵/VA+었/EP+다/EC

또한	또한/MAG
일반적으로	일반적/NNG+으로/JKB
등받이가	등받이/NNG+가/JKS
높게	높/VA+게/EC
설치돼	설치되/VV+어/EC
사용하기	사용하/VV+기/ETN
불편했다	불편하/VA+었/EP+다/EC

비장애인화장실	비장애인화장실/NNG
내에	내/NNB+에/JKB
설치된	설치되/VV+ㄴ/ETM
세면대는	세면대/NNG+는/JX
손잡이가	손잡이/NNG+가/JKS
없어	없/VA+어/EC
목발	목발/NNG
짚은	짚/VV+은/ETM
장애인이	장애인/NNG+이/JKS
사용하다	사용하/VV+다/EC
다칠	다치/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

각	각/MM
병실	병실/NNG
화장실에	화장실/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
세면대	세면대/NNG
손잡이는	손잡이/NNG+는/JX
낮게	낮/VA+게/EC
설치돼	설치되/VV+어/EC
목발	목발/NNG
짚은	짚/VV+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
사용하기가	사용하/VV+기/ETN+가/JKS
불편했다	불편하/VA+었/EP+다/EC

특히	특히/MAG
병실	병실/NNG
화장실에	화장실/NNG+에/JKB
샤워기가	샤우/VV+어기/ETN+가/JKS
설치돼	설치되/VV+어/EC
샤워를	샤워/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있었으나	있/VA+었/EP+으나/EC
배수로를	배수로/NNG+를/JKO
기울기를	기울기/NNG+를/JKO
줘	주/VV+어/EC
설치하지	설치하/VV+지/EC
않아	않/VX+아/EC
턱이	턱/NNG+이/JKS
없는	없/VA+는/ETM
화장실에서	화장실/NNG+에서/JKB
샤워를	샤워/NNG+를/JKO
하면	하/VV+면/EC
물이	물/NNG+이/JKS
병실로	병실/NNG+로/JKB
흘러들어갈	흘러들/VV+어/EC+가/VV+ㄹ/ETM
염려가	염려/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

이외에도	이외/NNG+에/JKB+도/JX
각층에	각층/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
목욕탕은	목욕탕/NNG+은/JX
샤워의자가	샤워의자/NNG+가/JKS
낮아	낮/VA+아/EC
휠체어장애인이	휠체어장애인/NNG+이/JKS
옮겨	옮기/VV+어/EC
않고,	않/VX+고/EC+,/SP
사용하기가	사용하/VV+기/ETN+가/JKS
불편했다	불편하/VA+었/EP+다/EC

목욕탕	목욕탕/NNG
옷장도	옷장/NNG+도/JX
여닫이문으로	여닫이문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
사용하기에는	사용하/VV+기/ETN+에/JKB+는/JX
불편했다	불편하/VA+었/EP+다/EC

다만	다만/MAG
비상호출벨은	비/XPN+상호출벨/NNG+은/JX
중증장애인을	중증장애인/NNG+을/JKO
위해	위하/VV+여/EC
벅면에	벅/VX+면에/EC
잘	잘/MAG
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
바닥에는	바닥/NNG+에/JKB+는/JX
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이,	점자블록이/MAG+,/SP
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
손으로	손/NNG+으로/JKB
만져	만지/VV+어/EC
남·여	남/NNG+·/SP+여/NNG
화장실을	화장실/NNG+을/JKO
구분할	구분하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
점자안내판도	점자안내판/NNG+도/JX
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

기존	기존/NNG
8인실	8/SN+인/NNG+실/XSN
병실은	병실/NNG+은/JX
임시	임시/NNG
벽으로	벽/NNG+으로/JKB
막아	막/VV+아/EC
4인실로	4/SN+인실/NNG+로/JKB
구분해	구분하/VV+여/EC
사용됐다	사용되/VV+었/EP+다/EF

하지만	하지만/MAJ
형광등을	형광등/NNG+을/JKO
켜고	켜/VV+고/EC
끄는	끌/VV+는/ETM
스위치가	스위치/NNG+가/JKS
한쪽	한쪽/NNG
병실에만	병실/NNG+에/JKB+만/JX
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
원성이	원성/NNG+이/JKS
높았다	높/VA+았/EP+다/EC

화재	화재/NNG
등	등/NNB
긴급	긴급/NNG
시	시/NNB
대피할	대피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간도	공간/NNG+도/JX
부족했다	부족하/VA+었/EP+다/EC

각	각/MM
층별로	층/NNG+별/XSN+로/JKB
베란다가	베란다/NNG+가/JKS
설치돼	설치되/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
공간이	공간/NNG+이/JKS
협소했다	협소하/VV+였/EP+다/EF

이중	이/MM+중/NNB
2층	2/SN+층/NNG
베란다는	베란다/NNG+는/JX
공간이	공간/NNG+이/JKS
넓어	넓/VA+어/EC
안전하게	안전하/VA+게/EC
대피해	대피하/VV+여/EC
2차	2/SN+차/NNB
구조를	구조/NNG+를/JKO
기다릴	기다리/VV+ㄹ/ETM
수	수/NNB
있었지만	있/VA+었/EP+지만/EC
턱이	턱/NNG+이/JKS
있어	있/VA+어/EC
개선이	개선/NNG+이/JKS
요구됐다	요구되/VV+었/EP+다/EF

각	각/MM
층	층/NNG
복도에	복도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
재난안전	재난안전/NNG
구조대(미끄럼틀)	구조대/NNG+(/SS+미끄럼틀/NNG+)/SS
역시	역시/MAG
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

일부	일부/NNG
입원	입원/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
“이곳이	“/SL+이곳/NNG+이/JKS
장애인들이	장애인/NNG+들/XSN+이/JKS
이용하는	이용하/VV+는/ETM
재활병원이	재활병원/NNG+이/JKS
맞는지	맞/VV+는지/EC
모르겠다	모르/VV+겠/EP+다/EC

목욕탕,	목욕탕/NNG+,/SP
장애인화장실	장애인화장실/NNG
등에	등/NNB+에/JKB
많은	많/VA+은/ETM
문제점이	문제점/NNG+이/JKS
있으며	있/VA+으며/EC
사용하기	사용하/VV+기/ETN
불편하다”고	불편하/VA+다/EC+”/SN+고/JKQ
불만의	불만/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
재활병원	재활병원/NNG
담당자는	담당자/NNG+는/JX
“불편사항은	“/SN+불편사항/NNG+은/JX
철저히	철저히/MAG
개선해	개선하/VV+여/EC
장애물	장애물/NNG
없는	없/VA+는/ETM
생활환경	생활환경/NNG
본인증을	본인증/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다”고	노력하/VV+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

강원도가	강원도/NNP+가/JKS
강원병원에	강원병원/NNP+에/JKB
위탁한	위탁하/VV+ㄴ/ETM
강원도재활병원	강원도재활병원/NNP
전경	전경/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
비장애인화장실의	비장애인화장실/NNG+의/JKG
여닫이문을	여닫이문/NNG+을/JKO
열고	열/VV+고/EC
들어가야	들어가/VV+아야/EC
장애인화장실을	장애인화장실/NNG+을/JKO
갈수가	가/VV+ㄹ/ETM+수/NNB+가/JKS
있어	있/VA+어/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인은	중증장애인/NNG+은/JX
사용할수가	사용하/VV+ㄹ/ETM+수/NNB+가/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
비장애인화장실	비장애인화장실/NNG
내부에	내부/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
장애인화장실	장애인화장실/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
출입문은	출입문/NNG+은/JX
미닫이문으로	미닫이문/NNG+으로/JKB
돼있어	되/VV+어/EC+있/VX+어/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
직접	직접/MAG
열고	열/VV+고/EC
닫기가	닫/VV+기/ETN+가/JKS
불편하다	불편하/VA+다/EC

문고리	문고리/NNG
잠금장치도	잠금장치/NNG+도/JX
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장/NNG+실/XSN
용변기에	용변/NNG+기/XSN+에/JKB
물내림자동센서와	물내림자동센서/NNG+와/JC
등받이가	등받이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

하지만	하지만/MAJ
등받이가	등받이/NNG+가/JKS
플라스틱	플라스틱/NNG
재질로	재질/NNG+로/JKB
돼	되/VV+어/EC
있고	있/VX+고/EC
높게	높/VA+게/EC
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
개선이	개선/NNG+이/JKS
필요하다	필요하/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실이	장애인화장실/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
외부에	외부/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
세면대	세면대/NNG
모습	모습/NNG

손잡이가	손잡이/NNG+가/JKS
없어	없/VA+어/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
사용	사용/NNG
하다	하/VV+다/EC
넘어	넘/VV+어/EC
크게	크/VA+게/EC
다칠	다치/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
목욕탕의	목욕탕/NNG+의/JKG
샤워의자가	샤워의자/NNG+가/JKS
너무	너무/MAG
낮아	낮/VA+아/EC
휠체어에서	휠체어/NNG+에서/JKB
옮겨	옮기/VV+어/EC
앉기가	앉/VV+기/ETN+가/JKS
불편하고	불편하/VA+고/EC
좁아서	좁/VA+아서/EC
위험하다	위험하/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNG
복도에	복도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
구조대(미끄럼틀)다	구조대/NNG+(/SS+미끄럼틀/NNG+)/SS+이/VCP+다/EF

화재	화재/NNG
재난시	재난/NNG+시/NNB
휠체어장애인들은	휠체어장애인/NNG+들/XSN+은/JX
이용하기	이용하/VV+기/ETN
힘들다	힘들/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
3,4,5,층의	3,4,5/SN+,/SP+층/NNG+의/JKG
배란다는	배란다/NNG+는/JX
좁아	좁/VA+아/EC
재닌	재니/VV+ㄴ/ETM
및	및/MAG
화재시	화재시/NNG
불길이	불길/NNG+이/JKS
쉅게	쉅/VA+게/EC
미칠수	미치/VV+ㄹ/ETM+수/NNB
있어	있/VA+어/EC
대피시설로	대피시설/NNG+로/JKB
이용하기가	이용하/VV+기/ETN+가/JKS
부적합했다	부적합하/VV+였/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
