“음식점	“/SL+음식점/NNG
이외에도	이외/NNG+에/JKB+도/JX
개정안에는	개정안/NNG+에/JKB+는/JX
집단급식소에서	집단급식소/NNG+에서/JKB
지하수	지하수/NNG
수질	수질/NNG
오염으로	오염/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
식중독	식중독/NNG
발생을	발생/NNG+을/JKO
방지하기	방지하/VV+기/ETN
위해	위하/VV+여/EC
용수저장탱크에	용수저장탱크/NNP+에/JKB
살균·소독장비(염소자동주입기	살균/NNG+·/SP+소독장비/NNG+(/SS+염소자동주입기/NNG
등)	등/NNB+)/SS
설치를	설치/NNG+를/JKO
의무화하는	의무화하/VV+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
식품위생심의위원회의	식품위생심의위원회/NNG+의/JKG
위해평가	위해평가/NNG
절차를	절차/NNG+를/JKO
합리화하기	합리화하/VV+기/ETN
위해	위하/VV+여/EC
국제기구	국제기구/NNG
또는	또는/MAG
국내외	국내외/NNG
연구·검사기관의	연구/NNG+·/SP+검사기관/NNG+의/JKG
분석자료를	분석자료/NNG+를/JKO
근거로	근거/NNG+로/JKB
심의·의결	심의/NNG+·/SP+의결/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
할	하/VX+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

앞으로,	앞/NNG+으로/JKB+,/SP
복지부는	복지부/NNG+는/JX
입법예고	입법예고/NNG
기간	기간/NNG
동안	동안/NNG
국민의	국민/NNG+의/JKG
다양한	다양하/VA+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴해	수렴하/VV+여/EC
연내에	연내/NNG+에/JKB
개정	개정/NNG
절차를	절차/NNG+를/JKO
마무리하고,	마무리하/VV+고/EC+,/SP
내년에	내년/NNG+에/JKB
시행할	시행하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
