"기초생활수급	"/SS+기초생활수급/NNG
84명(15	84/SN+명/NNB+(/SS+15/SN

6％),	6/SN+％/SL+)/SS+,/SP
30대	30/SN+대/NNB
77명(14	77/SN+명/NNB+(/SS+14/SN

3％)	3/SN+％/SL+)/SS
등의	등/NNB+의/JKG
순이었다	순/NNG+이/VCP+었/EP+다/EF

국민기초생활보장	국민기초/NNP+생활보장/NNG
수급자는	수급자/NNG+는/JX
2009년	2009/SN+년/NNB
156만8천명	156/SN+만/NR+8/SN+천/NR+명/NNB
2010년	2010/SN+년/NNB
154만9천명,	154/SN+만/NR+9/SN+천/NR+명/NNB+,/SP
2011년	2011/SN+년/NNB
146만9천명,	146/SN+만/NR+9/SN+천/NR+명/NNB+,/SP
2012년	2012/SN+년/NNB
8월	8/SN+월/NNB
140만2천명으로	140/SN+만/NR+2/SN+천/NR+명/NNB+으로/JKB
감소하고	감소하/VV+고/EC
있다	있/VX+다/EC

한편	한편/MAG
권익위는	권익위/NNG+는/JX
지난해	지난해/NNG
9월부터	9/SN+월/NNB+부터/JX
시행하고	시행하/VV+고/EC
있는	있/VX+는/ETM
공익신고자	공익신고자/NNG
보호제도와	보호제도/NNG+와/JKB
관련,	관련/NNG+,/SP
올해	올해/NNG
상반기까지	상반기/NNG+까지/JX
공공기관이	공공기관/NNG+이/JKS
접수한	접수하/VV+ㄴ/ETM
공익신고는	공익신고/NNG+는/JX
총	총/MM
6만5천565건이고,	6/SN+만/NR+5/SN+천/NR+565/SN+건/NNB+이/VCP+고/EC+,/SP
과징금	과징금/NNG
또는	또는/MAG
과태료	과태료/NNG
등	등/NNB
처분금액은	처분금액/NNG+은/JX
44억6천500만원에	44/SN+억/NR+6/SN+천/NR+500/SN+만/NR+원/NNB+에/JKB
달한다고	달하/VV+ㄴ다고/EC
설명했다	설명하/VV+었/EP+다/EC

권익위는	권익위/NNG+는/JX
또	또/MAG
고용노동부가	고용노동부/NNG+가/JKS
12월	12/SN+월/NNB
중에	중/NNB+에/JKB
민간기업	민간기업/NNG
근로자의	근로자/NNG+의/JKG
공익침해	공익침해/NNG
행위를	행위/NNG+를/JKO
직무상	직무/NNG+상/XSN
비밀	비밀/NNG
누설로	누설/NNG+로/JKB
보지	보/VV+지/EC
않도록	않/VX+도록/EC
하는	하/VX+는/ETM
내용의	내용/NNG+의/JKG
표준취업규칙을	표준취업규칙/NNG+을/JKO
개정할	개정하/VV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

jesus7864@yna	jesus/SL+7864/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
