복지부,	복지부/NNG+,/SP
검정고시’를	검정고시’/NNG+를/JKO
별도로	별도/NNG+로/JKB
거쳐야	거치/VV+어야/EC
한다	하/VX+ㄴ다/EF

인권위는	인권위/NNG+는/JX
5월	5/SN+월/NNB
복지부에	복지부/NNG+에/JKB
"일반적으로	"/SS+일반적/NNG+으로/JKB
시각장애인이	시각장애인/NNG+이/JKS
학습에	학습/NNG+에/JKB
불리한	불리하/VA+ㄴ/ETM
여건	여건/NNG
때문에	때문/NNB+에/JKB
중학교	중학교/NNG
과정을	과정/NNG+을/JKO
미치지	미치/VV+지/EC
못한	못하/VX+ㄴ/ETM
저학력자	저학력자/NNG
비율이	비율/NNG+이/JKS
비장애인에	비장애인/NNG+에/JKB
높고,	높/VA+고/EC+,/SP
법에서	법/NNG+에서/JKB
요구하는	요구하/VV+는/ETM
고입검정고시	고입검정고시/NNG
과목은	과목/NNG+은/JX
안마와	안마/NNG+와/JC
직접적인	직접적/NNG+이/VCP+ㄴ/ETM
관련이	관련/NNG+이/JKS
없어	없/VA+어/EC
안마사	안마사/NNG
자격	자격/NNG
취득을	취득/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
필수적	필수적/NNG
사항이라고	사항/NNG+이/VCP+라고/EC
보기	보/VV+기/ETN
어렵다"며	어렵/VA+다/EF+"/SS+며/EC
‘의료법’	‘/SL+의료법/NNG+’/SL
개정을	개정/NNG+을/JKO
권고했다	권고하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
복지부는	복지부/NNG+는/JX
최소한의	최소한/NNG+의/JKG
교육과정과	교육과정/NNG+과/JC
특수교육법의	특수교육법/NNG+의/JKG
입법	입법/NNG
취지를	취지/NNG+를/JKO
들며,	들/VV+며/EC+,/SP
불수용	불수용/NNG
입장을	입장/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

인권위에	인권위/NNG+에/JKB
따르면	따르/VV+면/EC
복지부는	복지부/NNG+는/JX
해부생리,	해부생리/NNG+,/SP
병리,	병리/NNG+,/SP
보건	보건/NNG
등을	등/NNB+을/JKO
교과목으로	교과목/NNG+으로/JKB
하는	하/VV+는/ETM
이료재활과정을	이료재활과정/NNG+을/JKO
이해하고,	이해하/VV+고/EC+,/SP
배울	배우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
최소한의	최소한/NNG+의/JKG
교육과정인	교육과정/NNG+이/VCP+ㄴ/ETM
‘중학교·고등공민학교	‘/SL+중학교/NNG+·/SP+고등공민학교/NNG
이상	이상/NNG
졸업자’로	졸업자’/NNG+로/JKB
정한	정하/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
특수교육법	특수교육법/NNG
특수교육대상자는	특수교육대상자/NNG+는/JX
유치원·초등학교·중학교	유치원/NNG+·/SP+초등학교/NNG+·/SP+중학교/NNG
및	및/MAG
고등학교	고등학교/NNG
과정의	과정/NNG+의/JKG
교육이	교육/NNG+이/JKS
의무교육이라고	의무교육/NNG+이/VCP+라고/EC
정하고	정하/VV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
입법	입법/NNG
취지에	취지/NNG+에/JKB
반한다고	반하/VV+ㄴ다고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

인권위는	인권위/NNG+는/JX
복지부의	복지부/NNG+의/JKG
불수용	불수/NNG+용/XSN
입장에	입장/NNG+에/JKB
대해	대하/VV+여/EC
업무와	업무/NNG+와/JC
직접적	직접적/NNG
관련성이	관련성/NNG+이/JKS
없는	없/VA+는/ETM
학력	학력/NNG
기준으로	기준/NNG+으로/JKB
안마사	안마사/NNG
자격	자격/NNG
취득을	취득/NNG+을/JKO
제한하는	제한하/VV+는/ETM
것은	것/NNB+은/JX
불합리한	불합리하/VA+ㄴ/ETM
‘차별’의	‘/SL+차별/NNG+’/SL+의/JKG
소지가	소지/NNG+가/JKS
있다고	있/VA+다고/EC
강조했다	강조하/VV+였/EP+다/EC

인권위는	인권위/NNG+는/JX
"안마사라는	"/SS+안마사/NNG+이/VCP+라는/ETM
직업은	직업/NNG+은/JX
시각장애인이	시각장애인/NNG+이/JKS
우리	우리/NP
사회에서	사회/NNG+에서/JKB
정상적으로	정상적/NNG+으로/JKB
영위할	영위하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
거의	거의/MAG
유일한	유일하/VA+ㄴ/ETM
직업으로,	직업/NNG+으로/JKB+,/SP
시각장애인의	시각장애인/NNG+의/JKG
경우	경우/NNG
비장애인에	비장애인/NNG+에/JKB
비해	비하/VV+여/EC
교육받을	교육/NNG+받/VV+을/ETM
기회가	기회/NNG+가/JKS
부족하고	부족하/VA+고/EC
교육환경이	교육환경/NNG+이/JKS
열악해	열악하/VA+여/EC
중학교	중학교/NNG
졸업	졸업/NNG
이상의	이상/NNG+의/JKG
학력을	학력/NNG+을/JKO
기대하는	기대하/VV+는/ETM
것은	것/NNB+은/JX
현실적으로	현실적/NNG+으로/JKB
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“꼭	“/SN+꼭/NNG
학력제한이라는	학력제한/NNG+이/VCP+라는/ETM
진입규제방식이	진입규제방식/NNG+이/JKC
아니더라도	아니/VCN+더라도/EC
2년간의	2/SN+년/NNB+간/XSN+의/JKG
안마수련과정의	안마수련과정/NNG+의/JKG
이수	이수/NNG
관리	관리/NNG
강화를	강화/NNG+를/JKO
통해	통하/VV+여/EC
안마사의	안마사/NNG+의/JKG
전문성과	전문/NNG+성/XSN+과/JC
안마서비스의	안마서비스/NNG+의/JKG
질을	질/NNG+을/JKO
담보할	담보하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라면서	것/NNB+”/SL+이/VCP+라면서/EC
“안마사	“/SN+안마사/NNG
자격	자격/NNG
취득	취득/NNG
요건으로	요건/NNG+으로/JKB
중학교	중학교/NNG
졸업	졸업/NNG
이상의	이상/NNG+의/JKG
학력을	학력/NNG+을/JKO
일률적으로	일률적/NNG+으로/JKB
요구하는	요구하/VV+는/ETM
것은	것/NNB+은/JX
과도하다”고	과도하/VA+다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF
