‘가을철	‘/SL+가을철/NNG
소변에	소변/NNG+에/JKB
오염된	오염되/VV+ㄴ/ETM
물이나	물/NNG+이나/JC
토양,	토양/NNG+,/SP
음식물에	음식물/NNG+에/JKB
노출	노출/NNG
시	시/NNB
상처	상처/NNG
난	나/VV+ㄴ/ETM
피부를	피부/NNG+를/JKO
통해	통하/VV+여/EC
감염되고	감염되/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
신증후군출혈열은	신증후군출혈열/NNG+은/JX
설치류(쥐과)의	설치류/NNG+(/SS+쥐과/NNG+)/SS+의/JKG
타액,	타액/NNG+,/SP
소변,	소변/NNG+,/SP
분변이	분변/NNG+이/JKS
공기	공기/NNG
중	중/NNB
건조되어	건조되/VV+어/EC
사람의	사람/NNG+의/JKG
호흡기를	호흡기/NNG+를/JKO
통해	통하/VV+여/EC
감염된다	감염되/VV+ㄴ다/EF

질병관리본부는	질병관리본부/NNG+는/JX
"감염병	"/SS+감염병/NNG
모두	모두/MAG
감염	감염/NNG
초기에는	초기/NNG+에/JKB+는/JX
야외활동	야외활동/NNG
후	후/NNG
발열,	발열/NNG+,/SP
오한,	오한/NNG+,/SP
두통이	두통/NNG+이/JKS
있어	있/VA+어/EC
이러한	이러하/VA+ㄴ/ETM
증상이	증상/NNG+이/JKS
있을	있/VA+을/ETM
경우	경우/NNG
즉시	즉시/NNG
가까운	가깝/VA+ㄴ/ETM
의료기관을	의료기관/NNG+을/JKO
찾아	찾/VV+아/EC
진료	진료/NNG
받는	받/VV+는/ETM
것이	것/NNB+이/JKS
필요하다"고	필요하/VA+다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC
