<다운증후군ㆍ지적장애	</SS+다운증후군/NNG+ㆍ/SP+지적장애/NNG
밝혀냈다	밝혀내/VV+었/EP+다/EF

DSCR1은	DSCR/SL+1/SN+은/JX
염색체	염색체/NNG
21번에	21/SN+번/NNB+에/JKB
존재하는	존재하/VV+는/ETM
것으로	것/NNB+으로/JKB
다운증후군을	다운증후군/NNG+을/JKO
일으키는	일으키/VV+는/ETM
중심적인	중심적/NNG+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
유전자다	유전자/NNG+이/VCP+다/EF

다운증후군	다운증후군/NNG
환자는	환자/NNG+는/JX
수상돌기	수상돌기/NNG
가시가	가시/NNG+가/JKS
정상인보다	정상인/NNG+보다/JKB
훨씬	훨씬/MAG
크고,	크/VA+고/EC+,/SP
취약	취약/NNG
X-염색체	X/SL+-/SO+염색체/NNG
증후군	증후군/NNG
환자는	환자/NNG+는/JX
수상돌기	수상돌기/NNG
가시의	가시/NNG+의/JKG
숫자가	숫자/NNG+가/JKS
정상인보다	정상인/NNG+보다/JKB
많다고	많/VA+다고/EC
연구팀은	연구팀/NNG+은/JX
설명했다	설명하/VV+었/EP+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
DSCR1	DSCR/SL+1/SN
유전자를	유전자/NNG+를/JKO
제어해	제어하/VV+여/EC
수상돌기	수상돌기/NNG
가시의	가시/NNG+의/JKG
모양과	모양/NNG+과/JC
숫자를	숫자/NNG+를/JKO
조작하면	조작하/VV+면/EC
비정상적인	비정상적/NNG+이/VCP+ㄴ/ETM
수상돌기	수상돌기/NNG
가시의	가시/NNG+의/JKG
구조를	구조/NNG+를/JKO
정상인처럼	정상인/NNG+처럼/JKB
되돌릴	되돌리/VV+ㄹ/ETM
가능성이	가능성/NNG+이/JKS
있다고	있/VA+다고/EC
말했다	말하/VV+였/EP+다/EC

연구팀은	연구팀/NNG+은/JX
연구과정에서	연구과정/NNG+에서/JKB
취약	취약/NNG
X-염색체	X/SL+-/SO+염색체/NNG
증후군의	증후군/NNG+의/JKG
요인인	요인/NNG+이/VCP+ㄴ/ETM
fmr1	fmr/SL+1/SN
유전자와	유전자/NNG+와/JC
DSCR1	DSCR/SL+1/SN
유전자가	유전자/NNG+가/JKS
서로	서로/MAG
공동의	공동/NNG+의/JKG
분자적,	분자적/NNG+,/SP
생화학적	생화학/NNG+적/XSN
경로를	경로/NNG+를/JKO
사용한다는	사용하/VV+ㄴ다는/ETM
사실도	사실/NNG+도/JX
발견했다	발견하/VV+었/EP+다/EC

fmr1은	fmr/SL+1/SN+은/JX
취약	취약/NNG
X-염색체	X/SL+-/SO+염색체/NNG
증후군의	증후군/NNG+의/JKG
요인으로	요인/NNG+으로/JKB
이	이/MM
유전자에서	유전자/NNG+에서/JKB
생산되는	생산되/VV+는/ETM
FMRP	FMRP/SL
단백질이	단백질/NNG+이/JKS
모자라면	모자라/VV+면/EC
취약	취약/NNG
X-염색체	X/SL+-/SO+염색체/NNG
증후군이	증후군/NNG+이/JKS
생긴다	생기/VV+다/EF

민	민/NNP
교수는	교수/NNG+는/JX
"지적	"/SS+지적/NNG
장애는	장애/NNG+는/JX
완전히	완전히/MAG
회복될	회복되/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
정신	정신/NNG
질환이라고	질환/NNG+이/VCP+라고/EC
여겨지고	여기/VV+어/EC+지/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"그러나	"/SS+그러나/MAJ
지적	지적/NNG
장애에	장애/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분자,	분자/NNG+,/SP
세포학적	세포학/NNG+적/XSN
메커니즘에	메커니즘/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해는	이해/NNG+는/JX
이들	이/NP+들/XSN
장애를	장애/NNG+를/JKO
치료할	치료하/VV+ㄹ/ETM
방법을	방법/NNG+을/JKO
개발하는	개발하/VV+는/ETM
단초를	단초/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
기대했다	기대하/VV+였/EP+다/EC

이번	이번/NNG
연구는	연구/NNG+는/JX
'다운	'/SS+답/VA+ㄴ/ETM
증후군과	증후군/NNG+과/JC
취약	취약/NNG
X	X/SL
염색체	염색체/NNG
증후군의	증후군/NNG+의/JKG
지적	지적/NNG
장애	장애/NNG
분자	분자/NNG
기작	기작/NNG
규명'이란	규명/NNG+'/SS+이/VCP+란/ETM
제목으로	제목/NNG+으로/JKB
분자생물학	분자생물학/NNG
분야의	분야/NNG+의/JKG
학술지인	학술지/NNG+이/VCP+ㄴ/ETM
'엠보	'/SS+엠보/NNP
저널'	저널/NNG+'/SS
온라인	온라인/NNG
판에	판/NNB+에/JKB
4일	4/SN+일/NNB
오전	오전/NNG
4시(한국시간)	4/SN+시/NNB+(/SS+한국/NNP+시간/NNG+)/SS
게재됐다	게재되/VV+었/EP+다/EF

leeyoo@yna	leeyoo/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
