시설장애인	시설장애인/NNG
활동지원서비스가	활동지원서비스/NNG+가/JKS
이용	이용/NNG
제외	제외/NNG
대상이며,	대상/NNG+이/VCP+며/EC+,/SP
3년간	3/SN+년/NNB+간/XSN
부당지급급여로	부당지급급여/NNG+로/JKB
1천만원	1/SN+천만/NR+원/NNB
가량을	가량/XSN+을/JKO
환수한다는	환수하/VV+ㄴ다는/ETM
것	것/NNB

이씨가	이/NNP+씨/NNB+가/JKS
용인시로부터	용인시/NNP+로부터/JKB
받은	받/VV+은/ETM
부당이득	부당이득/NNG
징수	징수/NNG
통지서	통지/NNG+서/JKB

이	이/NNP
씨는	씨/NNB+는/JX
갑자기	갑자기/MAG
내려온	내려오/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
금액에	금액/NNG+에/JKB
큰	크/VA+ㄴ/ETM
충격을	충격/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

아무리	아무리/MAG
곱씹어도	곱씹/VV+어도/EC
억울하기만	억울하/VA+기/ETN+만/JX
했다	하/VX+였/EP+다/EF

뇌병변1급	뇌병변/NNG+1/SN+급/NNG
장애아	장애아/NNG
태희를	태희/NNG+를/JKO
키우며,	키우/VV+며/EC+,/SP
먹고	먹/VV+고/EC
사는	살/VV+는/ETM
게	것/NNB+이/JKS
우선이다	우선/NNG+이/VCP+다/EC
싶어	싶/VX+어/EC
용인에	용인/NNP+에/JKB
위치한	위치하/VV+ㄴ/ETM
시설에	시설/NNG+에/JKB
입소시킨	입소/NNG+시키/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
잘못된	잘못되/VV+ㄴ/ETM
건	것/NNB+ㄴ/JX
아니었다	아니/VCN+었/EP+다/EF

시설에서는	시설/NNG+에서/JKB+는/JX
1년에	1/SN+년/NNB+에/JKB
여름과	여름/NNG+과/JC
겨울	겨울/NNG
2~3주	2/SN+~/SO+3/SN+주/NNB
가정귀가를	가정귀가/NNG+를/JKO
시켜,	시키/VV+어/EC+,/SP
가족과	가족/NNG+과/JKB
함께	함께/MAG
보내도록	보내/VV+도록/EC
하고	하/VX+고/EC
있었지만,	있/VX+었/EP+지만/EC+,/SP
맞벌이를	맞벌이/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
이	이/NNP
씨	씨/NNB
부부로써는	부부/NNG+로써/JKB+는/JX
퇴근하기	퇴근하/VV+기/ETN
전까지	전/NNG+까지/JX
이곳	이곳/NP
저곳을	저곳/NP+을/JKO
전전하며	전전하/VV+며/EC
맡길	맡기/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없었다	없/VA+었/EP+다/EF

그러던	그러/VV+던/ETM
2009년	2009/SN+년/NNB
우연히	우연히/MAG
신문을	신문/NNG+을/JKO
보던	보/VV+던/ETM
중,	중/NNB+,/SP
‘장애인활동지원제도’를	‘/SN+장애인활동지원제도’/NNG+를/JKO
알게됐다	알/VV+게/EC+되/VV+었/EP+다/EF

태희가	태희/NNG+가/JKS
가정귀가	가정귀/NNG+가/JKS
했을	하/VV+였/EP+을/ETM
시,	시/NNG+,/SP
몇	몇/MM
시간동안	시간동안/NNG
돌봐줄	돌보/VV+아/EC+주/VX+ㄹ/ETM
보호자가	보호자/NNG+가/JKS
생겼기에	생기/VV+었/EP+기에/EC
이씨	이/NNP+씨/NNB
부부는	부부/NNG+는/JX
기뻐하며,	기뻐하/VV+며/EC+,/SP
시설	시설/NNG
관할	관할/NNG
읍사무소에	읍사무소/NNG+에/JKB
활동지원을	활동지원/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있을지	있/VA+을지/EC
문의했다	문의하/VV+였/EP+다/EC

하지만	하지만/MAJ
읍사무소	읍사무소/NNG
직원은	직원/NNG+은/JX
잘	잘/MAG
모르겠다며,	모르/VV+겠/EP+다며/EC+,/SP
시청에	시청/NNG+에/JKB
문의하라고	문의하/VV+라고/EC
했다	하/VV+였/EP+다/EC

시에	시/NNG+에/JKB
다시	다시/MAG
같은	같/VA+은/ETM
질문을	질문/NNG+을/JKO
하자	하/VV+자/EC
시의	시/NNG+의/JKG
답변은	답변/NNG+은/JX
“(활동지원)	“/SL+(/SS+활동지원/NNG+)/SS
가능하고,	가능하/VA+고/EC+,/SP
자세한건	자세한건/NNG
복지관에	복지/NNG+관/XSN+에/JKB
문의하라”였다	문의하/VV+라/EC+”이/VV+었/EP+다/EF

이후	이후/NNG
복지관에서도	복지/NNG+관/XSN+에서/JKB+도/JX
가능하다며,	가능하/VA+다며/EC+,/SP
“승인은	“/SL+승인/NNG+은/JX
용인시에서	용인시/NNP+에서/JKB
하고	하/VV+고/EC
활동지원은	활동지원/NNG+은/JX
(이	(/SS+이/NNP
씨가)거주하는	씨가/NNG+)/SS+거주하/VV+는/ETM
광명의	광명/NNG+의/JKG
중계기관을	중계기관/NNG+을/JKO
통해라”라는	통하/VV+여/EC+라”/VV+라는/ETM
답변까지	답변/NNG+까지/JX
받아냈다	받아내/VV+었/EP+다/EF

원하던	원하/VV+던/ETM
답변을	답변/NNG+을/JKO
받은	받/VV+은/ETM
이	이/NNP
씨는	씨/NNB+는/JX
읍사무소에	읍사무소/NNG+에/JKB
연락해	연락하/VV+여/EC
필요한	필요하/VA+ㄴ/ETM
서류를	서류/NNG+를/JKO
챙겨	챙기/VV+어/EC
활동지원제도를	활동지원제도/NNG+를/JKO
신청,	신청/NNG+,/SP
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
덕택에	덕택/NNG+에/JKB
가정귀가	가정귀/NNG+가/JKS
기간을	기간/NNG+을/JKO
편안하게	편안하/VA+게/EC
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

몇	몇/MM
년	년/NNB
전에는	전/NNG+에/JKB+는/JX
읍사무소에서	읍사무소/NNG+에서/JKB
‘활동보조를	‘/SN+활동보조/NNG+를/JKO
잘	잘/MAG
받고	받/VV+고/EC
있냐’는	있/VX+냐/EC+’/SL+는/JX
확인전화도	확인전화/NNG+도/JX
가끔	가끔/MAG
왔기에	오/VV+았/EP+기에/EC
아무런	아무런/MM
문제가	문제/NNG+가/JKS
없을	없/VA+을/ETM
거라	것/NNB+이/VCP+라/EC
생각했다	생각하/VV+였/EP+다/EC

그러나	그러나/MAJ
3년이	3/SN+년/NNB+이/JKS
지나서야	지나/VV+아서/EC+야/JX
날라	나르/VV+아/EC
온	오/VX+ㄴ/ETM
통지서에	통지서/NNG+에/JKB
아연실색할	아연실색하/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없었다	없/VA+었/EP+다/EF

이	이/NNP
씨는	씨/NNB+는/JX
이의신청서를	이의신청서/NNG+를/JKO
통해	통하/VV+여/EC
“용인시에서	“/SN+용인시/NNP+에서/JKB
가능하다고	가능하/VA+다고/EC
해서	하/VV+여서/EC
활동지원을	활동지원/NNG+을/JKO
신청한	신청하/VV+ㄴ/ETM
죄밖에	죄/NNG+밖에/JX
없다	없/VA+다/EC

서류	서류/NNG
심사시	심사시/NNG
승인을	승인/NNG+을/JKO
내지	내/VV+지/EC
말던지,	말/VX+던지/EC+,/SP
승인은	승인/NNG+은/JX
용인시가	용인시/NNP+가/JKS
내놓고	내놓/VV+고/EC
이제	이제/MAG
와서	오/VV+아서/EC
부정수급이라니	부정수급/NNG+이/VCP+라니/EC
너무	너무/MAG
어이가	어이/NNG+가/JKS
없다”며	없/VA+다/EC+”/VX+며/EC
“1천만원이	“/SL+1/SN+천만/NR+원/NNB+이/JKS
누구집	누구/NP+집/NNG
이름도	이름/NNG+도/JX
아니고	아니/VCN+고/EC
하루	하루/NNG
몇	몇/MM
만원	만/NR+원/NNB
벌려고	벌/VV+려고/EC
허덕거리며	허덕거리/VV+며/EC
사는데	살/VV+는데/EC
너무	너무/MAG
하는	하/VV+는/ETM
거	것/NNB
아니냐”고	아니/VCN+냐/EC+”/SN+고/JKQ
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
그는	그/NP+는/JX
“1월초에는	“/SL+1/SN+월초/NNB+에/JKB+는/JX
우리아이가	우리/NP+아이/NNG+가/JKS
방학인데,	방학/NNG+이/VCP+ㄴ데/EC+,/SP
이제는	이제/NNG+는/JX
어떻게	어떻/VA+게/EC
하나	하나/NR

어린아이가	어린아이/NNG+가/JKS
돌봐야	돌보/VV+아야/EC
하나	하/VX+나/EC
걱정스럽다	걱정스럽/VA+다/EF

얼마	얼마/NNG
전	전/NNG
누나가	누나/NNG+가/JKS
장애동생을	장애동생/NNG+을/JKO
돌보다	돌/NNG+보다/JKB
불이	불/NNG+이/JKS
나서	나서/VV+어/EC
참변을	참변/NNG+을/JKO
당하지	당하/VV+지/EC
않았냐”며	않/VX+았/EP+냐/EC+”/VX+며/EC
“항상	“/SL+항상/NNG
보호자의	보호자/NNG+의/JKG
손길이	손길/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
중증장애인인	중증장애인/NNG+이/VCP+ㄴ/ETM
우리	우리/NP
아이는	아이/NNG+는/JX
누구와	누구/NP+와/JC
겨울방학을	겨울방학/NNG+을/JKO
보내야	보내/VV+어야/EC
하냐”고	하/VX+냐/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

복지부	복지부/NNG
지침에	지침/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
현재	현재/MAG
활동지원제도	활동지원제도/NNG
제외대상은	제외대상/NNG+은/JX
장기요양급여를	장기요양급여/NNG+를/JKO
받는	받/VV+는/ETM
자,	자/NNB+,/SP
의료기관에	의료기관/NNG+에/JKB
30일	30/SN+일/NNB
이상	이상/NNG
입원	입원/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
자,	자/NNB+,/SP
교정시설	교정시설/NNG
또는	또는/MAG
치료감호시설에	치료감호시설/NNG+에/JKB
수용	수용/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
자	자/NNB
등이다	등/NNB+이/VCP+다/EC

그리고	그리고/MAJ
또	또/MAG
하나,	하나/NR+,/SP
국민기초생활보장법에	국민기초생활보장법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
보장시설	보장시설/NNG
입소자	입소자/NNG

그룹홈	그룹홈/NNG
거주	거주/NNG
장애인일	장애인일/NNG
경우,	경우/NNG+,/SP
시설내에서,	시설/NNG+내/NNB+에서/JKB+,/SP
주간보호시설	주간보호시설/NNG
이용	이용/NNG
장애인인	장애인/NNG+이/VCP+ㄴ/ETM
이용시간	이용시간/NNG
동안,	동안/NNG+,/SP
단기보호시설	단기보호시설/NNG
이용	이용/NNG
장애인은	장애인/NNG+은/JX
이용기간	이용기간/NNG
동안	동안/NNG
활동보조를	활동보조/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

이	이/MM
항목에	항목/NNG+에/JKB
포함되지	포함되/VV+지/EC
않은	않/VX+은/ETM
생활시설에	생활시설/NNG+에/JKB
생활하는	생활하/VV+는/ETM
태희의	태희/NNG+의/JKG
경우	경우/NNG
제외대상이	제외대상/NNG+이/JKS
분명하다	분명하/VA+다/EC

그러나	그러나/MAJ
활동보조를	활동보조/NNG+를/JKO
신청했을	신청하/VV+였/EP+을/ETM
시,	시/NNG+,/SP
누구도	누구/NP+도/JX
이씨에게	이/NNP+씨/NNB+에게/JKB
“제외대상”이라고	“/SN+제외대상”/NNG+이/VCP+라고/EC
말해준	말하/VV+여/EC+주/VX+ㄴ/ETM
이는	이/NNB+는/JX
없었다	없/VA+었/EP+다/EF

귀띔이라도	귀띔/NNG+이라도/JX
줬다면,	주/VV+었/EP+다면/EC+,/SP
이런	이런/MM
피해를	피해/NNG+를/JKO
당하지	당하/VV+지/EC
않았을	않/VX+았/EP+을/ETM
터	터/NNB

용인시	용인시/NNP
관계자는	관계자/NNG+는/JX
"복지부에서	"/SS+복지부/NNG+에서/JKB
부정수급자	부정수급/NNG+자/XSN
명단을	명단/NNG+을/JKO
조사하라고	조사하/VV+라고/EC
내려왔고	내려오/VV+았/EP+고/EC
통지서를	통지서/NNG+를/JKO
보낸거다	보내/VV+ㄴ거다/EC

절차대로	절차/NNG+대로/JX
했으며,	하/VV+였/EP+으며/EC+,/SP
서비스제공기관쪽에서도	서비스제공기관/NNG+쪽/NNB+에서/JKB+도/JX
시설	시설/NNG
입소한	입소하/VV+ㄴ/ETM
걸	것/NNB+ㄹ/JKO
알고	알/VV+고/EC
있었더라	있/VX+었/EP+더라/EC

활동보조인	활동보조인/NNG
같은	같/VA+은/ETM
경우는	경우/NNG+는/JX
아동에	아동/NNG+에/JKB
대해	대하/VV+여/EC
거의	거의/MAG
안다	알/VV+ㄴ다/EC

시설입소자인지	시설입소/NNG+자/XSN+이/VCP+ㄴ지/EC
알았다면	알/VV+았/EP+다면/EC
중계기관쪽에서	중계기관/NNG+쪽/NNB+에서/JKB
의논을	의논/NNG+을/JKO
했다던지	하/VV+였/EP+다던지/EC
해야되는데	하/VV+여야되는/ETM+데/NNB
계속	계속/MAG
서비스	서비스/NNG
제공이	제공/NNG+이/JKS
되고	되/VV+고/EC
있었던	있/VX+었/EP+던/ETM
거다"라며	것/NNB+이/VCP+다/EF+"/SS+라며/EC
"예전에	"/SS+예전/NNG+에/JKB
가능하다고	가능하/VA+다고/EC
한	한/MM
시청직원이	시청직원/NNG+이/JKS
누군지	누구/NP+이/VCP+ㄴ지/EC
모르겠고,	모르/VV+겠/EP+고/EC+,/SP
어떠한	어떠하/VA+ㄴ/ETM
사유인지	사유/NNG+이/VCP+ㄴ지/EC
구체적이지	구체적/NNG+이/VCP+지/EC
않다	않/VX+다/EC

모두	모두/MAG
연대책임이	연대책임/NNG+이/JKS
있지	있/VA+지/EC
않냐"고	않/VX+냐/EF+"/SS+고/JKQ
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
그는	그/NP+는/JX
"이의신청서가	"/SS+이의신청/NNG+서/XSN+가/JKS
얼마만큼	얼마/NNG+만큼/JX
감안될지	감안되/VV+ㄹ지/EC
모르겠는데	모르/VV+겠/EP+는데/EC
절차대로	절차대로/MAG
거쳐서	거치/VV+어서/EC
했고,	하/VV+였/EP+고/EC+,/SP
이의신청	이의신청/NNG
심의위원회가	심의위원회/NNG+가/JKS
개최되면	개최되/VV+면/EC
논의될	논의되/VV+ㄹ/ETM
예정"이라며	예정/NNG+"/SS+이/VCP+라며/EC
"시설입소자인걸	"/SS+시설입소/NNG+자/XSN+이/VCP+ㄴ걸/EC
알면서	알/VV+면서/EC
그냥	그냥/MAG
눈	눈/NNG
감아줄수	감/VV+아/EC+주/VX+ㄹ/ETM+수/NNB
있는건	있/VA+는/ETM+것/NNB+ㄴ/JX
아니지	아니/VCN+지/EC
않냐"고	않/VX+냐/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

일각에서는	일각/NNG+에서/JKB+는/JX
활동보조제외	활동보조제외/NNG
대상에	대상/NNG+에/JKB
시설	시설/NNG
장애인이	장애인/NNG+이/JKS
포함된다는	포함되/VV+ㄴ다는/ETM
자체가	자체/NNG+가/JKS
문제라는거다	문제/NNG+이/VCP+라는거다/EC

시설장애인이	시설장애인/NNG+이/JKS
시설	시설/NNG
밖에서	밖/NNG+에서/JKB
활동보조인을	활동보조인/NNG+을/JKO
통해	통하/VV+여/EC
기본적	기본적/NNG
사회생활은	사회생활/NNG+은/JX
누려야	누리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것	것/NNB

한	한/MM
장애인자립생활센터	장애인자립생활센터/NNG
관계자는	관계자/NNG+는/JX
“시설의	“/SN+시설/NNG+의/JKG
장애인은	장애인/NNG+은/JX
동물처럼	동물/NNG+처럼/JKB
갇혀	갇히/VV+어/EC
있어야	있/VX+어야/EC
하냐	하/VX+냐/EF

시설에서	시설/NNG+에서/JKB
활동보조를	활동보조/NNG+를/JKO
이용했다면	이용하/VV+였/EP+다면/EC
문제가	문제/NNG+가/JKC
되지만,	되/VV+지만/EC+,/SP
그	그/MM
외	외/NNB
밖에서	밖/NNG+에서/JKB
가족만나고	가족/NNG+만나/VV+고/EC
친구	친구/NNG
만나는	만나/VV+는/ETM
기본적	기본적/NNG
사회생활	사회생활/NNG
조차	조차/JX
하면	하/VV+면/EC
안되는	안되/VV+는/ETM
거냐”며	것/NNB+이/VCP+냐/EF+”/SN+며/EC
“시설장애인이	“/SL+시설장애인/NNG+이/JKS
바깥	바깥/NNG
세상에	세상/NNG+에/JKB
나올	나오/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지침이	지침/NNG+이/JKC
변경되야	변경되/VV+야/EC
한다”고	하/VX+ㄴ다”고/EC
피력했다	피력하/VV+었/EP+다/EC

또	또/MAG
다른	다른/MM
장애인센터	장애인센터/NNG
관계자는	관계자/NNG+는/JX
"시설의	"/SS+시설/NNG+의/JKG
장애인도	장애인/NNG+도/JX
인간답게	인간/NNG+답/XSA+게/EC
활동보조를	활동보조/NNG+를/JKO
이용해서	이용하/VV+여서/EC
밖으로	밖/NNG+으로/JKB
나올	나오/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조항이	조항/NNG+이/JKS
필요하다"고	필요하/VA+다/EF+"/SS+고/JKQ
전제하면서도	전제하/VV+면서/EC+도/JX
"시설에서	"/SS+시설/NNG+에서/JKB
악용할	악용하/VV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
조금은	조금/NNG+은/JX
우려스럽다	우려스럽/VA+다/EC

시설장애인이	시설장애인/NNG+이/JKS
아무	아무/MM
문제	문제/NNG
없이	없이/MAG
활동보조를	활동보조/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
자세한	자세하/VA+ㄴ/ETM
조항들을	조항/NNG+들/XSN+을/JKO
면밀히	면밀히/MAG
고려해야	고려하/VV+여야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
"시설	"/SS+시설/NNG
입소자는	입소자/NNG+는/JX
법령으로	법령/NNG+으로/JKB
제외대상이다	제외대상/NNG+이/VCP+다/EC

시설	시설/NNG
입소자가	입소자/NNG+가/JKS
활동보조	활동보조/NNG
받게	받/VV+게/EC
해달라는	하/VX+여/EC+달/VX+라는/ETM
의견은	의견/NNG+은/JX
가끔	가끔/MAG
들어오고	들어오/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알고있다"며	알/VV+고/EC+있/VX+다/EF+"/SS+며/EC
"구체적으로	"/SS+구체적/NNG+으로/JKB
검토는	검토/NNG+는/JX
하고	하/VV+고/EC
있지	있/VX+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC
