‘2013년	‘/SL+2013/SN+년/NNB
계층별로	계층/NNG+별/XSN+로/JKB
월	월/NNG
2만원	2/SN+만/NR+원/NNB
인상	인상/NNG
될	되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

장애인활동지원제도	장애인활동지원제도/NNG
대상	대상/NNG
확대=	확대/NNG+=/SW
더불어	더불/VV+어/EC
중증장애인의	중증장애인/NNG+의/JKG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
강화하기	강화하/VV+기/ETN
위해	위하/VV+여/EC
2급	2/SN+급/NNG
장애인까지	장애인/NNG+까지/JX
활동지원	활동지원/NNG
급여	급여/NNG
신청자격을	신청자격/NNG+을/JKO
부여하고	부여하/VV+고/EC
활동지원	활동지원/NNG
급여도	급여/NNG+도/JX
확대할	확대하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

재활치료서비스	재활치료서비스/NNG
4만명으로	4/SN+만/NR+명/NNB+으로/JKB
확대=	확대/NNG+=/SW
현재	현재/MAG
3만1,000명의	3/SN+만/NR+1,000/SN+명/NNB+의/JKG
장애아동에게	장애아동/NNG+에게/JKB
지원하고	지원하/VV+고/EC
있는	있/VX+는/ETM
장애아동	장애아동/NNG
재활치료	재활치료/NNG
서비스를	서비스/NNG+를/JKO
4만명으로	4/SN+만/NR+명/NNB+으로/JKB
확대할	확대하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

앞으로	앞/NNG+으로/JKB
소득	소득/NNG
100%	100/SN+%/SW
이상	이상/NNG
150%	150/SN+%/SW
이하	이하/NNG
가정의	가정/NNG+의/JKG
장애아동도	장애아동/NNG+도/JX
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
대상을	대상/NNG+을/JKO
확대해	확대하/VV+여/EC
높은	높/VA+은/ETM
재활치료	재활치료/NNG
비용으로	비용/NNG+으로/JKB
경제적	경제적/NNG
부담이	부담/NNG+이/JKS
경감될	경감되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다	기대되/VV+ㄴ다/EF

또한	또한/MAG
장기적으로	장기적/NNG+으로/JKB
소득기준을	소득기준/NNG+을/JKO
폐지,	폐지/NNG+,/SP
만18세	만/MM+18/SN+세/NNB
미만의	미만/NNG+의/JKG
모든	모든/MM
중증장애아동들이	중증장애아동/NNG+들/XSN+이/JKS
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
할	하/VX+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

장애인	장애인/NNG
편의제공	편의제공/NNG
기관	기관/NNG
늘어=	늘어/VV+=/SW
4월	4/SN+월/NNB
11일부터는	11/SN+일/NNB+부터는/JX
'장애인차별금지	'/SS+장애인차별금지/NNG
및	및/MAG
권리구제	권리구제/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률'	법률/NNG+'/SS
규정에	규정/NNG+에/JKB
의해	의하/VV+여/EC
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
편의제공	편의제공/NNG
기관이	기관/NNG+이/JKS
늘어난다	늘어나/VV+ㄴ다/EF

사립유치원,	사립유치원/NNG+,/SP
평생교육시설,	평생교육시설/NNG+,/SP
교육훈련기관	교육훈련기관/NNG
및	및/MAG
연수기관,	연수기관/NNG+,/SP
직업교육훈련기관,	직업교육훈련기관/NNG+,/SP
국·공립	국/NNG+·/SP+공립/NNG
어린이집,	어린이집/NNG+,/SP
법인이	법인/NNG+이/JKS
설치한	설치하/VV+ㄴ/ETM
어린이집은	어린이집/NNG+은/JX
장애인	장애인/NNG
교육	교육/NNG
및	및/MAG
정보통신·의사소통에	정보통신/NNG+·/SP+의사소통/NNG+에/JKB
있어	있/VA+어/EC
편의를	편의/NNG+를/JKO
제공해야	제공하/VV+여야/EC
한다	하/VX+ㄴ다/EF

또한	또한/MAG
상시	상시/NNG
30명	30/SN+명/NNB
이상	이상/NNG
근로자	근로자/NNG
작업장도	작업장/NNG+도/JX
장애인	장애인/NNG
고용	고용/NNG
및	및/MAG
정보통신·의사소통에	정보통신/NNG+·/SP+의사소통/NNG+에/JKB
있어	있/VA+어/EC
편의를	편의/NNG+를/JKO
제공해야	제공하/VV+여야/EC
하며,	하/VX+며/EC+,/SP
체육시설·의료기관	체육시설/NNG+·/SP+의료기관/NNG
및	및/MAG
모든	모든/MM
법인은	법인/NNG+은/JX
정보통신·의사소통에	정보통신/NNG+·/SP+의사소통/NNG+에/JKB
있어	있/VA+어/EC
장애유형별	장애유형별/NNG
편의를	편의/NNG+를/JKO
제공해야	제공하/VV+여야/EC
한다	하/VX+ㄴ다/EF

외국인도	외국인/NNG+도/JX
장애인	장애인/NNG
등록	등록/NNG
가능=	가능/NNG+=/SW
재외동포	재외동포/NNG
및	및/MAG
외국인도	외국인/NNG+도/JX
장애인	장애인/NNG
등록을	등록/NNG+을/JKO
통해	통하/VV+여/EC
복지서비스를	복지서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

장애인복지법	장애인복지법/NNG
제32조에	제/XPN+32/SN+조/NNB+에/JKB
따른	따르/VV+ㄴ/ETM
장애인	장애인/NNG
등록은	등록/NNG+은/JX
국내인에	국내인/NNG+에/JKB
한해	한/MM+해/NNB
가능했지만	가능하/VA+었/EP+지만/EC
1월	1/SN+월/NNB
27일부터는	27/SN+일/NNB+부터는/JX
재외동포	재외동포/NNG
및	및/MAG
외국인도	외국인/NNG+도/JX
국내인과	국내인/NNG+과/JKB
동일하게	동일하/VA+게/EC
장애인	장애인/NNG
등록을	등록/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

시설	시설/NNG
입소	입소/NNG
수급자,	수급자/NNG+,/SP
생계급여	생계급여/NNG
지급기준	지급기준/NNG
개선=	개선/NNG+=/SW
시설에	시설/NNG+에/JKB
입소한	입소하/VV+ㄴ/ETM
수급자에	수급자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
생계급여	생계급여/NNG
지급기준이	지급기준/NNG+이/JKS
개선된다	개선되/VV+ㄴ다/EF

소규모시설(30인	소규모시설/NNG+(/SS+30/SN+이/VCP+ㄴ/ETM
미만)에	미만/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
지원기준이	지원기준/NNG+이/JKS
신설되고	신설되/VV+고/EC
1인당	1/SN+인/NNG+당/XSN
월	월/NNG
지원	지원/NNG
금액은	금액/NNG+은/JX
9	9/SN

5%	5/SN+%/SW
인상된	인상되/VV+ㄴ/ETM
16만3,147원이	16/SN+만/NR+3,147/SN+원/NNB+이/JKS
지급된다	지급되/VV+ㄴ다/EF

근로소득	근로소득/NNG
중	중/NNB
30%	30/SN+%/SW
공제=	공제/NNG+=/SW
일반시장에	일반시장/NNG+에/JKB
취업한	취업하/VV+ㄴ/ETM
노인,	노인/NNG+,/SP
장애인	장애인/NNG
등	등/NNB
취약계층	취약계층/NNG
수급자의	수급자/NNG+의/JKG
근로소득	근로소득/NNG
중	중/NNB
30%를	30/SN+%/SW+를/JKO
공제	공제/NNG
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

기초생활보장	기초생활보장/NNG
확대=	확대/NNG+=/SW
실질적으로	실질적/NNG+으로/JKB
생활이	생활/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
빈곤층의	빈곤/NNG+층/XSN+의/JKG
보호를	보호/NNG+를/JKO
위해	위하/VV+여/EC
기초생활보장제도의	기초생활보장제도/NNG+의/JKG
선정기준을	선정기준/NNG+을/JKO
완화하고	완화하/VV+고/EC
수급자	수급/NNG+자/XSN
지원을	지원/NNG+을/JKO
확대하기로	확대하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

부양의무자의	부양의무자/NNG+의/JKG
재산기준을	재산기준/NNG+을/JKO
현실화해	현실화하/VV+여/EC
기본공제액을	기본공제액/NNG+을/JKO
기존	기존/NNG
1억3,300만원(대도시기준)에서	1/SN+억/NR+3,300/SN+만/NR+원/NNB+(/SS+대도시기준/NNG+)/SS+에서/JKB
2억2,800만원으로	2억/NR+2,800/SN+만/NR+원/NNB+으로/JKB
상향조정한다	상향/NNG+조정하/VV+ㄴ다/EF

최저생계비도	최저생계비/NNG+도/JX
4인가구	4/SN+인가구/NNG
기준	기준/NNG
149만5,550원에서	149/SN+만/NR+5,550/SN+원/NNB+에서/JKB
154만6,399원으로	154/SN+만/NR+6,399/SN+원/NNB+으로/JKB
3	3/SN

4%	4/SN+%/SW
인상된다	인상되/VV+ㄴ다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
현금급여액도	현금급여액/NNG+도/JX
122만4,457원(4인가구)에서	122/SN+만/NR+4,457/SN+원/NNB+(/SS+4/SN+인가구/NNG+)/SS+에서/JKB
126만6,089원으로	126만/NR+6,089/SN+원/NNB+으로/JKB
오른다	오르/VV+ㄴ다/EC

이외에도	이외/NNG+에/JKB+도/JX
수급자	수급/NNG+자/XSN
사망시에	사망/NNG+시/NNB+에/JKB
지급하는	지급하/VV+는/ETM
장제급여가	장제급여/NNG+가/JKS
물가인상수준	물가인상수준/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
50만원에서	50/SN+만/NR+원/NNB+에서/JKB
75만원으로	75/SN+만/NR+원/NNB+으로/JKB
상향된다	상향되/VV+ㄴ다/EF

건강보험	건강보험/NNG
혜택	혜택/NNG
확대=	확대/NNG+=/SW
중증질환	중증질환/NNG
치료에	치료/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
가계	가계/NNG
부담	부담/NNG
경감을	경감/NNG+을/JKO
위해	위하/VV+여/EC
고가	고가/NNG
항암제	항암제/NNG
및	및/MAG
중증질환자에	중증질환자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
초음파	초음파/NNG
검사의	검사/NNG+의/JKG
건강보험	건강보험/NNG
혜택을	혜택/NNG+을/JKO
확대한다	확대하/VV+ㄴ다/EF

간암(넥사바),	간암/NNG+(/SS+넥사바/NNP+)/SS+,/SP
위암	위암/NNG
약제(TS-1)에	약제/NNG+(/SS+TS/SL+-/SO+1/SN+)/SS+에/JKB
대해	대하/VV+여/EC
본인부담을	본인부담/NNG+을/JKO
기존	기존/NNG
50%에서	50/SN+%/SW+에서/JKB
5%로	5/SN+%/SW+로/JKB
낮추고,	낮추/VV+고/EC+,/SP
‘초음파	‘/SN+초음파/NNG
검사’도	검사/NNG+’/SL+도/JX
2013년	2013/SN+년/NNB
10월부터	10/SN+월/NNB+부터/JX
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

누리과정,	누리/NP+과정/NNG+,/SP
만3세	만/NR+3/SN+세/NNB
부터=	부터/NNG+=/SW
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
시행한	시행하/VV+ㄴ/ETM
‘5세	‘/SL+5/SN+세/NNB
누리과정’이	누리과정’/NNG+이/JKS
2013년	2013/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
만	만/MM
3~5세	3/SN+~/SO+5/SN+세/NNB
모든	모든/MM
어린이에게	어린이/NNG+에게/JKB
확대	확대/NNG
적용된다	적용되/VV+ㄴ다/EC

어린이집이나	어린이집/NNG+이나/JC
유치원	유치원/NNG
어느	어느/MM
기관에	기관/NNG+에/JKB
다녀도	다니/VV+어도/EC
공통의	공통/NNG+의/JKG
보육·교육과정을	보육/NNG+·/SP+교육과정/NNG+을/JKO
제공하며,	제공하/VV+며/EC+,/SP
부모의	부모/NNG+의/JKG
소득수준에	소득수준/NNG+에/JKB
관계없이	관계없이/MAG
모든	모든/MM
계층의	계층/NNG+의/JKG
유아에	유아/NNG+에/JKB
보육료와	보육/NNG+료/XSN+와/JC
유아학비를	유아학비/NNG+를/JKO
지원한다	지원하/VV+ㄴ다/EC

기초노령연금	기초노령연금/NNG
인상=	인상/NNG+=/SW
1월부터	1/SN+월/NNB+부터/JX
기초노령연금	기초노령연금/NNG
지급대상자	지급대상자/NNG
선정기준액이	선정기준액/NNG+이/JKS
배우자가	배우자/NNG+가/JKS
없는	없/VA+는/ETM
노인가구의	노인가구/NNG+의/JKG
경우	경우/NNG
월	월/NNG
소득인정액	소득인정액/NNG
83만원,	83/SN+만/NR+원/NNB+,/SP
배우자가	배우자/NNG+가/JKS
있는	있/VA+는/ETM
노인가구의	노인가구/NNG+의/JKG
경우	경우/NNG
월	월/NNG
소득인정액	소득인정액/NNG
132만8000원으로	132/SN+만/NR+8000/SN+원/NNB+으로/JKB
인상될	인상되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

소득	소득/NNG
산정시	산정시/NNP
근로소득	근로소득/NNG
공제금액도	공제금액/NNG+도/JX
43만원에서	43/SN+만/NR+원/NNB+에서/JKB
45만원으로	45/SN+만/NR+원/NNB+으로/JKB
확대될	확대되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

부분틀니까지	부분틀/VV+니/EC+까지/JX
확대=	확대/NNG+=/SW
지금까지	지금/NNG+까지/JX
완전틀니(2012년)에만	완전틀/VV+니/EF+(/SS+2012/SN+년/NNB+)/SS+에/JKB+만/JX
적용됐던	적용되/VV+었/EP+던/ETM
75세	75/SN+세/NNB
이상	이상/NNG
어르신들에	어르신/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
건강보험	건강보험/NNG
혜택이	혜택/NNG+이/JKS
2013년	2013/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
부분틀니까지(50%	부분틀/VV+니/EC+까지/JX+(/SS+50/SN+%/SW
본인부담)로	본인부담/NNG+)/SS+로/JKB
확대된다	확대되/VV+ㄴ다/EF

필수예방접종	필수예방접종/NNG
지원	지원/NNG
확대=	확대/NNG+=/SW
영유아	영유아/NNG
및	및/MAG
65세	65/SN+세/NNB
이상	이상/NNG
성인의	성인/NNG+의/JKG
필수예방접종	필수예방접종/NNG
국가지원이	국가지원/NNG+이/JKS
확대된다	확대되/VV+ㄴ다/EF

새해부터는	새해/NNG+부터는/JX
Hib(b형	Hib/SL+(/SS+b/SL+형/XSN
헤모필루스	헤모필루스/NNP
인플루엔자)	인플루엔자/NNG+)/SS
예방접종이	예방접종/NNG+이/JKS
필수예방접종	필수예방접종/NNG
항목으로	항목/NNG+으로/JKB
추가,	추가/NNG+,/SP
5천원	5/SN+천/NR+원/NNB
본인부담으로	본인부담/NNG+으로/JKB
예방접종을	예방접종/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
됐다	되/VV+었/EP+다/EC

65세	65/SN+세/NNB
이상	이상/NNG
성인은	성인/NNG+은/JX
폐렴구균	폐렴구균/NNG
감염	감염/NNG
예방을	예방/NNG+을/JKO
위해	위하/VV+여/EC
5월부터는	5/SN+월/NNB+부터는/JX
전국	전국/NNG
보건소에서	보건소/NNG+에서/JKB
무료로	무료/NNG+로/JKB
접종받을	접종/NNG+받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

의료급여	의료급여/NNG
희귀난치성질환	희귀난치성질환/NNG
인정대상이	인정대상/NNG+이/JKS
현재	현재/MAG
107개에서	107/SN+개/NNB+에서/JKB
내년부터	내년/NNG+부터/JX
144개로	144/SN+개/NNB+로/JKB
확대된다	확대되/VV+ㄴ다/EF

이외	이외/NNG
자발적으로	자발적/NNG+으로/JKB
건강증진을	건강증진/NNG+을/JKO
위해	위하/VV+여/EC
노력하는	노력하/VV+는/ETM
수급자에는	수급자/NNG+에/JKB+는/JX
건강생활유지비를	건강생활유지비/NNG+를/JKO
추가	추가/NNG
지원할	지원하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

PC방에서	PC/SL+방/NNG+에서/JKB
흡연	흡연/NNG
금지=	금지/NNG+=/SW
간접흡연	간접흡연/NNG
피해를	피해/NNG+를/JKO
방지하고	방지하/VV+고/EC
청소년	청소년/NNG
흡연	흡연/NNG
유인을	유인/NNG+을/JKO
효과적으로	효과적/NNG+으로/JKB
차단하기	차단하/VV+기/ETN
위해	위하/VV+여/EC
6월부터	6/SN+월/NNB+부터/JX
PC방에서의	PC/SL+방/NNG+에서/JKB+의/JKG
흡연이	흡연/NNG+이/JKS
금지된다	금지되/VV+ㄴ다/EF

이전에는	이전/NNG+에/JKB+는/JX
PC방을	PC/SL+방/NNG+을/JKO
흡연이	흡연/NNG+이/JKS
금지된	금지되/VV+ㄴ/ETM
구역과	구역/NNG+과/JC
가능한	가능하/VA+ㄴ/ETM
구역으로	구역/NNG+으로/JKB
구분해	구분하/VV+여/EC
금연구역을	금연구역/NNG+을/JKO
운영하도록	운영하/VV+도록/EC
했으나,	하/VX+였/EP+으나/EC+,/SP
6월부터는	6/SN+월/NNB+부터는/JX
종전	종전/NNG
금연구역이	금연구역/NNG+이/JKC
폐지되고	폐지되/VV+고/EC
PC방	PC/SL+방/NNG
전체에서	전체/NNG+에서/JKB
흡연이	흡연/NNG+이/JKS
전면	전면/NNG
금지된다	금지되/VV+ㄴ다/EF

단,	단/NNG+,/SP
흡연자의	흡연자/NNG+의/JKG
흡연권	흡연/NNG+권/XSN
보호를	보호/NNG+를/JKO
위해	위하/VV+여/EC
실내	실내/NNG
별도의	별도/NNG+의/JKG
흡연실을	흡연실/NNG+을/JKO
설치	설치/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

음식점	음식점/NNG
메뉴판,	메뉴판/NNG+,/SP
최종지불가격으로=	최종지불가격/NNG+으로/JKB+=/SW
1월부터	1/SN+월/NNB+부터/JX
음식점	음식점/NNG
메뉴판에	메뉴판/NNG+에/JKB
소비자가	소비자/NNG+가/JKS
실제로	실제로/MAG
내야하는	내/VV+어야/EC+하/VX+는/ETM
최종지불가격을	최종지불가격/NNG+을/JKO
표시하고,	표시하/VV+고/EC+,/SP
음식점에서	음식점/NNG+에서/JKB
판매하는	판매하/VV+는/ETM
식육을	식육/NNG+을/JKO
100그램당	100/SN+그램/NNG+당/XSN
가격으로	가격/NNG+으로/JKB
표시하는	표시하/VV+는/ETM
제도가	제도/NNG+가/JKS
시행된다	시행되/VV+ㄴ다/EF

면적	면적/NNG
150㎡이상(약	150/SN+㎡/SW+이상/NNG+(/SS+약/MM
45평)의	45/SN+평/NNB+)/SS+의/JKG
일반음식점	일반음식점/NNG
및	및/MAG
휴게음식점(8만여개)은	휴게음식점/NNG+(/SS+8/SN+만/NR+여/XSN+개/NNB+)/SS+은/JX
소비자가	소비자/NNG+가/JKS
업소	업소/NNG
출입	출입/NNG
전에	전/NNG+에/JKB
가격정보를	가격정보/NNG+를/JKO
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
외부에	외부/NNG+에/JKB
가격을	가격/NNG+을/JKO
표시해야	표시하/VV+여야/EC
한다	하/VX+ㄴ다/EF

이·미용서비스	이/NNP+·/SP+미용서비스/NNG
최종	최종/NNG
지불요금,	지불요금/NNG+,/SP
미리	미리/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
있도록=	있/VA+도록/EC+=/SW
이·미용서비스	이/NNP+·/SP+미용서비스/NNG
업소	업소/NNG
입장	입장/NNG
전에	전/NNG+에/JKB
확인하고	확인하/VV+고/EC
합리적으로	합리적/NNG+으로/JKB
선택할	선택하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
서비스별	서비스/NNG+별/XSN
최종	최종/NNG
지불요금을	지불요금/NNG+을/JKO
외부에	외부/NNG+에/JKB
표시하게	표시하/VV+게/EC
된다	되/VV+ㄴ다/EF

최종지불요금에는	최종지불요금/NNG+에/JKB+는/JX
재료비,	재료비/NNG+,/SP
봉사료,	봉사료/NNG+,/SP
부가가치세	부가가치세/NNG
등이	등/NNB+이/JKS
포함된다	포함되/VV+ㄴ다/EC
