전국	전국/NNG
관련해	관련하/VV+여/EC
“내년도	“/SN+내년도/NNG
복지	복지/NNG
예산은	예산/NNG+은/JX
근	근/MM
100조원에	100/SN+조/NR+원/NNB+에/JKB
달하는데	달하/VV+는데/EC
이중	이/MM+중/NNB
1%이	1/SN+%/SW+이/JKS
1조면	1/SN+조/NNB+이/VCP+면/EC
충분히	충분히/MAG
발달장애인법을	발달장애인법/NNG+을/JKO
시행할	시행하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EC+”/VX+고/EC
밝힌데	밝히/VV+ㄴ/ETM+데/NNB
이어	이어/MAG
“1%가	“/SL+1/SN+%/SW+가/JKS
많다면	많/VA+다면/EC
2014~2015년	2014/SN+~/SO+2015/SN+년/NNB
발달장애인법	발달장애인법/NNG
시행될	시행되/VV+ㄹ/ETM
때	때/NNG
5천억	5/SN+천억/NR
예산으로	예산/NNG+으로/JKB
시작할	시작하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해	하/VX+여/EC
달라”고	달라”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
이후	이후/NNG
매년	매년/MAG
2천억씩	2/SN+천억/NR+씩/XSN
증액해	증액하/VV+여/EC
2020년이	2020/SN+년/NNB+이/JKC
되면	되/VV+면/EC
1조원	1/SN+조/NR+원/NNB
예산을	예산/NNG+을/JKO
확보,	확보/NNG+,/SP
이들	이/NP+들/XSN
4가지	4/SN+가지/NNB
핵심사항들이	핵심사항/NNG+들/XSN+이/JKS
전격	전격/NNG
시행될	시행되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해달라고	하/VX+여/EC+달/VX+라고/EC
요구했다	요구하/VV+었/EP+다/EC

이는	이/NP+는/JX
최소한	최소한/NNG
국가가	국가/NNG+가/JKS
해야	하/VV+여야/EC
할	하/VX+ㄹ/ETM
책임이며	책임/NNG+이/VCP+며/EC
장애인부모들의	장애인부모/NNG+들/XSN+의/JKG
최소한의	최소한/NNG+의/JKG
요구라는	요구/NNG+이/VCP+라는/ETM
것이다	것/NNB+이/VCP+다/EC

현재	현재/MAG
발달장애인법안은	발달장애인법안/NNG+은/JX
장애인	장애인/NNG
비례대표로	비례대표/NNG+로/JKB
국회에	국회/NNG+에/JKB
진출한	진출하/VV+ㄴ/ETM
새누리당	새누리당/NNP
김정록	김정록/NNP
국회의원에	국회의원/NNG+에/JKB
의해	의하/VV+여/EC
1호	1/SN+호/NNB
법안으로	법안/NNG+으로/JKB
발의,	발의/NNG+,/SP
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
보건복지위원회	보건복지위원회/NNG
벌안심사소위원회에	벌안심사소위원회/NNG+에/JKB
상정됐다	상정되/VV+었/EP+다/EF

숙려기간을	숙려기간/NNG+을/JKO
거쳐	거치/VV+어/EC
오는	오/VX+는/ETM
11월	11/SN+월/NNB
보건복지위원회	보건복지위원회/NNG
법안심사소위원회에서	법안심사소위원회/NNG+에서/JKB
논의될	논의되/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

보건복지부	보건복지부/NNG
임채민	임채민/NNP
장관의	장관/NNG+의/JKG
치사를	치사/NNG+를/JKO
대독한	대독하/VV+ㄴ/ETM
장애인정책국	장애인정책국/NNG
송재찬	송재찬/NNP
국장은	국장/NNG+은/JX
“장애인정책	“/SN+장애인정책/NNG
분야를	분야/NNG+를/JKO
돌이켜	돌이키/VV+어/EC
보면	보/VX+면/EC
장애아동복지지원법이	장애아동복지지원법/NNG+이/JKS
제정돼	제정되/VV+어/EC
올	올/NNG
8월	8/SN+월/NNB
시행되는	시행되/VV+는/ETM
등	등/NNB
많은	많/VA+은/ETM
성과가	성과/NNG+가/JKS
있었다”고	있/VA+었/EP+다/EC+”/VV+고/EC
평가했다	평가하/VV+였/EP+다/EC

이어	이어/MAG
“발달장애인에	“/SN+발달장애인/NNG+에/JKB
맞춤형서비스를	맞춤형서비스/NNG+를/JKO
제공하고자	제공하/VV+고자/EC
7월	7/SN+월/NNB
발달장애인	발달장애인/NNG
지원계획을	지원계획/NNG+을/JKO
발표했지만	발표하/VV+였/EP+지만/EC
다소	다소/MAG
미흡해	미흡하/VA+여/EC
한다는	하/VV+ㄴ다는/ETM
것	것/NNB
잘	잘/MAG
알고	알/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“다만	“/SN+다만/MAG
발달장애인이	발달장애인/NNG+이/JKS
지역사회에서	지역사회/NNG+에서/JKB
자연스럽게	자연스럽/VA+게/EC
살아가는	살아가/VV+는/ETM
사회를	사회/NNG+를/JKO
실현하기	실현하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
첫	첫/MM
걸음을	걸음/NNG+을/JKO
내딛었다는데	내딛/VV+었/EP+다는데/EC
의미가	의미/NNG+가/JKS
있다	있/VA+다/EC
생각한다”고	생각하/VV+ㄴ다”고/EC
피력했다	피력하/VV+었/EP+다/EC

끝으로	끝/NNG+으로/JKB
“내년	“/SN+내년/NNG
장애인활동지원서비스	장애인활동지원서비스/NNG
대상을	대상/NNG+을/JKO
2급까지	2/SN+급/NNG+까지/JX
확대하고	확대하/VV+고/EC
장애아동	장애아동/NNG
활동지원	활동지원/NNG
급여시간도	급여시간/NNG+도/JX
확대할	확대하/VV+ㄹ/ETM
계획에	계획/NNG+에/JKB
있다”며	있/VA+다/EC+”/VX+며/EC
“내년	“/SN+내년/NNG
7월	7/SN+월/NNB
시행될	시행되/VV+ㄹ/ETM
성년후견제도도	성년/NNP+후견제도/NNG+도/JX
장애부모들이	장애부모/NNG+들/XSN+이/JKS
원하는	원하/VV+는/ETM
방향으로	방향/NNG+으로/JKB
나아갈	나아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
최선을	최선/NNG+을/JKO
다할	다하/VV+ㄹ/ETM
것“이라고	것/NNB+“/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

이날	이날/NNG
대회에	대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
새누리당	새누리당/NNP
김정록	김정록/NNP
국회의원과	국회의원/NNG+과/JC
이정선	이정선/NNP
전	전/MM
국회의원도	국회의원/NNG+도/JX
발달장애인법	발달장애인법/NNG
제정을	제정/NNG+을/JKO
위해	위하/VV+여/EC
힘쓸	힘쓰/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속했다	약속하/VV+었/EP+다/EC

한편	한편/MAG
이날	이날/NNG
대회에서는	대회/NNG+에서/JKB+는/JX
어려운	어렵/VA+ㄴ/ETM
환경에서	환경/NNG+에서/JKB
장애자녀를	장애자녀/NNG+를/JKO
훌륭히	훌륭히/MAG
양육하는	양육하/VV+는/ETM
부모들을	부모/NNG+들/XSN+을/JKO
격려하기	격려하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
장애인어버이상	장애인어버이상/NNG
시상식	시상식/NNG
등도	등/NNB+도/JX
함께	함께/MAG
진행됐다	진행되/VV+었/EP+다/EF

장한어버이상은	장한어버이상/NNP+은/JX
한국구화학교	한국구화학교/NNP
박석자,	박석자/NNP+,/SP
부산배화학교	부산배화학교/NNP
김영미,	김영미/NNP+,/SP
한빛맹학교	한빛맹학교/NNP
강영미,	강영미/NNP+,/SP
광주세광학교	광주세광/NNP+학교/NNG
김영미,	김영미/NNP+,/SP
수원서광학교	수원서광학교/NNP
여취미,	여취미/NNG+,/SP
한국장애인부모회	한국/NNP+장애인부모회/NNG
경기도지회	경기도지회/NNP
구춘화씨	구춘화/NNP+씨/NNB
등	등/NNB
10명에	10/SN+명/NNB+에/JKB
주어졌다	주어지/VV+었/EP+다/EF

또한	또한/MAG
동성콘크리트공업	동성콘크리트공업/NNP
우희동	우희동/NNP
부사장,	부사장/NNG+,/SP
광주선명학교	광주선명학교/NNP
정영진	정영진/NNP
학교운영위원장,	학교운영위원장/NNG+,/SP
한국장애인부모회	한국/NNP+장애인부모회/NNG
이기홍	이기홍/NNP
고양시지부자문위원장	고양시/NNP+지부자문위원장/NNG
등	등/NNB
9명에	9/SN+명/NNB+에/JKB
감사패가	감사패/NNG+가/JKS
전달됐다	전달되/VV+었/EP+다/EF
