서울시,	서울시/NNP+,/SP
공동생활	공동생활/NNG
가정	가정/NNG
175개소	175/SN+개소/NNB
운영	운영/NNG
등	등/NNB
장애인	장애인/NNG
복지시설	복지시설/NNG
운영	운영/NNG
및	및/MAG
기능보강에는	기능보강/NNG+에/JKB+는/JX
1,880억원이	1,880/SN+억/NR+원/NNB+이/JKS
투입된다	투입되/VV+ㄴ다/EF

장애수당(46,278명),	장애수당/NNG+(/SS+46,278/SN+명/NNB+)/SS+,/SP
중증장애연금(46,000명)	중증장애연금/NNG+(/SS+46,000/SN+명/NNB+)/SS
지급과	지급/NNG+과/JC
중증장애인	중증장애인/NNG
활동보조(11,920명)	활동보조/NNG+(/SS+11,920/SN+명/NNB+)/SS
지원	지원/NNG
등	등/NNB
장애인	장애인/NNG
자립생활	자립생활/NNG
지원	지원/NNG
및	및/MAG
사회참여	사회참여/NNG
확대를	확대/NNG+를/JKO
위해서는	위하/VV+여서/EC+는/JX
2,844억원이	2,844/SN+억/NR+원/NNB+이/JKS
편성됐다	편성되/VV+었/EP+다/EF

저상버스	저상버스/NNG
2,181대와	2,181/SN+대/NNB+와/JC
장애인콜택시	장애인콜택시/NNG
410대	410/SN+대/NNB
운영을	운영/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
예산으로는	예산/NNG+으로/JKB+는/JX
646억원이	646/SN+억/NR+원/NNB+이/JKS
반영돼	반영되/VV+어/EC
있다	있/VX+다/EF
