시설장애인	시설장애인/NNG
순으로	순/XSN+으로/JKB
답했다	답하/VV+였/EP+다/EF

조사를	조사/NNG+를/JKO
시행한	시행하/VV+ㄴ/ETM
조한진	조한진/NNP
대구대	대구대/NNP
사회복지학과	사회복지학과/NNG
교수는	교수/NNG+는/JX
"현행	"/SS+현행/NNG
장애인	장애인/NNG
복지법은	복지법/NNG+은/JX
여전히	여전히/MAG
장애인을	장애인/NNG+을/JKO
사회로부터	사회/NNG+로부터/JKB
격리·보호하는	격리/NNG+·/SP+보호하/VV+는/ETM
'시설수용'	'/SS+시설수용/NNG+'/SS
중심에	중심/NNG+에/JKB
머물러	머무르/VV+어/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"'탈	"'/SS+탈/XPN
시설-자립생활'	시설/NNG+-/SO+자립생활/NNG+'/SS
권리	권리/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지원정책으로	지원정책/NNG+으로/JKB
장애인	장애인/NNG
복지패러다임을	복지패러다/NNG+이/VCP+ㅁ/ETN+을/JKO
전환할	전환하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

남찬섭	남찬섭/NNP
동아대	동아대/NNP
사회복지학과	사회복지학과/NNG
교수는	교수/NNG+는/JX
"현재	"/SS+현재/MAG
장애인	장애인/NNG
주거정책은	주거정책/NNG+은/JX
소득기준에	소득기준/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
배분	배분/NNG
원칙만	원칙/NNG+만/JX
기준으로	기준/NNG+으로/JKB
할	하/VV+ㄹ/ETM
뿐	뿐/NNB
장애인의	장애인/NNG+의/JKG
주거	주거/NNG
특성과	특성/NNG+과/JC
욕구를	욕구/NNG+를/JKO
수렴하는	수렴하/VV+는/ETM
정책이	정책/NNG+이/JKS
미흡하다"며	미흡하/VA+다/EF+"/SS+며/EC
"특히	"/SS+특히/MAG
가구구성	가구구성/NNG
및	및/MAG
장애유형에	장애유형/NNG+에/JKB
따라	따르/VV+아/EC
어려움이	어려움/NNG+이/JKS
달라	다르/VA+아/EC
이를	이/NP+를/JKO
고려한	고려하/VV+ㄴ/ETM
장애인주거지원서비스	장애인주거지원서비스/NNG
도입이	도입/NNG+이/JKS
필요하다"고	필요하/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

인권위는	인권위/NNG+는/JX
국가	국가/NNG
차원에서	차원/NNG+에서/JKB
시설	시설/NNG
생활장애인	생활장애인/NNG
인권실태와	인권실태/NNG+와/JC
자립생활	자립생활/NNG
서비스	서비스/NNG
체계에	체계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정확한	정확하/VA+ㄴ/ETM
진단과	진단/NNG+과/JC
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
자립생활	자립생활/NNG
기반구축을	기반구축/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
종합적	종합적/NNG
대책을	대책/NNG+을/JKO
마련하는	마련하/VV+는/ETM
것이	것/NNB+이/JKS
필요하다는	필요하/VA+다는/ETM
판단하에	판단/NNG+하/XSN+에/JKB
이번	이번/NNG
조사와	조사/NNG+와/JC
'지역사회	'/SS+지역사회/NNG
정착을	정착/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장애인	장애인/NNG
정책	정책/NNG
현황	현황/NNG
및	및/MAG
문제점	문제점/NNG
실태조사'	실태조사/NNG+'/SS
등을	등/NNB+을/JKO
했다	하/VV+였/EP+다/EF

인권위는	인권위/NNG+는/JX
이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
18일	18/SN+일/NNB
서울	서울/NNP
중구	중구/NNG
프레지던트호텔에서	프레지던트호텔/NNP+에서/JKB
발표·토론회를	발표/NNG+·/SP+토론회/NNG+를/JKO
여는	열/VV+는/ETM
한편	한편/NNG
내년에는	내년/NNG+에/JKB+는/JX
'장애인의	'/SS+장애인/NNG+의/JKG
사회통합과	사회통합/NNG+과/JC
자립생활	자립생활/NNG
촉진을	촉진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국가보고서'를	국가보고서/NNG+'/SS+를/JKO
펴낼	펴내/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

chomj@yna	chomj/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
