"턱	"/SS+턱/NNG
“이에	“/SL+이/NP+에/JKB
대해	대하/VV+여/EC
자세히	자세히/MAG
살펴보겠다”라고	살펴보/VV+겠/EP+다”라고/EC
답변했다	답변하/VV+였/EP+다/EF

김	김/NNP
의원은	의원/NNG+은/JX
또한	또한/MAG
“장애인의	“/SL+장애인/NNG+의/JKG
생활환경	생활환경/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인복지시설	‘/SL+장애인복지시설/NNG
기능보강사업’에	기능보강사업’/NNG+에/JKB
1억	1/SN+억/NR
7백만원의	7/SN+백만/NR+원/NNB+의/JKG
불용액이	불용액/NNG+이/JKS
발생했다”면서	발생하/VV+였/EP+다/EC+”/VV+면서/EC
“이는	“/SL+이/VCP+는/ETM
지자체에서	지자체/NNG+에서/JKB
매칭펀드로	매칭펀드/NNG+로/JKB
운영되는	운영되/VV+는/ETM
장애인시설	장애인시설/NNG
예산을	예산/NNG+을/JKO
부담하기	부담하/VV+기/ETN
어려워	어렵/VA+어/EC
신청을	신청/NNG+을/JKO
거절하고	거절하/VV+고/EC
있기	있/VX+기/ETN
때문”이라고	때문/NNB+”/SL+이/VCP+라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

김정록	김정록/NNP
의원이	의원/NNG+이/JKS
밝힌	밝히/VV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
서울	서울/NNP
28곳,	28/SN+곳/NNG+,/SP
경기	경기/NNP
60곳,	60/SN+곳/NNG+,/SP
인천은	인천/NNP+은/JX
32곳	32/SN+곳/NNG
등으로	등/NNB+으로/JKB
기능보강시설이	기능보강시설/NNG+이/JKS
많지만	많/VA+지만/EC
재정자립도가	재정자립도/NNG+가/JKS
낮은	낮/VA+은/ETM
전북은	전북/NNP+은/JX
3곳,	3/SN+곳/NNG+,/SP
전남은	전남/NNP+은/JX
6곳으로	6/SN+곳/NNG+으로/JKB
지역별	지역/NNG+별/XSN
편차가	편차/NNG+가/JKS
매우	매우/MAG
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

이에	이/NP+에/JKB
김	김/NNP
의원은	의원/NNG+은/JX
“앞으로	“/SL+앞/NNG+으로/JKB
지역별	지역/NNG+별/XSN
매칭펀드	매칭펀드/NNG
비율에	비율/NNG+에/JKB
차등을	차등/NNG+을/JKO
둔다든지,	두/VV+ㄴ다/EC+든지/JX+,/SP
조정할	조정하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”라고	있/VA+다”라고/EC
주장했다	주장하/VV+였/EP+다/EC

특히	특히/MAG
2008년	2008/SN+년/NNB
감사원	감사원/NNG
감사결과	감사결과/NNG
권고	권고/NNG
중	중/NNB
‘장애인	‘/SL+장애인/NNG
운영사업은	운영사업/NNG+은/JX
지역적으로	지역적/NNG+으로/JKB
편중되어	편중되/VV+어/EC
있고,	있/VX+고/EC+,/SP
특정	특정/NNG
지자체의	지자체/NNG+의/JKG
사무로	사무/NNG+로/JKB
보기	보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
점이	점/NNG+이/JKS
있어	있/VA+어/EC
지방이양사업에서	지방이양사업/NNG+에서/JKB
제외되어야	제외되/VV+어야/EC
한다’는	하/VX+ㄴ다/EF+’/SL+는/JX
내용을	내용/NNG+을/JKO
밝히며,	밝히/VV+며/EC+,/SP
“장애인시설	“/SL+장애인시설/NNG
지원사업은	지원사업/NNG+은/JX
정부가	정부/NNG+가/JKS
책임지고	책임지/VV+고/EC
관리할	관리하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”라고	있/VA+다”라고/EC
강조했다	강조하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
임채민	임채민/NNP
복지부장관은	복지부장관/NNG+은/JX
“김	“/SN+김/NNP
의원님의	의원/NNG+님/XSN+의/JKG
지적에	지적/NNG+에/JKB
공감한다	공감하/VV+ㄴ다/EF

지방으로	지방/NNG+으로/JKB
이향	이향/NNG
된	되/VV+ㄴ/ETM
후	후/NNG
문제가	문제/NNG+가/JKS
더	더/MAG
발생한	발생하/VV+ㄴ/ETM
부분이	부분/NNG+이/JKS
있다”라고	있/VA+다”라고/EC
답변하며	답변하/VV+며/EC
“장기방향에	“/SN+장기방향/NNG+에/JKB
맞춰	맞추/VV+어/EC
2014년	2014/SN+년/NNB
분권교부세	분권교부세/NNG
사업을	사업/NNG+을/JKO
재검토하는	재검토하/VV+는/ETM
등	등/NNB
이	이/MM
문제를	문제/NNG+를/JKO
반드시	반드시/MAG
짚고	짚/VV+고/EC
넘어가겠다”라고	넘어가/VV+겠/EP+다”라고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
김	김/NNP
의원은	의원/NNG+은/JX
‘장애인시설	‘/SL+장애인시설/NNG
기능보강	기능보강/NNG
단가’에	단가’/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제점에	문제점/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
지적했다	지적하/VV+였/EP+다/EF

김	김/NNP
의원은	의원/NNG+은/JX
“지난해	“/SL+지난해/NNG
장애인시설	장애인시설/NNG
기능보강	기능보강/NNG
단가는	단가/NNG+는/JX
제곱미터당	제곱미터당/NNP
114만	114/SN+만/NR
9천원으로,	9/SN+천/NR+원/NNB+으로/JKB+,/SP
국토해양부에서	국토해양부/NNP+에서/JKB
고시한	고시하/VV+ㄴ/ETM
제곱미터(㎡)	제곱미터/NNB+(/SS+㎡/SW+)/SS
당	당/NNG
표준건축비	표준건축비/NNG
162만	162/SN+만/NR
7천원은	7/SN+천/NR+원/NNB+은/JX
물론	물론/MAG
일반청사(167만원),	일반청사/NNG+(/SS+167/SN+만/NR+원/NNB+)/SS+,/SP
경찰서	경찰서/NNG
161만원,	161/SN+만/NR+원/NNB+,/SP
병원	병원/NNG
194만원,	194/SN+만/NR+원/NNB+,/SP
전시시설	전시시설/NNG
(255만원)	(/SS+255/SN+만/NR+원/NNB+)/SS
등	등/NNB
공공기관과	공공기관/NNG+과/JC
비교해	비교하/VV+여/EC
최소	최소/NNG
단위”라고	단위”/NNG+이/VCP+라고/EC
강하게	강하/VA+게/EC
비판했다	비판하/VV+였/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“낮은	“/SL+낮/VA+은/ETM
단가로	단가/NNG+로/JKB
인해	인하/VV+여/EC
영세한	영세하/VA+ㄴ/ETM
건축업자들이	건축업자/NNG+들/XSN+이/JKS
건축비	건축비/NNG
단가를	단가/NNG+를/JKO
맞추기	맞추/VV+기/ETN
위해	위하/VV+여/EC
질이	질/NNG+이/JKS
낮은	낮/VA+은/ETM
건축자재	건축자재/NNG
등을	등/NNB+을/JKO
사용하여	사용하/VV+여/EC
부실공사가	부실공사/NNG+가/JKS
발생하고	발생하/VV+고/EC
있고,	있/VX+고/EC+,/SP
전자공개입찰에도	전자공개입찰/NNG+에/JKB+도/JX
많은	많/VA+은/ETM
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다”라고	있/VX+다”라고/EC
비판하며,	비판하/VV+며/EC+,/SP
“장애인	“/SL+장애인/NNG
편의시설	편의시설/NNG
설치	설치/NNG
등에	등/NNB+에/JKB
더	더/MAG
많은	많/VA+은/ETM
건축비가	건축비/NNG+가/JKS
소요되는	소요되/VV+는/ETM
장애인시설에	장애인시설/NNG+에/JKB
현실적인	현실적/NNG+이/VCP+ㄴ/ETM
기능보강	기능보강/NNG
건축단가를	건축단가/NNG+를/JKO
반영하는	반영하/VV+는/ETM
것을	것/NNB+을/JKO
검토할	검토하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”라고	있/VA+다”라고/EC
제안했다	제안하/VV+였/EP+다/EC

임	임/NNP
장관은	장관/NNG+은/JX
“정부	“/SL+정부/NNG
내에서	내/NNB+에서/JKB
장애인시설	장애인시설/NNG
건축	건축/NNG
단가	단가/NNG
문제를	문제/NNG+를/JKO
제기할	제기하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
답했다	답하/VV+였/EP+다/EF
