‘청각장애인	‘/SL+청각장애인/NNG
차량	차량/NNG
운전	운전/NNG
시	시/NNG
장애상태에	장애상태/NNG+에/JKB
따라	따르/VV+아/EC
운전하는	운전하/VV+는/ETM
자동차에	자동차/NNG+에/JKB
청각장애인	청각장애인/NNG
표지와	표지/NNG+와/JC
충분한	충분하/VA+ㄴ/ETM
시야를	시야/NNG+를/JKO
확보할	확보하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
볼록거울을	볼록거울/NNP+을/JKO
부착하고	부착하/VV+고/EC
있다	있/VX+다/EC

도로교통법에	도로교통법/NNG+에/JKB
따라	따르/VV+아/EC
청각장애인의	청각장애인/NNG+의/JKG
경우	경우/NNG
가로세로	가로세로/NNG
13cm의	13/SN+cm/SL+의/JKG
청색바탕에	청색바탕/NNG+에/JKB
백색야광의	백색야광/NNG+의/JKG
‘귀’	‘/SL+귀’/NNG
그림이	그림/NNG+이/JKS
그려진	그리/VV+어/EC+지/VX+ㄴ/ETM
표지를	표지/NNG+를/JKO
차량	차량/NNG
뒷면	뒷면/NNG
유리	유리/NNG
좌측상단에	좌측상단/NNG+에/JKB
부착하도록	부착하/VV+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

현행	현행/NNG
장애인자동차	장애인자동차/NNG
표지는	표지/NNG+는/JX
장애	장애/NNG
등록시	등록/NNG+시/NNB
안내받고,	안내/NNG+받/VV+고/EC+,/SP
읍·면·동	읍/NNG+·/SP+면/NNG+·/SP+동/NNG
주민센터를	주민센터/NNG+를/JKO
통해	통하/VV+여/EC
교부	교부/NNG
받고	받/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
청각장애인	청각장애인/NNG
표지는	표지/NNG+는/JX
별도의	별도/NNG+의/JKG
발급기관이	발급기관/NNG+이/JKS
정해져있지	정하/VV+여/EC+지/VX+어/EC+있/VX+지/EC
않아	않/VX+아/EC
그동안	그동안/NNG
청각장애인은	청각장애인/NNG+은/JX
스스로	스스로/MAG
표지를	표지/NNG+를/JKO
제작해	제작하/VV+여/EC
부착해왔고,	부착하/VV+여/EC+오/VX+았/EP+고/EC+,/SP
대부분의	대부분/NNG+의/JKG
청각장애인들은	청각장애인/NNG+들/XSN+은/JX
별도의	별도/NNG+의/JKG
표지	표지/NNG
를	를/JKO
부착해야	부착하/VV+여야/EC
하는	하/VX+는/ETM
의무에	의무/NNG+에/JKB
대해	대하/VV+여/EC
알지	알/VV+지/EC
못했다	못하/VX+였/EP+다/EC

이로	이/NP+로/JKB
인해	인하/VV+여/EC
각종	각종/NNG
교통사고	교통사고/NNG
발생시	발생/NNG+시/NNB
의사소통	의사소통/NNG
등의	등/NNB+의/JKG
어려움으로	어려움/NNG+으로/JKB
본인의	본인/NNG+의/JKG
과실로	과실/NNG+로/JKB
판결	판결/NNG
받는	받/VV+는/ETM
불이익을	불이익/NNG+을/JKO
당하는	당하/VV+는/ETM
경우도	경우/NNG+도/JX
있었다	있/VA+었/EP+다/EF

이와	이/NP+와/JKB
관련	관련/NNG
정책솔루션은	정책솔루션/NNG+은/JX
“청각장애인의	“/SN+청각장애인/NNG+의/JKG
안전운전을	안전운전/NNG+을/JKO
담보	담보/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
표지발급을	표지발급/NNG+을/JKO
즉각적으로	즉각적/NNG+으로/JKB
수용해준	수용하/VV+여/EC+주/VX+ㄴ/EF
경찰청의	경찰청/NNG+의/JKG
조치에	조치/NNG+에/JKB
대해	대하/VV+여/EC
환영의	환영/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝힌다”며	밝히/VV+ㄴ다/EC+”/VX+며/EC
“향후	“/SN+향후/NNG
청각장애인을	청각장애인/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
수많은	수많/VA+은/ETM
교통약자들이	교통약자/NNG+들/XSN+이/JKS
차량이용에	차량이용/NNG+에/JKB
불편을	불편/NNG+을/JKO
겪지	겪/VV+지/EC
않도록	않/VX+도록/EC
각종	각종/NNG
불합리한	불합리하/VA+ㄴ/ETM
제도개선에	제도개선/NNG+에/JKB
보다	보다/MAG
적극적으로	적극적/NNG+으로/JKB
노력해줄	노력하/VV+여/EC+주/VX+ㄹ/ETM
것”을	것/NNB+”/SL+을/JKO
당부했다	당부하/VV+였/EP+다/EC

장애	장애/NNG
관련	관련/NNG
제도	제도/NNG
개선이	개선/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
사례들은	사례/NNG+들/XSN+은/JX
정책솔루션	정책솔루션/NNG
사무국(☏02-783-0067,	사무국/NNG+(/SS+☏/SL+02/SN+-/SO+783/SN+-/SO+0067/SN+,/SP
fax02-783-0069)에	fax/SL+02/SN+-/SO+783/SN+-/SO+0069/SN+)/SS+에/JKB
제안·문의할	제안/NNG+·/SP+문의하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

?	?/SF
