480만	480/SN+만/NR
컸다	크/VA+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
경남	경남/NNP
함안군	함안군/NNP
동사	동사/NNG
사건	사건/NNG
이후	이후/NNG
죽음에	죽음/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
끔찍한	끔찍하/VA+ㄴ/ETM
악몽이	악몽/NNG+이/JKS
다시	다시/MAG
한	한/MM
번	번/NNB
재현된	재현되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

뇌병변장애인	뇌병변장애/NNG+이/VCP+ㄴ/ETM
김주영	김주영/NNP
활동가는	활동가/NNG+는/JX
10월	10/SN+월/NNB
활동보조인인	활동보조인/NNG+이/VCP+ㄴ/ETM
퇴근한	퇴근하/VV+ㄴ/ETM
시간에	시간/NNG+에/JKB
발생한	발생하/VV+ㄴ/ETM
화마에	화마/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
질식사했다	질식사하/VV+였/EP+다/EC

그녀	그녀/NP
뿐만이	뿐만/JX+이/JKC
아니었다	아니/VCN+었/EP+다/EF

그녀가	그녀/NP+가/JKS
사망하기	사망하/VV+기/ETN
한달	한/MM+달/NNB
전,	전/NNG+,/SP
9월	9/SN+월/NNB
근육장애인	근육장애/NNG+이/VCP+ㄴ/ETM
허정석(30세)씨가	허정석/NNP+(/SS+30/SN+세/NNB+)/SS+씨/NNB+가/JKS
활동보조인이	활동보조인/NNG+이/JKS
퇴근한	퇴근하/VV+ㄴ/ETM
뒤	뒤/NNG
인공호흡기가	인공호흡기/NNG+가/JKS
빠져	빠지/VV+어/EC
숨지는	숨지/VV+는/ETM
사건이	사건/NNG+이/JKS
발생했다	발생하/VV+였/EP+다/EC

더욱이	더욱이/MAG
그녀가	그녀/NP+가/JKS
목숨을	목숨/NNG+을/JKO
잃은	잃/VV+은/ETM
몇일	몇/MM+일/NNB
뒤	뒤/NNG
발생한	발생하/VV+ㄴ/ETM
파주	파주/NNP
장애남매	장애/NNP+남매/NNG
화재사건으로	화재사건/NNG+으로/JKB
남매의	남매/NNG+의/JKG
부모들은	부모/NNG+들/XSN+은/JX
두	두/MM
자녀를	자녀/NNG+를/JKO
가슴속에	가슴속/NNG+에/JKB
묻어야	묻/VV+어야/EC
했다	하/VX+였/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
죽음에	죽음/NNG+에/JKB
장애인들은	장애인/NNG+들/XSN+은/JX
'다음은	'/SS+다음/NNG+은/JX
내가	내/NP+가/JKC
되지	되/VV+지/EC
않을까?'라는	않/VX+을까/EF+?/SF+'/SS+이/VCP+라는/ETM
불안한	불안하/VA+ㄴ/ETM
마음	마음/NNG
뿐이다	뿐/NNB+이/VCP+다/EC

최중증	최중증/NNP
독거장애인이	독거장애인/NNG+이/JKS
추가급여를	추가급여/NNG+를/JKO
적용	적용/NNG
한다	하/VV+ㄴ다/EC
해도	하/VV+여도/EC
월	월/NNG
최대	최대/NNG
183시간,	183/SN+시간/NNB+,/SP
하루	하루/NNG
평균	평균/NNG
6시간에	6/SN+시간/NNB+에/JKB
불과하는	불과하/VA+는/ETM
등	등/NNB
서비스	서비스/NNG
시간	시간/NNG
부족에	부족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제점은	문제점/NNG+은/JX
더	더/MAG
이상	이상/NNG
입아플	입아플/NNG
정도다	정도/NNG+이/VCP+다/EF

설상가상으로	설상가상/NNG+으로/JKB
복지부가	복지부/NNG+가/JKS
장애인활동지원법에	장애인활동지원법/NNG+에/JKB
따라	따르/VV+아/EC
2년이	2/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
10월	10/SN+월/NNB
전에	전/NNG+에/JKB
수급	수급/NNG
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
3만명의	3/SN+만/NR+명/NNB+의/JKG
장애인을	장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
수급판정을	수급판정/NNG+을/JKO
내년	내년/NNG
5월말까지	5/SN+월말/NNB+까지/JX
마무리하겠다고	마무리하/VV+겠/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

턱없이	턱없이/MAG
부족한	부족하/VA+ㄴ/ETM
활동시간	활동시간/NNG
마저	마저/JX
줄어든다는	줄어들/VV+ㄴ다는/ETM
불안감에	불안감/NNG+에/JKB
장애인들은	장애인/NNG+들/XSN+은/JX
매일매일이	매일매일/NNG+이/JKS
‘살얼음판	‘/SN+살얼음판/NNG
건너기’다	건너/VV+기/ETN+’/SN+다/EF

활동보조	활동보조/NNG
24시간을	24/SN+시간/NNB+을/JKO
촉구하는	촉구하/VV+는/ETM
장애인들	장애인/NNG+들/XSN

DB	DB/SL
■박근혜,	■/SW+박근혜/NNP+,/SP
그녀가	그녀/NP+가/JKS
해낼수	하/VV+여/EC+내/VX+ㄹ/ETM+수/NNB
있을까=“장애인을	있/VA+을까/ETM+=/SW+“/SL+장애인/NNG+을/JKO
더	더/MAG
이상	이상/NNG
죽이지마라	죽이/VV+지마라/EC

”	”/SL
참다	참/VV+다/EC
못한	못하/VX+ㄴ/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
다시	다시/MAG
한번	한/MM+번/NNB
거리에	거리/NNG+에/JKB
섰다	서/VV+었/EP+다/EC

중증장애인을	중증장애인/NNG+을/JKO
위해	위하/VV+여/EC
활동보조	활동보조/NNG
하루	하루/NNG
24시간을	24/SN+시간/NNB+을/JKO
보장해야	보장하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
절실한	절실하/VA+ㄴ/ETM
요구를	요구/NNG+를/JKO
정부	정부/NNG
측에	측/NNB+에/JKB
지속적으로	지속적/NNG+으로/JKB
요구해왔지만	요구하/VV+여/EC+오/VX+았/EP+지만/EC
복지부는	복지부/NNG+는/JX
끝까지	끝/NNG+까지/JX
머리를	머리/NNG+를/JKO
숙이지	숙이/VV+지/EC
않았다	않/VX+았/EP+다/EF

절망	절망/NNG
속에서	속/NNG+에서/JKB
희망도	희망/NNG+도/JX
생겼었다	생기/VV+었었/EP+다/EF

장애인들의	장애인/NNG+들/XSN+의/JKG
현실에	현실/NNG+에/JKB
공감한	공감하/VV+ㄴ/ETM
여야	여야/NNG
국회의원들도	국회의원/NNG+들/XSN+도/JX
최중증장애인들을	최/XPN+중증장애인/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
24시간	24/SN+시간/NNB
활동보조인을	활동보조인/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해	위하/VV+여/EC
2013년도	2013/SN+년/NNB+도/JX
장애인활동지원	장애인활동지원/NNG
예산을	예산/NNG+을/JKO
확대한	확대하/VV+ㄴ/ETM
것	것/NNB

국회	국회/NNG
보건복지위원회는	보건복지위원회/NNG+는/JX
당초	당초/NNG
정부안보다	정부안/NNG+보다/JKB
50%증액된	50/SN+%/SW+증액되/VV+ㄴ/ETM
1500억여원	1500/SN+억/NR+여/XSN+원/NNB
증액해	증액하/VV+여/EC
예산결산특별위원회에	예산결산특별위원회/NNG+에/JKB
상정했다	상정하/VV+였/EP+다/EC

하지만	하지만/MAJ
정부와	정부/NNG+와/JC
새누리당이	새누리당/NNP+이/JKS
반대의	반대/NNG+의/JKG
입장을	입장/NNG+을/JKO
고수하고	고수하/VV+고/EC
있는	있/VX+는/ETM
상황	상황/NNG
속,	속/NNG+,/SP
그리	그리/MAG
전망이	전망/NNG+이/JKS
밝지만은	밝/VA+지/EC+만은/JX
않다	않/VX+다/EC

그렇다면	그렇/VA+다면/EC
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
절규는	절규/NNG+는/JX
언제까지	언제/NP+까지/JX
이어질까?	이어지/VV+ㄹ까/EF+?/SF
최근	최근/NNG
2013년부터	2013/SN+년/NNB+부터/JX
새롭게	새롭/VA+게/EC
대한민국을	대한민국/NNP+을/JKO
지휘할	지휘하/VV+ㄹ/ETM
첫	첫/MM
여성대통령이	여성대통령/NNG+이/JKS
당선됐다	당선되/VV+었/EP+다/EC

박근혜	박근혜/NNP
당선인은	당선인/NNG+은/JX
장애인활동지원	장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장에	보장/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
이견	이견/NNG
없이	없이/MAG
수용·이행을	수용/NNG+·/SP+이행/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
장애계에서도	장애/NNG+계/XSN+에서/JKB+도/JX
그녀의	그녀/NP+의/JKG
행보에	행보/NNG+에/JKB
촉각을	촉각/NNG+을/JKO
곤두	곤두/NNG
세울	세우/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

중증장애인활동지원	중증장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장을	보장/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
가장	가장/MAG
중요한	중요하/VA+ㄴ/ETM
핵심은	핵심/NNG+은/JX
얼마나	얼마나/MAG
의지를	의지/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
예산을	예산/NNG+을/JKO
반영하느냐에	반영하/VV+느냐/EC+에/JKB
달려	달리/VV+어/EC
있다	있/VX+다/EF

예산결산특별위원회에	예산결산특별위원회/NNG+에/JKB
올라가	올라가/VV+아/EC
있는	있/VX+는/ETM
'장애인활동지원	'/SS+장애인활동지원/NNG
예산'의	예산/NNG+'/SS+의/JKG
감액	감액/NNG
없는	없/VA+는/ETM
통과	통과/NNG
여부가	여부/NNG+가/JKS
첫	첫/MM
시험대가	시험대/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

또한	또한/MAG
새해부터는	새해/NNG+부터는/JX
장애인	장애인/NNG
활동지원	활동지원/NNG
신청자격이	신청자격/NNG+이/JKS
23만명의	23/SN+만/NR+명/NNB+의/JKG
장애	장애/NNG
2급까지로	2/SN+급/NNG+까지/JX+로/JKB
확대되며,	확대되/VV+며/EC+,/SP
18세	18/SN+세/NNB
미만	미만/NNG
장애아동의	장애아동/NNG+의/JKG
기본급여가	기본급여/NNG+가/JKS
부족한	부족하/VA+ㄴ/ETM
현실을	현실/NNG+을/JKO
고려해	고려하/VV+여/EC
성인과	성인/NNP+과/JKB
동일한	동일하/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
확대될	확대되/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

가족이	가족/NNG+이/JKS
1~2급	1/SN+~/SO+2/SN+급/NNG
장애인,	장애인/NNG+,/SP
6세	6/SN+세/NNB
이하	이하/NNG
또는	또는/MAG
75세	75/SN+세/NNB
이상으로만	이상/NNG+으로/JKB+만/JX
구성된	구성되/VV+ㄴ/ETM
경우도	경우/NNG+도/JX
추가급여를	추가급여/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
신설했으며,	신설하/VV+었/EP+으며/EC+,/SP
최중증	최/XPN+중증/NNG
장애인은	장애인/NNG+은/JX
80시간((66만4천원),	80/SN+시간/NNB+((/SS+66/SN+만/NR+4/SN+천/NR+원/NNB+)/SS+,/SP
400점	400/SN+점/NNB
미만은	미만/NNG+은/JX
월	월/NNG
20시간을	20/SN+시간/NNB+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
확대하면서	확대하/VV+면서/EC
활동지원제도는	활동지원제도/NNG+는/JX
점점	점점/MAG
장애인들	장애인/NNG+들/XSN
삶속에	삶속/NNG+에/JKB
자리잡고	자리/NNG+잡/VV+고/EC
있다	있/VX+다/EC

박근혜	박근혜/NNP
당선인은	당선인/NNG+은/JX
과연	과연/MAG
480만	480/SN+만/NR
장애인의	장애인/NNG+의/JKG
눈물을	눈물/NNG+을/JKO
닦아줄	닦/VV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
있을까?	있/VA+을까/EF+?/SF
힘없는	힘없/VA+는/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
다시	다시/MAG
한번	한/MM+번/NNB
실낱같은	실낱같/VA+은/ETM
희망을	희망/NNG+을/JKO
걸어본다	걷/VV+어/EC+보/VX+ㄴ다/EF
