자립	자립/NNG
살고자	살/VV+고자/EC
할	하/VX+ㄹ/ETM
때	때/NNG
실질적으로	실질적/NNG+으로/JKB
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제도가	제도/NNG+가/JKS
필요하다”고	필요하/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
구	구/XPN
위원장은	위원장/NNG+은/JX
또한	또한/MAG
“(자립생활	“/SL+(/SS+자립생활/NNG
내용이	내용/NNG+이/JKS
미비한)	미비하/VA+ㄴ/ETM+)/SS
이	이/MM
문제를	문제/NNG+를/JKO
더	더/MAG
이상	이상/NNG
미뤘다가는	미루/VV+었/EP+다가/EC+는/JX
5년	5/SN+년/NNB
뒤	뒤/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
밖에	밖/NNG+에/JKB
나올	나오/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

결국	결국/NNG
자립생활의	자립생활/NNG+의/JKG
이념,	이념/NNG+,/SP
기초	기초/NNG
자체가	자체/NNG+가/JKS
흔들리게	흔들리/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“자립생활이	“/SL+자립생활/NNG+이/JKS
장애인에게	장애인/NNG+에게/JKB
생존권인	생존권/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
제도화를	제도화/NNG+를/JKO
위해	위하/VV+여/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
적극적으로	적극적/NNG+으로/JKB
나서	나서/VV+어/EC
장애인복지법을	장애인복지법/NNG+을/JKO
개정하자”고	개정하/VV+자”고/EC
말했다	말하/VV+였/EP+다/EC

이들은	이/NP+들/XSN+은/JX
장애인복지법에	장애인복지법/NNG+에/JKB
중증장애인이	중증장애인/NNG+이/JKS
지역사회에서	지역사회/NNG+에서/JKB
분리·단절·배제·소외되지	분리/NNG+·/SP+단절/NNG+·/SP+배제/NNG+·/SP+소외되/VV+지/EC
않도록	않/VX+도록/EC
스스로	스스로/MAG
선택에	선택/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
자립생활이	자립생활/NNG+이/JKS
가능한	가능하/VA+ㄴ/ETM
정책	정책/NNG
수립	수립/NNG
활동보조서비스·장애인보조기구·주거	활동보조서비스/NNG+·/SP+장애인보조기구/NNG+·/SP+주거/NNG
등	등/NNB
다각적인	다각적/NNG+이/VCP+ㄴ/ETM
지원시책	지원시책/NNG
마련	마련/NNG
장애인자립생활센터	장애인자립생활센터/NNG
예산	예산/NNG
지원	지원/NNG
근거	근거/NNG
규정	규정/NNG
마련의	마련/NNG+의/JKG
내용을	내용/NNG+을/JKO
담을	담/VV+을/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

한편	한편/MAG
이들은	이/NP+들/XSN+은/JX
오는	오/VV+는/ETM
10월	10/SN+월/NNB
말까지	말/NNB+까지/JX
장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전국	전국/NNG
결의대회,	결의대회/NNG+,/SP
1인	1/SN+인/NNG
시위,	시위/NNG+,/SP
천막농성	천막농성/NNG
등을	등/NNB+을/JKO
전개해	전개하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
