‘종로구	‘/SL+종로구/NNP
현재	현재/MAG
중증장애인	중증장애인/NNG
자립생활	자립생활/NNG
지원조례를	지원조례/NNG+를/JKO
제정한	제정하/VV+ㄴ/ETM
자치구는	자치구/NNG+는/JX
강남구,	강남구/NNP+,/SP
관악구	관악구/NNP
등	등/NNB
8개	8/SN+개/NNB
자치구가	자치구/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
중증장애인생산품	중증장애인생산품/NNG
우선구매	우선구매/NNG
조례를	조례/NNG+를/JKO
제정한	제정하/VV+ㄴ/ETM
자치구는	자치구/NNG+는/JX
양천구와	양천구/NNP+와/JC
중구	중구/NNG
2개	2/SN+개/NNB
자치구	자치구/NNG
뿐	뿐/JX
이다	잇/VV+다/EC

특히	특히/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
체험홈	체험홈/NNG
운영	운영/NNG
및	및/MAG
안정적	안정적/NNG
운영을	운영/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지원도	지원/NNG+도/JX
요구했다	요구하/VV+었/EP+다/EC

종로구	종로구/NNP
지역	지역/NNG
내	내/NNB
탈시설	탈시설/NNG
및	및/MAG
재가장애인의	재가장애인/NNG+의/JKG
자립생활	자립생활/NNG
촉구를	촉구/NNG+를/JKO
위해	위하/VV+여/EC
체험홈	체험홈/NNG
운영이	운영/NNG+이/JKS
필요하지만	필요하/VA+지만/EC
현재	현재/MAG
종로구	종로구/NNP
자체	자체/NNG
체험홈	체험홈/NNG
운영은	운영/NNG+은/JX
전무한	전무하/VA+ㄴ/ETM
실정이다	실정/NNG+이/VCP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“서울시	“/SN+서울시/NNP
장애인생활시설	장애인생활시설/NNG
장애인의	장애인/NNG+의/JKG
57%가	57/SN+%/SW+가/JKS
지역에서	지역/NNG+에서/JKB
살고자	살/VV+고자/EC
하지만	하/VX+지만/EC
자립생활을	자립생활/NNG+을/JKO
준비	준비/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
체험홈은	체험홈/NNG+은/JX
많이	많이/MAG
부족하다”며	부족하/VA+다/EC+”/VV+며/EC
“종로구는	“/SL+종로구/NNP+는/JX
자립생활	자립생활/NNG
촉진에	촉진/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실제적인	실제/NNG+적/XSN+이/VCP+ㄴ/ETM
의지를	의지/NNG+를/JKO
갖고	갖/VV+고/EC
꼭	꼭/MAG
체험홈을	체험홈/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“종로구는	“/SL+종로구/NNP+는/JX
중증장애인의	중증장애인/NNG+의/JKG
자립생활	자립생활/NNG
환경을	환경/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+여/EC
노력을	노력/NNG+을/JKO
다하고	다하/VV+고/EC
있다지만	있/VX+다지만/EC
그	그/MM
시작은	시작/NNG+은/JX
너무나	너무나/MAG
미약하고	미약하/VA+고/EC
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
자립생활	자립생활/NNG
욕구에는	욕구/NNG+에/JKB+는/JX
턱없이	턱없이/MAG
부족한	부족하/VA+ㄴ/ETM
수준”이라고	수준”/NNG+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

한편	한편/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
이외에도	이외/NNG+에/JKB+도/JX
‘장애인	‘/SL+장애/NNG+이/VCP+ㄴ/ETM
활동지원서비스	활동지원서비스/NNG
확대	확대/NNG
지원’,	지원’/NNG+,/SP
‘장애인	‘/SL+장애인/NNG
인권보장	인권보장/NNG
및	및/MAG
차별금지에	차별금지/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례	조례/NNG
제정’,	제정’/NNG+,/SP
‘장애인평생교육기관에	‘/SL+장애인평생교육기관/NNG+에/JKB
무상급식	무상급식/NNG
실시’,	실시’/NNG+,/SP
‘장에인체육동호회	‘/SN+장/NNB+에/JKB+인체육동호회/NNG
활성화	활성화/NNG
계획과	계획/NNG+과/JC
예산	예산/NNG
확보’	확보’/NNG
등도	등/NNB+도/JX
촉구했다	촉구하/VV+였/EP+다/EC
