활동지원제도,	활동지원제도/NNG+,/SP
하고	하/VX+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
제도를	제도/NNG+를/JKO
관리해야	관리하/VV+여야/EC
할	하/VX+ㄹ/ETM
복지부가	복지부/NNG+가/JKS
오히려	오히려/MAG
이들을	이/NP+들/XSN+을/JKO
외면하고	외면하/VV+고/EC
있는	있/VX+는/ETM
현실을	현실/NNG+을/JKO
비판했다	비판하/VV+였/EP+다/EF

이어	이어/MAG
이들은	이/NP+들/XSN+은/JX
“복지부?지자체-중개기관으로	“/SN+복지부/NNG+?/SF+지자체/NNG+-/SO+중개기관/NNG+으로/JKB
이어지는	이어지/VV+는/ETM
민간위탁	민간위탁/NNG
과정에서	과정/NNG+에서/JKB
발생하고	발생하/VV+고/EC
있는	있/VX+는/ETM
문제에	문제/NNG+에/JKB
대해	대하/VV+여/EC
장애인이용자와	장애인이용자/NNG+와/JC
서비스제공노동자가	서비스제공노동자/NNG+가/JKS
고통을	고통/NNG+을/JKO
감당해야	감당하/VV+여야/EC
하는	하/VX+는/ETM
현실을	현실/NNG+을/JKO
개선할	개선하/VV+ㄹ/ETM
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
복지부는	복지부/NNG+는/JX
제시해야	제시하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC
