장애인부부의	장애인부부/NNG+의/JKG
경제적인	경제적/NNG+이/VCP+ㄴ/ETM
문제죠	문제/NNG+이/VCP+죠/EF

저	저/MM
사람이나	사람/NNG+이나/JX
나나	나나/VV+아/EC
몸이	몸/NNG+이/JKS
불편해서	불편하/VA+여서/EC
힘든	힘들/VA+ㄴ/ETM
일은	일/NNG+은/JX
못하고	못하/VV+고/EC
단기간	단기간/NNG
알바	알바/NNP
같은	같/VA+은/ETM
거라도	것/NNB+이/VCP+라/EC+도/JX
했더니	하/VV+였/EP+더니/EC
결국	결국/NNG
수급비에	수급비/NNG+에/JKB
깎여서	깎열/VV+서/EC
나오더라구요	나오/VV+더라구오/EF

그래서	그래서/MAJ
뭐	뭐/NP
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
없죠	없/VA+죠/EC

차라리	차라리/MAG
일	일/VV
해서	하/VV+여서/EC
수급비	수급비/NNG
적게	적/VA+게/EC
받느니	받/VV+느니/EC
안하는게	안/MAG+하/VV+는/ETM+것/NNB+이/JKS
낳다는	낳/VV+다는/ETM
생각까지	생각/NNG+까지/JX
들더라구요	듣/VV+더라구오/EF

일	일/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
능력이	능력/NNG+이/JKS
있으면	있/VA+으면/EC
그런	그런/MM
능력을	능력/NNG+을/JKO
더	더/MAG
키워주도록	키우/VV+어/EC+주/VX+도록/EC
(지원을)	(/SS+지원/NNG+을/JKO+)/SS
해야	하/VV+여야/EC
되는데	되/VV+는데/EC
(일	(/SS+일/NNP
할)	하/VX+ㄹ/ETM+)/SS
의욕도	의욕/NNG+도/JX
아예	아예/MAG
없어버리니…	없/VA+어/EC+버리/VX+니/EF+…/SE
일을	일/NNG+을/JKO
못하는	못하/VV+는/ETM
게	것/NNB+이/JKC
아니라	아니/VCN+라/EC
안하는	안/MAG+하/VV+는/ETM
게	것/NNB+이/JKS
되어	되/VV+어/EC
버린다니깐요	버리/VX+ㄴ/ETM+다니깐요/VV

”부부는	”/SL+부부/NNG+는/JX
일정	일정/NNG
비율의	비율/NNG+의/JKG
금액	금액/NNG
소득이	소득/NNG+이/JKS
있을	있/VA+을/ETM
경우에만	경우/NNG+에/JKB+만/JX
수급비에서	수급비/NNG+에서/JKB
삭감된	삭감되/VV+ㄴ/ETM
후	후/NNG
자립할	자립하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
주어야	주/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다	강조하/VV+였/EP+다/EC

일례로	일례/NNG+로/JKB
소득이	소득/NNG+이/JKS
있을	있/VA+을/ETM
경우	경우/NNG
지정된	지정되/VV+ㄴ/ETM
6개월이	6/SN+개월/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
후에야	후/NNG+에/JKB+야/JX
수급비를	수급비/NNG+를/JKO
깍고,	깎/VV+고/EC+,/SP
수급비	수급비/NNG
대상자에서	대상자/NNG+에서/JKB
탈락시켜야	탈락/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것	것/NNB

“이렇게	“/SL+이렇/VA+게/EC
한다면	하/VX+ㄴ다면/EC
일정기간	일정기간/NNG
자립을	자립/NNG+을/JKO
준비할	준비하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기간이	기간/NNG+이/JKS
되니	되/VV+니/EC
수급자에서	수급자/NNG+에서/JKB
벗어도	벗/VV+어도/EC
날	나/VV+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않겠어요?	않/VX+겠/EP+어요/EF+?/SF
수급비를	수급비/NNG+를/JKO
계속	계속/MAG
받게	받/VV+게/EC
해주는	하/VX+여/EC+주/VX+는/ETM
것	것/NNB
보다	보다/MAG
탈	타/VV+ㄹ/ETM
수급자가	수급자/NNG+가/JKC
되도록	되/VV+도록/EC
해주는	하/VX+여/EC+주/VX+는/ETM
게	것/NNB+이/JKS
진짜	진짜/NNG
국가가	국가/NNG+가/JKS
할	하/VV+ㄹ/ETM
일이에요	일/NNG+이/VCP+에요/EC

”부부는	”/SL+부부/NNG+는/JX
경제적인	경제적/NNG+이/VCP+ㄴ/ETM
이유와	이유/NNG+와/JC
나이	나이/NNG
때문에	때문/NNB+에/JKB
아이를	아이/NNG+를/JKO
낳지	낳/VV+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
자녀계획도	자녀계획/NNG+도/JX
밝혔다	밝히/VV+었/EP+다/EC

“둘이	“/SN+둘/NR+이/JKS
살기도	살/VV+기/ETN+도/JX
힘든데	힘들/VA+ㄴ데/EC
어떻게	어떻/VA+게/EC
아이를	아이/NNG+를/JKO
낳겠어요	낳/VV+겠/EP+어요/EC

나이도	나이/NNG+도/JX
있고	있/VA+고/EC
낳아서	낳/VV+아서/EC
잘	잘/MAG
키울	키우/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
보장도	보장/NNG+도/JX
없으니	없/VA+으니/EC

일단	일단/MAG
아이는	아이/NNG+는/JX
낳지	낳/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
결정했어요	결정하/VV+였/EP+어요/EC

물론	물론/MAG
내	나/NP+의/JKG
자식	자식/NNG
낳고	낳/VV+고/EC
싶은	싶/VX+은/ETM
마음은	마음/NNG+은/JX
크지만	크/VA+지만/EC

”	”/SL
폭포	폭포/NNG
앞에서	앞/NNG+에서/JKB
기념사진을	기념사진/NNG+을/JKO
찍던	찍/VV+던/ETM
서영오·김화영	서영오/NNP+·/SP+김화영/NNP
부부	부부/NNG

ⓒ에이블복지재단	ⓒ/SL+에이블복지재단/NNP
"장애에	"/SS+장애/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회적/NNG
편견	편견/NNG
견디기	견디/VV+기/ETN
힘들어"서영오(지체	힘들/VA+어/EF+"/SS+서영오/NNP+(/SS+지체/NNG
1급,	1/SN+급/NNG+,/SP
44세)·김화영(36세)	44/SN+세/NNB+)/SS+·/SP+김화영/NNP+(/SS+36/SN+세/NNB+)/SS
부부는	부부/NNG+는/JX
결혼에	결혼/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
‘장애’로	‘/SN+장애/NNG+’/SL+로/JKB
인한	인하/VV+ㄴ/ETM
사회적인	사회적/NNG+이/VCP+ㄴ/ETM
편견이나	편견/NNG+이나/JC
시선이	시선/NNG+이/JKS
제일	제일/MAG
견디기	견디/VV+기/ETN
힘들었다고	힘들/VA+었/EP+다고/EC
말했다	말하/VV+였/EP+다/EC

“예전에	“/SN+예전/NNG+에/JKB
비하면	비하/VV+면/EC
그래도	그리하/VV+여도/EC
많이	많이/MAG
나아졌죠	나아지/VV+었/EP+죠/EF

그래도	그리하/VV+여도/EC
아직까지도	아직/MAG+까지도/JX
밖에	밖/NNG+에/JKB
나오면	나오/VV+면/EC
다른	다른/MM
사람들의	사람/NNG+들/XSN+의/JKG
시선을	시선/NNG+을/JKO
한	한/MM
몸에	몸/NNG+에/JKB
받아요	받/VV+아요/EF

이제야	이제/NNG+야/JX
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
건데	것/NNB+이/VCP+ㄴ데/EC
아내	아내/NNG
친구들이나	친구/NNG+들/XSN+이나/JC
친척들이	친척/NNG+들/XSN+이/JKS
아내를	아내/NNG+를/JKO
많이	많이/MAG
걱정했더라구요	걱정하/VV+였/EP+더라구오/EF

다행히	다행히/MAG
장인어른,	장인어른/NNG+,/SP
장모님은	장모님/NNG+은/JX
장애인이	장애인/NNG+이/JKC
아니라	아니/VCN+라/EC
저라는	저/NP+이/VCP+라는/ETM
사람	사람/NNG
그	그/MM
자체를	자체/NNG+를/JKO
있는	있/VA+는/ETM
그대로	그대로/MAG
받아주셨죠	받/VV+아/EC+주/VX+시었/EP+죠/EF

그게	그것/NP+이/JKS
제일	제일/MAG
감사했어요	감사하/VV+였/EP+어요/EC

우리나라는	우리나라/NNG+는/JX
장애인이	장애인/NNG+이/JKS
살기에는	살/VV+기/ETN+에/JKB+는/JX
불편함이	불편하/VA+ㅁ/ETN+이/JKS
많죠	많/VA+죠/EF

길가에	길가/NNG+에/JKB
턱도	턱/NNG+도/JX
많고	많/VA+고/EC

휠체어	휠체어/NNG
타는	타/VV+는/ETM
장애인이	장애인/NNG+이/JKS
살기에	살/VV+기/ETN+에/JKB
좋은	좋/VA+은/ETM
나라는	나라/NNG+는/JX
되길	되/VV+기/ETN+ㄹ/JKO
바라죠	바/NNB+이/VCP+라죠/EF

장애를	장애/NNG+를/JKO
바라보는	바라보/VV+는/ETM
눈도	눈/NNG+도/JX
달라졌으면	달라지/VV+었/EP+으면/EC
하고	하/VX+고/EC
”	”/SL
잉꼬부부로	잉꼬부부/NNG+로/JKB
항상	항상/MAG
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
다녔던	다니/VV+었/EP+던/ETM
강용삼·박미숙	강용삼/NNP+·/SP+박미숙/NNP
부부	부부/NNG

ⓒ에이블복지재단	ⓒ/SL+에이블복지재단/NNP
"가족	"/SS+가족/NNG
구성원	구성원/NNG
모두	모두/MAG
장애인일	장애인/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
별도	별도/NNG
지원책	지원/NNG+책/XSN
마련	마련/NNG
필요"강용삼(지체	필요/NNG+"/SS+강용삼/NNP+(/SS+지체/NNG
4급,	4/SN+급/NNG+,/SP
57세)·박미숙(지체	57/SN+세/NNB+)/SS+·/SP+박미숙/NNP+(/SS+지체/NNG
1급,	1/SN+급/NNG+,/SP
45세)	45/SN+세/NNB+)/SS
부부의	부부/NNG+의/JKG
경우에도	경우/NNG+에/JKB+도/JX
경제적인	경제적/NNG+이/VCP+ㄴ/ETM
어려움이	어려움/NNG+이/JKS
제일	제일/MAG
컸다고	크/VA+었/EP+다고/EC
설명했다	설명하/VV+었/EP+다/EC

아들이	아들/NNG+이/JKS
지적장애로	지적장애/NNG+로/JKB
시설에	시설/NNG+에/JKB
입소해	입소하/VV+여/EC
생활하고	생활하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
두	두/MM
사람이	사람/NNG+이/JKS
70여만원으로	70/SN+여/XSN+만/NR+원/NNB+으로/JKB
한	한/MM
달을	달/NNB+을/JKO
살아가기에는	살아가/VV+기/ETN+에/JKB+는/JX
어렵다는	어렵/VA+다는/ETM
이유다	이유/NNG+이/VCP+다/EF

물가가	물가/NNG+가/JKS
오른	오르/VV+ㄴ/ETM
만큼	만큼/NNB
수급비가	수급비/NNG+가/JKS
증가하지	증가하/VV+지/EC
않고	않/VX+고/EC
있다는	있/VX+다는/ETM
말도	말/NNG+도/JX
덧붙였다	덧붙이/VV+었/EP+다/EF

이후	이후/NNG
부부는	부부/NNG+는/JX
부모·자식	부모/NNG+·/SP+자식/NNG
모두	모두/MAG
장애인인	장애인/NNG+이/VCP+ㄴ/ETM
경우	경우/NNG
지원되는	지원/NNG+되/XSV+는/ETM
정책들이	정책/NNG+들/XSN+이/JKS
부족해	부족하/VA+여/EC
더욱	더욱/MAG
생활고에	생활고/NNG+에/JKB
시달릴	시달리/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없다는	없/VA+다는/ETM
목소리도	목소리/NNG+도/JX
냈다	내/VV+었/EP+다/EF

생활비를	생활비/NNG+를/JKO
제외하고도	제외하/VV+고도/EC
병원·약	병원/NNG+·/SP+약/NNG
등의	등/NNB+의/JKG
비용이	비용/NNG+이/JKS
꾸준히	꾸준히/MAG
지출되고	지출되/VV+고/EC
있어	있/VX+어/EC
경제적인	경제적/NNG+이/VCP+ㄴ/ETM
부담은	부담/NNG+은/JX
더욱	더욱/MAG
증가하고	증가하/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB

이어	이어/MAG
부부는	부부/NNG+는/JX
가족	가족/NNG
구성원	구성원/NNG
모두	모두/MAG
장애인일	장애인/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
별도로	별도/NNG+로/JKB
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
혜택이	혜택/NNG+이/JKS
없어	없/VA+어/EC
별도의	별도/NNG+의/JKG
지원책이	지원/NNG+책/XSN+이/JKS
있었으면	있/VA+었/EP+으면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
소망도	소망/NNG+도/JX
드러냈다	드러내/VV+었/EP+다/EF

“살기	“/SL+살/VV+기/ETN
힘드니까	힘들/VA+니까/EC
애	얘/VV
있는	있/VX+는/ETM
곳도	곳/NNG+도/JX
자주	자주/MAG
못	못/MAG
가봐요	가보/VV+아요/EC

얼굴	얼굴/NNG
본	보/VV+ㄴ/ETM
지도	지/NNB+도/JX
꽤	꽤/MAG
오래	오래/MAG
된	되/VV+ㄴ/ETM
것	것/NNB
같아요	같/VA+아요/EC

우리가	우리/NP+가/JKS
장애가	장애/NNG+가/JKS
있고	있/VA+고/EC
애한테	애/NNG+한테/JKB
더	더/MAG
못해주니까	못하/VV+여/EC+주/VX+니까/EC
미안하죠	미안하/VA+죠/EC

우리	우리/NP
몸도	몸/NNG+도/JX
불편하니	불편하/VA+니/EC
시설에	시설/NNG+에/JKB
가	가/VV+아/EC
있을	있/VX+을/ETM
수	수/NNB
밖에	밖에/JX
없고…	없/VA+고/EF+…/SE
우리같이	우리/NP+같이/JKB
가족	가족/NNG
구성원	구성원/NNG
모두가	모두/NNG+가/JKS
장애를	장애/NNG+를/JKO
갖고	갖/VV+고/EC
있을	있/VX+을/ETM
경우	경우/NNG
딱히	딱히/MAG
혜택	혜택/NNG
주는	주/VV+는/ETM
게	것/NNB+이/JKS
없어요	없/VA+어요/EC

비장애인이	비장애인/NNG+이/JKS
함께	함께/MAG
있는	있/VA+는/ETM
가정이랑	가정/NNG+이/VCP+랑/JKB
가족	가족/NNG
모두	모두/MAG
장애인인	장애인/NNG+이/VCP+ㄴ/ETM
가정이랑	가정/NNG+이랑/JKB
형편이	형편/NNG+이/JKS
다를	다르/VA+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없거든요	없/VA+거든요/EC

나가서	나가/VV+아서/EC
돈도	돈/NNG+도/JX
벌	벌/VV+ㄹ/ETM
수	수/NNB
없고	없/VA+고/EC

이런	이런/MM
상황에	상황/NNG+에/JKB
있는	있/VA+는/ETM
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
별도의	별도/NNG+의/JKG
지원책이	지원/NNG+책/XSN+이/JKS
있으면	있/VA+으면/EC
합니다	하/VX+ㅂ니다/EF

”마지막으로	”/SL+마지막/NNG+으로/JKB
세	세/MM
부부는	부부/NNG+는/JX
공통적으로	공통적/NNG+으로/JKB
말했다	말하/VV+였/EP+다/EC

함께	함께/MAG
살아가며	살아가/VV+며/EC
어려운	어렵/VA+ㄴ/ETM
고비를	고비/NNG+를/JKO
맞이하고,	맞이하/VV+고/EC+,/SP
때론	때로/MAG+ㄴ/JX
고달픈	고달프/VA+ㄴ/ETM
인생일지라도	인생/NNG+이/VCP+ㄹ지/EC+라도/JX
내	나/NP+의/JKG
배우자와	배우자/NNG+와/JC
가족만	가족/NNG+만/JX
있다면	있/VA+다면/EC
기쁨과	기쁨/NNG+과/JC
행복을	행복/NNG+을/JKO
느낀다고	느끼/VV+ㄴ다고/EC

여러	여러/MM
이유	이유/NNG
때문에	때문/NNB+에/JKB
결혼을	결혼/NNG+을/JKO
망설이고	망설이/VV+고/EC
있는	있/VX+는/ETM
주변	주변/NNG
사람들에게	사람/NNG+들/XSN+에게/JKB
1초의	1/SN+초/NNB+의/JKG
고민도	고민/NNG+도/JX
없이	없이/MAG
결혼을	결혼/NNG+을/JKO
추천한다고	추천하/VV+ㄴ다고/EC
