장애인들,	장애인/NNG+들/XSN+,/SP
24시간	24/SN+시간/NNB
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
제도적	제도적/NNG
기초	기초/NNG
마련돼	마련되/VV+어/EC
있다”고	있/VX+다/EC+”/VV+고/EC
강하게	강하/VA+게/EC
비판했다	비판하/VV+였/EP+다/EC

특히	특히/MAG
“새누리	“/SL+새누리/NNG
박근혜	박근혜/NNP
후보도	후보/NNG+도/JX
맞춤형	맞춤/NNG+형/XSN
복지	복지/NNG
이야기	이야기/NNG
했다	하/VV+였/EP+다/EC

장애인들이	장애인/NNG+들/XSN+이/JKS
24시간	24/SN+시간/NNB
제한	제한/NNG
없이	없이/MAG
활동보조	활동보조/NNG
쓰는	쓰/VV+는/ETM
것이	것/NNB+이/JKS
맞춤형	맞춤/NNG+형/XSN
복지다	복지/NNG+이/VCP+다/EF

차기	차기/NNG
정부로	정부/NNG+로/JKB
미룰	미루/VV+ㄹ/ETM
문제	문제/NNG
아니다	아니/VCN+다/EC

원안대로	원안/NNG+대로/JX
통과돼	통과되/VV+어/EC
수용돼야	수용되/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

민주통합당	민주통합당/NNP
이언주	이언주/NNP
국회의원은	국회의원/NNG+은/JX
“확대된	“/SN+확대되/VV+ㄴ/ETM
활동지원	활동지원/NNG
예산은	예산/NNG+은/JX
최중증장애인들을	최/XPN+중증장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
더	더/MAG
이상	이상/NNG
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
예산이다	예산/NNG+이/VCP+다/EC

타	타/MM
예산과	예산/NNG+과/JKB
비교하고	비교하/VV+고/EC
탁상	탁상/NNG
공론하는	공론하/VV+는/ETM
것도	것/NNB+도/JX
용납할	용납하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

새누리당이	새누리당/NNP+이/JKS
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
더	더/MAG
나은	낫/VA+은/ETM
생활을	생활/NNG+을/JKO
위해	위하/VV+여/EC
협조해	협조하/VV+여/EC
줄	주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿는다”고	믿/VV+는다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

전국장애인야학협의회	전/MM+국장애인야학협의회/NNG
박명애	박명애/NNP
회장은	회장/NNG+은/JX
“47살부터	“47/SN+살/NNB+부터/JX
사회활동	사회활동/NNG
하면서	하/VV+면서/EC
우리나라	우리나라/NNG
제도가	제도/NNG+가/JKS
얼마나	얼마나/MAG
열약한지	열약하/VA+ㄴ/ETM+지/NNB
몸소	몸소/MAG
체험한	체험하/VV+ㄴ/ETM
사람이다	사람/NNG+이/VCP+다/EC

장애인들이	장애인/NNG+들/XSN+이/JKS
허무하게	허무하/VA+게/EC
죽는	죽/VV+는/ETM
등	등/NNB
차별돼서는	차별되/VV+어서/EC+는/JX
안된다”고	안되/VV+ㄴ다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“올해	“/SN+올해/NNG
증액된	증액되/VV+ㄴ/ETM
활동보조	활동보조/NNG
예산	예산/NNG
꼭	꼭/MAG
지켜	지키/VV+어/EC
달라	달/VX+라/EF

장애인들이	장애인/NNG+들/XSN+이/JKS
사람답게	사람/NNG+답/XSA+게/EC
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
만들어	만들/VV+어/EC
달라	달/VX+라/EF

활동보조	활동보조/NNG
꼭	꼭/MAG
필요하다	필요하/VA+다/EC

이제라도	이제/NNG+라도/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
당당하게	당당하/VA+게/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
세상을	세상/NNG+을/JKO
바란다”고	바라/VV+ㄴ다/EC+”/VV+고/EC
피력했다	피력하/VV+었/EP+다/EC

한편	한편/MAG
국회는	국회/NNG+는/JX
지난달	지난달/NNG
26일부터	26/SN+일/NNB+부터/JX
30일까지	30/SN+일/NNB+까지/JX
에산결산특별위원회를	에산결산특별위원회/NNG+를/JKO
열고	열/VV+고/EC
감액심사를	감액심사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

하지만	하지만/MAJ
증액심사는	증액심사/NNG+는/JX
대선	대선/NNG
이후에나	이후/NNG+에/JKB+나/JX
가능	가능/NNG
할것으로	하/VV+ㄹ/ETM+것/NNB+으로/JKB
예상된다	예상되/VV+ㄴ다/EF

국회	국회/NNG
예산결산특별위원회	예산결산특별위원회/NNG
한	한/MM
관계자는	관계자/NNG+는/JX
“증액심사	“/SL+증액심사/NNG
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
논의	논의/NNG
중에	중/NNB+에/JKB
있는	있/VA+는/ETM
과정에	과정/NNG+에/JKB
있다	있/VA+다/EC

제대로	제대로/MAG
증액	증액/NNG
심사가	심사/NNG+가/JKS
이뤄지기	이루어지/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
대선이	대선/NNG+이/JKS
끝나고	끝나/VV+고/EC
나서	나서/VV+어/EC
되지	되/VV+지/EC
않을까	않/VX+을까/EC
생각하고	생각하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
