문제	문제/NNG
“복지부는	“/SN+복지부/NNG+는/JX
당장의	당장/NNG+의/JKG
사태에	사태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대책도,	대책/NNG+도/JX+,/SP
중장기적	중장기적/NNG
제도개선의	제도개선/NNG+의/JKG
전망도	전망/NNG+도/JX
제시하지	제시하/VV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
질타했다	질타하/VA+었/EP+다/EC

한국장애인자립생활센터협의회	한국/NNP+장애인자립생활센터협의회/NNG
박현	박현/NNP
활동보조위원장은	활동보조위원장/NNG+은/JX
“수급자격	“/SL+수급자격/NNG
재판정을	재판정/NNG+을/JKO
받게되면	받/VV+게되면/EC
약	약/MM
30%정도	30/SN+%/SW+정도/NNG
등급이	등급/NNG+이/JKS
떨어지거나	떨어지/VV+거나/EC
아예	아예/MAG
열외된다	열외되/VV+ㄴ다/EC

그런데	그런데/MAJ
복지부는	복지부/NNG+는/JX
사실상	사실상/NNG
별다르지	별다르/VA+지/EC
않은	않/VX+은/ETM
활동보조	활동보조/NNG
인정조사표를	인정조사표/NNG+를/JKO
통해	통하/VV+여/EC
다시	다시/MAG
한번	한/MM+번/NNB
조사하려고	조사하/VV+려고/EC
한다”며	하/VX+ㄴ다”며/EC
“투쟁을	“/SN+투쟁/NNG+을/JKO
통해	통하/VV+여/EC
활동보조	활동보조/NNG
장애인들을	장애인/NNG+들/XSN+을/JKO
옥죄고	옥죄/VV+고/EC
있는	있/VX+는/ETM
모든	모든/MM
문제들을	문제/NNG+들/XSN+을/JKO
박살내겠다”고	박살/NNG+내/VV+겠/EP+다/EC+”/VV+고/EC
결의를	결의/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

활동보조인연대	활동보조인연대/NNG
고미숙	고미숙/NNP
집행위원장은	집행위원장/NNG+은/JX
“30%가	“/SL+30/SN+%/SW+가/JKS
하락되고	하락되/VV+고/EC
탈락되면	탈락되/VV+면/EC
활동보조인들도	활동보조인/NNG+들/XSN+도/JX
시간이	시간/NNG+이/JKS
줄어들고	줄어들/VV+고/EC
실직하게	실직하/VV+게/EC
된다	되/VV+ㄴ다/EF

장애인과	장애인/NNG+과/JC
활동보조인과는	활동보조인과/NNG+는/JX
항상	항상/MAG
같이	같이/MAG
엮일	엮일/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없는	없/VA+는/ETM
사이다	사/NNG+이/VCP+다/EC

활동보조인들에게	활동보조인/NNG+들/XSN+에게/JKB
월급제를	월급제/NNG+를/JKO
실시해야	실시하/VV+여야/EC
한다”면서	하/VX+ㄴ다”면서/EC
“활동보조인들이	“/SL+활동보조인/NNG+들/XSN+이/JKS
실제로	실제로/MAG
일을	일/NNG+을/JKO
하며,	하/VV+며/EC+,/SP
안	안/NNG
아픈곳이	아픈곳/NNG+이/JKS
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
근골격계를	근골격계/NNG+를/JKO
호소하고	호소하/VV+고/EC
있지만	있/VX+지만/EC
산재로	산재/NNG+로/JKB
인정을	인정/NNG+을/JKO
받지	받/VV+지/EC
못한다	못하/VX+ㄴ다/EF

근로기준법	근로기준법/NNG+,/SP
적용을	적용/NNG+을/JKO
통해	통하/VV+여/EC
활동보조인들의	활동보조인/NNG+들/XSN+의/JKG
처우를	처우/NNG+를/JKO
개선해	개선하/VV+여/EC
주길	주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EC+”/VV+고/EC
호소했다	호소하/VV+었/EP+다/EC

한편,	한편/NNG+,/SP
투쟁단은	투쟁단/NNG+은/JX
향후	향후/NNG
장애인활동지원제도개선위원회에	장애인활동지원제도개선위원회/NNG+에/JKB
끊임없는	끊임없/VA+는/ETM
개선	개선/NNG
요구와	요구/NNG+와/JKB
함께	함께/MAG
기자회견,	기자회견/NNG+,/SP
집회	집회/NNG
등을	등/NNB+을/JKO
이어나갈	잇/VV+어/EC+나가/VX+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

장애인활동지원제도개선을	장애인활동지원제도개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동투쟁단(이하	공동투쟁단/NNG+(/SS+이하/NNG
투쟁단)은	투쟁/NNG+단/XSN+)/SS+은/JX
16일	16/SN+일/NNB
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
첫	첫/MM
공식	공식/NNG
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
활동지원제도에	활동지원제도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
긴급대책	긴급대책/NNG
마련과	마련/NNG+과/JC
중장기적	중장기적/NNG
제도개선	제도개선/NNG
대책을	대책/NNG+을/JKO
강력하게	강력하/VA+게/EC
촉구했다	촉구하/VV+였/EP+다/EC
