복지부장관	복지부장관/NNG
장애인의	장애인/NNG+의/JKG
자립을	자립/NNG+을/JKO
명시하고	명시하/VV+고/EC
있다	있/VX+다/EC

장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지원	지원/NNG
및	및/MAG
체계는	체계/NNG+는/JX
국가의	국가/NNG+의/JKG
의무”라고	의무”/NNG+이/VCP+라고/EC
말을	말/NNG+을/JKO
보탰다	보태/VV+었/EP+다/EC

2층에서	2/SN+층/NNG+에서/JKB
진행되는	진행되/VV+는/ETM
'유엔에스캅	'/SS+유엔/NNP+에스캅/NNG
장관급	장관급/NNG
회의'에	회의/NNG+'/SS+에/JKB
참석한	참석하/VV+ㄴ/ETM
임	임/NNP
장관을	장관/NNG+을/JKO
만나기	만나/VV+기/ETN
위해	위하/VV+여/EC
엘리베이터와	엘리베이터/NNG+와/JKB
에스컬레이터를	에스컬레이터/NNG+를/JKO
이용하려	이용하/VV+려/EC
했으나	하/VX+였/EP+으나/EC
대회	대회/NNG
주최	주최/NNG
측에	측/NNB+에/JKB
의해	의하/VV+여/EC
봉쇄됐다	봉쇄되/VV+었/EP+다/EF

파키스탄	파키스탄/NNP
에바스씨의	에바스/NNP+씨/NNB+의/JKG
발언	발언/NNG
모습	모습/NNG

에바스씨는	에바스/NNP+씨/NNB+는/JX
“변화가	“/SN+변화/NNG+가/JKS
필요하다	필요하/VA+다/EC

사람의	사람/NNG+의/JKG
생명은	생명/NNG+은/JX
중요한	중요하/VA+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
장애인활동지원제도는	장애인활동지원제도/NNG+는/JX
시정돼야	시정되/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

한	한/MM
장애인이	장애인/NNG+이/JKS
임채민	임채민/NNG
장관과의	장관/NNG+과/JKB+의/JKG
면담을	면담/NNG+을/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
회원	회원/NNG
등	등/NNB
장애인	장애인/NNG
100여명이	100/SN+여/XSN+명/NNB+이/JKS
1일	1/SN+일/NNB
오후	오후/NNG
1시부터	1/SN+시/NNB+부터/JX
50분간	50/SN+분/NNB+간/XSN
진행한	진행하/VV+ㄴ/ETM
기자회견	기자회견/NNG
모습	모습/NNG
