한자연,	한자연/NNG+,/SP
실적	실적/NNG
120점,	120/SN+점/NNB+,/SP
평가	평가/NNG
30점)	30/SN+점/NNB+)/SS
등의	등/NNB+의/JKG
하위영역	하위영역/NNG
인증기준점을	인증기준점/NNG+을/JKO
넘어야	넘/VV+어야/EC
자립생활센터로서의	자립생활센터/NNG+로서/JKB+의/JKG
인증을	인증/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

인증기준점은	인증기준점/NNG+은/JX
자립생활센터로서의	자립생활센터/NNG+로서/JKB+의/JKG
인증을	인증/NNG+을/JKO
원할시	원하/VV+ㄹ/ETM+시/NNB
하위영역	하위영역/NNP
인증기준점을	인증기준점/NNG+을/JKO
3분의	3/SN+분/XSN+의/JKG
1을	1/SN+을/JKO
넘도록	넘/VV+도록/EC
했다	하/VX+였/EP+다/EC

예를	예/NNG+를/JKO
들면	들/VV+면/EC
하위영역인	하위영역/NNG+이/VCP+ㄴ/ETM
‘총회’	‘/SN+총회/NNG+’/SL
60점에서	60/SN+점/NNB+에서/JKB
20점	20/SN+점/NNB
이상을	이상/NNG+을/JKO
확보해야	확보하/VV+여야/EC
하는	하/VX+는/ETM
것	것/NNB

반면,	반면/NNG+,/SP
신규·군	신규/NNG+·/SP+군/NNG
단위	단위/NNG
소재	소재/NNG
센터에	센터/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
인증기준점을	인증기준점/NNG+을/JKO
적용하지	적용하/VV+지/EC
않고,	않/VX+고/EC+,/SP
몇	몇/MM
가지	가지/NNB
필수기준만을	필수기준/NNG+만/JX+을/JKO
제시해	제시하/VV+여/EC
인증을	인증/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
했다	하/VX+였/EP+다/EF

이는	이/NP+는/JX
앞서	앞서/MAG
장애계의	장애/NNG+계/XSN+의/JKG
‘불공평하다’라는	‘/SL+불공평하/VA+다/EC+’/VV+라는/ETM
의견이	의견/NNG+이/JKS
반영된	반영되/VV+ㄴ/ETM
부분	부분/NNG

필수기준은	필수기준/NNG+은/JX
센터	센터/NNG
운영위원회	운영위원회/NNG
중	중/NNB
51%	51/SN+%/SW
이상이	이상/NNG+이/JKS
장애인	장애인/NNG
센터의	센터/NNG+의/JKG
소장은	소장/NNG+은/JX
장애인	장애인/NNG
센터는	센터/NNG+는/JX
지난	지나/VV+ㄴ/ETM
1년	1/SN+년/NNB
동안	동안/NNG
정보제공과	정보제공/NNG+과/JKB
의뢰,	의뢰/NNG+,/SP
동료상담,	동료상담/NNG+,/SP
권익옹호	권익옹호/NNG
및	및/MAG
자립생활기술훈련	자립생활기술훈련/NNG
이상	이상/NNG
4가지	4/SN+가지/NNB
기본사업을	기본사업/NNG+을/JKO
모두	모두/MAG
제공	제공/NNG
독립적인	독립적/NNG+이/VCP+ㄴ/ETM
사무실	사무실/NNG
확보	확보/NNG
등	등/NNB
총	총/MM
4가지다	4/SN+가지/NNB+다/EC

단,	단/NNG+,/SP
적용시점을	적용시점/NNG+을/JKO
신규센터는	신규센터/NNG+는/JX
설립한지	설립하/VV+ㄴ/ETM+지/NNB
3년,	3/SN+년/NNB+,/SP
군	군/NNG
단위	단위/NNG
소재	소재/NNG
센터는	센터/NNG+는/JX
1년만	1/SN+년/NNB+만/JX
유예하기로	유예하/VV+기/ETN+로/JKB
했으며,	하/VV+였/EP+으며/EC+,/SP
유예기간	유예기간/NNG
이후에는	이후/NNG+에/JKB+는/JX
기존	기존/NNG
센터와	센터/NNG+와/JKB
같은	같/VA+은/ETM
인증기준을	인증기준/NNG+을/JKO
충족시켜야	충족/NNG+시키/XSV+어야/EC
한다	하/VX+ㄴ다/EF

또한	또한/MAG
각각의	각각/NNG+의/JKG
인증지표를	인증지표/NNG+를/JKO
제시하는	제시하/VV+는/ETM
항목	항목/NNG
이외	이외/NNG
별도의	별도/NNG+의/JKG
조항을	조항/NNG+을/JKO
둬,	두/VV+어/EC+,/SP
노력	노력/NNG
또는	또는/MAG
계획을	계획/NNG+을/JKO
통해	통하/VV+여/EC
인증지표를	인증지표/NNG+를/JKO
충족하는	충족하/VV+는/ETM
것과	것/NNB+과/JKB
유사한	유사하/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
보이는	보이/VV+는/ETM
경우에	경우/NNG+에/JKB
한해	한하/VV+여/EC
정성평가를	정성평가/NNG+를/JKO
거쳐	거치/VV+어/EC
최저점인	최저점/NNG+이/VCP+ㄴ/ETM
10점을	10/SN+점/NNB+을/JKO
부여하기로	부여하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

일례로	일례/NNG+로/JKB
총회영역의	총/XPN+회영역/NNG+의/JKG
경우,	경우/NNG+,/SP
1회	1/SN+회/NNB
이상	이상/NNG
정기적으로	정기적/NNG+으로/JKB
개최,	개최/NNG+,/SP
소집	소집/NNG
및	및/MAG
개최와	개최/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
사항	사항/NNG
기록	기록/NNG
및	및/MAG
관리,	관리/NNG+,/SP
총회	총회/NNG
운영과	운영/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
명문화된	명문화되/VV+ㄴ/ETM
규정소지	규정소지/NNG
등	등/NNB
3가지	3/SN+가지/NNB
항목	항목/NNG
이외	이외/NNG
별도로	별도/NNG+로/JKB
‘정기적으로	‘/SN+정기적/NNG+으로/JKB
총회를	총회/NNG+를/JKO
소집	소집/NNG
및	및/MAG
개최하기	개최하/VV+기/ETN
위해	위하/VV+여/EC
별도로	별도/NNG+로/JKB
실행하고	실행하/VV+고/EC
있는	있/VX+는/ETM
노력	노력/NNG
또는	또는/MAG
향후	향후/NNG
계획이	계획/NNG+이/JKS
있으면	있/VA+으면/EC
자세히	자세히/MAG
작성하시오’라는	작성하/VV+시/EP+오/EC+’/VV+라는/ETM
항목을	항목/NNG+을/JKO
둬	두/VV+어/EC
적절한	적절하/VA+ㄴ/ETM
기입	기입/NNG
시	시/NNG
최소점수	최소점수/NNG
10점이	10/SN+점/NNB+이/JKC
부과된다	부과되/VV+ㄴ다/EF

인증절차는	인증절차/NNG+는/JX
최초	최초/NNG
인증과	인증/NNG+과/JC
재인증으로	재인증/NNG+으로/JKB
구분해	구분하/VV+여/EC
최초인증의	최초인증/NNG+의/JKG
경우	경우/NNG
매년	매년/MAG
1회씩	1/SN+회/NNB+씩/XSN
신청할	신청하/VV+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
인증기준점을	인증기준점/NNG+을/JKO
통과하지	통과하/VV+지/EC
못할	못하/VX+ㄹ/ETM
시	시/NNB
다음해에	다음해/NNG+에/JKB
인증	인증/NNG
또는	또는/MAG
재인증이	재인증/NNG+이/JKS
가능하며	가능하/VA+며/EC
제한은	제한/NNG+은/JX
없다	없/VA+다/EF

인증을	인증/NNG+을/JKO
희망하는	희망하/VV+는/ETM
센터는	센터/NNG+는/JX
매해	매해/MAG
3월	3/SN+월/NNB
인증을	인증/NNG+을/JKO
신청해야	신청하/VV+여야/EC
하고	하/VX+고/EC
4월부터	4/SN+월/NNB+부터/JX
5월까지	5/SN+월/NNB+까지/JX
신청한	신청하/VV+ㄴ/ETM
센터를	센터/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
서류	서류/NNG
심사	심사/NNG
및	및/MAG
현장	현장/NNG
실사를	실사/NNG+를/JKO
진행한	진행하/VV+ㄴ/ETM
후,	후/NNG+,/SP
최종적으로	최종적/NNG+으로/JKB
6월에	6/SN+월/NNB+에/JKB
인증여부를	인증여부/NNG+를/JKO
결정	결정/NNG
및	및/MAG
공지한다	공지하/VV+ㄴ다/EF

인증의	인증/NNG+의/JKG
효력은	효력/NNG+은/JX
3년으로,	3/SN+년/NNB+으로/JKB+,/SP
최초로	최초/NNG+로/JKB
인증을	인증/NNG+을/JKO
통과한	통과하/VV+ㄴ/ETM
센터는	센터/NNG+는/JX
최초	최초/NNG
인증	인증/NNG
이	이/MM
후	후/NNG
3년마다	3/SN+년/NNB+마다/JX
재인증을	재인증/NNG+을/JKO
신청해서	신청하/VV+여서/EC
같은	같/VA+은/ETM
방식으로	방식/NNG+으로/JKB
인증을	인증/NNG+을/JKO
통과해야	통과하/VV+여야/EC
한다	하/VX+ㄴ다/EF

만약	만약/NNG
최초	최초/NNG
인증	인증/NNG
3년	3/SN+년/NNB
후	후/NNG
재인증을	재인증/NNG+을/JKO
통과하지	통과하/VV+지/EC
못한다면	못하/VX+ㄴ다면/EC
다음	다음/NNG
년도에	년도/NNB+에/JKB
다시	다시/MAG
한	한/MM
번	번/NNB
인증을	인증/NNG+을/JKO
동일한	동일하/VA+ㄴ/ETM
절차대로	절차/NNG+대로/JX
통과해야	통과하/VV+여야/EC
한다	하/VX+ㄴ다/EF

‘누가	‘/SL+누구/NP+가/JKS
누굴	누구/NP+ㄹ/JKO
인정하느냐’,	인정하/VV+느냐/EC+’/VCP+,/SP
‘누구	‘/SN+누구/NNG
주체로	주체/NNG+로/JKB
이뤄지냐’란	이루어지/VV+냐/EC+’/SN+이/VCP+란/ETM
의견으로	의견/NNG+으로/JKB
문제를	문제/NNG+를/JKO
빚었던	빚/VV+었/EP+던/ETM
인증	인증/NNG
주체에	주체/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
향후	향후/NNG
복지부에서	복지부/NNG+에서/JKB
공신력	공신력/NNG
있는	있/VA+는/ETM
기관에	기관/NNG+에/JKB
위탁하기	위탁하/VV+기/ETN
전까지	전/NNG+까지/JX
당분간	당분간/MAG
한자연	한자연/NNG
소속	소속/NNG
자립센터에	자립센터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인증은	인증/NNG+은/JX
한자연에서	한자연/NNG+에서/JKB
수행하게	수행하/VV+게/EC
된다	되/VV+ㄴ다/EF

아울러	아울러/MAG
한자연은	한자연/NNP+은/JX
향후	향후/NNG
정부에서	정부/NNG+에서/JKB
수행해야	수행하/VV+여야/EC
할	하/VX+ㄹ/ETM
센터	센터/NNG
인증사업의	인증사업/NNG+의/JKG
기초	기초/NNG
자료를	자료/NNG+를/JKO
제공하기	제공하/VV+기/ETN
위해	위하/VV+여/EC
국비,	국비/NNG+,/SP
시도비	시도비/NNG
또는	또는/MAG
시비	시비/NNG
지원	지원/NNG
중	중/NNB
최소한	최소한/NNG
1개	1/SN+개/NNB
이상의	이상/NNG+의/JKG
지원받는	지원/NNG+받/VV+는/ETM
센터에	센터/NNG+에/JKB
한해,	한하/VV+여/EC+,/SP
인증기준	인증기준/NNG
점수의	점수/NNG+의/JKG
2배에	2/SN+배/NNG+에/JKB
해당하는	해당하/VV+는/ETM
3분의	3/SN+분/XSN+의/JKG
2를	2/SN+를/JKO
넘어야	넘/VV+어야/EC
하는	하/VX+는/ETM
보다	보다/MAG
더	더/MAG
엄격한	엄격하/VA+ㄴ/ETM
기준도	기준/NNG+도/JX
함께	함께/MAG
제시하기도	제시하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

김동기	김동기/NNP
교수는	교수/NNG+는/JX
“인증은	“/SN+인증/NNG+은/JX
자립생활센터의	자립생활센터/NNG+의/JKG
질	질/NNG
관리를	관리/NNG+를/JKO
통해	통하/VV+여/EC
장애인	장애인/NNG
자조모임과의	자조모임/NNG+과/JKB+의/JKG
역할	역할/NNG
및	및/MAG
성격을	성격/NNG+을/JKO
명확히	명확히/MAG
함으로써	하/VV+ㅁ/ETN+으로써/JKB
향후	향후/NNG
양적으로	양적/NNG+으로/JKB
팽창하는	팽창하/VV+는/ETM
자립생활센터의	자립생활센터/NNG+의/JKG
성장에	성장/NNG+에/JKB
질적인	질적/NNG+이/VCP+ㄴ/ETM
성장을	성장/NNG+을/JKO
가미하기	가미하/VV+기/ETN
위해	위하/VV+여/EC
만들어졌다”며	만들/VV+어/EC+지/VX+었/EP+다/EC+”/VV+며/EC
“그간	“/SN+그간/NNG
의견수렴	의견수렴/NNG
단계에서	단계/NNG+에서/JKB
장애계의	장애/NNG+계/XSN+의/JKG
지적을	지적/NNG+을/JKO
최종안에	최종안/NNG+에/JKB
반영을	반영/NNG+을/JKO
하고	하/VV+고/EC
매뉴얼을	매뉴얼/NNG+을/JKO
만들었다	만들/VV+었/EP+다/EC

내년부터	내년/NNG+부터/JX
한자연	한/MM+자연/NNG
소속	소속/NNG
단체에	단체/NNG+에/JKB
대해	대하/VV+여/EC
적용될	적용되/VV+ㄹ/ETM
예정”이라고	예정”/NNG+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

‘장애인자립생활센터	‘/SL+장애인자립생활센터/NNG
인증매뉴얼	인증매뉴얼/NNG
설명회’에	설명회’/NNG+에/JKB
참가해	참가하/VV+여/EC
의견을	의견/NNG+을/JKO
청취중인	청취/NNG+중/NNB+이/VCP+ㄴ/ETM
장애인들	장애인/NNG+들/XSN
