“저상버스	“/SL+저상버스/NNG
따르면	따르/VV+면/EC
지난해까지	지난해/NNG+까지/JX
전국의	전국/NNG+의/JKG
저상버스	저상버스/NNG
도입률을	도입률/NNG+을/JKO
31	31/SN

5%로	5/SN+%/SW+로/JKB
잡았지만	잡/VV+았/EP+지만/EC
실제	실제/NNG
12%만	12/SN+%/SW+만/JX
도입됐으며,	도입되/VV+었/EP+으며/EC+,/SP
전국	전국/NNG
특별교통수단도	특별교통수단/NNG+도/JX
법정	법정/NNG
기준대수를	기준대수/NNG+를/JKO
충족시키지	충족/NNG+시키/XSV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
현실이다	현실/NNG+이/VCP+다/EC

더욱이	더욱이/MAG
이들은	이/NP+들/XSN+은/JX
줄곧	줄곧/MAG
1인	1/SN+인/NNG
시위,	시위/NNG+,/SP
기자회견	기자회견/NNG
개최	개최/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
2010년	2010/SN+년/NNB
특별교통수단	특별교통수단/NNG
도입기준이	도입기준/NNG+이/JKS
1·2급	1/SN+·/SP+2/SN+급/NNG
장애인	장애인/NNG
200명	200/SN+명/NNB
당	당/XSN
1대로	1/SN+대/NNB+로/JKB
변경된	변경되/VV+ㄴ/ETM
것은	것/NNB+은/JX
의무	의무/NNG
도입대수	도입대수/NNG
축소로	축소/NNG+로/JKB
이어지고	이어지/VV+고/EC
있다고	있/VX+다고/EC
목소리를	목소리/NNG+를/JKO
높여왔다	높이/VV+어/EC+오/VX+았/EP+다/EF

전국장애인차별철폐연대(이하	전/MM+국장애인차별철폐연대/NNG+(/SS+이하/NNG
전장연)	전장연/NNP+)/SS
등이	등/NNB+이/JKS
새누리당	새누리당/NNP
중앙당사	중앙당사/NNG
앞에서	앞/NNG+에서/JKB
진행한	진행하/VV+ㄴ/ETM
서울	서울/NNP
지역	지역/NNG
기자회견에서는	기자회견/NNG+에서/JKB+는/JX
열악한	열악하/VA+ㄴ/ETM
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
현실을	현실/NNG+을/JKO
지적하는	지적하/VV+는/ETM
목소리가	목소리/NNG+가/JKS
이어졌다	이어지/VV+었/EP+다/EF

한국장애인자립생활협의회	한국/NNP+장애인자립생활협의회/NNG
최강민	최강민/NNP
사무총장은	사무총장/NNG+은/JX
“저상버스를	“/SN+저상버스/NNG+를/JKO
타려면	타/VV+려면/EC
1시간이고	1/SN+시간/NNB+이/VCP+고/EC
2시간이고	2/SN+시간/NNB+이/VCP+고/EC
무작정	무작정/NNG
기다려야	기다리/VV+어야/EC
하는	하/VX+는/ETM
지금	지금/NNG
상황에서	상황/NNG+에서/JKB
정부는	정부/NNG+는/JX
저상버스	저상버스/NNG
도입	도입/NNG
계획조차	계획/NNG+조차/JX
제대로	제대로/MAG
지키지	지키/VV+지/EC
않고	않/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"폐차를	"/SS+폐차/NNG+를/JKO
저상버스로	저상버스/NNG+로/JKB
대체할	대체하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여러	여러/MM
방법이	방법/NNG+이/JKS
있는데	있/VA+는데/EC
왜	왜/MAG
방법도	방법/NNG+도/JX
논의하지	논의하/VV+지/EC
않는	않/VX+는/ETM
지	지/NNB
알	알/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
토로했다	토로하/VV+였/EP+다/EF

최	최/NNP
사무총장은	사무총장/NNG+은/JX
또한	또한/MAG
"매번	"/SS+매번/MAG
장애인은	장애인/NNG+은/JX
그나마	그나마/MAG
엘리베이터	엘리베이터/NNG
잘	잘/MAG
되어	되/VV+어/EC
있는	있/VX+는/ETM
지하철만	지하철/NNG+만/JX
타야	타/VV+아야/EC
되냐"면서	되/VV+냐/EF+"/SS+면서/EC
"장애인도	"/SS+장애인/NNG+도/JX
버스를	버스/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권리가	권리/NNG+가/JKS
있다	있/VA+다/EC

우리도	우리/NP+도/JX
버스를	버스/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해	하/VX+여/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
요구했다	요구하/VV+었/EP+다/EC

대전장애인차별철폐연대	대전/NNP+장애인차별철폐연대/NNG
박흥기	박흥기/NNP
공동대표는	공동대표/NNG+는/JX
"저상버스를	"/SS+저상버스/NNG+를/JKO
1대	1/SN+대/NNB
놓치고	놓치/VV+고/EC
기다리던	기다리/VV+던/ETM
중	중/NNB
갑자기	갑자기/MAG
비가	비/NNG+가/JKS
와서	오/VV+아서/EC
심지어	심지어/MAG
비를	비/NNG+를/JKO
맞고	맞/VV+고/EC
서	서/VV+어/EC
있어야	있/VX+어야/EC
했다"면서	하/VX+였/EP+다/EF+"/SS+면서/EC
"장애인	"/SS+장애인/NNG
뿐만	뿐/NNB+만/JX
노인,	노인/NNG+,/SP
유모차를	유모차/NNG+를/JKO
사용하는	사용하/VV+는/ETM
부모까지	부모/NNG+까지/JX
모두	모두/MAG
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
저상버스를	저상버스/NNG+를/JKO
100%도입해	100/SN+%/SW+도입하/VV+여/EC
모든	모든/MM
국민이	국민/NNG+이/JKS
행복할	행복하/VA+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
이동편의증진법을	이동편의증진법/NNG+을/JKO
개정해달라”고	개정하/VV+여/EC+달/VX+라/EC+”/VV+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

특히	특히/MAG
전장연은	전장연/NNP+은/JX
“장애인의	“/SL+장애인/NNG+의/JKG
이동권을	이동/NNG+권/XSN+을/JKO
보장받지	보장/NNG+받/VV+지/EC
못하고	못하/VX+고/EC
권리가	권리/NNG+가/JKS
침해되는	침해/NNG+되/XSV+는/ETM
상황이	상황/NNG+이/JKS
계속	계속/MAG
발생되고	발생되/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“19대	“/SL+19/SN+대/NNB
국회와	국회/NNG+와/JC
대선	대선/NNG
후보자의	후보자/NNG+의/JKG
책임	책임/NNG
있는	있/VA+는/ETM
법	법/NNB
개정	개정/NNG
약속을	약속/NNG+을/JKO
요구	요구/NNG
한다”고	하/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

전장연	전장연/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
기자회견을	기자회견/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
새누리당	새누리당/NNP
김동진	김동진/NNP
민원국장에게	민원국장/NNG+에게/JKB
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
보장	보장/NNG
요구안과	요구안/NNG+과/JC
황우여	황우여/NNP
원내대표	원내대표/NNG
면담서를,	면담서/NNG+를/JKO+,/SP
이외	이외/NNG
10개	10/SN+개/NNB
지역장애인단체들도	지역장애인단/NNG+체들/XSN+도/JX
새누리당	새누리당/NNP
각	각/MM
지역	지역/NNG
당에	당/NNG+에/JKB
요구안을	요구안/NNG+을/JKO
전달했다	전달하/VV+였/EP+다/EC

기자회견을	기자회견/NNG+을/JKO
갖지	갖/VV+지/EC
않은	않/VX+은/ETM
인천시,	인천시/NNP+,/SP
강원도,	강원도/NNP+,/SP
전라북도,	전라북도/NNP+,/SP
충청남도,	충청남도/NNP+,/SP
제주시	제주시/NNP
등	등/NNB
5곳의	5/SN+곳/NNG+의/JKG
장애인단체들도	장애인단체/NNG+들/XSN+도/JX
요구안을	요구안/NNG+을/JKO
공문으로	공문/NNG+으로/JKB
발송했다	발송하/VV+였/EP+다/EF

요구안에는	요구안/NNG+에/JKB+는/JX
저상버스	저상버스/NNG
도입량에	도입량/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법정기준	법정기준/NNG
명시	명시/NNG
시외·고속·마을버스	시외/NNG+·/SP+고속/NNG+·/SP+마을버스/NNG
등의	등/NNB+의/JKG
저상버스	저상버스/NNG
도입	도입/NNG
규정	규정/NNG
특별교통수단	특별교통수단/NNG
의무도입기준	의무도입기준/NNG
확대	확대/NNG
국가와	국가/NNG+와/JC
도지사가	도지사/NNG+가/JKS
특별교통수단	특별교통수단/NNG
운영에	운영/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임	책임/NNG
명시	명시/NNG
등	등/NNB
편의증진법	편의증진법/NNG
개정의	개정/NNG+의/JKG
내용이	내용/NNG+이/JKS
들어	들/VV+어/EC
있다	있/VX+다/EC

한편	한편/MAG
전장연을	전장연/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
각	각/MM
지역	지역/NNG
장애인단체	장애인단체/NNG
소속	소속/NNG
회원들은	회원/NNG+들/XSN+은/JX
오는	오/VV+는/ETM
8월	8/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
매주	매주/MAG
낮	낮/NNG
12시	12/SN+시/NNB
전국	전국/NNG
100여개의	100/SN+여/XSN+개/NNB+의/JKG
버스정류장에서	버스정류장/NNG+에서/JKB
이동편의증진법	이동편의증진법/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
진행할	진행하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

전장연	전장연/NNP
소속	소속/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
새누리당	새누리당/NNP
김동진	김동진/NNP
민원국장에게	민원국장/NNG+에게/JKB
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
보장	보장/NNG
요구안와	요구안/NNG+와/JC
황우여	황우여/NNP
원내대표	원내대표/NNG
면담서를	면담서/NNG+를/JKO
전달하고	전달하/VV+고/EC
있다	있/VX+다/EC
