활발해	활발하/VA+여/EC
위한	위하/VV+ㄴ/ETM
업무,	업무/NNG+,/SP
장애포용	장애포용/NNG
농업	농업/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다	있/VX+다/EC

나이린서	나이/NNG+린/EP+서/EC
프로그램	프로그램/NNG
부장은	부장/NNG+은/JX
“장애인이	“/SN+장애인/NNG+이/JKS
비장애인과	비장애인/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
자신의	자신/NNG+의/JKG
완전한	완전하/VA+ㄴ/ETM
잠재력을	잠재력/NNG+을/JKO
갖고	갖/VV+고/EC
독립적으로	독립적/NNG+으로/JKB
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
포용적이며,	포용적/NNG+이/VCP+며/EC+,/SP
권리에	권리/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
장애물	장애물/NNG
없는	없/VA+는/ETM
사회구현이	사회구현/NNG+이/JKS
이루어져야	이루어지/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC
