장애인주거	장애인주거/NNG
김	김/NNP
씨는	씨/NNB+는/JX
지난해	지난해/NNG
전세임대지원에	전/MM+세임대지원/NNG+에/JKB
선정돼	선정되/VV+어/EC
4000만원	4000/SN+만/NR+원/NNB
한도의	한도/NNG+의/JKG
현재	현재/MAG
약	약/MM
15평의	15/SN+평/NNB+의/JKG
집에서	집/NNG+에서/JKB
아들	아들/NNG
2명과	2/SN+명/NNB+과/JKB
생활하고	생활하/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
아이들이	아이/NNG+들/XSN+이/JKS
커감에	크/VA+어/EC+가/VX+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
독립적인	독립적/NNG+이/VCP+ㄴ/ETM
주거공간이	주거공간/NNG+이/JKS
필요하지만,	필요하/VA+지만/EC+,/SP
이를	이/NP+를/JKO
위해서는	위하/VV+여서/EC+는/JX
약	약/MM
6000만원이	6000/SN+만/NR+원/NNB+이/JKS
있어야	있/VA+어야/EC
방	방/NNG
3개의	3/SN+개/NNB+의/JKG
주거공간을	주거공간/NNG+을/JKO
구할	구하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

김씨는	김/NNP+씨/NNB+는/JX
“현재	“/SL+현재/MAG
살고	살/VV+고/EC
있는	있/VX+는/ETM
곳은	곳/NNG+은/JX
큰	크/VA+ㄴ/ETM
아이가	아이/NNG+가/JKS
방	방/NNG
1개,	1/SN+개/NNB+,/SP
나머지	나머지/NNG
방에서	방/NNG+에서/JKB
작은아이와	작은아이/NNG+와/JKB
함께	함께/MAG
생활하고	생활하/VV+고/EC
있다	있/VX+다/EC

그렇다보니	그렇/VA+다/EC+보/VX+니/EC
작은아이의	작은아이/NNG+의/JKG
학습에	학습/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
독립적인	독립적/NNG+이/VCP+ㄴ/ETM
공간이	공간/NNG+이/JKS
부족하고,	부족하/VA+고/EC+,/SP
나의	나/NP+의/JKG
사생활이	사생활/NNG+이/JKS
전혀	전혀/MAG
없다”며	없/VA+다/EC+”/VX+며/EC
“전세임대의	“/SL+전세임대/NNG+의/JKG
한도를	한도/NNG+를/JKO
방	방/NNG
3개가	3/SN+개/NNB+가/JKS
있는	있/VA+는/ETM
주거공간을	주거공간/NNG+을/JKO
구할	구하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
늘려야하고,	늘리/VV+어야/EC+하/VX+고/EC+,/SP
시중	시중/NNG
임대아파트에	임대아파트/NNG+에/JKB
입주할	입주하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
임대	임대/NNG
조건을	조건/NNG+을/JKO
완화해야	완화하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

김	김/NNP
씨는	씨/NNB+는/JX
또한	또한/MAG
현	현/MM
주거공간의	주거공간/NNG+의/JKG
편의시설이	편의시설/NNG+이/JKS
열악해	열악하/VA+여/EC
장애인	장애인/NNG
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
편의시설이	편의시설/NNG+이/JKS
갖춰	갖추/VV+어/EC
져야함을	지/VX+어야/EC+하/VX+ㅁ/ETN+을/JKO
역설했다	역설하/VV+였/EP+다/EF

김씨는	김/NNP+씨/NNB+는/JX
“현재	“/SL+현재/NNG
화장실은	화장실/NNG+은/JX
폭이	폭/NNG+이/JKS
65cm라서	65/SN+cm/SL+라서/EC
전동휠체어나,	전동휠체어/NNG+나/JC+,/SP
전동	전동/NNG
스쿠터는	스쿠터/NNG+는/JX
사용이	사용/NNG+이/JKS
불가능하고	불가능하/VA+고/EC
변기	변기/NNG
주변에는	주변/NNG+에/JKB+는/JX
장애인보조기구가	장애인보조기구/NNG+가/JKS
갖춰져	갖추/VV+어/EC+지/VX+어/EC
있지	있/VX+지/EC
않다	않/VX+다/EC

또한	또한/MAG
집	집/NNG
건물	건물/NNG
입구에	입구/NNG+에/JKB
위치한	위치하/VV+ㄴ/ETM
경사로	경사/NNG+로/JKB
모퉁이의	모퉁이/NNG+의/JKG
곡율	곡율/NNG
반경이	반경/NNG+이/JKS
적어서	적/VA+어서/EC
휠체어	휠체어/NNG
접근이	접근/NNG+이/JKS
어렵다”며	어렵/VA+다/EC+”/VX+며/EC
“편의시설과	“/SN+편의시설/NNG+과/JC
접근성이	접근성/NNG+이/JKS
보장돼	보장되/VV+어/EC
있는	있/VX+는/ETM
임대아파트나	임대아파트/NNG+나/JC
다가구	다/XPN+가구/NNG
주택이	주택/NNG+이/JKS
필요하다”고	필요하/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
