"중앙일보,	"/SS+중앙일보/NNP+,/SP
받길	받/VV+기/ETN+ㄹ/JKO
바라고	바라/VV+고/EC
계속	계속/MAG
이동의	이동/NNG+의/JKG
자유를	자유/NNG+를/JKO
요구할	요구하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

박	박/NNP
사무처장은	사무처/NNG+장/XSN+은/JX
또한	또한/MAG
“10여년	“/SL+10/SN+여/XSN+년/NNB
동안	동안/NNG
장애인	장애인/NNG
이동권을	이동/NNG+권/XSN+을/JKO
위해	위하/VV+여/EC
투쟁해	투쟁하/VV+여/EC
오면서	오/VX+면서/EC
저상버스나	저상버스/NNG+나/JC
장애인콜택시가	장애인콜택시/NNG+가/JKS
다니는	다니/VV+는/ETM
것을	것/NNB+을/JKO
보면	보/VV+면/EC
뿌듯함도	뿌듯하/VA+ㅁ/ETN+도/JX
많이	많이/MAG
느껴왔지만	느끼/VV+어/EC+오/VX+았/EP+지만/EC
중앙일보의	중앙일보/NNP+의/JKG
기사는	기사/NNG+는/JX
지금까지의	지금/NNG+까지/JX+의/JKG
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
역사를	역사/NNG+를/JKO
역행하는	역행하/VV+는/ETM
것에	것/NNB+에/JKB
불과하다”며	불과하/VA+다/EC+”/VX+며/EC
“저상버스	“/SL+저상버스/NNG
보급보단	보급보/NNG+단/XSN
콜택시가	콜택시/NNG+가/JKS
필요하다는	필요하/VA+다는/ETM
내용의	내용/NNG+의/JKG
중앙일보의	중앙일보/NNP+의/JKG
무책임에	무책임/NNG+에/JKB
혀를	혀/NNG+를/JKO
내두를	내두르/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

기자회견	기자회견/NNG
후	후/NNG
박	박/NNP
대표는	대표/NNG+는/JX
중앙일보	중앙일보/NNP
사회1부	사회/NNG+1/SN+부/NNB
강갑생	강갑생/NNP
차장에게	차장/NNG+에게/JKB
정정보도,	정정보도/NNG+,/SP
공식사과,	공식사과/NNG+,/SP
기사	기사/NNG
재보도	재보도/NNP
요청의	요청/NNG+의/JKG
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
문서를	문서/NNG+를/JKO
전달했다	전달하/VV+였/EP+다/EC

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임공동대표가	상임공동대표/NNG+가/JKS
중앙일보	중앙일보/NNP
사회1부	사회/NNG+1/SN+부/NNB
강갑생	강갑생/NNP
차장에게	차장/NNG+에게/JKB
왜곡	왜곡/NNG
보도한	보도하/VV+ㄴ/ETM
중앙일보에	중앙일보/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
정정보도	정정보도/NNG
및	및/MAG
공식사과,	공식사과/NNG+,/SP
기사	기사/NNG
재보도	재보도/NNP
요청의	요청/NNG+의/JKG
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
문서를	문서/NNG+를/JKO
전달하고	전달하/VV+고/EC
기자회견이	기자회견/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+여/EC
설명하고	설명하/VV+고/EC
있다	있/VX+다/EC

중앙일보	중앙일보/NNP
6월	6/SN+월/NNB
6일자	6/SN+일자/NNG
기사	기사/NNG
전문‘장애인에게	전문‘장애인/NNG+에게/JKB
불편하네요	불편하/VA+네오/EF
…	…/SE
장애인	장애인/NNG
위한	위하/VV+ㄴ/ETM
저상버스’	저상버스/NNG+’/SL
[르포]	[/SS+르포/NNG+]/SS
9년	9/SN+년/NNB
만에	만/NNB+에/JKB
버스	버스/NNG
타기	타/VV+기/ETN
도전한	도전하/VV+ㄴ/ETM
척수장애인	척수장애인/NNG
이승일씨정부가	이승일/NNP+씨/NNB+정부/NNG+가/JKS
4년간	4/SN+년/NNB+간/XSN
4500억원을	4500/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
저상(低床)버스	저상/NNG+(/SS+低床/SL+)/SS+버스/NNG
1만여	1/SN+만/NR+여/XSN
대를	대/NNB+를/JKO
더	더/MAG
보급하기로	보급하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
‘교통약자증진법	‘/SL+교통약자증진법/NNP
개정령’을	개정령/NNG+’/SL+을/JKO
공포한	공포하/VV+ㄴ/ETM
1일	1/SN+일/NNB

척수장애인협회	척수장애인협회/NNG
이승일(41)	이승일/NNP+(/SS+41/SN+)/SS
과장과	과장/NNG+과/JC
서울	서울/NNP
여의도	여의도/NNP
정류장에서	정류장/NNG+에서/JKB
버스를	버스/NNG+를/JKO
기다렸다	기다리/VV+었/EP+다/EC

정부	정부/NNG
발표대로	발표/NNG+대로/JX
저상버스가	저상버스/NNG+가/JKS
장애인이	장애인/NNG+이/JKS
이용하기	이용하/VV+기/ETN
편리한지	편리하/VA+ㄴ지/EC
확인하기	확인하/VV+기/ETN
위해서였다	위하/VV+여서/EC+이/VCP+었/EP+다/EF

휠체어를	휠체어/NNG+를/JKO
타는	타/VV+는/ETM
이씨는	이/NNP+씨/NNB+는/JX
“2003년	“/SL+2003/SN+년/NNB
병으로	병/NNG+으로/JKB
다리가	다리/NNG+가/JKS
마비된	마비되/VV+ㄴ/ETM
뒤	뒤/NNG
처음으로	처음/NNG+으로/JKB
버스를	버스/NNG+를/JKO
탄다”고	타/VV+ㄴ다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

평소엔	평소/NNG+에/JKB+ㄴ/JX
장애인용으로	장애인용/NNG+으로/JKB
개조한	개조하/VV+ㄴ/ETM
차로	차/NNG+로/JKB
출퇴근을	출퇴근/NNG+을/JKO
한다고	하/VV+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

10여	10/SN+여/XSN
분	분/NNB
뒤	뒤/NNG
버스가	버스/NNG+가/JKS
왔다	오/VV+았/EP+다/EF

하지만	하지만/MAJ
이씨는	이/NNP+씨/NNB+는/JX
혼자	혼자/NNG
힘으로	힘/NNG+으로/JKB
버스를	버스/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
없었다	없/VA+었/EP+다/EF

휠체어	휠체어/NNG
리프트가	리프트/NNG+가/JKS
고장	고장/NNG
나	나/VV+아/EC
반밖에	반/NNG+밖에/JX
올라가지	올라가/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

기자가	기자/NNG+가/JKS
뒤에서	뒤/NNG+에서/JKB
휠체어를	휠체어/NNG+를/JKO
밀어	밀/VV+어/EC
올렸다	올리/VV+었/EP+다/EC

점심시간이라	점심시간/NNG+이/VCP+라/EC
승객은	승객/NNG+은/JX
많지	많/VA+지/EC
않았다	않/VX+았/EP+다/EF

이씨는	이/NNP+씨/NNB+는/JX
휠체어	휠체어/NNG
세울	세우/VV+ㄹ/ETM
곳부터	곳/NNG+부터/JX
찾았다	찾/VV+았/EP+다/EC

차내에	차내/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
휠체어	휠체어/NNG
고정장치는	고/XPN+정장치/NNG+는/JX
단	단/MM
2개	2/SN+개/NNB

그나마	그나마/MAG
위에	위/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
보조의자가	보조의자/NNG+가/JKS
잘	잘/MAG
접히지	접히/VV+지/EC
않았다	않/VX+았/EP+다/EF

버스기사는	버스기사/NNG+는/JX
“장애인이	“/SN+장애인/NNG+이/JKS
타	타/MM
의자를	의자/NNG+를/JKO
접는	접/VV+는/ETM
경우는	경우/NNG+는/JX
한	한/MM
달에	달/NNB+에/JKB
두세	두세/MM
번뿐”이라고	번/NNB+뿐/JX+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

이씨가	이/NNP+씨/NNB+가/JKS
간신히	간신히/MAG
의자를	의자/NNG+를/JKO
접고	접/VV+고/EC
휠체어를	휠체어/NNG+를/JKO
고정시키자	고정/NNG+시키/XSV+자/EC
버스가	버스/NNG+가/JKS
출발했다	출발하/VV+었/EP+다/EC

이씨는	이/NNP+씨/NNB+는/JX
행여	행여/MAG
휠체어가	휠체어/NNG+가/JKS
밀리지	밀리/VV+지/EC
않을까	않/VX+을까/EC
힘껏	힘껏/MAG
손잡이를	손잡이/NNG+를/JKO
움켜쥐었다	움켜쥐/VV+었/EP+다/EF

주위	주위/NNG
승객들은	승객/NNG+들/XSN+은/JX
그런	그런/MM
모습이	모습/NNG+이/JKS
신기한	신기하/VA+ㄴ/ETM
듯	듯/NNB
계속	계속/MAG
힐끔거렸다	힐끔거리/VV+었/EP+다/EF

20여	20/SN+여/XSN
분	분/NNB
뒤	뒤/NNG
버스가	버스/NNG+가/JKS
마포에	마포/NNP+에/JKB
도착했다	도착하/VV+였/EP+다/EF

땀투성이가	땀투성이/NNG+가/JKC
돼	되/VV+어/EC
버스에서	버스/NNG+에서/JKB
내린	내리/VV+ㄴ/ETM
이씨는	이/NNP+씨/NNB+는/JX
“내내	“/SN+내내/MAG
힘들고	힘들/VA+고/EC
불편했다	불편하/VA+었/EP+다/EC

사람이	사람/NNG+이/JKS
많은	많/VA+은/ETM
출퇴근	출퇴근/NNG
시간에는	시간/NNG+에/JKB+는/JX
도저히	도저히/MAG
못	못/MAG
타겠더라”고	타/VV+겠/EP+더라”고/EC
말했다	말하/VV+였/EP+다/EC

정부가	정부/NNG+가/JKS
장애인들이	장애인/NNG+들/XSN+이/JKS
잘	잘/MAG
이용하지도	이용하/VV+지/EC+도/JX
않는	않/VX+는/ETM
저상버스	저상버스/NNG
확대를	확대/NNG+를/JKO
강행해	강행하/VV+여/EC
논란이	논란/NNG+이/JKC
되고	되/VV+고/EC
있다	있/VX+다/EC

국토해양부는	국토해양부/NNP+는/JX
2016년까지	2016/SN+년/NNB+까지/JX
시내버스의	시내버스/NNG+의/JKG
41	41/SN

5%를	5/SN+%/SW+를/JKO
저상버스로	저상버스/NNG+로/JKB
교체할	교체하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

하지만	하지만/MAJ
실제	실제/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
어떤	어떤/MM
교통수단을	교통수단/NNG+을/JKO
선호하는지	선호하/VV+는지/EC
현황	현황/NNG
파악조차	파악/NNG+조차/JX
안	안/MAG
돼	되/VV+어/EC
있다	있/VX+다/EF

손명선	손명선/NNP
국토부	국토부/NNG
교통안전복지과장은	교통안전복지과장/NNG+은/JX
“당장은	“/SN+당장/NNG+은/JX
이용률이	이용률/NNG+이/JKS
낮다고	낮/VA+다고/EC
해도	하/VV+여도/EC
저상버스가	저상버스/NNG+가/JKS
늘어	늘/VV+어/EC
배차간격이	배차간격/NNG+이/JKS
줄면	줄/VV+면/EC
이용률은	이용률/NNG+은/JX
자연히	자연히/MAG
올라갈	올라가/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

반면	반면/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
시큰둥하다	시크/VA+ㄴ/ETM+둥하/VA+다/EC

전동휠체어를	전동휠체어/NNG+를/JKO
타는	타/VV+는/ETM
김데니	김데니/NNP
한국장애인단체총연맹	한국/NNP+장애인단체총연맹/NNG
정책위원은	정책위원/NNG+은/JX
“저상버스라	“/SN+저상버스/NNG+이/VCP+라/EC
해도	하/VV+여도/EC
울퉁불퉁한	울퉁불퉁하/VA+ㄴ/ETM
도로를	도로/NNG+를/JKO
달릴	달리/VV+ㄹ/ETM
때	때/NNG
위험하긴	위험하/VA+기/ETN+ㄴ/JX
마찬가지”라며	마찬가지”/NNG+이/VCP+라며/EC
“대다수	“대다수/NNG
장애인은	장애인/NNG+은/JX
버스	버스/NNG
대신	대신/NNG
지하철이나	지하철/NNG+이나/JC
콜택시를	콜택시/NNG+를/JKO
이용한다”고	이용하/VV+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

불편한	불편하/VA+ㄴ/ETM
구조도	구조/NNG+도/JX
문제로	문제/NNG+로/JKB
지적된다	지적되/VV+ㄴ다/EF

해외	해외/NNG
저상버스는	저상버스/NNG+는/JX
차체가	차체/NNG+가/JKS
길고(12m),	길/VA+고/EF+(/SS+12/SN+m/SL+)/SS+,/SP
바닥	바닥/NNG
대부분이	대부분/NNG+이/JKS
낮은	낮/VA+은/ETM
형태다	형태/NNG+이/VCP+다/EF

반면	반면/NNG
국내	국내/NNG
저상버스는	저상버스/NNG+는/JX
상대적으로	상대적/NNG+으로/JKB
길이가	길이/NNG+가/JKS
짧고(11m),	짧/VA+고/EF+(/SS+11/SN+m/SL+)/SS+,/SP
절반만	절반/NNG+만/JX
저상	저상/NNG
형태다	형태/NNG+이/VCP+다/EF

뒤쪽	뒤쪽/NNG
절반은	절반/NNG+은/JX
엔진룸이	엔진룸/NNG+이/JKS
불쑥	불쑥/MAG
솟아	솟/VV+아/EC
있고	있/VX+고/EC
그	그/MM
위에	위/NNG+에/JKB
좌석이	좌석/NNG+이/JKS
얹혀	얹히/VV+어/EC
있다	있/VX+다/EF

장애인은	장애인/NNG+은/JX
물론	물론/MAG
일반인도	일반인/NNG+도/JX
이용하기	이용하/VV+기/ETN
불편하다	불편하/VA+다/EC

모창환	모창환/NNP
교통연구원	교통연구원/NNG
박사는	박사/NNG+는/JX
“무작정	“/SN+무작정/NNG
저상버스를	저상버스/NNG+를/JKO
늘리기보다	늘리/VV+기/ETN+보다/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
이용하기	이용하/VV+기/ETN
편한	편하/VA+ㄴ/ETM
버스를	버스/NNG+를/JKO
개발하는	개발하/VV+는/ETM
게	것/NNB+이/JKS
먼저”라고	먼저”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

더구나	더구나/MAG
저상버스는	저상버스/NNG+는/JX
대당	대당/NNG
가격이	가격/NNG+이/JKS
2억원이나	2/SN+억/NR+원/NNB+이나/JX
한다	하/VV+ㄴ다/EF

일반	일반/NNG
버스보다	버스/NNG+보다/JKB
1억원이나	1/SN+억/NR+원/NNB+이나/JX
비싸다	비싸/VA+다/EC

차액을	차액/NNG+을/JKO
정부와	정부/NNG+와/JC
지방자치단체가	지방자치단체/NNG+가/JKS
절반씩	절반/NNG+씩/XSN
버스회사에	버스회사/NNG+에/JKB
보조하고	보조하/VV+고/EC
있다	있/VX+다/EC

2016년까지	2016/SN+년/NNB+까지/JX
국토부	국토부/NNG
예산만	예산/NNG+만/JX
4565억원이	4565/SN+억/NR+원/NNB+이/JKS
든다	들/VV+ㄴ다/EF

서울대	서울대/NNP
강승필(지구환경시스템공학부)	강승필/NNP+(/SS+지구환경시스템공학부/NNG+)/SS
교수는	교수/NNG+는/JX
“저상버스보다	“/SN+저상버스/NNG+보다/JKB
저렴하고	저렴하/VA+고/EC
이용하기에도	이용하/VV+기/ETN+에/JKB+도/JX
편한	편하/VA+ㄴ/ETM
장애인	장애인/NNG
콜택시를	콜택시/NNG+를/JKO
보급하는	보급하/VV+는/ETM
게	것/NNB+이/JKS
더	더/MAG
효율적”이라고	효율적”/NNG+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC
