"인화학교	"/SS+인화학교/NNG
했다	하/VV+였/EP+다/EF

저녁에는	저녁/NNG+에/JKB+는/JX
어제에	어제/NNG+에/JKB
이어	잇/VV+어/EC
인애학교	인애학교/NNP
문제로	문제/NNG+로/JKB
충남교육청	충남/NNP+교육청/NNG
장학관과	장학관/NNG+과/JC
장학사가	장학사/NNG+가/JKS
우리의	우리/NP+의/JKG
숙소를	숙소/NNG+를/JKO
방문했다	방문하/VV+였/EP+다/EC

놀라운	놀랍/VA+ㄴ/ETM
것은	것/NNB+은/JX
우리가	우리/NP+가/JKS
만나자고	만나/VV+자고/EC
먼저	먼저/MAG
제안한	제안하/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
제2기	제/XPN+2/SN+기/NNG
국토대장정	국토대장정/NNG
팀이	팀/NNG+이/JKS
천안에서	천안/NNP+에서/JKB
하루	하루/NNG
머문다는	머물/VV+ㄴ다는/ETM
소식을	소식/NNG+을/JKO
접하고	접하/VV+고/EC
우리에게	우리/NP+에게/JKB
간담회를	간담회/NNG+를/JKO
제안했다는	제안하/VV+였/EP+다는/ETM
것이다	것/NNB+이/VCP+다/EC

간담내용이나	간담내용/NNG+이나/JC
형식도	형식/NNG+도/JX
어색했다	어색하/VA+였/EP+다/EC

마치	마치/MAG
상부기관에	상부기관/NNG+에/JKB
보고하듯	보고하/VV+듯/EC
문서	문서/NNG
몇	몇/MM
장을	장/NNB+을/JKO
들고	들/VV+고/EC
와서는	오/VV+아서/EC+는/JX
사건경과와	사건경과/NNG+와/JC
교육청의	교육청/NNG+의/JKG
대처경위에	대처경위/NNG+에/JKB
대해	대하/VV+여/EC
브리핑하였고,	브리핑하/VV+였/EP+고/EC+,/SP
부족하지만	부족하/VA+지만/EC
최선을	최선/NNG+을/JKO
다했다는	다하/VV+였/EP+다는/ETM
점을	점/NNG+을/JKO
강조하였다	강조하/VV+였/EP+다/EF

이번	이번/NNG
인애학교	인애학교/NNG
사건의	사건/NNG+의/JKG
진상규명,	진상규명/NNG+,/SP
피해자	피해자/NNG
구제,	구제/NNG+,/SP
가해자	가해자/NNG
처벌,	처벌/NNG+,/SP
재발방지	재발방지/NNG
대책마련	대책마련/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
노력해야	노력하/VV+여야/EC
할	하/VX+ㄹ/ETM
기관이	기관/NNG+이/JKS
뜻을	뜻/NNG+을/JKO
같이	같이/MAG
하는	하/VV+는/ETM
우리	우리/NP
국토대장정	국토대장정/NNG
팀의	팀/NNG+의/JKG
좋은	좋/VA+은/ETM
의견과	의견/NNG+과/JC
제안을	제안/NNG+을/JKO
경청하거나	경청하/VV+거나/EC
해결방안을	해결방안/NNG+을/JKO
논의하는	논의하/VV+는/ETM
분위기라기보다	분위기/NNG+이/VCP+라기/ETN+보다/JKB
자신들의	자신/NNG+들/XSN+의/JKG
그동안의	그동안/NNG+의/JKG
노력을	노력/NNG+을/JKO
늘어놓고,	늘어놓/VV+고/EC+,/SP
인애학교	인애학교/NNG
사건과	사건/NNG+과/JKB
관련하여	관련하/VV+여/EC
우리	우리/NP
국토대장정	국토대장정/NNG
팀이	팀/NNG+이/JKS
문제를	문제/NNG+를/JKO
더	더/MAG
이상	이상/NNG
크게	크/VA+게/EC
번지지	번지/VV+지/EC
않도록	않/VX+도록/EC
조용히	조용히/MAG
넘어가	넘어가/VV+아/EC
달라는	달/VX+라는/ETM
취지의	취지/NNG+의/JKG
협조를	협조/NNG+를/JKO
구하는	구하/VV+는/ETM
분위기로	분위기/NNG+로/JKB
느껴졌다	느끼/VV+어/EC+지/VX+었/EP+다/EF

명분은	명분/NNG+은/JX
하나였다	하나/NNG+이/VCP+었/EP+다/EF

만일	만일/NNG
이	이/MM
문제가	문제/NNG+가/JKS
크게	크/VA+게/EC
사회적	사회적/NNG
문제로	문제/NNG+로/JKB
번지게	번지/VV+게/EC
되어	되/VV+어/EC
인애학교가	인애학교/NNG+가/JKS
문을	문/NNG+을/JKO
닫게	닫/VV+게/EC
된다면	되/VV+ㄴ다면/EC
지금의	지금/NNG+의/JKG
학생들은	학생/NNG+들/XSN+은/JX
당장	당장/NNG
갈	가/VV+ㄹ/ETM
데가	데/NNB+가/JKS
없다는	없/VA+다는/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

우리는	우리/NP+는/JX
그	그/MM
자리에서	자리/NNG+에서/JKB
제2기	제/XPN+2/SN+기/NNG
국토대장정의	국토대장정/NNG+의/JKG
취지와	취지/NNG+와/JC
궁극적인	궁극적/NNG+이/VCP+ㄴ/ETM
목적은	목적/NNG+은/JX
장애인을	장애인/NNG+을/JKO
사회와	사회/NNG+와/JC
격리수용하는	격리/NNG+수용하/VV+는/ETM
시설의	시설/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
전국에	전국/NNG+에/JKB
알리고,	알리/VV+고/EC+,/SP
특히	특히/MAG
구체적	구체적/NNG
문제가	문제/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
사건이	사건/NNG+이/JKS
해당	해당/NNG
지역사회에서	지역사회/NNG+에서/JKB
이슈화되어	이슈/NNG+화/XSN+되/XSV+어/EC
분명하게	분명하/VA+게/EC
해결될	해결되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
적절한	적절하/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
분명히	분명히/MAG
밝혔다	밝히/VV+었/EP+다/EC

물론	물론/MAG
인애학교	인애학교/NNG
사건만을	사건/NNG+만/JX+을/JKO
위해	위하/VV+여/EC
국토대장정을	국토대장정/NNG+을/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
만큼	만큼/NNB
인애학교	인애학교/NNG
사건은	사건/NNG+은/JX
천안지역	천안/NNP+지역/NNG
시민사회가	시민사회/NNG+가/JKS
앞장서서	앞장서/VV+어서/EC
해결해야	해결하/VV+여야/EC
하며,	하/VX+며/EC+,/SP
우리	우리/NP
국토대장정	국토대장정/NNG
팀은	팀/NNG+은/JX
여기에	여기/NP+에/JKB
힘을	힘/NNG+을/JKO
보태기	보태/VV+기/ETN
위해	위하/VV+여/EC
필요한	필요하/VA+ㄴ/ETM
지원을	지원/NNG+을/JKO
하고자	하/VV+고자/EC
한다는	하/VX+ㄴ다는/ETM
입장도	입장/NNG+도/JX
덧	덧/NNG
붙였다	붙이/VV+었/EP+다/EC

오히려,	오히려/MAG+,/SP
교육청이	교육청/NNG+이/JKS
인애학교에	인애학교/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관리감독	관리감독/NNG
권한이	권한/NNG+이/JKS
있으므로	있/VA+으므로/EC
성추행	성추행/NNG
및	및/MAG
성폭행	성폭행/NNG
사건이	사건/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+여/EC
누구보다	누구/NP+보다/JKB
적극적으로	적극적/NNG+으로/JKB
개입하되	개입하/VV+되/EC
피해자의	피해자/NNG+의/JKG
입장에서,	입장/NNG+에서/JKB+,/SP
인권적	인권적/NNG
측면에서	측면/NNG+에서/JKB
이	이/MM
문제가	문제/NNG+가/JKS
조속히	조속히/MAG
해결될	해결되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력해야	노력하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
주문했다	주문하/VV+였/EP+다/EF

진상규명과	진상규명/NNG+과/JC
가해자	가해자/NNG
처벌의	처벌/NNG+의/JKG
경우는	경우/NNG+는/JX
이미	이미/MAG
검찰이	검찰/NNG+이/JKS
기소하여	기소하/VV+여/EC
1심	1/SN+심/NNB
재판이	재판/NNG+이/JKS
진행	진행/NNG
중에	중/NNB+에/JKB
있으니	있/VA+으니/EC
그	그/MM
결과를	결과/NNG+를/JKO
기다려	기다리/VV+어/EC
보아야	보/VX+아야/EC
할	하/VX+ㄹ/ETM
것이나,	것/NNB+이/VCP+나/EC+,/SP
피해자	피해자/NNG
구제라든지,	구제/NNG+라든지/JX+,/SP
재발방지를	재발방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
부분은	부분/NNG+은/JX
관리감독	관리감독/NNG
권한이	권한/NNG+이/JKS
있는	있/VA+는/ETM
교육청과	교육청/NNG+과/JC
지역	지역/NNG
시민사회의	시민사회/NNG+의/JKG
몫이며,	몫/NNG+이/VCP+며/EC+,/SP
나아가	나아가/VV+아/EC
전국의	전국/NNG+의/JKG
인권단체들이	인권단체/NNG+들/XSN+이/JKS
함께	함께/MAG
고민해야	고민하/VV+여야/EC
할	하/VX+ㄹ/ETM
부분이니만큼	부분/NNG+이/VCP+니만큼/EC
우리	우리/NP
국토대장정	국토대장정/NNG
팀	팀/NNG
또한	또한/MAG
인애학교	인애학교/NNG
사건에	사건/NNG+에/JKB
대해	대하/VV+여/EC
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
관심과	관심/NNG+과/JC
이슈화를	이슈/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
노력을	노력/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
다짐도	다짐/NNG+도/JX
잊지	잊/VV+지/EC
않았다	않/VX+았/EP+다/EF

아무쪼록	아무쪼록/MAG
오늘의	오늘/NNG+의/JKG
이	이/MM
태풍이	태풍/NNG+이/JKS
빨리	빨리/MAG
지나가	지나가/VV+아/EC
내일	내일/NNG
평택으로의	평택/NNG+으로/JKB+의/JKG
행군에	행군/NNG+에/JKB
지장이	지장/NNG+이/JKS
없기를	없/VA+기/ETN+를/JKO
바라며,	바라/VV+며/EC+,/SP
잠을	잠/NNG+을/JKO
청한다	청하/VV+ㄴ다/EF

8월	8/SN+월/NNB
29일,	29/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희(서울장애인인권포럼	이권희/NNP+(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원오늘	대원오늘/NNG
아침에는	아침/NNG+에/JKB+는/JX
모든	모든/MM
것을	것/NNB+을/JKO
날려	날리/VV+어/EC
버릴듯하던	버리/VX+ㄹ/ETM+듯하/VX+던/ETM
태풍도	태풍/NNG+도/JX
조용하고,	조용하/VA+고/EC+,/SP
세상	세상/NNG
모든	모든/MM
것을	것/NNB+을/JKO
다	다/MAG
삼킬	삼키/VV+ㄹ/ETM
듯	듯/NNB
내리던	내리/VV+던/ETM
비도	비/NNG+도/JX
온데간데없이	온데간데없이/MAG
구름	구름/NNG
한	한/MM
점	점/NNB
없는	없/VA+는/ETM
한여름	한여름/NNG
날씨였다	날씨/NNG+이/VCP+었/EP+다/EF

오늘의	오늘/NNG+의/JKG
기상이	기상/NNG+이/JKS
궁금하기도	궁금하/VA+기/ETN+도/JX
했으며,	하/VX+였/EP+으며/EC+,/SP
평택으로	평택/NNP+으로/JKB
행군을	행군/NNG+을/JKO
해야	하/VV+여야/EC
했기	하/VX+였/EP+기/ETN
때문에	때문/NNB+에/JKB
여느	여느/MM
때처럼	때/NNG+처럼/JKB
오전	오전/NNG
7시	7/SN+시/NNB
이전에	이전/NNG+에/JKB
모두	모두/MAG
기상했다	기상하/VV+였/EP+다/EC

모두들	모두/NNG+들/XSN
썬크림을	썬크림/NNG+을/JKO
잔뜩	잔뜩/MAG
바르는	바르/VV+는/ETM
모습에서	모습/NNG+에서/JKB
한낮의	한낮/NNG+의/JKG
뙤약볕이	뙤약볕/NNG+이/JKS
얼마나	얼마나/MAG
내리쬘지	내리/VV+쬘지/EC
짐작이	짐작/NNG+이/JKS
갔다	가/VV+았/EP+다/EC

일기예보에서는	일기예보/NNG+에서/JKB+는/JX
최고	최고/NNG
34도까지	34/SN+도/NNB+까지/JX
기온이	기온/NNG+이/JKS
올라갈	올라가/VV+ㄹ/ETM
거라고	것/NNB+이/VCP+라고/EC
했다	하/VV+였/EP+다/EC

전동휠체어	전동휠체어/NNG
사용이	사용/NNG+이/JKS
미숙하실	미숙하/VA+시/EP+ㄹ/ETM
것으로	것/NNB+으로/JKB
보였던	보이/VV+었/EP+던/ETM
양원태	양원태/NNP
대원이	대원/NNG+이/JKS
제법	제법/MAG
대열을	대열/NNG+을/JKO
잘	잘/MAG
지키며	지키/VV+며/EC
행군하는가	행군하/VV+는가/EC
싶더니	싶/VX+더니/EC
갑자기	갑자기/MAG
옆으로	옆/NNG+으로/JKB
빠졌고,	빠지/VV+었/EP+고/EC+,/SP
뒤따르던	뒤따르/VV+던/ETM
스텝차량에	스텝차량/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

전동휠체어가	전동휠체어/NNG+가/JKS
오래된	오래되/VV+ㄴ/ETM
기종이라	기종/NNG+이/VCP+라/EC
배터리에	배터리/NNG+에/JKB
문제가	문제/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

전체	전체/NNG
일정	일정/NNG
중에	중/NNB+에/JKB
하루만	하루/NNG+만/JX
참여하는	참여하/VV+는/ETM
구간대원인데	구간대원/NNG+이/VCP+ㄴ데/EC
오전부터	오전/NNG+부터/JX
대열을	대열/NNG+을/JKO
이탈하게	이탈하/VV+게/EC
되니	되/VV+니/EC
이만저만	이만저만/MAG
쑥스러운	쑥스럽/VA+ㄴ/ETM
것이	것/NNB+이/JKC
아니었을	아니/VCN+었/EP+을/ETM
게다	것/NNB+이/VCP+다/EF

전동휠체어	전동휠체어/NNG
충전상황을	충전상황/NNG+을/JKO
체크한	체크하/VV+ㄴ/ETM
후	후/NNG
크게	크/VA+게/EC
문제가	문제/NNG+가/JKS
없다고	없/VA+다고/EC
판단하여	판단하/VV+여/EC
나머지	나머지/NNG
5킬로미터	5/SN+킬/NNB+로미터/JKB
정도의	정도/NNG+의/JKG
거리를	거리/NNG+를/JKO
달려	달리/VV+어/EC
숙소에	숙소/NNG+에/JKB
도착할	도착하/VV+ㄹ/ETM
생각으로	생각/NNG+으로/JKB
힘차게	힘차/VA+게/EC
출발하였는데,	출발하/VV+었/EP+는데/EC+,/SP
이게	이것/NP+이/JKS
무슨	무슨/MM
운명의	운명/NNG+의/JKG
장난이란	장난/NNG+이/VCP+란/ETM
말인가?	말/NNG+이/VCP+ㄴ가/EF+?/SF
양원태	양원태/NNP
대원의	대원/NNG+의/JKG
전동휠체어가	전동휠체어/NNG+가/JKS
또	또/MAG
멈춘	멈추/VV+ㄴ/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

여전히	여전히/MAG
배터리	배터리/NNG
방전이	방전/NNG+이/JKS
문제였다	문제/NNG+이/VCP+었/EP+다/EF

또	또/MAG
스텝차량에	스텝차량/NNG+에/JKB
실렸다	실리/VV+었/EP+다/EF

정말	정말/MAG
면목	면목/NNG
없었을	없/VA+었/EP+을/ETM
것이다	것/NNB+이/VCP+다/EC

최종목적지인	최종목적지/NNG+이/VCP+ㄴ/ETM
평택중앙교회에	평택중앙교회/NNP+에/JKB
자리를	자리/NNG+를/JKO
잡자마자	잡/VV+자마자/EC
목사님과	목사/NNG+님/XSN+과/JC
사모님이	사모님/NNG+이/JKS
저녁을	저녁/NNG+을/JKO
대접해	대접하/VV+여/EC
주셨고,	주/VX+시었/EP+고/EC+,/SP
식사	식사/NNG
후	후/NNG
각자	각자/MAG
밀린	밀리/VV+ㄴ/ETM
빨래를	빨래/NNG+를/JKO
하였다	하/VV+였/EP+다/EF

평가회의를	평가회의/NNG+를/JKO
서둘러	서두르/VV+어/EC
했고,	하/VV+였/EP+고/EC+,/SP
양원태	양원태/NNP
대원과	대원/NNG+과/JC
박정엽	박정엽/NNP
스텝은	스텝/NNG+은/JX
서울로	서울/NNP+로/JKB
올라갔다	올라가/VV+았/EP+다/EC

비가	비/NNG+가/JKS
오고	오/VV+고/EC
있다	있/VX+다/EC

또	또/MAG
태풍이	태풍/NNG+이/JKS
올라오는데	올라오/VV+는데/EC
대전을	대전/NNG+을/JKO
막	막/MAG
지났다는	지나/VV+았/EP+다는/ETM
기사가	기사/NNG+가/JKS
검색되었다	검색되/VV+었/EP+다/EC

과연	과연/MAG
내일	내일/MAG
우리가	우리/NP+가/JKS
태풍	태풍/NNG
앞에서	앞/NNG+에서/JKB
달릴지,	달리/VV+ㄹ지/EC+,/SP
태풍	태풍/NNG
뒤에서	뒤/NNG+에서/JKB
달려갈지	달려가/VV+ㄹ지/EC
궁금하다	궁금하/VA+다/EC

힘들긴	힘들/VA+기/ETN+ㄴ/JX
마찬가지겠으나	마찬/NNG+가지/VV+겠/EP+으나/EC
태풍	태풍/NNG
앞에서	앞/NNG+에서/JKB
달리는	달리/VV+는/ETM
것이	것/NNB+이/JKS
그나마	그나마/MAG
낮다며	낮/VA+다며/EC
모두들	모두/NNG+들/XSN
최고속도로	최고속도/NNG+로/JKB
달릴	달리/VV+ㄹ/ETM
것을	것/NNB+을/JKO
각오하고	각오하/VV+고/EC
있다	있/VX+다/EC

이곳	이곳/NP
평택에서	평택/NNP+에서/JKB
수원까지	수원/NNP+까지/JX
약	약/MM
37킬로미터의	37/SN+킬로미터/NNB+의/JKG
내일	내일/NNG
행군이	행군/NNG+이/JKS
무사히	무사히/MAG
마무리될	마무리되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
모두들	모두/NNG+들/XSN
기원해주시길	기원하/VV+여/EC+주/VX+시/EP+기/ETN+ㄹ/JKO
바란다	바라/VV+ㄴ다/EF

오늘의	오늘/NNG+의/JKG
행군거리는	행군거리/NNG+는/JX
약	약/MM
30킬로미터였다	30/SN+킬로미터/NNB+이/VCP+었/EP+다/EF
