“자립생활센터	“/SL+자립생활센터/NNG
인지도가	인지도/NNG+가/JKS
낮아	낮/VA+아/EC
시·도·지자체로부터	시/NNG+·/SP+도/NNG+·/SP+지자체/NNG+로부터/JKB
지원금,	지원금/NNG+,/SP
민간단체,	민간단체/NNG+,/SP
기업체로부터의	기업체/NNG+로부터/JKB+의/JKG
후원금	후원금/NNG
등에	등/NNB+에/JKB
소외되므로	소외되/VV+므로/EC
일부	일부/NNG
자립생활센터들이	자립생활센터/NNG+들/XSN+이/JKS
운영함에	운영하/VV+ㅁ/ETN+에/JKB
있어서	있/VA+어서/EC
큰	크/VA+ㄴ/ETM
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

이에	이/NP+에/JKB
Indy팀은	Indy/SL+팀/NNG+은/JX
"지자체에서	"/SS+지자체/NNG+에서/JKB
장애인자립생활센터를	장애인자립생활센터/NNG+를/JKO
지원하는	지원하/VV+는/ETM
규모는	규모/NNG+는/JX
어느	어느/MM
정도인지	정도/NNG+이/VCP+ㄴ지/EC
물었다	묻/VV+었/EP+다/EF

오	오/NNP
소장은	소장/NNG+은/JX
"서울시의	"/SS+서울시/NNP+의/JKG
경우	경우/NNG
한	한/MM
구에서	구/NNG+에서/JKB
한	한/MM
곳의	곳/NNG+의/JKG
장애인자립생활센터에게만	장애인자립생활센터/NNG+에게/JKB+만/JX
지원금을	지원금/NNG+을/JKO
주고	주/VV+고/EC
있으며	있/VX+으며/EC
장애인구	장애인구/NNG
20,000명	20,000/SN+명/NNB
이상일때	이상일때/NNG
2곳까지	2/SN+곳/NNG+까지/JX
지원한다"면서	지원하/VV+ㄴ다/EF+"/SS+면서/EC
"강동구만	"/SS+강동구/NNP+만/JX
하더라도	하/VV+더라도/EC
다수의	다수/NNG+의/JKG
센터가	센터/NNG+가/JKS
있지만	있/VA+지만/EC
지원금의	지원금/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
받는	받/VV+는/ETM
곳은	곳/NNG+은/JX
단	단/MM
한	한/MM
곳이어서	곳/NNG+이/VCP+어서/EC
사실상	사실상/NNG
다른	다르/VA+ㄴ/ETM
센터에게는	센터/NNG+에게/JKB+는/JX
지차체의	지차체/NNG+의/JKG
지원이	지원/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

Indy팀은	Indy/SL+팀/NNG+은/JX
지원금의	지원금/NNG+의/JKG
혜택이	혜택/NNG+이/JKS
없는	없/VA+는/ETM
일부	일부/NNG
센터들의	센터/NNG+들/XSN+의/JKG
어려움에	어려움/NNG+에/JKB
공감하면서	공감하/VV+면서/EC
강동양지	강동양지/NNP
장애인자립생활센터가	장애인자립생활센터/NNG+가/JKS
민간단체의	민간단체/NNG+의/JKG
후원을	후원/NNG+을/JKO
받는지의	받/VV+는지/EC+의/JKG
여부를	여부/NNG+를/JKO
물었다	묻/VV+었/EP+다/EF

오	오/NNP
소장은	소장/NNG+은/JX
"후원금을	"/SS+후원금/NNG+을/JKO
받고	받/VV+고/EC
있지	있/VX+지/EC
않다	않/VX+다/EC

강동구내에서	강동구/NNP+내/NNB+에서/JKB
모복지관을	모복지관/NNG+을/JKO
언급하면서	언급하/VV+면서/EC
민간단체의	민간단체/NNG+의/JKG
후원을	후원/NNG+을/JKO
많이	많이/MAG
받아	받/VV+아/EC
운영비	운영비/NNG
조달에	조달/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
없다"면서도	없/VA+다/EF+"/SS+면서/EC+도/JX
"다수의	"/SS+다수/NNG+의/JKG
센터들은	센터/NNG+들/XSN+은/JX
그러한	그러하/VA+ㄴ/ETM
후원금에	후원금/NNG+에/JKB
소외	소외/NNG
되므로	되/VV+므로/EC
유일한	유일하/VA+ㄴ/ETM
수익	수익/NNG
사업인	사업/NNG+이/VCP+ㄴ/ETM
활동보조	활동보조/NNG
사업에	사업/NNG+에/JKB
전적으로	전적/NNG+으로/JKB
의존하여	의존하/VV+여/EC
운영비를	운영비/NNG+를/JKO
충당할	충당하/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
답했다	답하/VV+였/EP+다/EF

이어	이어/MAG
그는	그/NP+는/JX
"그나마	"/SS+그나마/MAG
활동보조	활동보조/NNG
서비스	서비스/NNG
사업도	사업/NNG+도/JX
지역내의	지역/NNG+내/NNB+의/JKG
복지관과	복지/NNG+관/XSN+과/JC
장애인자립생활센터들과의	장애인자립생활센터/NNG+들/XSN+과/JKB+의/JKG
경쟁으로	경쟁/NNG+으로/JKB
수익성이	수익성/NNG+이/JKS
높지	높/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

오	오/NNP
소장은	소장/NNG+은/JX
"이번	"/SS+이번/NNG
연수를	연수/NNG+를/JKO
통해	통하/VV+여/EC
미국	미국/NNP
현지	현지/NNG
장애인자립생활센터가	장애인자립생활센터/NNG+가/JKS
어떻게	어떻/VA+게/EC
운영되는지	운영되/VV+는지/EC
알아보고	알아보/VV+고/EC
공유하여	공유하/VV+여/EC
국내	국내/NNG
자립생활센터에	자립생활센터/NNG+에/JKB
도움이	도움/NNG+이/JKC
되면	되/VV+면/EC
좋을	좋/VA+을/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
당부한	당부하/VV+ㄴ/ETM
뒤	뒤/NNG
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
연수를	연수/NNG+를/JKO
기원하면서	기원하/VV+면서/EC
따뜻한	따뜻하/VA+ㄴ/ETM
격려의	격려/NNG+의/JKG
말을	말/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다	않/VX+았/EP+다/EF

*이글은	*/SW+이글/NNP+은/JX
'2012장애청년드림팀	'/SS+2012/SN+장애/NNB+청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다'	도전하/VA+다/EF+'/SS
‘Indy팀’의	‘Indy/SL+팀/NNG+’/SL+의/JKG
정승락님이	정승락/NNP+님/XSN+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
