"드디어	"/SS+드디어/MAG
하겠다며	하/VV+겠/EP+다며/EC
모두들	모두/NNG+들/XSN
좋아했으나	좋아하/VV+였/EP+으나/EC
아니나	아니/VCN+나/EC
다를까	다르/VA+ㄹ까/EC
대장님의	대장님/NNG+의/JKG
출발선언과	출발선언/NNG+과/JKB
함께	함께/MAG
갑자기	갑자기/MAG
비가	비/NNG+가/JKS
쏟아지기	쏟아지/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

모두들	모두/NNG+들/XSN
우의를	우의/NNG+를/JKO
챙겨	챙기/VV+어/EC
입느라	입/VV+느라/EC
약간	약간/MAG
지연은	지연/NNG+은/JX
되었으나	되/VV+었/EP+으나/EC
평소에	평소/NNG+에/JKB
자주	자주/MAG
연습한	연습하/VV+ㄴ/ETM
덕택에	덕택/NNG+에/JKB
금방	금방/MAG
대열을	대열/NNG+을/JKO
정비했다	정비하/VV+였/EP+다/EC

어제처럼	어제/NNG+처럼/JKB
급한	급하/VA+ㄴ/ETM
경사는	경사/NNG+는/JX
없으며,	없/VA+으며/EC+,/SP
완만한	완만하/VA+ㄴ/ETM
경사로	경사/NNG+로/JKB
이루어진	이루어지/VV+ㄴ/ETM
도로를	도로/NNG+를/JKO
약	약/MM
20킬로미터	20/SN+킬/NNB+로미터/JKB
행군한다고	행군하/VV+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

그러나	그러나/MAJ
핸드싸이클을	핸드싸이클/NNG+을/JKO
운전하는	운전하/VV+는/ETM
이권희	이권희/NNP
대원이	대원/NNG+이/JKS
아무의	아무/NP+의/JKG
도움을	도움/NNG+을/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
단한번의	단한/MM+번/NNB+의/JKG
대열이탈	대열이탈/NNG
없이	없이/MAG
목적지(창원시청	목적지/NNG+(/SS+창원/NNP+시청/NNG
앞	앞/NNG
용지공원)에	용지공원/NNP+)/SS+에/JKB
도착한	도착하/VV+ㄴ/ETM
걸로	것/NNB+ㄹ/JKO+로/JKB
봐서는	보/VV+아서/EC+는/JX
코스가	코스/NNG+가/JKS
그리	그리/MAG
험하지는	험하/VA+지/EC+는/JX
않았다	않/VX+았/EP+다/EF

식사시간을	식사시간/NNG+을/JKO
포함하여	포함하/VV+여/EC
1시간	1/SN+시간/NNB
정도	정도/NNG
휴식을	휴식/NNG+을/JKO
취한	취하/VV+ㄴ/ETM
후	후/NNG
다시	다시/MAG
행군시작을	행군시작/NNG+을/JKO
알리는	알리/VV+는/ETM
대장의	대장/NNG+의/JKG
구령이	구령/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
순간	순간/NNG
또	또/MAG
갑자기	갑자기/MAG
비가	비/NNG+가/JKS
내리	내리/MAG
쏟았다	쏟/VV+았/EP+다/EC

또다시	또다시/MAG
우의를	우의/NNG+를/JKO
급하게	급하/VA+게/EC
입고	입/VV+고/EC
출발하였으나	출발하/VV+였/EP+으나/EC
행군	행군/NNG
도중에	도중/NNG+에/JKB
대열에서	대열/NNG+에서/JKB
이탈하는	이탈하/VV+는/ETM
대원이	대원/NNG+이/JKS
제법	제법/MAG
있었다	있/VA+었/EP+다/EF

활동보조인의	활동보조인/NNG+의/JKG
손길이	손길/NNG+이/JKS
바빠지기	바쁘/VA+아/EC+지/VX+기/ETN
시작했다	시작하/VV+였/EP+다/EF

비는	비/NNG+는/JX
맞아서	맞/VV+아서/EC
옷은	옷/NNG+은/JX
젖어	젖/VV+어/EC
있고,	있/VX+고/EC+,/SP
행군으로	행군/NNG+으로/JKB
인해	인하/VV+여/EC
체온은	체온/NNG+은/JX
올라가	올라가/VV+아/EC
있으며,	있/VX+으며/EC+,/SP
비온	비/NNG+오/VV+ㄴ/ETM
뒤	뒤/NNG
내리쬐는	내리쬐/VV+는/ETM
햇빛으로	햇빛/NNG+으로/JKB
우의	우의/NNG
속의	속/NNG+의/JKG
온도가	온도/NNG+가/JKS
너무	너무/MAG
더워서	덥/VA+어서/EC
견디기	견디/VV+기/ETN
힘들었던	힘들/VA+었/EP+던/ETM
모양이었다	모양/NNG+이/VCP+었/EP+다/EC

탈진까지	탈진/NNG+까지/JX
우려되는	우려되/VV+는/ETM
상황이라	상황/NNG+이/VCP+라/EC
급하게	급하/VA+게/EC
행군을	행군/NNG+을/JKO
멈추고	멈추/VV+고/EC
우의를	우의/NNG+를/JKO
벗어	벗/VV+어/EC
던졌다	던지/VV+었/EP+다/EF

드디어	드디어/MAG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
창원시에	창원시/NNP+에/JKB
진입하면서	진입하/VV+면서/EC
무탈하게	무/XPN+탈/NNG+하/XSA+게/EC
하루	하루/NNG
일정을	일정/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
것에	것/NNB+에/JKB
모두들	모두/NNG+들/XSN
감사해하면서	감사해하/VV+면서/EC
서로	서로/MAG
옆에	옆/NNG+에/JKB
있는	있/VA+는/ETM
동료대원들	동료대원/NNG+들/XSN
덕분이라며	덕분/NNG+이/VCP+라며/EC
칭찬	칭찬/NNG
릴레이가	릴레이/NNG+가/JKS
이어졌다	이어지/VV+었/EP+다/EF

제2기	제/XPN+2/SN+기/NNG
국토대장정	국토대장정/NNG
팀의	팀/NNG+의/JKG
대원들이	대원/NNG+들/XSN+이/JKS
점점	점점/MAG
더	더/MAG
강해진다는	강하/VA+여/EC+지/VX+ㄴ다는/ETM
느낌의	느낌/NNG+의/JKG
실제적인	실제/NNG+적/XSN+이/VCP+ㄴ/ETM
증거였다	증거/NNG+이/VCP+었/EP+다/EF

도착하자마자	도착하/VV+자마자/EC
파랗게	파랗/VA+게/EC
자란	자라/VV+ㄴ/ETM
공원	공원/NNG
잔디밭에	잔디밭/NNG+에/JKB
짐을	짐/NNG+을/JKO
풀고	풀/VV+고/EC
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
하루일정을	하루일정/NNG+을/JKO
마감하는	마감하/VV+는/ETM
자리에서	자리/NNG+에서/JKB
‘행군도중	‘/SN+행군도중/NNG
날씨가	날씨/NNG+가/JKS
좋지	좋/VA+지/EC
않아서	않/VX+아서/EC
걱정했는데	걱정하/VV+였/EP+는데/EC
창원입성을	창원입성/NNG+을/JKO
축하라도	축하/NNG+라도/JX
하듯이	하/VV+듯이/EC
날씨가	날씨/NNG+가/JKS
맑다’며	맑/VA+다/EC+’/VX+며/EC
대장이	대장/NNG+이/JKS
말문을	말문/NNG+을/JKO
열자마자	열/VV+자마자/EC
또	또/MAG
갑자기	갑자기/MAG
비가	비/NNG+가/JKS
쏟아지는	쏟아지/VV+는/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

내일이면	내일/NNG+이/VCP+면/EC
창원시청에서의	창원/NNP+시청/NNG+에서/JKB+의/JKG
지역	지역/NNG
결의대회를	결의대회/NNG+를/JKO
마치고	마치/VV+고/EC
이번	이번/NNG
국토대장정의	국토대장정/NNG+의/JKG
백미라고	백미/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
거점(울산)투쟁을	거점/NNG+(/SS+울산/NNG+)/SS+투쟁/NNG+을/JKO
위해	위하/VV+여/EC
울산으로	울산/NNP+으로/JKB
이동한다	이동하/VV+ㄴ다/EF

평가회의를	평가회의/NNG+를/JKO
계획보다	계획/NNG+보다/JKB
1시간	1/SN+시간/NNB
미리	미리/MAG
끝내고	끝내/VV+고/EC
울산에서	울산/NNP+에서/JKB
넘어오신	넘어오/VV+시/EP+ㄴ/ETM
성현정	성현정/NNP
소장(울산장애인자립생활센터)과	소장/NNG+(/SS+울산장애인자립생활센터/NNG+)/SS+과/JKB
함께	함께/MAG
지도부는	지도부/NNG+는/JX
거점투쟁에	거점투쟁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대책회의를	대책회의/NNG+를/JKO
진행하였다	진행하/VV+였/EP+다/EF

가능하다면	가능하/VA+다면/EC
울산의	울산/NNP+의/JKG
‘메아리	‘/SL+메아리/NNG
복지원사건	복지원사건/NNP
대책위원회(이하	대책위원회/NNG+(/SS+이하/NNG
’대책위‘라	’/SN+대책위‘/NNG+이/VCP+라/EC
한다)와	하/VV+ㄴ다/EF+)/SS+와/JKB
연대하여	연대하/VV+여/EC
투쟁을	투쟁/NNG+을/JKO
전개하고자	전개하/VV+고자/EC
하였으나	하/VX+였/EP+으나/EC
그렇게	그렇/VA+게/EC
되지는	되/VV+지/EC+는/JX
않을	않/VX+을/ETM
모양이다	모양/NNG+이/VCP+다/EC

이유는	이유/NNG+는/JX
울산지역	울산/NNP+지역/NNG
문제에	문제/NNG+에/JKB
타	타/MM
지역사람들이	지역사람/NNG+들/XSN+이/JKS
개입하는	개입하/VV+는/ETM
것이	것/NNB+이/JKS
모양새가	모양새/NNG+가/JKS
좋지	좋/VA+지/EC
않고,	않/VX+고/EC+,/SP
사건도	사건/NNG+도/JX
거의	거의/MAG
다	다/MAG
해결되어	해결되/VV+어/EC
가는	가/VX+는/ETM
마당에	마당/NNB+에/JKB
괜히	괜히/MAG
원점으로	원점/NNG+으로/JKB
되돌릴	되돌리/VV+ㄹ/ETM
가능성이	가능성/NNG+이/JKS
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
이유란다	이유라/VV+ㄴ다/EF

대책위의	대책위/NNG+의/JKG
요구사항도	요구사항/NNG+도/JX
거의	거의/MAG
수용되어	수용되/VV+어/EC
가고	가/VX+고/EC
있으니	있/VX+으니/EC
긁어	긁/VV+어/EC
부스럼	부스럼/NNG
만들지	만들/VV+지/EC
말라고	말/VX+라고/EC
한단다	한단/VA+다/EF

그래서	그래서/MAJ
국토대장정팀	국토대장정팀/NNG
단독으로라도	단독/NNG+으로/JKB+라도/JX
이	이/MM
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진상과	진상/NNG+과/JC
피해자	피해자/NNG
구제,	구제/NNG+,/SP
책임자	책임자/NNG
처벌,	처벌/NNG+,/SP
나아가	나아가/VV+아/EC
궁극적으로	궁극적/NNG+으로/JKB
이러한	이러하/VA+ㄴ/ETM
문제의	문제/NNG+의/JKG
근본적	근본적/NNG
대책이라	대책/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
반시설	반시설/NNG
정책의	정책/NNG+의/JKG
수립이	수립/NNG+이/JKS
왜	왜/MAG
필요하고	필요하/VA+고/EC
중요한지에	중요하/VA+ㄴ지/EC+에/JKB
대해서	대하/VV+여서/EC
울산지역	울산/NNP+지역/NNG
내에	내/NNB+에/JKB
알려야	알리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
대원들의	대원/NNG+들/XSN+의/JKG
결의가	결의/NNG+가/JKS
더욱	더욱/MAG
높아졌다	높아지/VV+었/EP+다/EC

시설은	시설/NNG+은/JX
시설일	시설/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
그	그/MM
규모를	규모/NNG+를/JKO
줄이거나	줄이/VV+거나/EC
공익이사제	공익이사제/NNG
등을	등/NNB+을/JKO
도입하여	도입하/VV+여/EC
운영이	운영/NNG+이/JKS
투명해지고	투명하/VA+여/EC+지/VX+고/EC
민주화된다고	민주화/NNG+되/XSV+ㄴ다고/EC
하여도	하여도/MAG
시설은	시설/NNG+은/JX
시설이며,	시설/NNG+이/VCP+며/EC+,/SP
수용이	수용/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
아니다	아니/VCN+다/EC

울산의	울산/NNP+의/JKG
메아리	메아리/NNG
복지원사건은	복지/NNG+원/XSN+사건/NNG+은/JX
전형적인	전형적/NNG+이/VCP+ㄴ/ETM
시설문제의	시설문제/NNG+의/JKG
단면을	단면/NNG+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
이제까지의	이제/NNG+까지/JX+의/JKG
인권유린과는	인권유린/NNG+과/JKB+는/JX
차원이	차원/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
더해져	더하/VV+여/EC+지/VX+어/EC
있다	있/VX+다/EF

운영법인	운영법인/NNG
이사장은	이사장/NNG+은/JX
아버지,	아버지/NNG+,/SP
그	그/MM
법인의	법인/NNG+의/JKG
사무국장은	사무국/NNG+장/XSN+은/JX
아들,	아들/NNG+,/SP
시설원장은	시설원장/NNG+은/JX
어머니,	어머니/NNG+,/SP
학교	학교/NNG
교감은	교감/NNG+은/JX
딸이	딸/NNG+이/JKS
앉아있는	앉/VV+아/EC+있/VX+는/ETM
족벌체제의	족벌체제/NNG+의/JKG
전형이다	전형/NNG+이/VCP+다/EC

수많은	수많/VA+은/ETM
인권유린의	인권유린/NNG+의/JKG
사건들이	사건/NNG+들/XSN+이/JKS
있겠으나,	있/VA+겠/EP+으나/EC+,/SP
메아리	메아리/NNG
복지원에서	복지/NNG+원/XSN+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
성폭행	성폭행/NNG
문제는	문제/NNG+는/JX
이제까지	이제/NNG+까지/JX
시설에서의	시설/NNG+에서/JKB+의/JKG
성폭행	성폭행/NNG
사건보다	사건/NNG+보다/JKB
훨씬	훨씬/MAG
심각하며,	심각하/VA+며/EC+,/SP
차마	차마/MAG
입에	입/NNG+에/JKB
담기도	담/VV+기/ETN+도/JX
힘들	힘들/VA+ㄹ/ETM
정도다	정도/NNG+이/VCP+다/EF

이제까지는	이제/NNG+까지는/JX
시설교사나	시설교사/NNG+나/JC
직원들이	직원/NNG+들/XSN+이/JKS
원생에게	원생/NNG+에게/JKB
성폭행들의	성폭행/NNG+들/XSN+의/JKG
하는	하/VV+는/ETM
형태였으나,	형태/NNG+이/VCP+었/EP+으나/EC+,/SP
메아리	메아리/NNG
복지원에서는	복지/NNG+원/XSN+에서/JKB+는/JX
원생들끼리	원생/NNG+들끼리/XSN
서로	서로/MAG
성폭행을	성폭행/NNG+을/JKO
한	하/VV+ㄴ/ETM
형태다	형태/NNG+이/VCP+다/EF

남자원생이	남자원생/NNG+이/JKS
자신의	자신/NNG+의/JKG
성기를	성기/NNG+를/JKO
남자원생의	남자원생/NNG+의/JKG
항문에	항문/NNG+에/JKB
넣거나	넣/VV+거나/EC
빨개하는	빨개하/VV+는/ETM
등의	등/NNB+의/JKG
성폭행인데	성폭행/NNG+이/VCP+ㄴ데/EC
어떤	어떤/MM
원생은	원생/NNG+은/JX
가해자이면서	가해자/NNG+이/VCP+면서/EC
피해자이기도	피해자/NNG+이/VCP+기/ETN+도/JX
하다는	하/VX+다는/ETM
것이다	것/NNB+이/VCP+다/EC

놀랍다기보다	놀랍/VA+다기/NNG+보다/JKB
소름이	소름/NNG+이/JKS
끼칠	끼치/VV+ㄹ/ETM
정도다	정도/NNG+이/VCP+다/EF

시설생활로	시설생활/NNG+로/JKB
인해	인하/VV+여/EC
성정체성이	성정체성/NNG+이/JKS
제대로	제대로/MAG
확립되지	확립되/VV+지/EC
못했고,	못하/VX+였/EP+고/EC+,/SP
수화를	수화/NNG+를/JKO
잘	잘/MAG
모르는	모르/VV+는/ETM
여선생님들이	여선생님/NNG+들/XSN+이/JKS
대부분이어서	대부분/NNG+이/VCP+어서/EC
원생들	원생/NNG+들/XSN
간의	간/NNB+의/JKG
일상적인	일상적/NNG+이/VCP+ㄴ/ETM
대화나	대화/NNG+나/JC
일부	일부/NNG
학생들의	학생/NNG+들/XSN+의/JKG
보고를	보고/NNG+를/JKO
전혀	전혀/MAG
알아듣지	알아듣/VV+지/EC
못했을	못하/VX+였/EP+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
함께	함께/MAG
취침생활을	취침생활/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없어서	없/VA+어서/EC
야간에서의	야간/NNG+에서/JKB+의/JKG
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
생활지도가	생활지도/NNG+가/JKS
불가능했다	불가능하/VA+였/EP+다/EC

더욱	더욱/MAG
우리를	우리/NP+를/JKO
분노하게	분노하/VV+게/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
관리감독	관리감독/NNG
권한을	권한/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
울산시	울산시/NNP
북구청이	북구청/NNG+이/JKS
울산시청에	울산/NNP+시청/NNG+에/JKB
무수히	무수히/MAG
많이	많이/MAG
문제의	문제/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
보고하였으나	보고하/VV+였/EP+으나/EC
소극적으로	소극적/NNG+으로/JKB
대처하고	대처하/VV+고/EC
있다는	있/VX+다는/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
경찰	경찰/NNG
등	등/NNB
정부당국도	정부당국/NNG+도/JX
마찬가지라는	마찬가지/NNG+이/VCP+라는/ETM
것이다	것/NNB+이/VCP+다/EC

이	이/MM
땅에서	땅/NNG+에서/JKB
인간을	인간/NNG+을/JKO
사육하는	사육하/VV+는/ETM
시설이	시설/NNG+이/JKS
존재하는	존재하/VV+는/ETM
한	한/NNG
장애인의	장애인/NNG+의/JKG
인권보장도,	인권보장/NNG+도/JX+,/SP
차별금지도	차별금지/NNG+도/JX
요원할	요원하/VA+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

장애인이나	장애인/NNG+이나/JC
비장애인이나	비장애인/NNG+이나/JC
인간이라면	인간/NNG+이/VCP+라면/EC
모두	모두/MAG
자신의	자신/NNG+의/JKG
삶을	삶/NNG+을/JKO
스스로	스스로/MAG
계획하고	계획하/VV+고/EC
관리하고자	관리하/VV+고자/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
당연하며,	당연하/VA+며/EC+,/SP
그러기에	그러/VV+기에/EC
이는	이/NP+는/JX
인권의	인권/NNG+의/JKG
기초를	기초/NNG+를/JKO
이룬다	이루/VV+ㄴ다/EC

시설은	시설/NNG+은/JX
더	더/MAG
이상	이상/NNG
장애인을	장애인/NNG+을/JKO
보호한다는	보호하/VV+ㄴ다는/ETM
미명	미명/NNG
하에	하/XSN+에/JKB
장애인을	장애인/NNG+을/JKO
사육할	사육하/VV+ㄹ/ETM
권리가	권리/NNG+가/JKS
없음을	없/VA+음/ETN+을/JKO
천하에	천하/NNG+에/JKB
알리기	알리/VV+기/ETN
위해서	위하/VV+여서/EC
모인	모이/VV+ㄴ/ETM
제2기	제/XPN+2/SN+기/NNG
국토대장정	국토대장정/NNG
대원들은	대원/NNG+들/XSN+은/JX
결코	결코/MAG
이를	이/NP+를/JKO
좌시하지	좌시하/VV+지/EC
않을	않/VX+을/ETM
것이다	것/NNB+이/VCP+다/EC

내일이면	내일/NNG+이/VCP+면/EC
울산	울산/NNP
진입이다	진입/NNG+이/VCP+다/EC

반시설에	반시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지금의	지금/NNG+의/JKG
열기와	열기/NNG+와/JC
결의가	결의/NNG+가/JKS
식지	식/VV+지/EC
않기를	않/VX+기/ETN+를/JKO
바란다	바라/VV+ㄴ다/EC
16일	16/SN+일/NNB
울산시청에	울산/NNP+시청/NNG+에/JKB
도착해	도착하/VV+여/EC
기자회견을	기자회견/NNG+을/JKO
갖는	갖/VV+는/ETM
국토대장정	국토대장정/NNG
대원들	대원/NNG+들/XSN

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
8월	8/SN+월/NNB
16일-작성자:	16/SN+일/NNB+-/SO+작성자/NNG+:/SP
이권희	이권희/NNP
(서울장애인인권포럼	(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원창원에서	대원창원/NNG+에서/JKB
울산은	울산/NNP+은/JX
그	그/MM
거리가	거리/NNG+가/JKS
약	약/MM
120킬로미터	120/SN+킬/NNB+로미터/JKB
정도여서	정도/NNG+이/VCP+어서/EC
전동휠체어로	전동휠체어/NNG+로/JKB
이동할	이동하/VV+ㄹ/ETM
경우	경우/NNG
최소	최소/NNG
3일이	3/SN+일/NNB+이/JKS
소요되기	소요되/VV+기/ETN
때문에	때문/NNB+에/JKB
부득이하게	부득이하/VA+게/EC
차량으로	차량/NNG+으로/JKB
이동하였는데	이동하/VV+였/EP+는데/EC
경남DPI에서	경남/NNP+DPI/SL+에서/JKB
5톤	5/SN+톤/NNB
트럭을	트럭/NNG+을/JKO
렌트하여	렌트하/VV+여/EC
전동과	전동/NNG+과/JC
핸드싸이클,	핸드싸이클/NNG+,/SP
개인	개인/NNG
짐	짐/NNG
등을	등/NNB+을/JKO
모두	모두/MAG
실었고,	싣/VV+었/EP+고/EC+,/SP
대원들은	대원/NNG+들/XSN+은/JX
모두	모두/MAG
스텝차량에	스텝차량/NNG+에/JKB
나누어	나누/VV+어/EC
타고	타/VV+고/EC
이동했다	이동하/VV+였/EP+다/EC

오후	오후/NNG
4시쯤	4/SN+시/NNB+쯤/XSN
대원을	대원/NNG+을/JKO
나눠	나누/VV+어/EC
태운	태우/VV+ㄴ/ETM
차량이	차량/NNG+이/JKS
울산을	울산/NNP+을/JKO
향해	향하/VV+여/EC
출발했고,	출발하/VV+였/EP+고/EC+,/SP
오후	오후/NNG
5시	5/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
울산시청	울산/NNP+시청/NNG
동문에	동문/NNG+에/JKB
도착하였다	도착하/VV+였/EP+다/EF

그런데	그런데/MAJ
수상하게	수상하/VA+게/EC
생긴	생기/VV+ㄴ/ETM
두	두/MM
무리가	무리/NNG+가/JKS
시청	시청/NNG
안팎에	안팎/NNG+에/JKB
자리하고	자리하/VV+고/EC
있어	있/VX+어/EC
누군지	누구/NP+이/VCP+ㄴ지/EC
의아해	의아하/VA+여/EC
했는데,	하/VV+였/EP+는데/EC+,/SP
나중에	나중/NNG+에/JKB
알고	알/VV+고/EC
봤더니	보/VV+았/EP+더니/EC
시청	시청/NNG
안에	안/NNG+에/JKB
있던	있/VA+던/ETM
무리는	무리/NNG+는/JX
울산시청	울산/NNP+시청/NNG
공무원과	공무원/NNG+과/JC
메아리	메아리/NNG
복지원	복지/NNG+원/XSN
졸업동문선배와	졸업동문선배/NNG+와/JC
재학생들이었고,	재학생/NNG+들/XSN+이/VCP+었/EP+고/EC+,/SP
밖에는	밖/NNG+에/JKB+는/JX
정보과	정보과/NNG
형사들이었다	형사/NNG+들/XSN+이/VCP+었/EP+다/EC

울산시에	울산시/NNP+에/JKB
국토대장정	국토대장정/NNG
대원이	대원/NNG+이/JKS
입성했음을	입성하/VV+였/EP+음/ETN+을/JKO
알리기	알리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
약식집회를	약식집회/NNG+를/JKO
위해	위하/VV+여/EC
사전	사전/NNG
집회신고가	집회신고/NNG+가/JKS
접수되었기	접수되/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
정보과에서는	정보과/NNG+에서/JKB+는/JX
나왔을	나오/VV+았/EP+을/ETM
것이니	것/NNB+이/VCP+니/EC
그렇다	그렇/VA+다/EC
치더라도,	치/VV+더라도/EC+,/SP
사전에	사전/NNG+에/JKB
국토대장정팀과	국토대장정팀/NNG+과/JC
공식적으로	공식적/NNG+으로/JKB
협의된	협의되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
하나도	하나/NNG+도/JX
없는데	없/VA+는데/EC
갑자기	갑자기/MAG
울산시청	울산/NNP+시청/NNG
공무원이	공무원/NNG+이/JKS
메아리	메아리/NNG
복지원	복지/NNG+원/XSN
졸업동문선배와	졸업동문선배/NNG+와/JC
재학생들을	재학생/NNG+들/XSN+을/JKO
불러놓고	부르/VV+어/EC+놓/VX+고/EC
국토대장정	국토대장정/NNG
대표단과	대표단/NNG+과/JC
간담회를	간담회/NNG+를/JKO
하고	하/VV+고/EC
싶다고	싶/VX+다고/EC
우리가	우리/NP+가/JKS
도착하자마자	도착하/VV+자마자/EC
제안한	제안하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

최소한	최소한/NNG
우리와	우리/NP+와/JC
메아리	메아리/NNG
복지원	복지/NNG+원/XSN
문제를	문제/NNG+를/JKO
포함한	포함하/VV+ㄴ/ETM
울산시의	울산시/NNP+의/JKG
시설정책	시설정책/NNG
또는	또는/MAG
입장에	입장/NNG+에/JKB
대해서	대하/VV+여서/EC
이야기	이야기/NNG
하고자	하/VV+고자/EC
한다면	하/VX+ㄴ다면/EC
사전에	사전/NNG+에/JKB
문의를	문의/NNG+를/JKO
하거나	하/VV+거나/EC
