장애인들	장애인/NNG+들/XSN
참여했던	참여하/VV+였/EP+던/ETM
부산	부산/NNP
지역	지역/NNG
대원들은	대원/NNG+들/XSN+은/JX
본대원과	본대/NNG+원/XSN+과/JKB
작별했다	작별하/VV+였/EP+다/EF

오후	오후/NNG
5시	5/SN+시/NNB
30분경에	30/SN+분/NNB+경/XSN+에/JKB
김해시청에	김해시청/NNP+에/JKB
도착하자	도착하/VV+자/EC
김증섭	김증섭/NNP
회장(한국DPI	회장/NNG+(/SS+한국/NNP+DPI/SL
김해지회),	김해지회/NNP+)/SS+,/SP
문병민	문병민/NNP
과장(김해시청	과장/NNG+(/SS+김해시청/NNP
장애인복지과),	장애인복지과/NNG+)/SS+,/SP
박선옥	박선옥/NNP
주사(김해시청	주사/NNG+(/SS+김해시청/NNP
장애인복지과)	장애인복지과/NNG+)/SS
등	등/NNB
시청	시청/NNG
관계자들과	관계자/NNG+들/XSN+과/JC
지역	지역/NNG
장애인단체장들이	장애인단체장/NNG+들/XSN+이/JKS
우리를	우리/NP+를/JKO
반갑게	반갑/VA+게/EC
맞아주었고,	맞/VV+아/EC+주/VX+었/EP+고/EC+,/SP
김해시의	김해시/NNP+의/JKG
장애인시설현황	장애인시설현황/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
간단한	간단하/VA+ㄴ/ETM
브리핑과	브리핑/NNG+과/JC
우리	우리/NP
국토대장정의	국토대장정/NNG+의/JKG
목적인	목적/NNG+이/VCP+ㄴ/ETM
반시설의	반시설/NNG+의/JKG
기치를	기치/NNG+를/JKO
크게	크/VA+게/EC
외치는	외치/VV+는/ETM
등의	등/NNB+의/JKG
구호선창	구호선창/NNG
등을	등/NNB+을/JKO
했다	하/VV+였/EP+다/EC

참고로	참고/NNG+로/JKB
대원들의	대원/NNG+들/XSN+의/JKG
활동보조인들이	활동보조인/NNG+들/XSN+이/JKS
구간구간	구간구간/NNG
이동할	이동하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
지역주민들과	지역주민/NNG+들/XSN+과/JKB
상가에	상가/NNG+에/JKB
홍보물을	홍보물/NNG+을/JKO
배포하며	배포하/VV+며/EC
하나하나	하나하나/MAG
설명하는	설명하/VV+는/ETM
꼼꼼함도	꼼꼼하/VA+ㅁ/ETN+도/JX
감동적이었다	감동적/NNG+이/VCP+었/EP+다/EF

왜냐하면	왜냐하면/MAG
비장애인이라고	비장애인/NNG+이/VCP+라고/EC
하더라도	하/VV+더라도/EC
30여킬로미터를	30/SN+여/XSN+킬로미터/NNB+를/JKO
궂은	궂/VA+은/ETM
날씨에	날씨/NNG+에/JKB
하루	하루/NNG
만에	만/NNB+에/JKB
걷는다는	걷/VV+는다는/ETM
것이	것/NNB+이/JKS
그리	그리/MAG
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
일임에도	일/NNG+이/VCP+ㅁ에도/EC
불구하고	불구하/VV+고/EC
짐	짐/NNG
옮기는	옮기/VV+는/ETM
것부터	것/NNB+부터/JX
대원	대원/NNG
뒷바라지에,	뒷바라지/NNG+에/JKB+,/SP
홍보물	홍보물/NNG
배포까지	배포/NNG+까지/JX
열심히	열심히/MAG
하는	하/VV+는/ETM
모습을	모습/NNG+을/JKO
보면서	보/VV+면서/EC
반시설에	반시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지는	의지/NNG+는/JX
단순히	단순히/MAG
장애인	장애인/NNG
당사자만이	당사자/NNG+만/JX+이/JKC
아니라	아니/VCN+라/EC
시민들도	시민/NNG+들/XSN+도/JX
다름없구나	다름없구/VA+나/EC
하는	하/VV+는/ETM
것을	것/NNB+을/JKO
새삼	새삼/MAG
느끼게	느끼/VV+게/EC
됐다	되/VV+었/EP+다/EC

김해시청을	김해시청/NNP+을/JKO
뒤로한	뒤로하/VV+ㄴ/ETM
채	채/NNB
우리는	우리/NP+는/JX
첫날의	첫날/NNG+의/JKG
마지막	마지막/NNG
종착점인	종착점/NNG+이/VCP+ㄴ/ETM
숙소를	숙소/NNG+를/JKO
향해	향하/VV+여/EC
마지막	마지막/NNG
투혼을	투혼/NNG+을/JKO
불살랐다	불사르/VV+았/EP+다/EC

숙소는	숙소/NNG+는/JX
인제대학교	인제대학교/NNG
바로	바로/MAG
맞은편에	맞은편/NNG+에/JKB
있는	있/VA+는/ETM
김해시장애인복지관	김해시/NNP+장애인복지관/NNG

비록	비록/MAG
2층	2/SN+층/NNG
로비와	로비/NNG+와/JC
3층	3/SN+층/NNG
식당바닥에	식당바닥/NNG+에/JKB
얇은	얇/VA+은/ETM
스티로폼을	스티로폼/NNG+을/JKO
깔고	깔/VV+고/EC
자는	자/VV+는/ETM
불편한	불편하/VA+ㄴ/ETM
잠자리지만	잠자리/NNG+이/VCP+지만/EC
선뜻	선뜻/MAG
이	이/MM
많은	많/VA+은/ETM
장애인에게	장애인/NNG+에게/JKB
비바람을	비바람/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간을	공간/NNG+을/JKO
배려해준	배려하/VV+여/EC+주/VX+ㄴ/ETM
관장님	관장/NNG+님/XSN
이하	이하/NNG
관계자	관계자/NNG
여러분께	여러분/NP+께/JKB
감사의	감사/NNG+의/JKG
말을	말/NNG+을/JKO
전하고	전하/VV+고/EC
싶다	싶/VX+다/EC

오후	오후/NNG
9시	9/SN+시/NNB
평가회의를	평가회의/NNG+를/JKO
통해	통하/VV+여/EC
오늘	오늘/NNG
하루를	하루/NNG+를/JKO
평가하고,	평가하/VV+고/EC+,/SP
아쉬운	아쉽/VA+ㄴ/ETM
점과	점/NNG+과/JKB
개선할	개선하/VV+ㄹ/ETM
사항을	사항/NNG+을/JKO
점검하하고,	점검하하/VV+고/EC+,/SP
내일의	내일/NNG+의/JKG
일정을	일정/NNG+을/JKO
공유했다	공유하/VV+였/EP+다/EF

샤워장이	샤워/NNG+장/XSN+이/JKS
별도로	별도/NNG+로/JKB
마련되어	마련되/VV+어/EC
있으나	있/VX+으나/EC
여자	여자/NNG
샤워장의	샤워장/NNP+의/JKG
문이	문/NNG+이/JKS
잠겨있어	잠기/VV+어/EC+있/VX+어/EC
부득이하게	부득이하/VA+게/EC
11시까지	11/SN+시/NNB+까지/JX
여자대원,	여자대원/NNG+,/SP
11시	11/SN+시/NNB
이후는	이후/NNG+는/JX
남자대원이	남자대원/NNG+이/JKS
번갈아	번갈/VV+아/EC
사용하기로	사용하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

행군일지를	행군/NNG+이/VCP+ㄹ지/EC+를/JKO
작성하고	작성하/VV+고/EC
있는	있/VX+는/ETM
지금	지금/NNG
여성대원은	여성대원/NNG+은/JX
샤워순서를	샤워순서/NNP+를/JKO
기다리고,	기다리/VV+고/EC+,/SP
남자대원은	남자대원/NNG+은/JX
잠자리를	잠자리/NNG+를/JKO
준비하며	준비하/VV+며/EC
삼삼오오	삼삼오오/NNG
모여	모이/VV+어/EC
내일의	내일/NNG+의/JKG
행군에	행군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대와	기대/NNG+와/JC
서로의	서로/NNG+의/JKG
각오를	각오/NNG+를/JKO
다지는	다지/VV+는/ETM
모습이	모습/NNG+이/JKS
간간히	간간히/MAG
보인다	보일/VV+ㄴ다/EF

모기와의	모기/NP+와/JKB+의/JKG
한판	한판/NNG
승부가	승부/NNG+가/JKS
예상되는	예상되/VV+는/ETM
밤이다	밤/NNG+이/VCP+다/EC

비가	비/NNG+가/JKS
온	온/MM
탓인지	탓/NNG+이/VCP+ㄴ지/EC
습도가	습도/NNG+가/JKS
높아	높/VA+아/EC
불쾌지수도	불쾌지수/NNG+도/JX
꽤	꽤/MAG
높은	높/VA+은/ETM
편이다	편/NNB+이/VCP+다/EC

샤워도	샤워/NNG+도/JX
못해	못하/VV+여/EC
온몸은	온몸/NNG+은/JX
상상외로	상상외/NNG+로/JKB
가렵다	가렵/VA+다/EF

그나마	그나마/MAG
에어컨만이	에어컨/NNG+만/JX+이/JKS
이	이/MM
열기를	열기/NNG+를/JKO
식혀주고	식히/VV+어/EC+주/VX+고/EC
있는데	있/VX+는데/EC
내일	내일/VV
한명의	한/MM+명/NNB+의/JKG
대원도	대원/NNG+도/JX
감기에	감기/NNG+에/JKB
힘들어하지	힘들/VA+어/EC+하/VV+지/EC
않기를	않/VX+기/ETN+를/JKO
간절히	간절히/MAG
바래본다	바래보/VV+ㄴ다/EF

부산에는	부산/NNP+에/JKB+는/JX
비가	비/NNG+가/JKS
왔다	오/VV+았/EP+다/EC

휠체어	휠체어/NNG
비옷을	비옷/NNG+을/JKO
입고	입/VV+고/EC
달려가는	달려가/VV+는/ETM
국토대장정	국토대장정/NNG
대원들	대원/NNG+들/XSN

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
부산	부산/NNP
종합운동장역에서	종합운동장역/NNG+에서/JKB
대저역까지	대저역/NNG+까지/JX
이동하기	이동하/VV+기/ETN
위해	위하/VV+여/EC
지하철을	지하철/NNG+을/JKO
이용하기로	이용하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

대원들이	대원/NNG+들/XSN+이/JKS
역으로	역/NNG+으로/JKB
가기	가/VV+기/ETN
위해	위하/VV+여/EC
엘리베이터를	엘리베이터/NNG+를/JKO
기다리고	기다리/VV+고/EC
있다	있/VX+다/EC

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
이권희	이권희/NNP
대원이	대원/NNG+이/JKS
핸드싸이클을	핸드싸이클/NNG+을/JKO
타고	타/VV+고/EC
달리는	달리/VV+는/ETM
모습	모습/NNG

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
