'강남구	'/SS+강남구/NNP
모호한	모호하/VA+ㄴ/ETM
단	단/MM
두	두/MM
곳의	곳/NNG+의/JKG
보조공학서비스	보조공학서비스/NNG
전달체계가	전달체계/NNG+가/JKS
9만3000명의	9/SN+만/NR+3000/SN+명/NNB+의/JKG
수요를	수요/NNG+를/JKO
감당하는	감당하/VV+는/ETM
게	것/NNB+이/JKS
현실이다	현실/NNG+이/VCP+다/EC

결국	결국/NNG
보조공학서비스	보조공학서비스/NNG
욕구와	욕구/NNG+와/JC
상황을	상황/NNG+을/JKO
오로지	오로지/MAG
장애인과	장애인/NNG+과/JC
그	그/MM
가족의	가족/NNG+의/JKG
자부담으로	자부담/NNG+으로/JKB
해결해야	해결하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
의미한다”며	의미하/VV+ㄴ다/EC+”/VV+며/EC
“강남구청에	“/SL+강남구청/NNP+에/JKB
보조공학서비스센터	보조공학서비스센터/NNG
설치를	설치/NNG+를/JKO
촉구한다”고	촉구하/VV+ㄴ다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC
