반시설	반시설/NNG
끝나는	끝나/VV+는/ETM
게	것/NNB+이/JKC
아니라	아니/VCN+라/EC
앞으로도	앞/NNG+으로/JKB+도/JX
지속적으로	지속적/NNG+으로/JKB
주시하면서	주시하/VV+면서/EC
비판의	비판/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
강하게	강하/VA+게/EC
내야	내/VV+어야/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
의지를	의지/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

국토대장정	국토대장정/NNG
대원들은	대원/NNG+들/XSN+은/JX
선언문을	선언문/NNG+을/JKO
통해	통하/VV+여/EC
“수	“/SN+수/NNG
많은	많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
생활시설에서	생활시설/NNG+에서/JKB
성폭력,	성폭력/NNG+,/SP
노동착취,	노동착취/NNG+,/SP
구타	구타/NNG
등을	등/NNB+을/JKO
당하며	당하/VV+며/EC
인권을	인권/NNG+을/JKO
유린당하고	유린/NNG+당하/XSV+고/EC
있다	있/VX+다/EC

시설장들과	시설장/NNG+들/XSN+과/JC
생활교사들은	생활교사/NNG+들/XSN+은/JX
정부의	정부/NNG+의/JKG
시설	시설/NNG
지원금을	지원금/NNG+을/JKO
악용해	악용하/VV+여/EC
더	더/MAG
많은	많/VA+은/ETM
장애인들을	장애인/NNG+들/XSN+을/JKO
시설에	시설/NNG+에/JKB
입소시키고	입소/NNG+시키/XSV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“우리는	“/SL+우리/NP+는/JX
시설의	시설/NNG+의/JKG
권력자들의	권력자/NNG+들/XSN+의/JKG
생계수단이	생계수단/NNG+이/JKC
아니라	아니/VCN+라/EC
사람으로서	사람/NNG+으로서/JKB
인권을	인권/NNG+을/JKO
보장받고,	보장/NNG+받/VV+고/EC+,/SP
스스로의	스스로/NNG+의/JKG
삶을	삶/NNG+을/JKO
선택할	선택하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
자립생활을	자립생활/NNG+을/JKO
보장해주었으면	보장하/VV+여/EC+주/VX+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“국토대장정	“/SN+국토대장정/NNG
기간동안	기간동안/NNG
반시설과	반시설/NNG+과/JC
장애인자립생활정책은	장애인자립생활정책/NNG+은/JX
장애인	장애인/NNG
뿐	뿐/NNB
만	만/JX
아니라	아니/VCN+라/EC
우리	우리/NP
국민	국민/NNG
모두의	모두/NNG+의/JKG
염원인	염원/NNG+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
깨달을	깨닫/VV+을/ETM
수	수/NNB
있었다”면서	있/VA+었/EP+다/EC+”/VV+면서/EC
“단기적으로	“/SN+단기적/NNG+으로/JKB
지난해	지난해/NNG
전수조사에서	전수조사/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
비리	비리/NNG
시설부터	시설/NNG+부터/JX
폐쇄하고,	폐쇄하/VV+고/EC+,/SP
장기적으로	장기적/NNG+으로/JKB
시설폐쇄를	시설폐쇄/NNG+를/JKO
위해	위하/VV+여/EC
정부	정부/NNG
차원에서	차원/NNG+에서/JKB
대책을	대책/NNG+을/JKO
마련해야	마련하/VV+여야/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
목소리	목소리/NNG
높였다	높/VA+었/EP+다/EF

또한	또한/MAG
대원들은	대원/NNG+들/XSN+은/JX
“장애인도	“/SL+장애인/NNG+도/JX
지역사회에서	지역사회/NNG+에서/JKB
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장애인자립생활보장법을	장애인자립생활보장법/NNG+을/JKO
제정해줄	제정하/VV+여/EC+주/VX+ㄹ/EC
것을	것/NNB+을/JKO
당당히	당당히/MAG
요구한다”고	요구하/VV+ㄴ다”고/EC
촉구했다	촉구하/VV+였/EP+다/EC

이와	이/NP+와/JKB
관련	관련/NNG
한국DPI김대성	한국/NNP+DPI/SL+김대성/NNP
회장은	회장/NNG+은/JX
"해단식과	"/SS+해단/NNG+식/XSN+과/JKB
병행해	병행하/VV+여/EC
보건복지부	보건복지부/NNG
관계자들과	관계자/NNG+들/XSN+과/JC
면담을	면담/NNG+을/JKO
통해	통하/VV+여/EC
'장애인자립생활보장법'	'/SS+장애인자립생활보장법/NNG+'/SS
제정에	제정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
들으려고	듣/VV+으려고/EC
했으나,	하/VX+였/EP+으나/EC+,/SP
장애인정책국장이	장애인정책국장/NNG+이/JKS
면담에	면담/NNG+에/JKB
나오지	나오/VV+지/EC
않는다고	않/VX+는다고/EC
말해	말하/VV+여/EC
면담일정을	면담일정/NNG+을/JKO
뒤로	뒤/NNG+로/JKB
밀었다"면서	밀/VV+었/EP+다/EF+"/SS+면서/EC
"추후	"/SS+추후/NNG
대장정	대장정/NNG
동안	동안/NNG
모은	모으/VV+ㄴ/ETM
2천여명의	2/SN+천/NR+여/XSN+명/NNB+의/JKG
'장애인자립생활보장법'	'/SS+장애인자립생활보장법/NNG+'/SS
제정	제정/NNG
건의	건의/NNG
동의서를	동의서/NNG+를/JKO
복지부나	복지부/NNG+나/JC
19대	19/SN+대/NNB
국회의원들에게	국회의원/NNG+들/XSN+에게/JKB
전달할	전달하/VV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
국토대장정에	국토대장정/NNG+에/JKB
참여했던	참여하/VV+였/EP+던/ETM
여성	여성/NNG
장애인이	장애인/NNG+이/JKS
서울에	서울/NNP+에/JKB
입성하자	입성하/VV+자/EC
감격해	감격하/VV+여/EC
눈물을	눈물/NNG+을/JKO
흘리고	흘리/VV+고/EC
있다	있/VX+다/EC

여성장애인이	여성장애인/NNG+이/JKS
서울에	서울/NNP+에/JKB
입성하며,	입성/NNG+하며/JC+,/SP
장애인자립생활보장법	장애인자립생활보장법/NNG
제정에	제정/NNG+에/JKB
목소리를	목소리/NNG+를/JKO
강력히	강력히/MAG
내고	내/VV+고/EC
있다	있/VX+다/EC

해단식에	해단/NNG+식/XSN+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
국토대장정을	국토대장정/NNG+을/JKO
마치고	마치/VV+고/EC
돌아온	돌아오/VV+ㄴ/ETM
장애인들에게	장애인/NNG+들/XSN+에게/JKB
격려의	격려/NNG+의/JKG
말을	말/NNG+을/JKO
건네고	건네/VV+고/EC
있다	있/VX+다/EC
