‘주거지원법	‘/SL+주거지원법/NNG
항목을	항목/NNG+을/JKO
다르게	다르/VA+게/EC
규정하고	규정하/VV+고/EC
있을뿐더러,	있/VA+을뿐더러/EC+,/SP
대부분의	대부분/NNG+의/JKG
편의시설을	편의시설/NNG+을/JKO
임대사업자가	임대사업자/NNG+가/JKS
선택해	선택하/VV+여/EC
설치하도록	설치하/VV+도록/EC
하고	하/VX+고/EC
있어	있/VX+어/EC
실효성에	실효성/NNG+에/JKB
의문이	의문/NNG+이/JKS
든다는	들/VV+ㄴ다는/ETM
것	것/NNB

이에	이/NP+에/JKB
장총은	장총/NNP+은/JX
개선점으로	개선점/NNG+으로/JKB
적용주택은	적용주택/NNG+은/JX
주택개조비용을	주택개조비용/NNG+을/JKO
지원받아	지원/NNG+받/VV+아/EC
개조한	개조하/VV+ㄴ/ETM
주택을	주택/NNG+을/JKO
제외한	제외하/VV+ㄴ/ETM
모든	모든/MM
주거약자용	주거약자/NNG+용/XSN
주택으로	주택/NNG+으로/JKB
하며,	하/VV+며/EC+,/SP
편의시설은	편의시설/NNG+은/JX
장애유형에	장애유형/NNG+에/JKB
상관없이	상관없이/MAG
공통으로	공통/NNG+으로/JKB
적용해야	적용하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
주장했다	주장하/VV+였/EP+다/EF

장총은	장총/NNP+은/JX
“적용범위가	“/SL+적용범위/NNG+가/JKS
확대됨에	확대되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
초기	초기/NNG
비용	비용/NNG
상승이	상승/NNG+이/JKS
우려되나	우려되/VV+나/EC
향후	향후/NNG
입주자	입주자/NNG
변동에	변동/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
추가	추가/NNG
보수공사	보수공사/NNG
비용	비용/NNG
및	및/MAG
입주자의	입주자/NNG+의/JKG
편리성을	편리성/NNG+을/JKO
고려하면	고려하/VV+면/EC
비용의	비용/NNG+의/JKG
효율성은	효율/NNG+성/XSN+은/JX
오히려	오히려/MAG
높을	높/VA+을/ETM
것으로	것/NNB+으로/JKB
판단된다”고	판단되/VV+ㄴ다/EC+”/SN+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

■공공건설임대주택으로	■/SW+공공건설임대주택/NNG+으로/JKB
확대=시행령	확대/NNG+=/SW+시행령/NNG
제4조	제/XPN+4/SN+조/NNB
‘의무적으로	‘/SN+의무적/NNG+으로/JKB
건설해야하는	건설하/VV+여야/EC+하/VX+는/ETM
건설임대주택	건설임대주택/NNG
유형’에도	유형/NNG+’/SL+에/JKB+도/JX
적극적으로	적극적/NNG+으로/JKB
반대의사를	반대의사/NNG+를/JKO
표했다	표하/VV+였/EP+다/EC

이는	이/NP+는/JX
30년	30/SN+년/NNB
이상	이상/NNG
임대목적의	임대목적/NNG+의/JKG
공공임대주택을	공공임대주택/NNG+을/JKO
지을	짓/VV+을/ETM
땐	때/NNG+ㄴ/JX
수도권은	수도권/NNG+은/JX
전체	전체/NNG
가구의	가구/NNG+의/JKG
5%,	5/SN+%/SW+,/SP
수도권	수도권/NNG
외	외/NNB
지역은	지역/NNG+은/JX
3%	3/SN+%/SW
이상을	이상/NNG+을/JKO
장애인,	장애인/NNG+,/SP
고령자	고령자/NNG
등	등/NNB
주거약자용	주거약자/NNG+용/XSN
주택으로	주택/NNG+으로/JKB
의무	의무/NNG
건설해야	건설하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
담아져	담아지/VV+어/EC
있다	있/VX+다/EF

이에	이/NP+에/JKB
장총은	장총/NNP+은/JX
30년이상	30/SN+년/NNB+이상/NNG
임대할	임대하/VV+ㄹ/ETM
목적으로	목적/NNG+으로/JKB
건설한	건설하/VV+ㄴ/ETM
임대주택,	임대주택/NNG+,/SP
즉	즉/MAG
국민임대주택	국민임대주택/NNG
또는	또는/MAG
50년	50/SN+년/NNB
공공임대주택,	공공임대주택/NNG+,/SP
영구임대주택으로	영구임대주택/NNG+으로/JKB
제한하고	제한하/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
문제점으로	문제점/NNG+으로/JKB
지적하며,	지적하/VV+며/EC+,/SP
5년	5/SN+년/NNB
10년	10/SN+년/NNB
공공임대주택,	공공임대주택/NNG+,/SP
장기전세	장기전세/NNG
등을	등/NNB+을/JKO
포함한	포함하/VV+ㄴ/ETM
공공건설임대주택으로	공공건설임대주택/NNG+으로/JKB
확대해야	확대하/VV+여야/EC
함을	하/VX+ㅁ/ETN+을/JKO
주장했다	주장하/VV+였/EP+다/EC

또한	또한/MAG
수도권의	수도권/NNG+의/JKG
경우	경우/NNG
제정안에서	제정안/NNG+에서/JKB
정한	정하/VV+ㄴ/ETM
의무건설	의무건설/NNG
비율	비율/NNG
5%의	5/SN+%/SW+의/JKG
비율은	비율/NNG+은/JX
현재	현재/MAG
한국토지주택공사가	한국토지주택공사/NNP+가/JKS
장애인?고령자에게	장애인/NNG+?/SF+고령자/NNG+에게/JKB
우선공급하는	우선/NNG+공급하/VV+는/ETM
국민임대주택	국민임대주택/NNG
공급비율	공급비율/NNG
8%보다	8/SN+%/SW+보다/JKB
낮은	낮/VA+은/ETM
수준임을	수준/NNG+이/VCP+ㅁ/ETN+을/JKO
꼬집었다	꼬집/VV+었/EP+다/EF

이에	이/NP+에/JKB
장총은	장총/NNP+은/JX
“개선점으로	“/SN+개선점/NNG+으로/JKB
의무건설	의무건설/NNG
비율을	비율/NNG+을/JKO
수도권은	수도권/NNG+은/JX
10%,	10/SN+%/SW+,/SP
그	그/MM
외	외/NNB
지역은	지역/NNG+은/JX
5%로	5/SN+%/SW+로/JKB
상향해야	상향하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

■주거실태조사	■/SW+주거실태조사/NNG
항목	항목/NNG
포함=주거	포함/NNG+=/SW+주거/NNG
및	및/MAG
주거환경에	주거환경/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항	사항/NNG
등의	등/NNB+의/JKG
주거실태조사에도	주거실태조사/NNG+에/JKB+도/JX
‘편의시설	‘/SN+편의시설/NNG
설치	설치/NNG
현황’	현황/NNG+’/SN
등의	등/NNB+의/JKG
조사항목을	조사항목/NNG+을/JKO
포함해야	포함하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
의견도	의견/NNG+도/JX
담겼다	담기/VV+었/EP+다/EF

시행령에는	시행령/NNG+에/JKB+는/JX
국토부가	국토부/NNG+가/JKS
2년마다	2/SN+년/NNB+마다/JX
한번씩	한/MM+번/NNB+씩/XSN
주거약자의	주거약자/NNG+의/JKG
주거실태를	주거실태/NNG+를/JKO
정기적으로	정기적/NNG+으로/JKB
점검할	점검하/VV+ㄹ/ETM
예정이며	예정/NNG+이/VCP+며/EC

주요	주요/NNG
조사항목은	조사항목/NNG+은/JX
주거약자의	주거약자/NNG+의/JKG
주거환경,	주거환경/NNG+,/SP
가구특성,	가구특성/NNG+,/SP
주택	주택/NNG
유형·규모	유형/NNG+·/SP+규모/NNG
및	및/MAG
점유형태,	점유형태/NNG+,/SP
시설·설비,	시설/NNG+·/SP+설비/NNG+,/SP
만족도	만족도/NNG
등으로	등/NNB+으로/JKB
담겨있다	담기/VV+어/EC+있/VX+다/EC

이에	이/NP+에/JKB
장총은	장총/NNP+은/JX
"주택법시행령에는	"/SS+주택법시행령/NNG+에/JKB+는/JX
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
방법과	방법/NNG+과/JKB
함께	함께/MAG
‘최저주거지군	‘/SL+최저주거지군/NNG
미달가구의	미달가구/NNG+의/JKG
현황’도	현황/NNG+’/SL+도/JX
포함되	포함되/VV+어/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
본	보/VV+ㄴ/ETM
법에서도	법/NNG+에서/JKB+도/JX
동일한	동일하/VA+ㄴ/ETM
규정을	규정/NNG+을/JKO
적용해야	적용하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
지적하며	지적하/VV+며/EC
"편리한	"/SS+편리하/VA+ㄴ/ETM
주거생활을	주거생활/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해	위하/VV+여/EC
‘편의시설’	‘/SN+편의시설/NNG+’/SL
현황도	현황/NNG+도/JX
조사항목에	조사항목/NNG+에/JKB
포함시켜야	포함/NNG+시키/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
제언했다	제언하/VV+였/EP+다/EF

아울러	아울러/MAG
장애인의	장애인/NNG+의/JKG
특성을	특성/NNG+을/JKO
감안한	감안하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
‘최저주거기준	‘/SL+최저주거기준/NNG
설정’이	설정/NNG+’/SL+이/JKS
필요함을	필요하/VA+ㅁ/ETN+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

현행	현행/NNG
최저기준은	최저기준/NNG+은/JX
일반가구를	일반가구/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인	장애인/NNG
등과	등/NNB+과/JC
고령자와	고령자/NNG+와/JC
같은	같/VA+은/ETM
주거약자용	주거약자/NNG+용/XSN
주택에는	주택/NNG+에/JKB+는/JX
적합하지	적합하/VA+지/EC
않아	않/VX+아/EC
확대가	확대/NNG+가/JKS
필요하다는	필요하/VA+다는/ETM
것	것/NNB

장총	장총/NNG
관계자는	관계자/NNG+는/JX
“법	“/SN+법/NNB
취지의	취지/NNG+의/JKG
근간이	근간/NNG+이/JKC
흔들릴	흔들리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
본	보/VV+ㄴ/ETM
법률의	법률/NNG+의/JKG
제정	제정/NNG
취지를	취지/NNG+를/JKO
충분히	충분히/MAG
반영하고	반영하/VV+고/EC
있지	있/VX+지/EC
못한	못하/VX+ㄴ/ETM
점은	점/NNG+은/JX
실망을	실망/NNG+을/JKO
넘어	넘/VV+어/EC
매우	매우/MAG
심각하게	심각하/VA+게/EC
우려되는	우려되/VV+는/ETM
수준”이라며	수준”/NNG+이/VCP+라며/EC
“장애인	“/SL+장애인/NNG
주거복지의	주거복지/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
사회활동	사회활동/NNG
및	및/MAG
일상생활을	일상생활/NNG+을/JKO
영위하는데	영위하/VV+는/ETM+데/NNB
불편함이	불편하/VA+ㅁ/ETN+이/JKS
없는	없/VA+는/ETM
주거환경을	주거환경/NNG+을/JKO
제공할수	제공하/VV+ㄹ/ETM+수/NNB
있도록	있/VA+도록/EC
시행령과	시행령/NNG+과/JC
시행규칙이	시행규칙/NNG+이/JKS
제정되야	제정되/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC
