"폭우를	"/SS+폭우/NNG+를/JKO
제일	제일/MAG
먼저	먼저/MAG
찾았다	찾/VV+았/EP+다/EC

우여곡절은	우여곡절/NNG+은/JX
있었으나	있/VA+었/EP+으나/EC
결국은	결국/NNG+은/JX
민원실	민원실/NNG
비슷한	비슷하/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
별도의	별도/NNG+의/JKG
독립된	독립되/VV+ㄴ/ETM
공간을	공간/NNG+을/JKO
얻어	얻/VV+어/EC
전동휠체어	전동휠체어/NNG
충전도	충전/NNG+도/JX
하고,	하/VV+고/EC+,/SP
잠도	잠/NNG+도/JX
잤단다	잤단/VA+다/EC

그	그/MM
사이	사이/NNG
어제	어제/NNG
김천	김천/NNP
재래시장에서	재래시장/NNG+에서/JKB
샀다는	사/VV+았/EP+다는/ETM
피자두를	피자두/NNG+를/JKO
대원들에게	대원/NNG+들/XSN+에게/JKB
하나씩	하나/NR+씩/XSN
돌렸다	돌리/VV+었/EP+다/EF

역시	역시/MAG
‘왕언니(박정선	‘/SL+왕언니/NNG+(/SS+박정선/NNP
대원	대원/NNG
별명)’라는	별명/NNG+)/SS+’/SN+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
들었고	들/VV+었/EP+고/EC
모두들	모두/NNG+들/XSN
맛있게	맛있/VA+게/EC
먹었다	먹/VV+었/EP+다/EF

이내	이내/NNG
경찰은	경찰/NNG+은/JX
도착을	도착/NNG+을/JKO
했고,	하/VV+였/EP+고/EC+,/SP
오전	오전/NNG
9시	9/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
영동을	영동/NNP+을/JKO
향해	향하/VV+여/EC
행군을	행군/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

어제보다	어제/NNG+보다/JKB
속도는	속도/NNG+는/JX
더	더/MAG
붙었고,	붙/VV+었/EP+고/EC+,/SP
다행히	다행히/MAG
중부지방	중부지방/NNG
폭우가	폭우/NNG+가/JKS
아직	아직/MAG
여기까지	여기/NP+까지/JX
내려오지는	내려오/VV+지/EC+는/JX
않았는지	않/VX+았/EP+는지/EC
여전히	여전히/MAG
땡볕이다	땡/SN+볕/NNG+이/VCP+다/EC

땡볕이	땡볕/NNG+이/JKS
힘들기	힘들/VA+기/ETN
하지만	하/VX+지만/EC
비오는	비/NNG+오/VV+는/ETM
날에	날/NNG+에/JKB
비해	비하/VV+여/EC
행군속도는	행군속도/NNG+는/JX
오히려	오히려/MAG
더	더/MAG
빠르고	빠르/VA+고/EC
전동휠체어	전동휠체어/NNG
배터리	배터리/NNG
소모도	소모/NNG+도/JX
덜	덜/MAG
한단다	한단/VA+다/EC

오늘은	오늘/NNG+은/JX
그	그/MM
유명한	유명하/VA+ㄴ/ETM
추풍령을	추풍령/NNP+을/JKO
넘어야	넘/VV+어야/EC
한다	하/VX+ㄴ다/EF

무수히	무수히/MAG
많은	많/VA+은/ETM
고갯길이	고갯길/NNG+이/JKS
우리를	우리/NP+를/JKO
기다리고	기다리/VV+고/EC
있으리라	있/VX+으리라/EC

전동휠체어도,	전동휠체어/NNG+도/JX+,/SP
핸드싸이클도	핸드싸이클/NNG+도/JX
모두	모두/MAG
긴장하기는	긴장하/VV+기/ETN+는/JX
마찬가지다	마찬가지/NNG+이/VCP+다/EC

아니나	아니/VCN+나/EC
다를까	다르/VA+ㄹ까/EC
경사가	경사/NNG+가/JKS
아주	아주/MAG
가파르진	가파르/VV+지/EC+ㄴ/JX
않지만	않/VX+지만/EC
쉽지	쉽/VA+지/EC
않고,	않/VX+고/EC+,/SP
그	그/MM
길이가	길이/NNG+가/JKS
최소한	최소한/NNG
500미터에서	500/SN+미터/NNB+에서/JKB
1킬로미터는	1/SN+킬로미터/NNB+는/JX
족히	족히/MAG
넘어	넘/VV+어/EC
보이는	보이/VV+는/ETM
고갯길이	고갯길/NNG+이/JKS
연거푸	연거푸/MAG
나왔다	나오/VV+았/EP+다/EF

그럼에도	그렇/VA+ㅁ에도/EC
불구하고	불구하/VV+고/EC
1시간	1/SN+시간/NNB
만에	만/NNB+에/JKB
약	약/MM
10킬로미터	10/SN+킬로미터/NNB
정도를	정도/NNG+를/JKO
행군해왔다	행군하/VV+여/EC+오/VX+았/EP+다/EF

대장의	대장/NNG+의/JKG
휴식선언과	휴식선언/NNG+과/JKB
함께	함께/MAG
잠시	잠시/MAG
행군을	행군/NNG+을/JKO
멈추었는데	멈추/VV+었/EP+는데/EC
반대편	반대편/NNG
차로에서	차로/NNG+에서/JKB
지나가던	지나가/VV+던/ETM
트럭이	트럭/NNG+이/JKS
잠시	잠시/MAG
멈추더니	멈추/VV+더니/EC
어떤	어떤/MM
분이	분/NNB+이/JKS
포도	포도/NNG
한	한/MM
박스를	박스/NNG+를/JKO
건네주었다	건네주/VV+었/EP+다/EF

성함을	성함/NNG+을/JKO
여쭈어	여쭈/VV+어/EC
보았으나	보/VX+았/EP+으나/EC
뒤도	뒤/NNG+도/JX
돌아보지	돌아보/VV+지/EC
않고	않/VX+고/EC
차로	차/NNG+로/JKB
올라타서는	올라타/VV+아서/EC+는/JX
그냥	그냥/MAG
가버렸다	가/VV+아/EC+버리/VX+었/EP+다/EF

다행히	다행히/MAG
사진은	사진/NNG+은/JX
찍어	찍/VV+어/EC
놓은	놓/VX+은/ETM
것이	것/NNB+이/JKS
있었는데	있/VA+었/EP+는데/EC
한쪽	한쪽/NNG
손목이	손목/NNG+이/JKS
절단되신	절단되/VV+시/EP+ㄴ/ETM
장애인	장애인/NNG
분이었다	분/NNB+이/VCP+었/EP+다/EF

이쪽	이쪽/NP
영동지역이	영동/NNP+지역/NNG+이/JKS
올갱이와	올갱이/NNP+와/JC
포도가	포도/NNG+가/JKS
유명한	유명하/VA+ㄴ/ETM
지역인데	지역/NNG+이/VCP+ㄴ데/EC
아마도	아마도/MAG
포도농사를	포도농사/NNG+를/JKO
짓는	짓/VV+는/ETM
분	분/NNB
같았다	같/VA+았/EP+다/EC

그렇게	그렇/VA+게/EC
또	또/MAG
1시간을	1/SN+시간/NNB+을/JKO
행군했다	행군/MAG+하/VV+였/EP+다/EC

짧지만	짧/VA+지만/EC
급한	급하/VA+ㄴ/ETM
경사의	경사/NNG+의/JKG
고개가	고개/NNG+가/JKS
앞을	앞/NNG+을/JKO
가로막았다	가로막/VV+았/EP+다/EF

핸드싸이클을	핸드싸이클/NNG+을/JKO
운전하는	운전하/VV+는/ETM
이권희	이권희/NNP
대원에	대원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대장을	대장/NNG+을/JKO
배려로	배려/NNG+로/JKB
잠시	잠시/MAG
휴식을	휴식/NNG+을/JKO
취했다	취하/VV+였/EP+다/EC

이때도	이때/NNG+도/JX
지나가던	지나가/VV+던/ETM
트럭이	트럭/NNG+이/JKS
신호에	신호/NNG+에/JKB
멈춘	멈추/VV+ㄴ/ETM
사이	사이/NNG
기사	기사/NNG
아저씨가	아저씨/NNG+가/JKS
내려서	내리/VV+어서/EC
잘	잘/MAG
포장된	포장되/VV+ㄴ/ETM
씨알	씨알/NNG
굵은	굵/VA+은/ETM
포도를	포도/NNG+를/JKO
10송이	10/SN+송/NNG+이/JKS
정도	정도/NNG
주고	주/VV+고/EC
가셨다	가/VV+시었/EP+다/EF

이런	이런/MM
것이	것/NNB+이/JKS
시골인심이라는	시골인심/NNG+이/VCP+라는/ETM
걸까?	것/NNB+이/VCP+ㄹ까/EF+?/SF
맛있는	맛있/VA+는/ETM
포도를	포도/NNG+를/JKO
얻어먹게	얻어먹/VV+게/EC
되어서	되/VV+어서/EC
좋은	좋/VA+은/ETM
것도	것/NNB+도/JX
있겠으나,	있/VA+겠/EP+으나/EC+,/SP
서울과	서울/NNP+과/JKB
같은	같/VA+은/ETM
도시지역에서는	도시지역/NNG+에서/JKB+는/JX
경험할	경험하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
인간적	인간적/NNG
푸근함이	푸근하/VA+ㅁ/ETN+이/JKS
더	더/MAG
좋았을지도	좋/VA+았/EP+을지/EC+도/JX
모른다	모르/VV+ㄴ다/EF

짧은	짧/VA+은/ETM
휴식을	휴식/NNG+을/JKO
끝내고	끝내/VV+고/EC
대장의	대장/NNG+의/JKG
‘출발’신호에	‘/SL+출발/NNG+’/SN+신호/NNG+에/JKB
맞춰서	맞추/VV+어서/EC
모두들	모두/NNG+들/XSN
막	막/MAG
출발하려는데	출발하/VV+려는데/EC
갑자기	갑자기/MAG
비가	비/NNG+가/JKS
퍼붇기	퍼붇/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

서서히	서서히/MAG
빗줄기가	빗줄기/NNG+가/JKS
굵어지는	굵/VA+어/EC+지/VX+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
양동이로	양동이/NNG+로/JKB
쏟아	쏟/VV+아/EC
붇는	붇/VV+는/ETM
것	것/NNB
같은	같/VA+은/ETM
폭우였다	폭우/NNG+이/VCP+었/EP+다/EF

전동휠체어는	전동휠체어/NNG+는/JX
그나마	그나마/MAG
혹시나	혹시나/MAG
하는	하/VV+는/ETM
마음에	마음/NNG+에/JKB
우의를	우의/NNG+를/JKO
챙겨	챙기/VV+어/EC
입었으나,	입/VV+었/EP+으나/EC+,/SP
이권희	이권희/NNP
대원은	대원/NNG+은/JX
아예	아예/MAG
작정하고	작정하/VV+고/EC
비를	비/NNG+를/JKO
맞았다	맞/VV+았/EP+다/EC

우의를	우의/NNG+를/JKO
입은	입/VV+은/ETM
상태에서	상태/NNG+에서/JKB
핸드싸이클	핸드싸이클/NNG
운전이	운전/NNG+이/JKS
불편하기	불편하/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

급경사의	급경사/NNG+의/JKG
고갯길을	고갯길/NNG+을/JKO
오르는데	오르/VV+는데/EC
빗줄기가	빗줄기/NNG+가/JKS
얼마나	얼마나/MAG
굵고	굵/VA+고/EC
세차던지	세차/VV+던지/EC
눈을	눈/NNG+을/JKO
뜰	뜨/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도였고,	정도/NNG+이/VCP+었/EP+고/EC+,/SP
앞을	앞/NNG+을/JKO
제대로	제대로/MAG
내다보지	내다보/VV+지/EC
못하니	못하/VX+니/EC
대열의	대열/NNG+의/JKG
간격도	간격/NNG+도/JX
제각기였고,	제각기/NNG+이/VCP+었/EP+고/EC+,/SP
줄도	줄/NNG+도/JX
맞지	맞/VV+지/EC
않아서	않/VX+아서/EC
옆	옆/NNG
차선에서	차선/NNG+에서/JKB
달리는	달리/VV+는/ETM
화물차가	화물차/NNG+가/JKS
더	더/MAG
위협적이었다	위협적/NNG+이/VCP+었/EP+다/EF

이권희	이권희/NNP
대원은	대원/NNG+은/JX
50미터	50/SN+미터/NNB
정도의	정도/NNG+의/JKG
거리를	거리/NNG+를/JKO
허윤재	허윤재/NNP
실습생의	실습생/NNG+의/JKG
도움을	도움/NNG+을/JKO
받아서야	받/VV+아서/EC+야/JX
고개를	고개/NNG+를/JKO
넘을	넘/VV+을/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

그렇게	그렇/VA+게/EC
20분	20/SN+분/NNB
정도를	정도/NNG+를/JKO
갔을까?	가/VV+았/EP+을까/EF+?/SF
내일	내일/NNG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
옥천지역에서	옥천/NNP+지역/NNG+에서/JKB
활동하는	활동하/VV+는/ETM
옥천장애인자립생활센터의	옥천/NNP+장애인자립생활센터/NNG+의/JKG
사무국장과	사무국/NNG+장/XSN+과/JC
팀장이	팀장/NNG+이/JKS
격려차	격려/NNG+차/XSN
방문을	방문/NNG+을/JKO
하였고,	하/VV+였/EP+고/EC+,/SP
오늘의	오늘/NNG+의/JKG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
영동까지	영동/NNP+까지/JX
길	길/NNG
안내뿐만	안내/NNG+뿐만/JX
아니라	아니/VCN+라/EC
간식꺼리까지	간식꺼리/NNG+까지/JX
조달하고자	조달하/VV+고자/EC
영동지역	영동/NNP+지역/NNG
자원봉사센터	자원봉사센터/NNG
회장님과	회장/NNG+님/XSN+과/JKB
사무국장님도	사무국장님/NNG+도/JX
오셨다	오/VV+시었/EP+다/EC

모두	모두/MAG
너무	너무/MAG
감사할	감사하/VV+ㄹ/ETM
따름이다	따름/NNB+이/VCP+다/EC

2시간	2/SN+시간/NNB
정도의	정도/NNG+의/JKG
충전을	충전/NNG+을/JKO
마치고	마치/VV+고/EC
오후	오후/NNG
행군을	행군/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

충전하는	충전하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
문제가	문제/NNG+가/JKS
발생했는지	발생하/VV+였/EP+는지/EC
문경희,	문경희/NNP+,/SP
배재현	배재현/NNP
대원이	대원/NNG+이/JKS
휠체어의	휠체어/NNG+의/JKG
배터리가	배터리/NNG+가/JKS
급속하게	급속하/VA+게/EC
소모되었다	소모되/VV+었/EP+다/EC

급경사의	급경사/NNG+의/JKG
고갯길	고갯길/NNG
2개를	2/SN+개/NNB+를/JKO
넘었는데	넘/VV+었/EP+는데/EC
그	그/MM
과정에서	과정/NNG+에서/JKB
배터리	배터리/NNG
소모가	소모/NNG+가/JKS
심했던	심하/VA+었/EP+던/ETM
것	것/NNB
같다	같/VA+다/EC

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
2차	2/SN+차/NNB
폭우가	폭우/NNG+가/JKS
다시	다시/MAG
쏟아졌다	쏟/VV+아/EC+지/VX+었/EP+다/EF

더	더/MAG
이상	이상/NNG
행군을	행군/NNG+을/JKO
진행할	진행하/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도였다	정도/NNG+이/VCP+었/EP+다/EF

다행히,	다행히/MAG+,/SP
국도변에	국도변/NNG+에/JKB
조그마한	조그마하/VA+ㄴ/ETM
화장실이	화장실/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

급하게	급하/VA+게/EC
행군을	행군/NNG+을/JKO
멈추고	멈추/VV+고/EC
모두들	모두/NNG+들/XSN
화장실로	화장실/NNG+로/JKB
비를	비/NNG+를/JKO
피해	피하/VV+여/EC
들어갔고,	들어가/VV+았/EP+고/EC+,/SP
부족한	부족하/VA+ㄴ/ETM
충전도	충전/NNG+도/JX
채웠다	채우/VV+었/EP+다/EC

그런데	그런데/MAJ
이권희	이권희/NNP
대원은	대원/NNG+은/JX
우의	우의/NP
없이	없이/MAG
비를	비/NNG+를/JKO
그대로	그대로/MAG
맞아서	맞/VV+아서/EC
그런지	그러/VV+ㄴ지/EC
추위가	추위/NNG+가/JKS
장난이	장난/NNG+이/JKC
아니었다	아니/VCN+었/EP+다/EF

그러나	그러나/MAJ
마땅히	마땅히/MAG
조치할	조치하/VV+ㄹ/ETM
방도가	방도/NNG+가/JKS
없었다	없/VA+었/EP+다/EF

다행히	다행히/MAG
잘	잘/MAG
견뎌주었고,	견디/VV+어/EC+주/VX+었/EP+고/EC+,/SP
1시간	1/SN+시간/NNB
정도의	정도/NNG+의/JKG
시간이	시간/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
후에	후/NNG+에/JKB
다시	다시/MAG
행군이	행군/NNG+이/JKS
시작되었다	시작되/VV+었/EP+다/EC

남은	남/VV+은/ETM
거리는	거리/NNG+는/JX
10킬로미터다	10/SN+킬로미터/NNB+이/VCP+다/EF

결국	결국/NNG
배재현	배재현/NNP
대원의	대원/NNG+의/JKG
휠체어가	휠체어/NNG+가/JKS
멈추었다	멈추/VV+었/EP+다/EC

뒤에	뒤/NNG+에/JKB
따라오던	따라오/VV+던/ETM
리프트	리프트/NNG
차량이	차량/NNG+이/JKS
배재현	배재현/NNP
대원을	대원/NNG+을/JKO
싣고	싣/VV+고/EC
숙소로	숙소/NNG+로/JKB
먼저	먼저/MAG
출발해서	출발하/VV+여서/EC
내려주고	내리/VV+어/EC+주/VX+고/EC
다시	다시/MAG
행군대열의	행군대열/NNG+의/JKG
후미로	후미/NNG+로/JKB
돌아왔다	돌아오/VV+았/EP+다/EC

얼마가지	얼마/NNG+가/VV+지/EC
않아서	않/VX+아서/EC
문경희	문경희/NNP
대원도	대원/NNG+도/JX
멈춰	멈추/VV+어/EC
섰다	서/VV+었/EP+다/EC

또	또/MAG
다시	다시/MAG
리프트	리프트/NNG
차량이	차량/NNG+이/JKS
싣고	싣/VV+고/EC
떠났다	떠나/VV+았/EP+다/EF

그렇게	그렇/VA+게/EC
급경사와	급경사/NNG+와/JC
땡볕과	땡볕/NNG+과/JC
앞을	앞/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
2번의	2/SN+번/NNB+의/JKG
폭우를	폭우/NNG+를/JKO
뚫고	뚫/VV+고/EC
최종	최종/NNG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
영동교회에	영동교회/NNP+에/JKB
도착했다	도착하/VV+였/EP+다/EC

정말	정말/MAG
넓고,	넓/VA+고/EC+,/SP
깨끗이	깨끗이/MAG
청소된	청소되/VV+ㄴ/ETM
방,	방/NNG+,/SP
큰	크/VA+ㄴ/ETM
식당도	식당/NNG+도/JX
딸려	딸리/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
남녀가	남녀/NNG+가/JKS
구분된	구분되/VV+ㄴ/ETM
화장실,	화장실/NNG+,/SP
에어컨,	에어컨/NNG+,/SP
보일러,	보일러/NNG+,/SP
선풍기가	선풍기/NNG+가/JKS
완벽하게	완벽하/VA+게/EC
설치된	설치되/VV+ㄴ/ETM
환상의	환상/NNG+의/JKG
숙소였다	숙소/NNG+이/VCP+었/EP+다/EF

에어컨도,	에어컨/NNG+도/JX+,/SP
보일러도	보일러/NNG+도/JX
마음껏	마음껏/MAG
사용하라는	사용하/VV+라는/ETM
교회	교회/NNG
측의	측/NNB+의/JKG
배려가	배려/NNG+가/JKS
고마웠다	고맙/VA+었/EP+다/EF

빗속에	빗속/NNG+에/JKB
떨었던	떨/VV+었/EP+던/ETM
몇몇	몇몇/MM
대원들을	대원/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
보일러가	보일러/NNG+가/JKS
가동되었고,	가동되/VV+었/EP+고/EC+,/SP
이내	이내/MAG
방은	방/NNG+은/JX
뜨거워졌다	뜨거워지/VV+었/EP+다/EF

평가회의는	평가회의/NNG+는/JX
몇	몇/MM
가지	가지/NNB
당부만	당부/NNG+만/JX
한	한/MM
채	채/NNB
마쳐주었고,	마치/VV+어/EC+주/VX+었/EP+고/EC+,/SP
바로	바로/MAG
잠자리에	잠자리/NNG+에/JKB
들	들/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

원래는	원래/NNG+는/JX
어제	어제/MAG
밤에	밤/NNG+에/JKB
취침에	취침/NNG+에/JKB
들기	들/VV+기/ETN
전에	전/NNG+에/JKB
행군일지를	행군/NNG+이/VCP+ㄹ지/EC+를/JKO
써야	쓰/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
행군일지를	행군/NNG+이/VCP+ㄹ지/EC+를/JKO
작성하고	작성하/VV+고/EC
있는	있/VX+는/ETM
지금은	지금/NNG+은/JX
23일	23/SN+일/NNB
오전	오전/NNG
5시	5/SN+시/NNB
30분이다	30/SN+분/NNB+이/VCP+다/EC

다행히	다행히/MAG
밤새	밤새/NNG
내리던	내리/VV+던/ETM
비는	비/NNG+는/JX
멈춘	멈추/VV+ㄴ/ETM
듯하다	듯하/VX+다/EC

그러나	그러나/MAJ
언제	언제/MAG
또	또/MAG
폭우와	폭우/NNG+와/JC
만날지	만나/VV+ㄹ지/EC
모른다	모르/VV+ㄴ다/EF

다행히	다행히/MAG
폭우는	폭우/NNG+는/JX
피한다면	피하/VV+ㄴ다면/EC
기다리는	기다리/VV+는/ETM
건	것/NNB+ㄴ/JX
땡볕이다	땡볕/NNG+이/VCP+다/EC

우리	우리/NP
대원들의	대원/NNG+들/XSN+의/JKG
결의와	결의/NNG+와/JC
각오가	각오/NNG+가/JKS
더욱	더욱/MAG
날을	날/NNG+을/JKO
세워야	세우/VV+어야/EC
하는	하/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC
