美	美/SL
창출되는	창출되/VV+는/ETM
활동보조서비스	활동보조서비스/NNG
사업을	사업/NNG+을/JKO
매우	매우/MAG
중요시	중요시/NNG
여긴다"고	여기/VV+ㄴ다/EF+"/SS+고/JKQ
답했다	답하/VV+였/EP+다/EC

'Indy'팀은	'/SS+Indy/SL+'/SS+팀/NNG+은/JX
이어서	이어서/MAG
국내의	국내/NNG+의/JKG
장애인활동지원제도(활동보조)에	장애인활동지원제도/NNG+(/SS+활동보조/NNG+)/SS+에/JKB
대해	대하/VV+여/EC
언급하면서	언급하/VV+면서/EC
미국에	미국/NNP+에/JKB
대해서	대하/VV+여서/EC
질문했다	질문하/VV+였/EP+다/EF

고	고/MM
소장은	소장/NNG+은/JX
"미국은	"/SS+미국/NNP+은/JX
국내보다	국내/NNG+보다/JKB
활동보조의	활동보조/NNG+의/JKG
업무가	업무/NNG+가/JKS
매우	매우/MAG
세분화,	세분화/NNG+,/SP
전문화	전문화/NNG
되어	되/VV+어/EC
있다	있/VX+다/EC

일례로	일례/NNG+로/JKB
어떤	어떤/MM
미국의	미국/NNP+의/JKG
중증장애인이	중증장애인/NNG+이/JKS
활동보조인	활동보조인/NNG
없이	없이/MAG
혼자서	혼자/NNG+서/JKS
회의에	회의/NNG+에/JKB
참석하는	참석하/VV+는/ETM
것을	것/NNB+을/JKO
보고	보/VV+고/EC
왜	왜/MAG
혼자	혼자/NNG
왔느냐라고	오/VV+았/EP+느냐라고/EC
물었는데,	묻/VV+었/EP+는데/EC+,/SP
그	그/MM
사람이	사람/NNG+이/JKS
말하기를	말하/VV+기/ETN+를/JKO
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시간이	시간/NNG+이/JKS
없어서	없/VA+어서/EC
데려	데리/VV+어/EC
오지	오/VV+지/EC
못했다	못하/VX+였/EP+다/EC

이미	이미/MAG
이동보조	이동보조/NNG
시간을	시간/NNG+을/JKO
다	다/MAG
소모했다	소모하/VV+였/EP+다/EC

그렇다고	그렇/VA+다고/EC
다른	다른/MM
활동보조인으로	활동보조인/NNG+으로/JKB
하여금	하여금/MAG
이동보조를	이동보조/NNG+를/JKO
대신	대신/NNG
하게	하/VV+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
없어서	없/VA+어서/EC
혼자	혼자/NNG
오게	오/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

'Indy'팀은	'/SS+Indy/SL+'/SS+팀/NNG+은/JX
"국내	"/SS+국내/NNG
활동보조인들은	활동보조인/NNG+들/XSN+은/JX
이용자가	이용자/NNG+가/JKS
필요할	필요하/VA+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
때로는	때로/MAG+는/JX
대신	대신/NNG
운전도	운전/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
가사일도	가사일/NNG+도/JX
돌	돌/NNG
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
등의	등/NNB+의/JKG
업무의	업무/NNG+의/JKG
경계가	경계/NNG+가/JKS
뚜렷하지	뚜렷하/VA+지/EC
않다	않/VX+다/EC

그런데	그런데/MAJ
어떻게	어떻/VA+게/EC
보면	보/VV+면/EC
이런	이런/MM
경계의	경계/NNG+의/JKG
모호성이	모호성/NNG+이/JKS
이용자에게는	이용자/NNG+에게/JKB+는/JX
더	더/MAG
좋을	좋/VA+을/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
후	후/NNG
미국의	미국/NNP+의/JKG
활동보조인의	활동보조인/NNG+의/JKG
급여	급여/NNG
수준이	수준/NNG+이/JKS
더	더/MAG
나은지	낫/VA+은지/EC
물었다	묻/VV+었/EP+다/EF

고	고/MM
소장은	소장/NNG+은/JX
"주마다	"/SS+주/NNG+마다/JX
다르지만	다르/VA+지만/EC
국내보다	국내/NNG+보다/JKB
훨씬	훨씬/MAG
나은	낫/VA+은/ETM
편이다	편/NNB+이/VCP+다/EC

시간	시간/NNG
당	당/NNG
업무별로	업무/NNG+별/XSN+로/JKB
차등이	차등/NNG+이/JKS
있다'라면서	있/VA+다/EF+'/SS+라면서/EC
"보조업무가	"/SS+보조업무/NNG+가/JKS
미국처럼	미국/NNP+처럼/JKB
경계가	경계/NNG+가/JKS
뚜렷하다	뚜렷하/VA+다/EC
보면	보/VX+면/EC
아까	아까/MAG
언급한	언급하/VV+ㄴ/ETM
사례가	사례/NNG+가/JKS
발생한	발생하/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
장·단점이	장/NNG+·/SP+단점/NNG+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
언급했다	언급하/VV+였/EP+다/EF

끝으로	끝/NNG+으로/JKB
고	고/MM
소장은	소장/NNG+은/JX
"미국에	"/SS+미국/NNP+에/JKB
체류하는	체류하/VV+는/ETM
동안	동안/NNG
음식에	음식/NNG+에/JKB
적응하기	적응하/VV+기/ETN
힘들	힘들/VA+ㄹ/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
튜브	튜브/NNG
고추장	고추장/NNG
같은	같/VA+은/ETM
것을	것/NNB+을/JKO
준비하면	준비하/VV+면/EC
좋을	좋/VA+을/ETM
것"이라	것/NNB+"/SS+이라/JKQ
등의	등/NNB+의/JKG
조언과	조언/NNG+과/JC
함께	함께/MAG
"연수	"/SS+연수/NNG
가기	가/VV+기/ETN
전에	전/NNG+에/JKB
많은	많/VA+은/ETM
준비를	준비/NNG+를/JKO
통해	통하/VV+여/EC
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
연수가	연수/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력해	노력하/VV+여/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
당부했다	당부하/VV+였/EP+다/EC

*이글은	*/SW+이글/NNP+은/JX
'2012장애청년드림팀	'/SS+2012/SN+장애/NNB+청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다'	도전하/VA+다/EF+'/SS
‘Indy팀’의	‘Indy/SL+팀/NNG+’/SL+의/JKG
정승락님이	정승락/NNP+님/XSN+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
