"'반시설'의	"'/SS+반시설/NNG+'/SS+의/JKG
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
인천에서	인천/NNP+에서/JKB
가진	가지/VV+ㄴ/ETM
결의대회에	결의대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
국토대장정	국토대장정/NNG
대원들	대원/NNG+들/XSN

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
9월	9/SN+월/NNB
3일,	3/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희(서울장애인인권포럼	이권희/NNP+(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원월요일	대원월요일/NNG
아침	아침/NNG
출근길	출근길/NNG
붐비는	붐비/VV+는/ETM
인천시	인천시/NNP
지하철을	지하철/NNG+을/JKO
피해	피하/VV+여/EC
미리	미리/MAG
결의대회	결의대회/NNG
장소인	장소/NNG+이/VCP+ㄴ/ETM
인천시청	인천/NNP+시청/NNG
앞으로	앞/NNG+으로/JKB
이동하기	이동하/VV+기/ETN
위해	위하/VV+여/EC
오전	오전/NNG
6시	6/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
지하철을	지하철/NNG+을/JKO
타기로	타/VV+기/ETN+로/JKB
했기	하/VV+였/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

전동휠체어를	전동휠체어/NNG+를/JKO
탄	타/VV+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
한두	한두/MM
명도	명/NNB+도/JX
아니고	아니/VCN+고/EC
지하철	지하철/NNG
한	한/MM
칸에	칸/NNG+에/JKB
4~5명씩	4/SN+~/SO+5/SN+명/NNB+씩/XSN
타고	타/VV+고/EC
가는	가/VV+는/ETM
모습이	모습/NNG+이/JKS
흔하지	흔하/VA+지/EC
않았던지	않/VX+았/EP+던지/EC
시민들의	시민/NNG+들/XSN+의/JKG
눈길은	눈길/NNG+은/JX
자연스레	자연스레/MAG
우리를	우리/NP+를/JKO
향했고,	향하/VV+였/EP+고/EC+,/SP
의외로	의외로/MAG
밝은	밝/VA+은/ETM
모습으로	모습/NNG+으로/JKB
즐겁게	즐겁/VA+게/EC
수다를	수다/NNG+를/JKO
떠는	떨/VV+는/ETM
우리를	우리/NP+를/JKO
보면서	보/VV+면서/EC
장애인하면	장애인하/VV+면/EC
우울한	우울하/VA+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
떠올리는	떠올리/VV+는/ETM
왜곡된	왜곡되/VV+ㄴ/ETM
이미지가	이미지/NNG+가/JKS
조금은	조금/NNG+은/JX
변했으면	변하/VV+였/EP+으면/EC
하는	하/VX+는/ETM
기대도	기대/NNG+도/JX
내심	내심/NNG
했었다	하/VV+였었/EP+다/EF

지상에서	지상/NNG+에서/JKB
지하로,	지하/NNG+로/JKB+,/SP
다시	다시/MAG
지하에서	지하/NNG+에서/JKB
지상으로	지상/NNG+으로/JKB
엘리베이터를	엘리베이터/NNG+를/JKO
이용하여	이용하/VV+여/EC
움직여야	움직이/VV+어야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
의외로	의외로/MAG
시간이	시간/NNG+이/JKS
조금	조금/MAG
더	더/MAG
걸리기는	걸리/VV+기/ETN+는/JX
했지만	하/VX+였/EP+지만/EC
10개	10/SN+개/NNB
정거장	정거장/NNG
정도의	정도/NNG+의/JKG
거리를	거리/NNG+를/JKO
이동하는데는	이동하/VV+는/ETM+데/NNB+는/JX
20여분	20/SN+여/XSN+분/NNB
정도	정도/NNG
소요되었다	소요되/VV+었/EP+다/EC

오전	오전/NNG
7시가	7/SN+시/NNB+가/JKS
조금	조금/MAG
못되어	못되/VV+어/EC
인천시청역에	인천시청역/NNP+에/JKB
도착했고,	도착하/VV+였/EP+고/EC+,/SP
배재현	배재현/NNP
대원이	대원/NNG+이/JKS
갑자기	갑자기/MAG
화장실이	화장실/NNG+이/JKS
급하다고	급하/VA+다고/EC
하여	하/VV+여/EC
다른	다른/MM
대원들이	대원/NNG+들/XSN+이/JKS
엘리베이터를	엘리베이터/NNG+를/JKO
이용해	이용하/VV+여/EC
지상으로	지상/NNG+으로/JKB
올라오기를	올라오/VV+기/ETN+를/JKO
기다리는	기다리/VV+는/ETM
동안	동안/NNG
먼저	먼저/MAG
출발했다	출발하/VV+었/EP+다/EC

여기서	여기/NP+서/JKB
완주	완주/NNG
하루를	하루/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
22일	22/SN+일/NNB
간의	간/XSN+의/JKG
행군에서	행군/NNG+에서/JKB
최악의	최악/NNG+의/JKG
사건이	사건/NNG+이/JKS
터졌다	터지/VV+었/EP+다/EC

박정선	박정선/NNP
대원의	대원/NNG+의/JKG
남편이자	남편/NNG+이/VCP+자/EC
활동보조인으로	활동보조인/NNG+으로/JKB
참여한	참여하/VV+ㄴ/ETM
강경호	강경호/NNP
스텝과	스텝/NNG+과/JKB
함께	함께/MAG
화장실로	화장실/NNG+로/JKB
향하던	향하/VV+던/ETM
배재원	배재원/NNP
대원의	대원/NNG+의/JKG
전동휠체어가	전동휠체어/NNG+가/JKS
신호를	신호/NNG+를/JKO
기다리던	기다리/VV+던/ETM
중	중/NNB
갑자기	갑자기/MAG
급발진	급발지/VV+ㄴ/ETM
되면서	되/VV+면서/EC
휠체어가	휠체어/NNG+가/JKS
급회전을	급회전/NNG+을/JKO
하였고,	하/VV+였/EP+고/EC+,/SP
다행히	다행히/MAG
옆에	옆/NNG+에/JKB
있던	있/VA+던/ETM
시민들이	시민/NNG+들/XSN+이/JKS
다치지는	다치/VV+지/EC+는/JX
않았지만	않/VX+았/EP+지만/EC
휠체어가	휠체어/NNG+가/JKS
보도블록을	보도블록/NNG+을/JKO
들이받아	들이받/VV+아/EC
앞바퀴가	앞바퀴/NNG+가/JKS
뒤쪽으로	뒤쪽/NNG+으로/JKB
휘면서	휘/VV+면서/EC
모터와	모터/NNG+와/JC
충돌해	충돌하/VV+여/EC
모터가	모터/NNG+가/JKS
고장이	고장/NNG+이/JKS
나버린	나/VV+아/EC+버리/VX+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

전동휠체어는	전동휠체어/NNG+는/JX
꼼짝없이	꼼짝없이/MAG
고물이	고물/NNG+이/JKC
되어버렸고,	되/VV+어/EC+버리/VX+었/EP+고/EC+,/SP
강경호	강경호/NNP
스텝의	스텝/NNG+의/JKG
연락을	연락/NNG+을/JKO
받은	받/VV+은/ETM
임상욱	임상욱/NNP
부대장은	부대장/NNG+은/JX
이강천	이강천/NNP
대원으로	대원/NNG+으로/JKB
하여금	하여금/MAG
현장에	현장/NNG+에/JKB
보냈다	보내/VV+었/EP+다/EF

힘들지만	힘들/VA+지만/EC
혼자	혼자/NNG
보행이	보행/NNG+이/JKS
가능한	가능하/VA+ㄴ/ETM
이강천	이강천/NNP
대원은	대원/NNG+은/JX
자신의	자신/NNG+의/JKG
휠체어를	휠체어/NNG+를/JKO
배재현	배재현/NNP
대원이	대원/NNG+이/JKS
타도록	타/VV+도록/EC
배려했고,	배려하/VV+였/EP+고/EC+,/SP
자신은	자신/NNG+은/JX
걸어왔다	걸어오/VV+았/EP+다/EC

강경호	강경호/NNP
스텝은	스텝/NNG+은/JX
배재현	배재현/NNP
대원의	대원/NNG+의/JKG
휠체어를	휠체어/NNG+를/JKO
수동으로	수동/NNG+으로/JKB
전환한	전환하/VV+ㄴ/ETM
다음	다음/NNG
끌고	끌/VV+고/EC
왔다	오/VV+았/EP+다/EF

그러나	그러나/MAJ
배재현	배재현/NNP
대원의	대원/NNG+의/JKG
참극은	참극/NNG+은/JX
여기서	여기/NP+서/JKB
끝이	끝/NNG+이/JKC
아니었다	아니/VCN+었/EP+다/EF

대형사고는	대형사고/NNG+는/JX
났지만	나/VV+았/EP+지만/EC
여전히	여전히/MAG
화장실은	화장실/NNG+은/JX
급했다	급하/VA+었/EP+다/EC

서둘러	서두르/VV+어/EC
화장실로	화장실/NNG+로/JKB
갔으나	가/VV+았/EP+으나/EC
장애인용	장애인/NNG+용/XSN
남자화장실에는	남자화장실/NNG+에/JKB+는/JX
사람이	사람/NNG+이/JKS
있는지	있/VA+는지/EC
빨간	빨갛/VA+ㄴ/ETM
불이	불/NNG+이/JKS
들어와	들어오/VV+아/EC
있었고,	있/VX+었/EP+고/EC+,/SP
워낙	워낙/MAG
이른	이르/VA+ㄴ/ETM
시간이라	시간/NNG+이/VCP+라/EC
실례이긴	실례/NNG+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
장애인용	장애인/NNG+용/XSN
여자화장실로	여자화장실/NNG+로/JKB
들어갔다	들어가/VV+았/EP+다/EC

얼마나	얼마나/MAG
급했던지	급하/VA+었/EP+던지/EC
안쪽에서	안쪽/NNG+에서/JKB
닫힘	닫히/VV+ㅁ/ETN
버튼을	버튼/NNG+을/JKO
눌렀어야	누르/VV+었/EP+어야/EC
했으나	하/VX+였/EP+으나/EC
그럴	그렇/VA+ㄹ/ETM
시간도	시간/NNG+도/JX
허락하지	허락하/VV+지/EC
않았다	않/VX+았/EP+다/EF

그렇게	그렇/VA+게/EC
편안하게	편안하/VA+게/EC
일을	일/NNG+을/JKO
보고	보/VV+고/EC
있는데	있/VX+는데/EC
밖에서	밖/NNG+에서/JKB
이기영	이기영/NNP
스텝이	스텝/NNG+이/JKS
장애인용	장애인/NNG+용/XSN
여자화장실의	여자화장실/NNG+의/JKG
문을	문/NNG+을/JKO
열자	열/VV+자/EC
‘아악’하는	‘/SL+아악’하/VV+는/ETM
비명과	비명/NNG+과/JKB
함께	함께/MAG
배재현	배재현/NNP
대원의	대원/NNG+의/JKG
일을	일/NNG+을/JKO
보는	보/VV+는/ETM
모습이	모습/NNG+이/JKS
외부로	외부/NNG+로/JKB
전면공개	전면공개/NNG
되는	되/VV+는/ETM
제2의	제/XPN+2/SN+의/JKG
참변이	참변/NNG+이/JKS
일어나고야	일어나/VV+고야/EC
말았던	말/VX+았/EP+던/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

같이	같이/MAG
고생하며	고생하/VV+며/EC
잠까지	잠/NNG+까지/JX
같이	같이/MAG
잤던	자/VV+았/EP+던/ETM
사이라	사이/NNG+이/VCP+라/EC
대원과	대원/NNG+과/JC
스텝들	스텝/NNG+들/XSN
간의	간/NNB+의/JKG
이와	이/NP+와/JKB
같은	같/VA+은/ETM
화장실	화장실/NNG
사건	사건/NNG
정도야	정도/NNG+야/JX
큰	크/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
아니었지만	아니/VCN+었/EP+지만/EC
여하튼	여하튼/MAG
대형참사가	대형참사/NNG+가/JKS
2건이나	2/SN+건/NNB+이나/JC
연속적으로	연속적/NNG+으로/JKB
터지는	터지/VV+는/ETM
것이	것/NNB+이/JKS
배재현	배재현/NNP
대원의	대원/NNG+의/JKG
오늘하루가	오늘하루/NNG+가/JKS
얼마나	얼마나/MAG
힘들지를	힘들/VA+지/EC+를/JKO
미리	미리/MAG
알려주는	알리/VV+어/EC+주/VX+는/ETM
복선이	복선/NNG+이/JKS
아닐까	아니/VCN+ㄹ까/EC
불안했다	불안하/VA+었/EP+다/EC

인천지역	인천/NNP+지역/NNG
구간대원들과	구간대원/NNG+들/XSN+과/JKB
함께	함께/MAG
인천	인천/NNP
시내를	시내/NNG+를/JKO
빠져나오는	빠져나오/VV+는/ETM
동안은	동안/NNG+은/JX
속도가	속도/NNG+가/JKS
너무	너무/MAG
느려서	느리/VA+어서/EC
힘들었지만,	힘들/VA+었/EP+지만/EC+,/SP
인천지역	인천/NNP+지역/NNG
구간대원이	구간대원/NNG+이/JKS
돌아간	돌아가/VV+ㄴ/ETM
지점부터는	지점/NNG+부터는/JX
속도가	속도/NNG+가/JKS
빨라졌다	빠르/VA+아/EC+지/VX+었/EP+다/EF

경남에서	경남/NNP+에서/JKB
올라와	올라오/VV+아/EC
대열에	대열/NNG+에/JKB
합류한	합류하/VV+ㄴ/ETM
박재우	박재우/NNP
대원의	대원/NNG+의/JKG
휠체어가	휠체어/NNG+가/JKS
방전되어	방전되/VV+어/EC
멈춰	멈추/VV+어/EC
섰고,	서/VV+었/EP+고/EC+,/SP
결국에는	결국/NNG+에/JKB+는/JX
차량에	차량/NNG+에/JKB
실렸다	실리/VV+었/EP+다/EF

그런데	그런데/MAJ
또	또/MAG
속도가	속도/NNG+가/JKS
조금씩	조금씩/MAG
줄어들었다	줄어들/VV+었/EP+다/EC

배재현	배재현/NNP
대원이	대원/NNG+이/JKS
급하게	급하/VA+게/EC
갈아탄	갈아타/VV+ㄴ/ETM
휠체어가	휠체어/NNG+가/JKS
배터리는	배터리/NNG+는/JX
충분했으나	충분하/VA+였/EP+으나/EC
기본적으로	기본적/NNG+으로/JKB
최고속도가	최고속도/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
대원들의	대원/NNG+들/XSN+의/JKG
기종을	기종/NNG+을/JKO
따라가지	따라가/VV+지/EC
못했기	못하/VX+였/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

결국	결국/NNG
본대의	본대/NNG+의/JKG
선두와	선두/NNG+와/JKB
후미의	후미/NNG+의/JKG
배재현	배재현/NNP
대원의	대원/NNG+의/JKG
간격은	간격/NNG+은/JX
벌어졌고,	벌어지/VV+었/EP+고/EC+,/SP
그러면	그러면/MAJ
일제히	일제히/MAG
선두그룹이	선두그룹/NNG+이/JKS
속도를	속도/NNG+를/JKO
줄이고	줄이/VV+고/EC
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
반복되었다	반복되/VV+었/EP+다/EC

대장에게	대장/NNG+에게/JKB
보고되었고,	보고되/VV+었/EP+고/EC+,/SP
배재현	배재현/NNP
대원은	대원/NNG+은/JX
선두에서	선두/NNG+에서/JKB
두	두/MM
번째	번째/NNB
자리에	자리/NNG+에/JKB
위치했고	위치하/VV+였/EP+고/EC
전체대열의	전체대열/NNG+의/JKG
속도는	속도/NNG+는/JX
배재현	배재현/NNP
대원의	대원/NNG+의/JKG
속도에	속도/NNG+에/JKB
맞춰졌다	맞추/VV+어/EC+지/VX+었/EP+다/EF

배재현	배재현/NNP
대원의	대원/NNG+의/JKG
제3의	제/XPN+3/SN+의/JKG
참극이었다	참극/NNG+이/VCP+었/EP+다/EF

인천에서	인천/NNP+에서/JKB
과천까지의	과천/NNP+까지/JX+의/JKG
행군거리는	행군거리/NNG+는/JX
약	약/MM
35킬로미터	35/SN+킬로미터/NNB
정도였는데	정도/NNG+이/VCP+었/EP+는데/EC
오전	오전/NNG
행사관계로	행사관계/NNG+로/JKB
출발이	출발/NNG+이/JKS
늦어져	늦어지/VV+어/EC
과천시청과	과천시청/NNP+과/JKB
약속한	약속하/VV+ㄴ/ETM
오후	오후/NNG
5시	5/SN+시/NNB
30분	30/SN+분/NNB
도착시간을	도착시간/NNG+을/JKO
맞출	맞추/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것	것/NNB
같은	같/VA+은/ETM
불안감에	불안감/NNG+에/JKB
선두차량의	선두차량/NNG+의/JKG
속도는	속도/NNG+는/JX
조금씩	조금씩/MAG
빨라지는	빠르/VA+아/EC+지/VX+는/ETM
시점이라	시점/NNG+이/VCP+라/EC
배재현	배재현/NNP
대원의	대원/NNG+의/JKG
미안함은	미안하/VA+ㅁ/ETN+은/JX
더욱	더욱/MAG
컸을	크/VA+었/EP+을/ETM
것이다	것/NNB+이/VCP+다/EC

더구나	더구나/MAG
속도가	속도/NNG+가/JKS
느려지면	느려지/VV+면/EC
이권희	이권희/NNP
대원의	대원/NNG+의/JKG
핸드싸이클이	핸드싸이클/NNG+이/JKS
힘들어지므로	힘들어지/VV+므로/EC
미안하다는	미안하/VA+다는/ETM
말응	말응/NNG
반복했다	반복하/VV+였/EP+다/EC

우선은	우선/NNG+은/JX
무사히	무사히/MAG
시간	시간/NNG
안에	안/NNG+에/JKB
도착하는	도착하/VV+는/ETM
것이	것/NNB+이/JKS
최선이었기	최선/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
휠체어가	휠체어/NNG+가/JKS
허락하는	허락하/VV+는/ETM
최고속도로	최고속도/NNG+로/JKB
달리는데	달리/VV+는데/EC
집중했다	집중하/VV+였/EP+다/EC

보통의	보통/NNG+의/JKG
경우	경우/NNG
8킬로미터	8/SN+킬로미터/NNB
정도를	정도/NNG+를/JKO
행군	행군/NNG
후	후/NNG
약	약/MM
10분간	10/SN+분/NNB+간/XSN
휴식을	휴식/NNG+을/JKO
하는	하/VV+는/ETM
방식으로	방식/NNG+으로/JKB
진행되었으나	진행되/VV+었/EP+으나/EC
오늘은	오늘/NNG+은/JX
약	약/MM
15분간의	15/SN+분/NNB+간/XSN+의/JKG
휴식을	휴식/NNG+을/JKO
1회만	1/SN+회/NNB+만/JX
하며	하/VV+며/EC
강행군했다	강행군/NNG+하/XSV+였/EP+다/EF

위험천만의	위험천만/NNG+의/JKG
상황도	상황/NNG+도/JX
발생했는데	발생하/VV+였/EP+는데/EC
인천과	인천/NNP+과/JKB
과천지역의	과천/NNP+지역/NNG+의/JKG
경계선	경계선/NNG
지역에서	지역/NNG+에서/JKB
경찰의	경찰/NNG+의/JKG
관할구역	관할구역/NNG
혼선으로	혼선/NNG+으로/JKB
약	약/MM
1시간	1/SN+시간/NNB
정도는	정도/NNG+는/JX
어느	어느/MM
쪽에서도	쪽/NNB+에서/JKB+도/JX
에스코트를	에스코트/NNG+를/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
바람에	바람/NNB+에/JKB
우리	우리/NP
차량으로만	차량/NNG+으로/JKB+만/JX
대원을	대원/NNG+을/JKO
리드했다	리드하/VV+였/EP+다/EF

그러나보니	그러나/MAJ+보/VX+니/EC
국도를	국도/NNG+를/JKO
달리는	달리/VV+는/ETM
빠른	빠르/VA+ㄴ/ETM
속도의	속도/NNG+의/JKG
차들과	차/NNG+들/XSN+과/JC
진출로,	진출/NNG+로/JKB+,/SP
진입로를	진입로/NNG+를/JKO
이용하기	이용하/VV+기/ETN
위해	위하/VV+여/EC
대원	대원/NNG
사이를	사이/NNG+를/JKO
비집고	비집/VV+고/EC
들어오는	들어오/VV+는/ETM
차량	차량/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
경찰통제가	경찰통제/NNG+가/JKS
없었기	없/VA+었/EP+기/ETN
때문에	때문/NNB+에/JKB
정말	정말/MAG
위험했다	위험하/VA+었/EP+다/EF

하지만	하지만/MAJ
대원들의	대원/NNG+들/XSN+의/JKG
물오른	물오르/VV+ㄴ/ETM
행군감각과	행군감각/NNG+과/JC
팀워크로	팀워크/NNG+로/JKB
잘	잘/MAG
대처했다	대처하/VV+였/EP+다/EF

드디어	드디어/MAG
과천에	과천/NNP+에/JKB
들어왔다	들어오/VV+았/EP+다/EC

예상시간보다	예상시간/NNG+보다/JKB
1시간	1/SN+시간/NNB
30분	30/SN+분/NNB
정동	정동/NNP
일찍	일찍/MAG
도착했다	도착하/VV+였/EP+다/EC

모두들	모두/NNG+들/XSN
환호성을	환호성/NNG+을/JKO
질렀고,	지르/VV+었/EP+고/EC+,/SP
과천시청	과천시청/NNP
관계자와	관계자/NNG+와/JC
과천시장애인단체총연합회	과천시/NNP+장애인단체총연합회/NNG
회장님	회장/NNG+님/XSN
등이	등/NNB+이/JKS
마중을	마중/NNG+을/JKO
나와	나오/VV+아/EC
있었다	있/VX+었/EP+다/EF

순간	순간/NNG
대원들이	대원/NNG+들/XSN+이/JKS
웅성이기	웅성이/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

누군가	누구/NP+이/VCP+ㄴ가/EC
흐느끼고	흐느끼/VV+고/EC
있었다	있/VX+었/EP+다/EF

오늘	오늘/NNG
하루만	하루/NNG+만/JX
3번의	3/SN+번/NNB+의/JKG
참사를	참사/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
배재현	배재현/NNP
대원이었다	대원/NNG+이/VCP+었/EP+다/EF

참사에도	참사/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
서울입성을	서울/NNP+입성/NNG+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
과천까지	과천/NNP+까지/JX
무사히	무사히/MAG
도착한	도착하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
승리감,	승리감/NNG+,/SP
예정시간보다	예정시간/NNG+보다/JKB
일찍	일찍/MAG
도착했지만	도착하/VV+였/EP+지만/EC
자신으로	자신/NNG+으로/JKB
인해	인하/VV+여/EC
전체	전체/NNG
속도가	속도/NNG+가/JKS
느려졌고	느리/VA+어/EC+지/VX+었/EP+고/EC
그것	그것/NP
때문에	때문/NNB+에/JKB
힘들었을	힘들/VA+었/EP+을/ETM
대원들에	대원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
미안함	미안하/VA+ㅁ/ETN
등이	등/NNB+이/JKS
함께	함께/MAG
밀려오면서	밀려오/VV+면서/EC
자기도	자기/NP+도/JX
모를	모르/VV+ㄹ/ETM
눈물이	눈물/NNG+이/JKS
흘렸다고	흘리/VV+었/EP+다고/EC
했다	하/VV+였/EP+다/EC

다른	다른/MM
대원들도	대원/NNG+들/XSN+도/JX
모두	모두/MAG
숙연해졌다	숙연하/VV+여/EC+지/VX+었/EP+다/EF

저녁식사	저녁식사/NNG
후	후/NNG
평안한	평안하/VA+ㄴ/ETM
휴식을	휴식/NNG+을/JKO
위해	위하/VV+여/EC
대장이	대장/NNG+이/JKS
평가회의를	평가회의/NNG+를/JKO
조금	조금/MAG
일찍	일찍/MAG
하자고	하/VV+자고/EC
했다	하/VV+였/EP+다/EC

모두들	모두/NNG+들/XSN
찬성했고,	찬성하/VV+였/EP+고/EC+,/SP
23일간의	23/SN+일/NNB+간/XSN+의/JKG
대장정	대장정/NNG
중	중/NNB
마지막	마지막/NNG
평가회의가	평가회의/NNG+가/JKS
진행되었다	진행되/VV+었/EP+다/EC

왠지	왠지/MAG
모를	모르/VV+ㄹ/ETM
숙연함이	숙연하/VV+ㅁ/ETN+이/JKS
감돌았다	감돌/VV+았/EP+다/EF

대원들	대원/NNG+들/XSN
모두	모두/MAG
돌아가면서	돌아가/VV+면서/EC
오늘	오늘/NNG
하루를	하루/NNG+를/JKO
포함한	포함하/VV+ㄴ/ETM
전체	전체/NNG
일정에	일정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
평가를	평가/NNG+를/JKO
한	한/MM
마디씩	마디/NNG+씩/XSN
했다	하/VV+였/EP+다/EC

대부분의	대부분/NNG+의/JKG
공통의견은	공통의견/NNG+은/JX
내일	내일/MAG
하루	하루/NNG
더	더/MAG
행군하지만	행군하/VA+지만/EC
지금껏	지금껏/MAG
사고	사/VV+고/EC
없이	없이/MAG
무사히	무사히/MAG
온	오/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
고마움과	고마움/NNG+과/JC
대원간에	대원/NNG+간/NNB+에/JKB
서로	서로/MAG
아껴주고	아끼/VV+어/EC+주/VX+고/EC
보듬어	보듬/VV+어/EC
주는	주/VX+는/ETM
과정에서	과정/NNG+에서/JKB
동지애가	동지애/NNG+가/JKS
생겨	생기/VV+어/EC
곧	곧/MAG
헤어지는	헤어지/VV+는/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
아쉬움이었다	아쉬움/NNG+이/VCP+었/EP+다/EF

대원들의	대원/NNG+들/XSN+의/JKG
팔과	팔/NNG+과/JC
다리가	다리/NNG+가/JKC
되어	되/VV+어/EC
짐을	짐/NNG+을/JKO
싸고	싸/VV+고/EC
풀고,	풀/VV+고/EC+,/SP
식사	식사/NNG
챙기고,	챙기/VV+고/EC+,/SP
행군대열	행군대열/NNG
보호하는	보호하/VV+는/ETM
에스코트까지	에스코트/NNG+까지/JX
정말	정말/MAG
정성을	정성/NNG+을/JKO
아끼지	아끼/VV+지/EC
않은	않/VX+은/ETM
스텝에	스텝/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고마움도	고마움/NNG+도/JX
빠지지	빠지/VV+지/EC
않았다	않/VX+았/EP+다/EF

특이	특이/NNG
할만한	하/VV+ㄹ/ETM+만하/VX+ㄴ/ETM
것은	것/NNB+은/JX
내일의	내일/NNG+의/JKG
대장정이	대장정/NNG+이/JKS
끝나더라도	끝나/VV+더라도/EC
이번	이번/NNG
국토대장정의	국토대장정/NNG+의/JKG
목적인	목적/NNG+이/VCP+ㄴ/ETM
‘반시설	‘/SL+반시설/NNG
및	및/MAG
장애인자립생활	장애인자립생활/NNG
보장’이	보장/NNG+’/SL+이/JKS
실현되는	실현되/VV+는/ETM
그날까지	그날/NNG+까지/JX
대원들	대원/NNG+들/XSN
하나하나가	하나하나/NNG+가/JKS
메신저가	메신저/NNG+가/JKC
되어	되/VV+어/EC
주위	주위/NNG
사람들에	사람/NNG+들/XSN+에/JKB
알려내고	알려내/VV+고/EC
전국적인	전국적/NNG+이/VCP+ㄴ/ETM
흐름을	흐름/NNG+을/JKO
만들어	만들/VV+어/EC
내자는	내/VX+자는/ETM
의견이었다	의견/NNG+이/VCP+었/EP+다/EF

특히,	특히/MAG+,/SP
작년	작년/NNG
도가니사건을	도가니/NNP+사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
보건복지부가	보건복지부/NNG+가/JKS
실시한	실시하/VV+ㄴ/ETM
