‘장애인전환서비스센터	‘/SL+장애인전환서비스센터/NNG
개방할	개방하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
당사자중심의	당사자중심/NNG+의/JKG
시설운영을	시설운영/NNG+을/JKO
위해	위하/VV+여/EC
입소	입소/NNG
때부터	때/NNG+부터/JX
개인욕구에	개인욕구/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
서비스	서비스/NNG
계획	계획/NNG
수립,	수립/NNG+,/SP
자립계획	자립계획/NNG
수립	수립/NNG
등	등/NNB
거주하는	거주하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
서비스를	서비스/NNG+를/JKO
실시하고	실시하/VV+고/EC
시설에서는	시설/NNG+에서/JKB+는/JX
거주하는	거주하/VV+는/ETM
장애인으로	장애인/NNG+으로/JKB
구성된	구성되/VV+ㄴ/ETM
자치회,	자치회/NNG+,/SP
운영위원회	운영위원회/NNG
등에	등/NNB+에/JKB
당사자	당사자/NNG
및	및/MAG
그	그/MM
가족이	가족/NNG+이/JKS
참여토록	참여하/VV+도록/EC
한다는	하/VX+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

이외	이외/NNG
임소연	임소연/NNP
장애와인권발바닥행동	장애와인권발바닥행동/NNP
상임활동가는	상임활동가/NNG+는/JX
“현재	“/SL+현재/NNG
시설장애인은	시설장애인/NNG+은/JX
3만여명으로	3/SN+만/NR+여/XSN+명/NNB+으로/JKB
동시에	동시/NNG+에/JKB
지역으로	지역/NNG+으로/JKB
나오기는	나오/VV+기/ETN+는/JX
어렵다"며	어렵/VA+다/EF+"/SS+며/EC
"장기적으로	"/SS+장기적/NNG+으로/JKB
정부차원에서	정부차원/NNG+에서/JKB
시설	시설/NNG
장애인	장애인/NNG
지역사회전환	지역사회전환/NNG
수립	수립/NNG
등의	등/NNB+의/JKG
5개년	5/SN+개년/NNB
계획을	계획/NNG+을/JKO
세워	세우/VV+어/EC
대책을	대책/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

박홍구	박홍구/NNP
한국뇌병변장애인인권협회	한국/NNP+뇌병변장애인인권협회/NNG
서울지부장은	서울/NNP+지부장/NNG+은/JX
“각종	“/SL+각종/NNG
조사에	조사/NNG+에/JKB
따르면	따르/VV+면/EC
탈시설과	탈시설/NNG+과/JC
자립생활을	자립생활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
필요	필요/NNG
요소로	요소/NNG+로/JKB
시설	시설/NNG
거주	거주/NNG
장애인은	장애인/NNG+은/JX
주거,	주거/NNG+,/SP
소득,	소득/NNG+,/SP
활동보조	활동보조/NNG
3가지를	3/SN+가지/NNB+를/JKO
꼽았다”며	꼽/VV+았/EP+다”며/EC
“대상과	“/SN+대상/NNG+과/JC
예산의	예산/NNG+의/JKG
확대가	확대/NNG+가/JKS
시급하다”고	시급하/VA+다/EC+”/VV+고/EC
피력했다	피력하/VV+었/EP+다/EC

서울시자립생활지원네트워크,	서울시자립생활지원네트워크/NNP+,/SP
서울시장애인차별철폐연대,	서울/NNP+시장애인차별철폐연대/NNG+,/SP
서울장애인자립생활활센터협의회,	서울/NNP+장애인자립생활활센터협의회/NNG+,/SP
서울시의회장애인특별위원회는	서울/NNP+시의회장애인특별위원회/NNG+는/JX
공동으로	공동/NNG+으로/JKB
13일	13/SN+일/NNB
오후	오후/NNG
서울시의회	서울시/NNP+의회/NNG
별관	별관/NNG
의원회관에서	의원회관/NNG+에서/JKB
‘서울시	‘/SN+서울시/NNP
탈시설	탈시설/NNG
장애인	장애인/NNG
지원체계	지원체계/NNG
구축을	구축/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책	정책/NNG
토론회’를	토론회’/NNG+를/JKO
개최했다	개최하/VV+였/EP+다/EC
