"서울	"/SS+서울/NNP
출발한	출발하/VV+ㄴ/ETM
지	지/NNB
1시간	1/SN+시간/NNB
30분이	30/SN+분/NNB+이/JKS
지났음에도	지나/VV+았/EP+음/ETN+에/JKB+도/JX
총	총/XPN
행군거리는	행군거리/NNG+는/JX
3킬로미터	3/SN+킬로미터/NNB
에	에/JKB
불과했다	불과하/VA+었/EP+다/EC

행군	행군/NNG
20일	20/SN+일/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
대장과	대장/NNG+과/JC
대원들의	대원/NNG+들/XSN+의/JKG
의견이	의견/NNG+이/JKS
완전	완전/NNG
일치하는	일치하/VV+는/ETM
처음이자	처음/NNG+이/VCP+자/EC
유일한	유일하/VA+ㄴ/ETM
순간이었다	순간/NNG+이/VCP+었/EP+다/EF

화물차들이	화물차/NNG+들/XSN+이/JKS
쌩쌩	쌩쌩/MAG
달리는	달리/VV+는/ETM
국도변을	국도변/NNG+을/JKO
시속	시속/NNG
3킬로미터도	3/SN+킬/NNB+로미터/JKB+도/JX
안되게	안되/VV+게/EC
달리는	달리/VV+는/ETM
것이	것/NNB+이/JKS
위험하기도	위험하/VA+기/ETN+도/JX
했거니와	하/VX+였/EP+거니/EC+와/JC
대원들이	대원/NNG+들/XSN+이/JKS
내리쬐는	내리쬐/VV+는/ETM
땡볕에	땡볕/NNG+에/JKB
졸음운전을	졸음운전/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
위험천만의	위험천/NNG+만/JX+의/JKG
상황이	상황/NNG+이/JKS
연출되었다	연출되/VV+었/EP+다/EC

여기저기서	여기저기/NNG+서/JKB
대원들간	대원/NNG+들/XSN+간/NNB
서로의	서로/NNG+의/JKG
졸음을	졸음/NNG+을/JKO
깨우기	깨우/VV+기/ETN
위해	위하/VV+여/EC
이름도	이름/NNG+도/JX
부르고	부르/VV+고/EC
노래도	노래/NNG+도/JX
부르고	부르/VV+고/EC
일부러	일부러/MAG
살짝	살짝/MAG
충돌하기도	충돌하/VV+기/ETN+도/JX
하면서	하/VX+면서/EC
몰려드는	몰려들/VV+는/ETM
잠을	잠/NNG+을/JKO
깨우느라	깨우/VV+느라/EC
안전에	안전/NNG+에/JKB
상당한	상당하/VA+ㄴ/ETM
위험이	위험/NNG+이/JKS
닥쳤다	닥치/VV+었/EP+다/EC

그	그/MM
모업체	모/MM+업체/NNG
A기종을	A/SL+기종/NNG+을/JKO
운전하는	운전하/VV+는/ETM
대원과	대원/NNG+과/JKB
함께	함께/MAG
스텝차량에	스텝차량/NNG+에/JKB
실은	싣/VV+은/ETM
후	후/NNG
출발했다	출발하/VV+었/EP+다/EC

행군속도는	행군속도/NNG+는/JX
장난	장난/NNG
아니게	아니/VCN+게/EC
빨라졌다	빠르/VA+아/EC+지/VX+었/EP+다/EF

당연히	당연히/MAG
행군대열은	행군대열/NNG+은/JX
활기를	활기/NNG+를/JKO
되찾았고,	되찾/VV+았/EP+고/EC+,/SP
안전도	안전/NNG+도/JX
확보되었다	확보되/VV+었/EP+다/EC

약	약/MM
1시간	1/SN+시간/NNB
정도의	정도/NNG+의/JKG
충전을	충전/NNG+을/JKO
한	하/VV+ㄴ/ETM
다음	다음/NNG
안산으로	안산/NNP+으로/JKB
향했다	향하/VV+었/EP+다/EC

또다시	또다시/MAG
대열은	대열/NNG+은/JX
거북이걸음을	거북이걸음/NNG+을/JKO
했다	하/VV+였/EP+다/EF

안산시	안산시/NNP
거의	거의/MAG
다	다/MAG
와서야	오/VV+아서/EC+야/JX
반가운	반갑/VA+ㄴ/ETM
소식이	소식/NNG+이/JKS
들렸다	들리/VV+었/EP+다/EC

여느	여느/MM
때	때/NNG
같으면	같/VA+으면/EC
문제가	문제/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이	것/NNB+이/JKS
이렇게	이렇/VA+게/EC
반가운	반갑/VA+ㄴ/ETM
소식이	소식/NNG+이/JKC
될	되/VV+ㄹ/ETM
줄이야	줄/NNB+이야/JX

그	그/MM
문제의	문제/NNG+의/JKG
모업체	모/MM+업체/NNG
A기종이	A/SL+기종/NNG+이/JKS
방전되었다는	방전되/VV+었/EP+다는/ETM
것이다	것/NNB+이/VCP+다/EC

다시	다시/MAG
차량에	차량/NNG+에/JKB
실렸다	실리/VV+었/EP+다/EF

10킬로미터	10/SN+킬로미터/NNB
정도의	정도/NNG+의/JKG
거리를	거리/NNG+를/JKO
30분	30/SN+분/NNB
조금	조금/MAG
넘어	넘/VV+어/EC
도착했다	도착하/VV+였/EP+다/EF

내일이면	내일/NNG+이/VCP+면/EC
본대원으로써	본대/NNG+원/XSN+으로써/JKB
전체	전체/NNG
일정을	일정/NNG+을/JKO
소화하시는	소화하/VV+시/EP+는/ETM
문경희	문경희/NNP
대원(인천	대원/NNG+(/SS+인천/NNP
DPI	DPI/SL
회장)의	회장/NNG+)/SS+의/JKG
지역인	지역/NNG+이/VCP+ㄴ/ETM
인천으로	인천/NNP+으로/JKB
향한다	향하/VV+ㄴ다/EF

오늘은	오늘/NNG+은/JX
조대희	조대희/NNP
스텝을	스텝/NNG+을/JKO
대신한	대신하/VV+ㄴ/ETM
성현석	성현석/NNP
스텝이	스텝/NNG+이/JKS
10일	10/SN+일/NNB
만에,	만/NNB+에/JKB+,/SP
윤지영	윤지영/NNP
활동보조인이	활동보조인/NNG+이/JKS
5일	5/SN+일/NNB
만에	만/NNB+에/JKB
컴백했다	컴백하/VV+였/EP+다/EC

이기영	이기영/NNP
대원(노적성해장애인자립생활센터	대원/NNG+(/SS+노적성해장애인자립생활센터/NNG
팀장)이	팀장/NNG+)/SS+이/JKS
새로	새로/MAG
결합하였다	결합하/VV+였/EP+다/EF

중구길벗장애인자립생활센터에서	중구길벗장애인자립생활센터/NNG+에서/JKB
12인승	12/SN+인/NNG+승/NNB
승합차를	승합차/NNG+를/JKO
9월	9/SN+월/NNB
4일까지	4/SN+일/NNB+까지/JX
지원해주기로	지원하/VV+여/EC+주/VX+기/ETN+로/JKB
해서	하/VV+여서/EC
스텝차량으로	스텝차량/NNG+으로/JKB
이용했다	이용하/VV+였/EP+다/EC

오늘의	오늘/NNG+의/JKG
행군거리는	행군거리/NNG+는/JX
약	약/MM
30킬로미터이다	30/SN+킬로미터/NNB+이/VCP+다/EC

9월	9/SN+월/NNB
2일,	2/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희(서울장애인인권포럼	이권희/NNP+(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원오전	대원오전/NNG
8시	8/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
에스코트를	에스코트/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
경찰들이	경찰/NNG+들/XSN+이/JKS
도착하였고,	도착하/VV+였/EP+고/EC+,/SP
이내	이내/MAG
출발신호가	출발신호/NNG+가/JKC
떨어졌다	떨어지/VV+었/EP+다/EC

쉬는	쉬/VV+는/ETM
시간	시간/NNG
없이	없이/MAG
2시간	2/SN+시간/NNB
곧장	곧장/MAG
달리는	달리/VV+는/ETM
강행군을	강행군/NNG+을/JKO
감행했다	감행하/VV+였/EP+다/EF

경찰차	경찰차/NNG
한	한/MM
대에	대/NNB+에/JKB
오토바이가	오토바이/NNG+가/JKS
3대가	3/SN+대/NNB+가/JKS
붙어서	붙/VV+어서/EC
교차로	교차로/NNG
신호까지	신호/NNP+까지/JX
미리미리	미리미리/MAG
변환시켜	변환/NNG+시키/XSV+어/EC
주는	주/VX+는/ETM
친절	친절/NNG
덕분에	덕분/NNG+에/JKB
최대속도로	최대속도/NNG+로/JKB
달릴	달리/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

별	별/MM
탈	탈/NNG
없이	없이/MAG
2시간을	2/SN+시간/NNB+을/JKO
달렸을	달리/VV+었/EP+을/ETM
뿐인데	뿐/NNB+이/VCP+ㄴ데/EC
벌써	벌써/MAG
인천광역시	인천광역시/NNP
소래포구에	소래포구/NNP+에/JKB
다다랐다	다다르/VV+았/EP+다/EC

생각보다	생각/NNG+보다/JKB
일찍	일찍/MAG
도착한	도착하/VV+ㄴ/ETM
대열이	대열/NNG+이/JKS
당황스러웠는지	당황스럽/VA+었/EP+는지/EC
대장은	대장/NNG+은/JX
점심식사와	점심식사/NNG+와/JC
충전을	충전/NNG+을/JKO
위해	위하/VV+여/EC
휴식을	휴식/NNG+을/JKO
하자고	하/VV+자고/EC
했고,	하/VV+였/EP+고/EC+,/SP
대열은	대열/NNG+은/JX
문경희	문경희/NNP
대원을	대원/NNG+을/JKO
따라	따르/VV+아/EC
이동했다	이동하/VV+였/EP+다/EC

최종목적지인	최종목적지/NNG+이/VCP+ㄴ/ETM
숙소는	숙소/NNG+는/JX
인천광역시	인천광역시/NNP
계양구	계양구/NNP
개산동	개산동/NNP
경인장애인자립생활센터였지만	경인장애인자립생활센터/NNG+이/VCP+었/EP+지만/EC
그	그/MM
거리가	거리/NNG+가/JKS
인천시내에	인천/NNP+시내/NNG+에/JKB
들어와서도	들어오/VV+아서/EC+도/JX
약	약/MM
17~8킬로미터나	17/SN+~/SO+8/SN+킬로미터/NNB+나/JX
돼서	되/VV+어서/EC
인천시청에	인천/NNP+시청/NNG+에/JKB
1차	1/SN+차/NNB
도착한	도착하/VV+ㄴ/ETM
다음	다음/NNG
휴식을	휴식/NNG+을/JKO
취하고,	취하/VV+고/EC+,/SP
지하철로	지하철/NNG+로/JKB
움직이기로	움직이/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

인천시청에	인천/NNP+시청/NNG+에/JKB
도착했을	도착하/VV+였/EP+을/ETM
때	때/NNG
인천DPI	인천/NNP+DPI/SL
회원들이	회원/NNG+들/XSN+이/JKS
환영을	환영/NNG+을/JKO
해주었고,	하/VV+여/EC+주/VX+었/EP+고/EC+,/SP
대원은	대원/NNG+은/JX
지하철을	지하철/NNG+을/JKO
이용하여	이용하/VV+여/EC
이동했다	이동하/VV+였/EP+다/EC

내일	내일/NNG
오전	오전/NNG
10시에	10/SN+시/NNB+에/JKB
인천시청	인천/NNP+시청/NNG
앞에서	앞/NNG+에서/JKB
기자회견	기자회견/NNG
형식의	형식/NNG+의/JKG
결의대회와	결의대회/NNG+와/JC
아태장애인대회	아태장애인대회/NNG
인천지원단	인천/NNP+지원/NNG+단/XSN
발대식이	발대식/NNG+이/JKS
진행되기	진행되/VV+기/ETN
때문에	때문/NNB+에/JKB
숙소에서	숙소/NNG+에서/JKB
오전	오전/NNG
8시에	8/SN+시/NNB+에/JKB
지하철로	지하철/NNG+로/JKB
이동하면	이동하/VV+면/EC
되는데	되/VV+는데/EC
월요일	월요일/NNG
오전	오전/NNG
8시면	8/SN+시/NNB+이/VCP+면/EC
지하철이	지하철/NNG+이/JKS
워낙	워낙/MAG
복잡해서	복잡하/VA+여서/EC
대규모의	대규모/NNG+의/JKG
전동휠체어	전동휠체어/NNG
탑승에	탑승/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
있어,	있/VA+어/EC+,/SP
오히려	오히려/MAG
오전	오전/NNG
7시	7/SN+시/NNB
이전에	이전/NNG+에/JKB
출발하여	출발하/VV+여/EC
미리	미리/MAG
도착한	도착하/VV+ㄴ/ETM
다음	다음/NNG
아침식사를	아침식사/NNG+를/JKO
해결하고	해결하/VV+고/EC
전동휠체어	전동휠체어/NNG
충전을	충전/NNG+을/JKO
확인한	확인하/VV+ㄴ/ETM
후	후/NNG
부족한	부족하/VA+ㄴ/ETM
휠체어는	휠체어/NNG+는/JX
보충하는	보충하/VV+는/ETM
것으로	것/NNB+으로/JKB
해서	하/VV+여서/EC
오전	오전/NNG
10시	10/SN+시/NNB
행사에	행사/NNG+에/JKB
늦지	늦/VA+지/EC
않도록	않/VX+도록/EC
도착하는	도착하/VV+는/ETM
것으로	것/NNB+으로/JKB
결정되었기	결정되/VV+었/EP+기/ETN
때문이었다	때문/NNB+이/VCP+었/EP+다/EF

일부	일부/NNG
대원은	대원/NNG+은/JX
오히려	오히려/MAG
내일	내일/NNG
과천까지의	과천/NR+까지/JX+의/JKG
35킬로미터	35/SN+킬로미터/NNB
이상의	이상/NNG+의/JKG
강행군이	강행군/NNG+이/JKS
점심이후부터	점심이후/NNG+부터/JX
시작되기	시작되/VV+기/ETN
때문에	때문/NNB+에/JKB
중간휴식	중간휴식/NNG
시간이	시간/NNG+이/JKS
부족할	부족하/VA+ㄹ/ETM
경우	경우/NNG
대원들의	대원/NNG+들/XSN+의/JKG
체력적인	체력/NNG+적/XSN+이/VCP+ㄴ/ETM
문제가	문제/NNG+가/JKS
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
오히려	오히려/MAG
지하철	지하철/NNG
이용이	이용/NNG+이/JKS
한산한	한산하/VA+ㄴ/ETM
오전	오전/NNG
9시	9/SN+시/NNB
이후에	이후/NNG+에/JKB
이용하여	이용하/VV+여/EC
최대한	최대한/NNG
빨리	빨리/MAG
도착하자는	도착하/VV+자는/ETM
의견을	의견/NNG+을/JKO
제안하였으나	제안하/VV+였/EP+으나/EC
다수결로	다수결/NNG+로/JKB
일찍	일찍/MAG
출발하는	출발하/VV+는/ETM
것으로	것/NNB+으로/JKB
결정	결정/NNG
났다	나/VV+았/EP+다/EC

걱정이	걱정/NNG+이/JKC
되는	되/VV+는/ETM
것이	것/NNB+이/JKS
사실이나	사실/NNG+이/VCP+나/EC
마지막	마지막/NNG
이틀을	이틀/NNG+을/JKO
남겨놓은	남기/VV+어/EC+놓/VX+은/ETM
상태에서	상태/NNG+에서/JKB
더욱	더욱/MAG
고삐를	고삐/NNG+를/JKO
당기자는	당기/VV+자는/ETM
제안이	제안/NNG+이/JKS
더	더/MAG
힘을	힘/NNG+을/JKO
받은	받/VV+은/ETM
듯하다	듯하/VX+다/EC

내일은	내일/NNG+은/JX
4시에	4/SN+시/NNB+에/JKB
기상하여	기상하/VV+여/EC
6시	6/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
지하철로	지하철/NNG+로/JKB
인천시청으로	인천/NNP+시청/NNG+으로/JKB
출발해야	출발하/VV+여야/EC
한다	하/VX+ㄴ다/EF

다들	다/NNG+들/XSN
서둘러	서두르/VV+어/EC
잠을	잠/NNG+을/JKO
청하는	청하/VV+는/ETM
모습이다	모습/NNG+이/VCP+다/EC

제발	제발/MAG
내일	내일/NNG
행사	행사/NNG
잘	잘/MAG
마치고	마치/VV+고/EC
과천까지	과천/NNP+까지/JX
무사히	무사히/MAG
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
바란다	바라/VV+ㄴ다/EF

오늘의	오늘/NNG+의/JKG
행군거리는	행군거리/NNG+는/JX
약	약/MM
30킬로미터이다	30/SN+킬로미터/NNB+이/VCP+다/EC
