"서로	"/SS+서로/MAG
스마트폰으로	스마트폰/NNG+으로/JKB
확인한	확인하/VV+ㄴ/ETM
결과	결과/NNG
산	살/VV+ㄴ/ETM
정상은	정상/NNG+은/JX
해발	해발/NNG
약	약/MM
270미터	270/SN+미터/NNB

허걱	허걱/NNG

활동보조인의	활동보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
간신히	간신히/MAG
산은	산/NNG+은/JX
넘었으나	넘/VV+었/EP+으나/EC
결국	결국/NNG
이권희	이권희/NNP
대원은	대원/NNG+은/JX
탈진하여	탈진하/VV+여/EC
위문숙	위문숙/NNP
대원의	대원/NNG+의/JKG
차량운전	차량운전/NNG
역할과	역할/NNG+과/JKB
바꾸어	바꾸/VV+어/EC
둘째	둘째/NR
날의	날/NNG+의/JKG
경로를	경로/NNG+를/JKO
완주하지	완주하/VV+지/EC
못했다	못하/VX+였/EP+다/EC

왜	왜/MAG
이렇게	이렇/VA+게/EC
무리한	무리하/VV+ㄴ/ETM
경로로	경로/NNG+로/JKB
변경되었을까?	변경되/VV+었/EP+을까/EF+?/SF
사전에	사전/NNG+에/JKB
예정되었던	예정되/VV+었/EP+던/ETM
경로는	경로/NNG+는/JX
답사	답사/NNG
이후	이후/NNG
대규모	대규모/NNG
공사관계로	공사관계/NNG+로/JKB
길이	길/NNG+이/JKS
고르지	고르/VV+지/EC
못할	못하/VX+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
안전사고의	안전사고/NNG+의/JKG
위험이	위험/NNG+이/JKS
많았기	많/VA+았/EP+기/ETN
때문이었다	때문/NNB+이/VCP+었/EP+다/EF

자칫	자칫/MAG
대원들의	대원/NNG+들/XSN+의/JKG
군기를	군기/NNG+를/JKO
잡기	잡/VV+기/ETN
위해	위하/VV+여/EC
일부러	일부러/MAG
어려운	어렵/VA+ㄴ/ETM
코스로	코스/NNG+로/JKB
변경한	변경하/VV+ㄴ/ETM
거	것/NNB
아니냐고	아니/VCN+냐고/EC
의심한	의심하/VV+ㄴ/ETM
대원(이권희	대원/NNG+(/SS+이권희/NNP
대원	대원/NNG
혼자였지만)이	혼자/NNG+이/VCP+었/EP+지만/EC+)/SS+이/JKS
일으킬	일으키/VV+ㄹ/ETM
뻔	뻔/NNB
한	한/MM
내부	내부/NNG
반란이	반란/NNG+이/JKS
잠재워지는	잠재우/VV+어/EC+지/VX+는/ETM
순간이었다	순간/NNG+이/VCP+었/EP+다/EF

점심을	점심/NNG+을/JKO
해결하며	해결하/VV+며/EC
해발	해발/NNG
270미터	270/SN+미터/NNB
등정에	등정/NNG+에/JKB
방전된	방전되/VV+ㄴ/ETM
전동휠체어	전동휠체어/NNG
배터리를	배터리/NNG+를/JKO
충전했다	충전하/VV+였/EP+다/EF

오후	오후/NNG
3시	3/SN+시/NNB
45분경	45/SN+분/NNB+경/XSN
다시	다시/MAG
행군을	행군/NNG+을/JKO
시작하여	시작하/VV+여/EC
2시간	2/SN+시간/NNB
만에	만/NNB+에/JKB
최종	최종/NNG
목적인	목적/NNG+이/VCP+ㄴ/ETM
숙소에	숙소/NNG+에/JKB
도착했는데	도착하/VV+였/EP+는데/EC
광대현	광대현/NNP
마을회관이었다	마을회관/NNG+이/VCP+었/EP+다/EF

조금	조금/MAG
좁긴	좁/VA+기/ETN+ㄴ/JX
했지만	하/VX+였/EP+지만/EC
경로당으로	경로당/NNG+으로/JKB
사용하는	사용하/VV+는/ETM
잘	잘/MAG
꾸며진	꾸미/VV+어/EC+지/VX+ㄴ/ETM
방과	방/NNG+과/JC
샤워실,	샤워/NNG+실/XSN+,/SP
주방,	주방/NNG+,/SP
시원한	시원하/VA+ㄴ/ETM
에어컨이	에어컨/NNG+이/JKS
오늘의	오늘/NNG+의/JKG
피로를	피로/NNG+를/JKO
씻어	씻/VV+어/EC
주기에	주/VX+기/ETN+에/JKB
충분했다	충분하/VA+었/EP+다/EF

예정대로	예정/NNG+대로/JX
저녁	저녁/NNG
9시	9/SN+시/NNB
평가회의	평가회의/NNG
진행했으며,	진행하/VV+였/EP+으며/EC+,/SP
대장님과	대장/NNG+님/XSN+과/JC
몇몇	몇몇/MM
대원들은	대원/NNG+들/XSN+은/JX
이번	이번/NNG
국토대장정에서	국토대장정/NNG+에서/JKB
가장	가장/MAG
중요한	중요하/VA+ㄴ/ETM
울산에서의	울산/NNP+에서/JKB+의/JKG
거점투쟁에	거점투쟁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구체적	구체적/NNG
전술회의	전술회의/NNG
12시까지	12/SN+시/NNB+까지/JX
가졌다	가지/VV+었/EP+다/EC

힘든	힘들/VA+ㄴ/ETM
일정이긴	일정/NNG+이/VCP+기/ETN+ㄴ/JX
했나보다	했/VX+나/EC+보/VX+다/EC

전동휠체어마다	전동휠체어/NNG+마다/JX
기종이	기종/NNG+이/JKS
다르긴	다르/VA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
중간에	중간/NNG+에/JKB
2시간이라는	2/SN+시간/NNB+이/VCP+라는/ETM
충전시간을	충전시간/NNG+을/JKO
가졌음에도	가지/VV+었/EP+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
총	총/MM
4번의	4/SN+번/NNB+의/JKG
배터리	배터리/NNG
방전으로	방전/NNG+으로/JKB
대원이	대원/NNG+이/JKS
대열에서	대열/NNG+에서/JKB
벗어났고,	벗어나/VV+았/EP+고/EC+,/SP
뒤따라오던	뒤따라오/VV+던/ETM
스텝차량이	스텝차량/NNG+이/JKS
두	두/MM
번을,	번/NNB+을/JKO+,/SP
마지막	마지막/NNG
도착점에	도착점/NNG+에/JKB
도착한	도착하/VV+ㄴ/ETM
후	후/NNG
다시	다시/MAG
돌아가	돌아가/VV+아/EC
대원을	대원/NNG+을/JKO
실어오기를	싣/VV+어/EC+오/VX+기/ETN+를/JKO
두	두/MM
번했다	번/NNB+하/VV+였/EP+다/EF

내일은	내일/NNG+은/JX
또	또/MAG
어떤	어떤/MM
사연들이	사연/NNG+들/XSN+이/JKS
생길까?	생기/VV+ㄹ까/EF+?/SF
정말	정말/MAG
대원들이	대원/NNG+들/XSN+이/JKS
다치는	다치/VV+는/ETM
사고만	사고/NNG+만/JX
아니었으면	아니/VCN+었/EP+으면/EC
하고	하/VX+고/EC
기원한다	기원하/VV+ㄴ다/EF

행군일지를	행군일지/NNG+를/JKO
쓰고	쓰/VV+고/EC
있는	있/VX+는/ETM
지금	지금/NNG
새벽	새벽/NNG
1시	1/SN+시/NNB
30분	30/SN+분/NNB

하늘은	하늘/NNG+은/JX
금방이라도	금방/MAG+이라도/JX
비를	비/NNG+를/JKO
뿌릴	뿌리/VV+ㄹ/ETM
것처럼	것/NNB+처럼/JKB
먹구름으로	먹구름/NNG+으로/JKB
가득하지만	가득하/VA+지만/EC
우리	우리/NP
대원들은	대원/NNG+들/XSN+은/JX
내일을	내일/NNG+을/JKO
걱정할	걱정하/VV+ㄹ/ETM
새도	새/NNG+도/JX
없이	없이/MAG
연신	연신/MAG
코를	코/NNG+를/JKO
골아댄다	골아대/VV+ㄴ다/EF

내일은	내일/NNG+은/JX
창원으로	창원/NNP+으로/JKB
들어가	들어가/VV+아/EC
용지공원에서	용지공원/NNP+에서/JKB
천막치고	천막치/VV+고/EC
노숙을	노숙/NNG+을/JKO
한단다	한단/VA+다/EF

씻기는	씻/VV+기/ETN+는/JX
불가능할	불가능하/VA+ㄹ/ETM
것	것/NNB
같다	같/VA+다/EC

누군지는	누구/NP+이/VCP+ㄴ지/EC+는/JX
몰라도	모르/VV+아도/EC
마지막	마지막/NNG
샤워장을	샤워/NNG+장/XSN+을/JKO
이용하는	이용하/VV+는/ETM
물줄기	물줄기/NNG
소리만이	소리/NNG+만/JX+이/JKS
자그마하게	자그마하/VA+게/EC
새어나온다	새어나오/VV+ㄴ다/EF

미리	미리/MAG
내려온	내려오/VV+ㄴ/ETM
12일부터	12/SN+일/NNB+부터/JX
이제	이제/MAG
3일째	3/SN+일/NNB+째/XSN
동침하는	동침하/VV+는/ETM
우리	우리/NP
대원들!	대원/NNG+들/XSN+!/SF
서로	서로/MAG
나누는	나누/VV+는/ETM
대화도	대화/NNG+도/JX
많이	많이/MAG
늘었고,	늘/VV+었/EP+고/EC+,/SP
자주	자주/MAG
농들도	농/NNG+들/XSN+도/JX
주고받는다	주고받/VV+는다/EF

서로를	서로/NNG+를/JKO
격려하기	격려하/VV+기/ETN
위해	위하/VV+여/EC
힘들지만	힘들/VA+지만/EC
외치는	외치/VV+는/ETM
파이팅과	파이팅/NNG+과/JC
반시설	반시설/NNG
구호	구호/NNG
소리는	소리/NNG+는/JX
오히려	오히려/MAG
더	더/MAG
커지고	커지/VV+고/EC
있다	있/VX+다/EC

난	나/VV+ㄴ/ETM
확신한다	확신/NNG+하/VV+ㄴ다/EF

23일	23/SN+일/NNB
전체	전체/NNG
일정을	일정/NNG+을/JKO
결의한	결의하/VV+ㄴ/ETM
본	본/MM
대원들이	대원/NNG+들/XSN+이/JKS
사고	사고/NNG
없이	없이/MAG
안전하고	안전하/VA+고/EC
건강하게	건강하/VA+게/EC
완주할	완주하/VV+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
국토대장정	국토대장정/NNG
종료	종료/NNG
후에도	후/NNG+에/JKB+도/JX
이	이/MM
나라에서	나라/NNG+에서/JKB
시설정책이	시설정책/NNG+이/JKS
간판을	간판/NNG+을/JKO
내리고	내리/VV+고/EC
단	단/MM
하나의	하나/NNG+의/JKG
시설도	시설/NNG+도/JX
남지	남/VV+지/EC
않을	않/VX+을/ETM
그날까지	그날/NNG+까지/JX
투쟁을	투쟁/NNG+을/JKO
멈추지	멈추/VV+지/EC
않으리라는	않/VX+으리라는/ETM
것을	것/NNB+을/JKO
말이다	말/NNG+이/VCP+다/EC

행군일지를	행군/NNG+이/VCP+ㄹ지/EC+를/JKO
마감하는	마감하/VV+는/ETM
지금	지금/NNG
칼잠이라도	칼잠/NNG+이라도/JX
잘	잘/MAG
자리	자리/NNG
하나가	하나/NNG+가/JKS
없다	없/VA+다/EC

밖에	밖/NNG+에/JKB
쳐진	치/VV+어/EC+지/VX+ㄴ/ETM
간이	간이/NNG
천막으로	천막/NNG+으로/JKB
가서	가/VV+아서/EC
이놈의	이놈/NP+의/JKG
모기들에게	모기/NNG+들/XSN+에게/JKB
반시설	반시설/NNG
투쟁의지로	투쟁의지/NNG+로/JKB
가득한	가득하/VA+ㄴ/ETM
뜨거운	뜨겁/VA+ㄴ/ETM
피를	피/NNG+를/JKO
나눠가져야겠다	나누/VV+어/EC+가지/VV+어야/EC+하/VX+겠/EP+다/EF

아참!	아참/NNG+!/SF
오늘의	오늘/NNG+의/JKG
최종	최종/NNG
행군거리는	행군거리/NNG+는/JX
예정된	예정되/VV+ㄴ/ETM
28킬로미터에서	28/SN+킬로미터/NNB+에서/JKB
6킬로미터	6/SN+킬/NNB+로미터/JKB
줄어든	줄어들/VV+ㄴ/ETM
22킬로미터였다	22/SN+킬로미터/NNB+이/VCP+었/EP+다/EF

국토대장정	국토대장정/NNG
대원들은	대원/NNG+들/XSN+은/JX
궂은	궂/VA+은/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
서로	서로/MAG
격려하며,	격려하/VV+며/EC+,/SP
이동하고	이동하/VV+고/EC
있다	있/VX+다/EC

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
이날	이날/NNG
국토대장정	국토대장정/NNG
본	보/VV+ㄴ/ETM
대원	대원/NNG
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
지역	지역/NNG
단체의	단체/NNG+의/JKG
회원들도	회원/NNG+들/XSN+도/JX
함께	함께/MAG
이동했다	이동하/VV+였/EP+다/EC

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
