"시민들도	"/SS+시민/NNG+들/XSN+도/JX
정도의	정도/NNG+의/JKG
단잠을	단잠/NNG+을/JKO
자는	자/VV+는/ETM
대원들도	대원/NNG+들/XSN+도/JX
있었다	있/VA+었/EP+다/EF

국토대장정을	국토대장정/NNG+을/JKO
하는	하/VV+는/ETM
우리가	우리/NP+가/JKS
안쓰러우셨는지	안쓰러/VV+우/VA+시었/EP+는지/EC
목사님은	목사/NNG+님/XSN+은/JX
길을	길/NNG+을/JKO
떠나는	떠나/VV+는/ETM
우리에게	우리/NP+에게/JKB
3가지	3/SN+가지/NNB
정도의	정도/NNG+의/JKG
마술을	마술/NNG+을/JKO
보여주시면	보이/VV+어/EC+주/VX+시/EP+면/EC
지친	지치/VV+ㄴ/ETM
몸을	몸/NNG+을/JKO
달래주셨고,	달래주/VV+시었/EP+고/EC+,/SP
안전하게	안전하/VA+게/EC
완주할	완주하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
기도도	기도/NNG+도/JX
해주셨다	하/VV+여/EC+주/VX+시었/EP+다/EC

다시	다시/MAG
길을	길/NNG+을/JKO
떠나는	떠나/VV+는/ETM
대원들	대원/NNG+들/XSN
등을	등/NNB+을/JKO
일일이	일일이/MAG
두들겨	두들기/VV+어/EC
주시면	주/VX+시/EP+면/EC
파이팅도	파이팅/NNG+도/JX
잊지	잊/VV+지/EC
않으셨다	않/VX+으시었/EP+다/EF

구간대원들이	구간대원/NNG+들/XSN+이/JKS
빠지고	빠지/VV+고/EC
전체일정을	전체일정/NNG+을/JKO
소화하는	소화하/VV+는/ETM
본대원들만	본대원/NNG+들/XSN+만/JX
남아서	남/VV+아서/EC
그런지	그러/VV+ㄴ지/EC
행군의	행군/NNG+의/JKG
지금까지의	지금/NNG+까지/JX+의/JKG
평균	평균/NNG
4킬로미터	4/SN+킬로미터/NNB
속도의	속도/NNG+의/JKG
두	두/MM
배에	배/NNG+에/JKB
달하는	달하/VV+는/ETM
8킬로미터로	8/SN+킬로미터/NNB+로/JKB
달렸고,	달리/VV+었/EP+고/EC+,/SP
경찰의	경찰/NNG+의/JKG
호위가	호위/NNG+가/JKS
적극적이어서	적극/NNG+적/XSN+이/VCP+어서/EC
그런지	그럽/VA+ㄴ지/EC
31킬로미터를	31/SN+킬로미터/NNB+를/JKO
단숨에	단숨에/MAG
달렸다	달리/VV+었/EP+다/EF

원래	원래/NNG
5시	5/SN+시/NNB
30분	30/SN+분/NNB
도착을	도착/NNG+을/JKO
목표로	목표/NNG+로/JKB
하였으나	하/VV+였/EP+으나/EC
1시간이나	1/SN+시간/NNB+이나/JX
단축된	단축되/VV+ㄴ/ETM
4시	4/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
도착하였다	도착하/VV+였/EP+다/EF

칠곡군	칠곡군/NNP
장애인복지과	장애인복지과/NNG
과장이	과장/NNG+이/JKS
몇	몇/MM
명의	명/NNB+의/JKG
직원과	직원/NNG+과/JKB
함께	함께/MAG
우리를	우리/NP+를/JKO
맞이해	맞이하/VV+여/EC
주었으며,	주/VX+었/EP+으며/EC+,/SP
숙소로는	숙소/NNG+로/JKB+는/JX
칠곡군	칠곡군/NNP
장애인협회로	장애인협회/NNG+로/JKB
정해져	정하/VV+여/EC+지/VX+어/EC
짐을	짐/NNG+을/JKO
풀었다	풀/VV+었/EP+다/EC

주출입구	주출입구/NNG
경사로를	경사로/NNG+를/JKO
통해	통하/VV+여/EC
건물	건물/NNG
안으로	안/NNG+으로/JKB
진입하면	진입하/VV+면/EC
턱이라고는	턱/NNG+이/VCP+라고/EC+는/JX
하나도	하나/NNG+도/JX
없었고,	없/VA+었/EP+고/EC+,/SP
체력단련실과	체력단련실/NNG+과/JC
교육장,	교육장/NNG+,/SP
자원봉사자실,	자원봉사자실/NNG+,/SP
장애인	장애인/NNG
전용목욕탕이	전용목욕탕/NNG+이/JKS
갖춰져	갖추/VV+어/EC+지/VX+어/EC
있었다	있/VX+었/EP+다/EF

잠은	잠/NNG+은/JX
아무데서나	아무/MM+데/NNB+서/JKB+나/JX
편한	편하/VA+ㄴ/ETM
데로	데/NNB+로/JKB
잘	자/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
개방해	개방하/VV+여/EC
주었고,	주/VX+었/EP+고/EC+,/SP
드럼	드럼/NNG
세탁기가	세탁기/NNG+가/JKS
있어서	있/VA+어서/EC
몇몇	몇몇/MM
대원은	대원/NNG+은/JX
밀린	밀리/VV+ㄴ/ETM
빨래도	빨래/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

8월	8/SN+월/NNB
30일로	30/SN+일/NNB+로/JKB
예정된	예정되/VV+ㄴ/ETM
수원까지는	수원/NNG+까지는/JX
구간대원의	구간대원/NNG+의/JKG
결합	결합/NNG
없이	없이/MAG
본대원들	본대원/NNG+들/XSN
만의	만/NNB+의/JKG
행군이다	행군/NNG+이/VCP+다/EC

지난해	지난해/NNG
제1기	제/XPN+1/SN+기/NNG
국토대장정	국토대장정/NNG
대원이	대원/NNG+이/JKS
4명이나	4/SN+명/NNB+이나/JX
있고,	있/VA+고/EC+,/SP
13일부터	13/SN+일/NNB+부터/JX
지금까지	지금/NNG+까지/JX
8일	8/SN+일/NNB
동안	동안/NNG
행군에	행군/NNG+에/JKB
익숙해진	익숙하/VA+여/EC+지/VX+ㄴ/ETM
소수	소수/NNG
정예부대라	정예부대/NNG+이/VCP+라/EC
큰	크/VA+ㄴ/ETM
걱정은	걱정/NNG+은/JX
없다	없/VA+다/EC

왠만한	왠만하/VA+ㄴ/ETM
궂은	궂/VA+은/ETM
날씨도	날씨/NNG+도/JX
모두	모두/MAG
이겨냈다	이기/VV+어/EC+내/VX+었/EP+다/EF

문제는	문제/NNG+는/JX
졸음이었다	졸음/NNG+이/VCP+었/EP+다/EF

오늘도	오늘/NNG+도/JX
몇	몇/MM
번의	번/NNB+의/JKG
전동휠체	전동휠체/NNG
끼리	끓이/VV+어/EC
충돌이	충돌/NNG+이/JKS
있었고,	있/VA+었/EP+고/EC+,/SP
일부대원은	일부대원/NNG+은/JX
화물차들이	화물차/NNG+들/XSN+이/JKS
씽씽	씽씽/MAG
달리는	달리/VV+는/ETM
안쪽	안쪽/NNG
차선	차선/NNG
쪽으로	쪽/NNB+으로/JKB
돌진하다	돌진하/VV+다/EC
급하게	급하/VA+게/EC
되돌아오는	되돌아오/VV+는/ETM
위험천만의	위험천만/NNG+의/JKG
경우가	경우/NNG+가/JKS
상당히	상당히/MAG
있었다	있/VA+었/EP+다/EF

평가회의	평가회의/NNG
때도	때/NNG+도/JX
이	이/MM
이야기가	이야기/NNG+가/JKS
중점적으로	중점적/NNG+으로/JKB
다뤄졌다	다루어지/VV+었/EP+다/EF

아무쪼록	아무쪼록/MAG
아무런	아무런/MM
사고	사고/NNG
없이	없이/MAG
완주했으면	완주하/VV+였/EP+으면/EC
한다	하/VX+ㄴ다/EF

8월	8/SN+월/NNB
21일,	21/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희	이권희/NNP
(서울장애인인권포럼	(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원문경희	대원문경희/NNG
대원의	대원/NNG+의/JKG
전동휠체어가	전동휠체어/NNG+가/JKS
최고속도에	최고속도/NNG+에/JKB
문제가	문제/NNG+가/JKS
있어	있/VA+어/EC
어젯밤에	어젯밤/NNG+에/JKB
내려온	내려오/VV+ㄴ/ETM
한국DPI	한국/NNP+DPI/SL
황석재	황석재/NNP
총무국장이	총무국/NNG+장/XSN+이/JKS
가져온	가져오/VV+ㄴ/ETM
이영석	이영석/NNP
대장의	대장/NNG+의/JKG
휠체어로	휠체어/NNG+로/JKB
갈아타서	갈아타/VV+아서/EC
그런지	그러/VV+ㄴ지/EC
행군이	행군/NNG+이/JKS
속도를	속도/NNG+를/JKO
붙이기	붙이/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

4번	4/SN+번/NNB
국도를	국도/NNG+를/JKO
이용했는데	이용하/VV+었/EP+는데/EC
칠곡경찰서	칠곡/NNP+경찰서/NNG
소속	소속/NNG
경찰차가	경찰차/NNG+가/JKS
대열의	대열/NNG+의/JKG
앞뒤에	앞뒤/NNG+에/JKB
서서	서/VV+어서/EC
에스코트했다	에스코트/NNG+하/XSV+였/EP+다/EC

초반	초반/NNG
국도상황은	국도상황/NNG+은/JX
완만한	완만하/VA+ㄴ/ETM
경사로	경사/NNG+로/JKB
이루어진	이루어지/VV+ㄴ/ETM
평이한	평이하/VA+ㄴ/ETM
길이었으나	길/NNG+이/VCP+었/EP+으나/EC
워낙	워낙/MAG
경사길이	경사길/NNG+이/JKS
길어서	길/VA+어서/EC
핸드싸이클을	핸드싸이클/NNG+을/JKO
운전하는	운전하/VV+는/ETM
이권희	이권희/NNP
대원의	대원/NNG+의/JKG
체력소모가	체력소모/NNG+가/JKS
만만치	만만하/VA+지/EC
않았다	않/VX+았/EP+다/EF

하지만	하지만/MAJ
이력이	이력/NNG+이/JKS
났는지	나/VV+았/EP+는지/EC
제법	제법/MAG
잘	잘/MAG
버티는가	버티/VV+는가/EC
싶었다	싶/VX+었/EP+다/EF

사실	사실/MAG
서울	서울/NNP
등	등/NNB
중부권은	중부/NNG+권/XSN+은/JX
폭우로	폭우/NNG+로/JKB
고생한다지만	고생하/VV+ㄴ다지만/EC
이곳은	이곳/NP+은/JX
땡볕이	땡볕/NNG+이/JKS
내리쬐는	내리쬐/VV+는/ETM
한여름	한여름/NNG
날씨로	날씨/NNG+로/JKB
땀이	땀/NNG+이/JKS
너무	너무/MAG
많이	많이/MAG
나서	나서/VV+어/EC
휴식도	휴식/NNG+도/JX
자주	자주/MAG
가졌다	가지/VV+었/EP+다/EC

오후	오후/NNG
2시에	2/SN+시/NNB+에/JKB
남김천	남김천/NNP
휴게소를	휴게소/NNG+를/JKO
출발하여	출발하/VV+여/EC
최종	최종/NNG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
김천제일교회를	김천제일교회/NNP+를/JKO
향했는데	향하/VV+였/EP+는데/EC
500미터	500/SN+미터/NNB
정도	정도/NNG
전진하니	전진하/VV+니/EC
굉장히	굉장히/MAG
가파른	가파르/VA+ㄴ/ETM
경사의	경사/NNG+의/JKG
고개가	고개/NNG+가/JKS
버티고	버티/VV+고/EC
있었다	있/VX+었/EP+다/EF

문제는	문제/NNG+는/JX
이권희	이권희/NNP
대원이었다	대원/NNG+이/VCP+었/EP+다/EF

근육통에	근육통/NNG+에/JKB
시달리며	시달리/VV+며/EC
매일	매일/MAG
아침저녁으로	아침저녁/NNG+으로/JKB
스프레이	스프레이/NNG
파스로	파스/NNG+로/JKB
버틸	버티/VV+ㄹ/ETM
만큼	만큼/NNB
어깨가	어깨/NNG+가/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
상태여서	상태/NNG+이/VCP+어서/EC
걱정이	걱정/NNG+이/JKS
앞섰다	앞서/VV+었/EP+다/EC

그래서	그래서/MAJ
행군대열의	행군대열/NNG+의/JKG
순서를	순서/NNG+를/JKO
일시적으로	일시적/NNG+으로/JKB
변경하는	변경하/VV+는/ETM
작전을	작전/NNG+을/JKO
구사했다	구사하/VV+였/EP+다/EC

우선	우선/MAG
선두차량이	선두차량/NNG+이/JKS
앞을	앞/NNG+을/JKO
서고	서/VV+고/EC
바로	바로/MAG
뒤이어	뒤잇/VV+어/EC
이권희	이권희/NNP
대원이	대원/NNG+이/JKS
출발하고	출발하/VV+고/EC
상당한	상당하/VA+ㄴ/ETM
거리를	거리/NNG+를/JKO
띄우고	띄우/VV+고/EC
본대가	본대/NNG+가/JKS
출발함으로써	출발하/VV+ㅁ/ETN+으로써/JKB
초반	초반/NNG
속력을	속력/NNG+을/JKO
유지한	유지하/VV+ㄴ/ETM
채	채/NNB
고개의	고개/NNG+의/JKG
일부를	일부/NNG+를/JKO
오른	오르/VV+ㄴ/ETM
다음	다음/NNG
사력을	사력/NNG+을/JKO
다하자는	다하/VV+자는/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

휴게소	휴게소/NNG
앞이	앞/NNG+이/JKS
약간	약간/MAG
내리막길이라	내리막길/NNG+이/VCP+라/EC
오히려	오히려/MAG
역방향으로는	역방향/NNG+으로/JKB+는/JX
이동한	이동하/VV+ㄴ/ETM
다음	다음/NNG
그	그/MM
내리막길을	내리막길/NNG+을/JKO
내달려	내달리/VV+어/EC
초반	초반/NNG
가속도를	가속도/NNG+를/JKO
붙인	붙이/VV+ㄴ/ETM
후	후/NNG
오르막길을	오르막길/NNG+을/JKO
올랐다	오르/VV+았/EP+다/EC

생각보다	생각/NNG+보다/JKB
경사가	경사/NNG+가/JKS
심했고	심하/VA+었/EP+고/EC
그	그/MM
거리도	거리/NNG+도/JX
족히	족히/MAG
1킬로미터는	1/SN+킬로/NNB+미터는/JX
더	더/MAG
되어	되/VV+어/EC
보였다	보이/VV+었/EP+다/EF

한참	한참/NNG
뒤에	뒤/NNG+에/JKB
출발한	출발하/VV+ㄴ/ETM
본대원의	본대/NNG+원/XSN+의/JKG
전동휠체어가	전동휠체어/NNG+가/JKS
금방	금방/MAG
이권희	이권희/NNP
대원의	대원/NNG+의/JKG
뒤에	뒤/NNG+에/JKB
붙었다	붙/VV+었/EP+다/EC

모두들	모두/NNG+들/XSN
파이팅을	파이팅/NNG+을/JKO
외치며	외치/VV+며/EC
응원했고,	응원하/VV+였/EP+고/EC+,/SP
이권희	이권희/NNP
대원도	대원/NNG+도/JX
‘악’소리를	‘/SN+악/NNG+’/SN+소리/NNG+를/JKO
연거푸	연거푸/MAG
내며	내/VV+며/EC
사력을	사력/NNG+을/JKO
다했다	다하/VV+었/EP+다/EC

그렇게	그렇/VA+게/EC
20분	20/SN+분/NNB
정도의	정도/NNG+의/JKG
사투	사투/NNG
끝에	끝/NNG+에/JKB
고개의	고개/NNG+의/JKG
정상에	정상/NNG+에/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
그	그/MM
후부터는	후/NNG+부터는/JX
내리막길이	내리막길/NNG+이/JKS
대부분이었다	대부분/NNG+이/VCP+었/EP+다/EF

하지만	하지만/MAJ
이것도	이것/NP+도/JX
이권희	이권희/NNP
대원에게는	대원/NNG+에게/JKB+는/JX
반가운	반갑/VA+ㄴ/ETM
소식이	소식/NNG+이/JKC
아니었다	아니/VCN+었/EP+다/EF

물론	물론/MAG
오르막보다는	오르막/NNG+보다/JKB+는/JX
수월한	수월하/VA+ㄴ/ETM
것이	것/NNB+이/JKS
사실이지만	사실/NNG+이/VCP+지만/EC
내리막길에서는	내리막길/NNG+에서/JKB+는/JX
핸드싸이클의	핸드싸이클/NNG+의/JKG
속도가	속도/NNG+가/JKS
전동휠체어	전동휠체어/NNG
속도보다	속도/NNG+보다/JKB
훨씬	훨씬/MAG
빠르기	빠르/VA+기/ETN
때문에	때문/NNB+에/JKB
대열의	대열/NNG+의/JKG
맨	맨/MM
뒤에	뒤/NNG+에/JKB
위치하여	위치하/VV+여/EC
그	그/MM
속도를	속도/NNG+를/JKO
맞춰야	맞추/VV+어야/EC
하므로	하/VX+므로/EC
계속	계속/MAG
브레이크를	브레이크/NNG+를/JKO
잡고	잡/VV+고/EC
가야	가/VV+아야/EC
하기	하/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

어찌됐건	어찌/MAG+되/XSV+었/EP+건/EC
구간대원이	구간대원/NNG+이/JKS
빠진	빠지/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
본대원만	본대/NNG+원/XSN+만/JX
행군하고,	행군하/VA+고/EC+,/SP
성능	성능/NNG
좋은	좋/VA+은/ETM
전동휠체어로	전동휠체어/NNG+로/JKB
교체까지	교체/NNG+까지/JX
하였으며,	하/VV+였/EP+으며/EC+,/SP
이권희	이권희/NNP
대원이	대원/NNG+이/JKS
다행히	다행히/MAG
오르막	오르막/NNG
고개를	고개/NNG+를/JKO
생각보다	생각/NNG+보다/JKB
빠르게	빠르/VA+게/EC
행군함으로써	행군하/VA+ㅁ/ETN+으로써/JKB
실제	실제/NNG
예정된	예정되/VV+ㄴ/ETM
시간보다	시간/NNG+보다/JKB
2시간이나	2/SN+시간/NNB+이나/JX
일찍	일찍/MAG
김천역에	김천역/NNP+에/JKB
도착하였다	도착하/VV+였/EP+다/EF

잠시	잠시/MAG
쉬고	쉬/VV+고/EC
있는데	있/VX+는데/EC
다른	다른/MM
지역과는	지역/NNG+과/JKB+는/JX
다르게	다르/VA+게/EC
지나가는	지나가/VV+는/ETM
시민들이	시민/NNG+들/XSN+이/JKS
상당한	상당하/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
보였다	보이/VV+었/EP+다/EF

몇	몇/MM
분은	분/NNB+은/JX
직접	직접/MAG
우리	우리/NP
대원들에게	대원/NNG+들/XSN+에게/JKB
다가와	다가오/VV+아/EC
국토대장정의	국토대장정/NNG+의/JKG
취지와	취지/NNG+와/JC
목적에	목적/NNG+에/JKB
대해서	대하/VV+여서/EC
묻기도	묻/VV+기/ETN+도/JX
했고,	하/VX+였/EP+고/EC+,/SP
반시설의	반시설/NNG+의/JKG
의미가	의미/NNG+가/JKS
무엇인지에	무엇/NP+이/VCP+ㄴ지/EC+에/JKB
대해	대하/VV+여/EC
짧은	짧/VA+은/ETM
토론도	토론/NNG+도/JX
벌어졌다	벌어지/VV+었/EP+다/EF

처음에는	처음/NNG+에/JKB+는/JX
장애인을	장애인/NNG+을/JKO
보살펴	보살피/VV+어/EC
주는	주/VX+는/ETM
시설은	시설/NNG+은/JX
많아지는	많아지/VV+는/ETM
것이	것/NNB+이/JKS
좋은	좋/VA+은/ETM
게	것/NNB+이/JKC
아닌가라고	아니/VCN+ㄴ가라고/EC
생각했던	생각하/VV+였/EP+던/ETM
시민들이	시민/NNG+들/XSN+이/JKS
시설이	시설/NNG+이/JKS
가지는	가지/VV+는/ETM
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
문제와	문제/NNG+와/JC
자립생활에	자립생활/NNG+에/JKB
역행한다는	역행하/VV+ㄴ다는/ETM
것,	것/NNB+,/SP
사회와	사회/NNG+와/JKB
격리되고	격리되/VV+고/EC
분리됨으로써	분리되/VV+ㅁ/ETN+으로써/JKB
사회성이	사회성/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
것,	것/NNB+,/SP
인권유린의	인권유린/NNG+의/JKG
사각지대에	사각지대/NNG+에/JKB
내몰리는	내몰리/VV+는/ETM
등의	등/NNB+의/JKG
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
한계에	한계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명을	설명/NNG+을/JKO
들은	듣/VV+은/ETM
후	후/NNG
잘못	잘못/MAG
이해하고	이해하/VV+고/EC
있었다며	있/VA+었/EP+다며/EC
반시설에	반시설/NNG+에/JKB
대해	대하/VV+여/EC
동의해	동의하/VV+여/EC
주었다	주/VX+었/EP+다/EF

이러한	이러하/VA+ㄴ/ETM
것이	것/NNB+이/JKS
국토대장정의	국토대장정/NNG+의/JKG
힘이고	힘/NNG+이/VCP+고/EC
성과가	성과/NNG+가/JKC
아닐까	아니/VCN+ㄹ까/EC
생각해보는	생각하/VV+여/EC+보/VX+는/ETM
순간이었다	순간/NNG+이/VCP+었/EP+다/EF

내일은	내일/NNG+은/JX
영동까지	영동/NNP+까지/JX
39킬로미터를	39/SN+킬로미터/NNB+를/JKO
행군해야	행군하/VV+여야/EC
한다	하/VX+ㄴ다/EF

전동휠체어	전동휠체어/NNG
충전에	충전/NNG+에/JKB
온	오/VV+ㄴ/ETM
신경이	신경/NNG+이/JKS
다가	다가/MAG
있다	있/VA+다/EC

중간	중간/NNG
중간	중간/NNG
충전이	충전/NNG+이/JKS
잘	잘/MAG
되고	되/VV+고/EC
있는지	있/VX+는지/EC
점검할	점검하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

중부지역의	중부지역/NNG+의/JKG
폭우가	폭우/NNG+가/JKS
내려온다는데	내려오/VV+ㄴ다는데/EC
오후쯤이면	오후/NNG+쯤/XSN+이/VCP+면/EC
만나게	만나/VV+게/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같다	같/VA+다/EC

뙤약볕에	뙤약볕/NNG+에/JKB
맞서며,	맞서/VV+며/EC+,/SP
폭우까지	폭우/NNG+까지/JX
뚫고	뚫/VV+고/EC
가야하는	가/VV+아야/EC+하/VX+는/ETM
힘든	힘들/VA+ㄴ/ETM
행군이	행군/NNG+이/JKS
예상된다	예상되/VV+ㄴ다/EF

또	또/MAG
추풍령	추풍령/NNP
고개도	고개/NNG+도/JX
넘어야	넘/VV+어야/EC
한다	하/VX+ㄴ다/EF

모두가	모두/NNG+가/JKS
내일이	내일/NNG+이/JKS
기대도	기대/NNG+도/JX
되지만	되/VV+지만/EC
걱정도	걱정/NNG+도/JX
되는	되/VV+는/ETM
모양이다	모양/NNG+이/VCP+다/EC

모두들	모두/NNG+들/XSN
서로를	서로/NNG+를/JKO
응원하기	응원하/VV+기/ETN
위해	위하/VV+여/EC
겉으로는	겉/NNG+으로/JKB+는/JX
웃고	웃/VV+고/EC
있지만	있/VX+지만/EC
내심	내심/NNG
한마디	한마디/NNG
한마디가	한마디/NNG+가/JKS
비상하다	비상하/VA+다/EC

아무쪼록	아무쪼록/MAG
행군시간에	행군시간/NNG+에/JKB
상관없이	상관없이/MAG
최종	최종/NNG
목적지까지	목적지/NNG+까지/JX
무사히	무사히/MAG
행군할	행군하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
우리	우리/NP
대원들	대원/NNG+들/XSN
모두가	모두/NNG+가/JKS
대장을	대장/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
합심하여	합심하/VV+여/EC
어려운	어렵/VA+ㄴ/ETM
상황을	상황/NNG+을/JKO
잘	잘/MAG
이겨	이기/VV+어/EC
넘기길	넘기/VV+기/ETN+ㄹ/JKO
바래본다	바래보/VV+ㄴ다/EF
