부족한	부족하/VA+ㄴ/ETM
지경에	지경/NNB+에/JKB
박씨는	박/NNP+씨/NNB+는/JX
서비스를	서비스/NNG+를/JKO
거절했다	거절하/VV+었/EP+다/EC

박씨는	박/NNP+씨/NNB+는/JX
“30년동안	“/SL+30/SN+년/NNB+동안/NNG
아내가	아내/NNG+가/JKS
수발을	수발/NNG+을/JKO
하고	하/VV+고/EC
있으니	있/VX+으니/EC
경제활동을	경제활동/NNG+을/JKO
못하고	못하/VV+고/EC
있다	있/VX+다/EC

예전에는	예전/NNG+에/JKB+는/JX
잠깐잠깐	잠깐잠깐/MAG
아르바이트를	아르바이트/NNG+를/JKO
했는데,	하/VV+였/EP+는데/EC+,/SP
나이가	나이/NNG+가/JKS
들어	들/VV+어/EC
이제는	이제/NNG+는/JX
일할	일하/VV+ㄹ/ETM
때도	때/NNG+도/JX
없고	없/VA+고/EC
전세보증금으로	전세보증금/NNG+으로/JKB
어렵게	어렵/VA+게/EC
생활을	생활/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“전세보증금으로	“/SW+전세보증금/NNG+으로/JKB
인해	인하/VV+여/EC
기초수급자	기초수급/NNG+자/XSN
등록이	등록/NNG+이/JKS
불가하다	불가하/VA+다/EC

이	이/MM
상태로는	상태/NNG+로/JKB+는/JX
길바닥에	길바닥/NNG+에/JKB
나앉을	나앉/VV+을/ETM
지경”이라고	지경/NNB+”/SL+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

또한	또한/MAG
박씨는	박/NNP+씨/NNB+는/JX
“가족이	“/SN+가족/NNG+이/JKS
활동보조인이	활동보조인/NNG+이/JKS
받는	받/VV+는/ETM
70%정도만이라도	70/SN+%/SW+정도/NNG+만이라도/JX
받아	받/VV+아/EC
활동하게	활동하/VV+게/EC
된다면	되/VV+ㄴ다면/EC
조금이나마	조금/NNG+이나마/JX
생활을	생활/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

24시간	24/SN+시간/NNB
활동보조는	활동보조/NNG+는/JX
절대	절대/MAG
불가할	불가하/VV+ㄹ/ETM
것	것/NNB
같으니	같/VA+으니/EC
차라리	차라리/MAG
가족이	가족/NNG+이/JKS
활동보조인을	활동보조인/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
보완한다면	보완하/VV+ㄴ다면/EC
남들에게	남/NNG+들/XSN+에게/JKB
아쉬운	아쉽/VA+ㄴ/ETM
소리도	소리/NNG+도/JX
하지	하/VV+지/EC
않아도	않/VX+아도/EC
되고,	되/VV+고/EC+,/SP
생활이	생활/NNG+이/JKS
좀	좀/MAG
나아지지	나아지/VV+지/EC
않냐	않/VX+냐/EF

내	나/NP+의/JKG
아내가	아내/NNG+가/JKS
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
교육을	교육/NNG+을/JKO
받아	받/VV+아/EC
다른	다른/MM
사람의	사람/NNG+의/JKG
수발을	수발/NNG+을/JKO
들고,	들/VV+고/EC+,/SP
다른	다른/MM
사람이	사람/NNG+이/JKS
나의	나/NP+의/JKG
수발을	수발/NNG+을/JKO
든다는	들/VV+ㄴ다는/ETM
게	것/NNB+이/JKS
참	참/NNG
모순인	모순/NNG+이/VCP+ㄴ/ETM
거같다”고	거같/VA+다/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

■원칙적	■/SW+원칙적/NNG
‘반대’,	‘/SL+반대’/NNG+,/SP
하지만	하/VV+지만/EC
예외도	예외/NNG+도/JX
있어=장애계에서는	있/VA+어/EC+=/SW+장애/NNP+계/XSN+에서/JKB+는/JX
원칙적으로	원칙적/NNG+으로/JKB
가족에게	가족/NNG+에게/JKB
활동보조를	활동보조/NNG+를/JKO
받는다면	받/VV+는다면/EC
오히려	오히려/MAG
장애인	장애인/NNG
자립을	자립/NNG+을/JKO
막기	막/VV+기/ETN
때문에	때문/NNB+에/JKB
반대	반대/NNG
하지만	하/VV+지만/EC
일부	일부/NNG
특수한	특수하/VA+ㄴ/ETM
경우에	경우/NNG+에/JKB
한해서는	한하/VV+여서/EC+는/JX
좀	좀/MAG
더	더/MAG
유연함을	유연하/VA+ㅁ/ETN+을/JKO
둘	두/VV+ㄹ/ETM
필요성도	필요성/NNG+도/JX
있다는	있/VA+다는/ETM
의견을	의견/NNG+을/JKO
갖고	갖/VV+고/EC
있다	있/VX+다/EC

한국장애인자립생활센터연합회	한국/NNP+장애인자립생활센터연합회/NNG
관계자는	관계자/NNG+는/JX
“활동지원제도가	“/SN+활동지원제도/NNG+가/JKS
사회참여,	사회참여/NNG+,/SP
가족	가족/NNG
부담	부담/NNG
경감을	경감/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제도로,	제도/NNG+로/JKB+,/SP
가족이	가족/NNG+이/JKS
하게	하/VV+게/EC
된다면	되/VV+ㄴ다면/EC
당초	당초/NNG
법의	법/NNG+의/JKG
취지도	취지/NNG+도/JX
맞지	맞/VV+지/EC
않고,	않/VX+고/EC+,/SP
부정수급문제도	부정수급문제도/NNG
갈등이	갈등/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EC+”/VV+며/EC
“장애인	“/SL+장애인/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
부모로부터	부모/NNG+로부터/JKB
활동보조를	활동보조/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다면	있/VA+다면/EC
과연	과연/MAG
사회참여가	사회참여/NNG+가/JKS
가능할	가능하/VA+ㄹ/ETM
지	지/NNB
의문”이라고	의문”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

만약	만약/NNG
가족을	가족/NNG+을/JKO
활동보조인으로	활동보조인/NNG+으로/JKB
허락했을	허락하/VV+었/EP+을/ETM
시,	시/NNG+,/SP
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
5시까지	5/SN+시/NNB+까지/JX
단말기	단말기/NNG
체크를	체크/NNG+를/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
어떤	어떤/MM
서비스가	서비스/NNG+가/JKS
있었는지,	있/VA+었/EP+는지/EC+,/SP
이동이	이동/NNG+이/JKS
있었는지	있/VA+었/EP+는지/EC
없었는지	없/VA+었/EP+는지/EC
명확히	명확히/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
없을뿐더러,	없/VA+을뿐더러/EC+,/SP
가족에	가족/NNG+에/JKB
의해서	의하/VV+여서/EC
본인이	본인/NNG+이/JKS
직접적으로	직접적/NNG+으로/JKB
서비스를	서비스/NNG+를/JKO
선택하는	선택하/VV+는/ETM
부분에서	부분/NNG+에서/JKB
갈등이	갈등/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것	것/NNB

이어	이어/MAG
그는	그/NP+는/JX
“특수한	“/SL+특수하/VA+ㄴ/ETM
장애,	장애/NNG+,/SP
호흡기나	호흡기/NNG+나/JC
와상장애인	와상장애인/NNG
등	등/NNB
사회참여가	사회참여/NNG+가/JKS
기본적으로	기본적/NNG+으로/JKB
불가능한	불가능하/VA+ㄴ/ETM
장애인에게는	장애인/NNG+에게/JKB+는/JX
제한적으로	제한적/NNG+으로/JKB
필요한	필요하/VA+ㄴ/ETM
부분은	부분/NNG+은/JX
있다	있/VA+다/EF

특히	특히/MAG
호흡기	호흡기/NNG
장애인	장애인/NNG
같은	같/VA+은/ETM
경우는	경우/NNG+는/JX
대인	대인/NNG
밀착형	밀착/NNG+형/XSN
서비스가	서비스/NNG+가/JKS
필요해	필요하/VA+여/EC
가족의	가족/NNG+의/JKG
도움이	도움/NNG+이/JKS
불가피하게	불가피하/VA+게/EC
수반돼야	수반되/VV+어야/EC
한다”며	하/VX+ㄴ다”며/EC
“그런	“/SL+그런/MM
특수한	특수하/VA+ㄴ/ETM
경우에	경우/NNG+에/JKB
있어서는	있/VA+어서/EC+는/JX
특례조항을	특례조항/NNG+을/JKO
둬서	두/VV+어서/EC
법의	법/NNG+의/JKG
해석을	해석/NNG+을/JKO
유연하게	유연하/VA+게/EC
할	하/VX+ㄹ/ETM
필요성은	필요성/NNG+은/JX
있다”고	있/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한	한/MM
IL센터	IL/SL+센터/NNG
관계자는	관계자/NNG+는/JX
“자립생활을	“/SN+자립생활/NNG+을/JKO
위해	위하/VV+여/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
활동보조인이	활동보조인/NNG+이/JKS
가족으로부터	가족/NNG+으로부터/JKB
도움을	도움/NNG+을/JKO
받는다면	받/VV+는다면/EC
자립생활을	자립생활/NNG+을/JKO
막는	막/VV+는/ETM
길이	길/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다”며/EC
“오히려	“/SL+오히려/MAG
가족	가족/NNG
이기	이/VCP+기/ETN
때문에	때문/NNB+에/JKB
가족에게	가족/NNG+에게/JKB
서비스를	서비스/NNG+를/JKO
받으면	받/VV+으면/EC
마음	마음/NNG
놓고	놓/VV+고/EC
요구할	요구하/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다”고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
그는	그/NP+는/JX
“당장	“/SN+당장/NNG
가족을	가족/NNG+을/JKO
이용하는	이용하/VV+는/ETM
건	것/NNB+ㄴ/JX
장기적으로	장기적/NNG+으로/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
장애인	장애인/NNG
당사자에게	당사자/NNG+에게/JKB
좋지	좋/VA+지/EC
못한	못하/VX+ㄴ/ETM
일	일/NNG
이	이/VV
될	되/VV+ㄹ/ETM
것”이라면서도	것/NNB+”/SL+이/VCP+라면서/EC+도/JX
“정말	“/SN+정말/MAG
가족이	가족/NNG+이/JKS
함께해야할	함께/MAG+하/VV+여야/EC+하/VX+ㄹ/ETM
일부	일부/NNG
장애인에게	장애인/NNG+에게/JKB
있어서는	있/VA+어서/EC+는/JX
조금은	조금/NNG+은/JX
유연해질	유연하/VA+여/EC+지/VX+ㄹ/ETM
필요도	필요/NNG+도/JX
있다고	있/VA+다고/EC
본다”고	보/VV+ㄴ/ETM+다”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

활동보조인을	활동보조인/NNG+을/JKO
가족이	가족/NNG+이/JKS
한다는	하/VV+ㄴ다는/ETM
제안이	제안/NNG+이/JKS
나오는	나오/VV+는/ETM
것은	것/NNB+은/JX
그만큼	그만큼/MAG
다른	다르/VA+ㄴ/ETM
소득보장제도가	소득보장제도/NNG+가/JKC
되	되/NNB
있지	있/VA+지/EC
않다는	않/VX+다는/ETM
의견도	의견/NNG+도/JX
나왔다	나오/VV+았/EP+다/EF

한국장애인자립생활센터협의회	한국/NNP+장애인자립생활센터협의회/NNG
관계자는	관계자/NNG+는/JX
“소득보장	“/SL+소득보장/NNG
문제가	문제/NNG+가/JKS
잘	잘/MAG
돼있지	되/VV+어/EC+있/VX+지/EC
않아	않/VX+아/EC
활동지원제도로까지의	활동지원제도/NNG+로/JKB+까지/JX+의/JKG
문제로	문제/NNG+로/JKB
이어지는	이어지/VV+는/ETM
것	것/NNB
같다	같/VA+다/EC

연금	연금/NNG
정책이	정책/NNG+이/JKS
활성화	활성화/NNG
돼야	되/VV+어야/EC
하는	하/VX+는/ETM
문제지,	문제/NNG+이/VCP+지/EC+,/SP
‘활동보조를	‘/SN+활동보조/NNG+를/JKO
함으로써	하/VV+ㅁ/ETN+으로써/JKB
소득을	소득/NNG+을/JKO
받겠다’라는	받/VV+겠/EP+다/EC+’/VV+라는/ETM
것은	것/NNB+은/JX
이념에	이념/NNG+에/JKB
맞지	맞/VV+지/EC
않다”며	않/VX+다/EC+”/VV+며/EC
“가족의	“/SN+가족/NNG+의/JKG
부담	부담/NNG
문제는	문제/NNG+는/JX
현재	현재/MAG
정부에	정부/NNG+에/JKB
24시간	24/SN+시간/NNB
활동보조를	활동보조/NNG+를/JKO
해달라고	하/VV+여/EC+달/VX+라고/EC
계속적으로	계속적/NNG+으로/JKB
요구하지만	요구하/VV+지만/EC
현재	현재/MAG
안	안/MAG
되고	되/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
그는	그/NP+는/JX
“만약	“/SN+만/NR+약/NNB
와상일	와상/NNG+이/VCP+ㄹ/ETM
경우,	경우/NNG+,/SP
3개월	3/SN+개월/NNB
정도	정도/NNG
와상증세를	와상증세/NNG+를/JKO
보일	보이/VV+ㄹ/ETM
때	때/NNG
가족이	가족/NNG+이/JKS
수발할	수발하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고,	하/VX+고/EC+,/SP
상태가	상태/NNG+가/JKS
조금	조금/MAG
호전되면	호전되/VV+면/EC
그	그/MM
후에는	후/NNG+에/JKB+는/JX
다른	다른/MM
활동보조인을	활동보조인/NNG+을/JKO
두는	두/VV+는/ETM
정도의	정도/NNG+의/JKG
예외조항은	예외조항/NNG+은/JX
필요한	필요하/VA+ㄴ/ETM
것	것/NNB
같다”며	같/VA+다/EC+”/VX+며/EC
“신중하게	“/SN+신중하/VA+게/EC
고려할	고려하/VV+ㄹ/ETM
필요성은	필요성/NNG+은/JX
있는	있/VA+는/ETM
거	거/VA
같다”고	같/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

■'현물급여'	■/SW+'/SS+현물급여/NNG+'/SS
취지	취지/NNG
벗어나…정부,	벗어나/VV+아/EC+…/SE+정부/NNG+,/SP
“고려	“/SL+고려/NNG
안해”=이에	안해/NNP+”/SL+=/SW+이/NP+에/JKB
정부는	정부/NNG+는/JX
활동지원제도는	활동지원제도/NNG+는/JX
가족의	가족/NNG+의/JKG
부담을	부담/NNG+을/JKO
덜어주기	덜/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것으로서,	것/NNB+으로서/JKB+,/SP
가족이	가족/NNG+이/JKS
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
것은	것/NNB+은/JX
현물급여인	현물급여/NNG+이/VCP+ㄴ/ETM
법의	법/NNG+의/JKG
취지와는	취지/NNG+와/JKB+는/JX
맞지	맞/VV+지/EC
않다고	않/VX+다고/EC
답변했다	답변하/VV+였/EP+다/EF

이는	이/NP+는/JX
일부의	일부/NNG+의/JKG
시각일	시각/NNG+이/VCP+ㄹ/ETM
뿐,	뿐/NNB+,/SP
현	현/MM
제도를	제도/NNG+를/JKO
통해서	통하/VV+여서/EC
혜택을	혜택/NNG+을/JKO
받는	받/VV+는/ETM
부분이	부분/NNG+이/JKS
크다는	크/VA+다는/ETM
것	것/NNB

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
"활동제공기관이	"/SS+활동제공기관/NNG+이/JKS
없는	없/VA+는/ETM
도서벽지에서	도서벽지/NNG+에서/JKB
거주하는	거주하/VV+는/ETM
장애인에게는	장애인/NNG+에게/JKB+는/JX
가족이	가족/NNG+이/JKS
서비스를	서비스/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
제한적으로	제한적/NNG+으로/JKB
기준을	기준/NNG+을/JKO
뒀다	두/VV+었/EP+다/EF

전염병에	전염병/NNG+에/JKB
감염됐거나,	감염되/VV+었/EP+거나/EC+,/SP
천재지변	천재지변/NNG
등	등/NNB
불가피한	불가피하/VA+ㄴ/ETM
경우에	경우/NNG+에/JKB
대해서만	대하/VV+여서/EC+만/JX
허용하고	허용하/VV+고/EC
있는	있/VX+는/ETM
상태"라며	상태/NNG+"/SS+이/VCP+라며/EC
"현물급여인	"/SS+현물급여/NNG+이/VCP+ㄴ/ETM
서비스가	서비스/NNG+가/JKS
가족에게	가족/NNG+에게/JKB
서비스를	서비스/NNG+를/JKO
하게	하/VV+게/EC
되면	되/VV+면/EC
현금급여로	현금급여/NNG+로/JKB
바뀔	바뀌/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

현재로서는	현재/NNG+로서/JKB+는/JX
가족에게	가족/NNG+에게/JKB
활동보조인을	활동보조인/NNG+을/JKO
허용하는	허용하/VV+는/ETM
것은	것/NNB+은/JX
고려되지	고려되/VV+지/EC
않는	않/VX+는/ETM
부분이다"이라고	부분/NNG+이/VCP+다/EF+"/SS+이라고/JKQ
답했다	답하/VV+였/EP+다/EF

이어	이어/MAG
그는	그/NP+는/JX
"제도의	"/SS+제도/NNG+의/JKG
취지는	취지/NNG+는/JX
가족의	가족/NNG+의/JKG
부담을	부담/NNG+을/JKO
덜어주기	덜/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

24시간	24/SN+시간/NNB
누군가	누구/NP+이/VCP+ㄴ가/EC
돌봐야하는	돌보/VV+아야/EC+하/VX+는/ETM
장애인이라고	장애인/NNG+이/VCP+라고/EC
해도	하/VV+여도/EC
일부시간을	일부시간/NNG+을/JKO
다른	다른/MM
분이	분/NNB+이/JKS
도와줌으로	도와줌/NNP+으로/JKB
인해	인하/VV+여/EC
휴식시간,	휴식시간/NNG+,/SP
개인	개인/NNG
취미활동을	취미활동/NNG+을/JKO
확보할	확보하/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"물론	"/SS+물론/MAG
가족이기	가족/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
더	더/MAG
잘할거라	잘하/VV+ㄹ거라/EC
생각할	생각하/VV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
다른	다른/MM
활동보조인이	활동보조인/NNG+이/JKS
옴으로써	오/VV+ㅁ/ETN+으로써/JKB
객관적으로	객관적/NNG+으로/JKB
당사자를	당사자/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
마음	마음/NNG
놓고	놓/VV+고/EC
보조인에게	보조인/NNG+에게/JKB
욕구를	욕구/NNG+를/JKO
요구할	요구하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

정말	정말/MAG
외부인의	외부/NNG+인/XSN+의/JKG
손길이	손길/NNG+이/JKS
닿으면	닿/VV+으면/EC
안	안/MAG
되는	되/VV+는/ETM
대상자가	대상자/NNG+가/JKC
아니고서야	아니/VCN+고서/EC+야/JX
굳이	굳이/MAG
가족에게	가족/NNG+에게/JKB
서비스를	서비스/NNG+를/JKO
받게	받/VV+게/EC
할	하/VX+ㄹ/ETM
필요는	필요/NNG+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF
