자립센터	자립센터/NNG
‘안정적인	‘/SN+안정적/NNG+이/VCP+ㄴ/ETM
재원확보를	재원확보/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
자립생활센터의	자립생활센터/NNG+의/JKG
센터다움을	센터다움/NNG+을/JKO
확보하기	확보하/VV+기/ETN
위해	위하/VV+여/EC
자립생활센터	자립생활센터/NNG
인증기준과	인증기준/NNG+과/JKB
같은	같/VA+은/ETM
객관적인	객관적/NNG+이/VCP+ㄴ/ETM
센터	센터/NNG
역량조건을	역량조건/NNG+을/JKO
충족시키기	충족/NNG+시키/XSV+기/ETN
위해	위하/VV+여/EC
자구책을	자구책/NNG+을/JKO
마련해야	마련하/VV+여야/EC
할	하/VX+ㄹ/ETM
것이다’라고	것/NNB+이/VCP+다’/EC+이/VCP+라고/EC
적혀	적히/VV+어/EC
있어,	있/VX+어/EC+,/SP
이번	이번/NNG
연구가	연구/NNG+가/JKS
자립생활센터의	자립생활센터/NNG+의/JKG
인증을	인증/NNG+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
실시된	실시되/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아닌가라는	아니/VCN+ㄴ가라는/ETM
의문을	의문/NNG+을/JKO
낳았다	낳/VV+았/EP+다/EC

김	김/NNP
교수는	교수/NNG+는/JX
“얼마	“/SL+얼마/NNG
전	전/NNG
토론회에	토론회/NNG+에/JKB
복지부	복지부/NNG
한	한/MM
분이	분/NNB+이/JKS
오셔서	오/VV+시/EP+어서/EC
의미심장한	의미심장하/VA+ㄴ/ETM
말을	말/NNG+을/JKO
하신	하/VV+시/EP+ㄴ/ETM
적이	적/NNB+이/JKS
있다	있/VA+다/EC
‘자립생활센터가	‘/SL+자립생활센터/NNG+가/JKS
어떤	어떤/MM
것인지	것/NNB+이/VCP+ㄴ지/EC
모르겠다’란	모르/VV+겠/EP+다’/EC+이/VCP+란/ETM
질문”이라며	질문”/NNG+이/VCP+라며/EC
“그런	“그럽/VA+ㄴ/ETM
것들로부터	것/NNB+들/XSN+로부터/JKB
(센터가)	(/SS+센터/NNG+가/JKS+)/SS
자유로울	자유롭/VA+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
것은	것/NNB+은/JX
권익옹호,	권익옹호/NNG+,/SP
동료상담	동료상담/NNG
부분을	부분/NNG+을/JKO
모든	모든/MM
센터가	센터/NNG+가/JKS
반드시	반드시/MAG
해야	하/VV+여야/EC
하는데	하/VX+는데/EC
못하고	못하/VX+고/EC
있다는	있/VX+다는/ETM
것은	것/NNB+은/JX
고유한	고유하/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
못하고	못하/VV+고/EC
있다는	있/VX+다는/ETM
것으로	것/NNB+으로/JKB
다시한번	다시/MAG+한/MM+번/NNB
생각할	생각하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다”고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
김	김/NNP
교수는	교수/NNG+는/JX
“실태조사를	“/SN+실태조사/NNG+를/JKO
보면	보/VV+면/EC
상근직원이	상근직원/NNG+이/JKS
없는	없/VA+는/ETM
센터도	센터/NNG+도/JX
있으며,	있/VA+으며/EC+,/SP
공적지원을	공적지원/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
센터와	센터/NNG+와/JC
비지원센터는	비/XPN+지원센터/NNG+는/JX
그렇게	그렇/VA+게/EC
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없다	없/VA+다/EC

대도시와	대도시/NNG+와/JC
대도시가	대도시/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
센터도	센터/NNG+도/JX
마찬가지였다”며	마찬가지/NNG+이/VCP+었/EP+다/EC+”/VX+며/EC
“센터로서	“/SL+센터/NNG+로서/JKB
역할을	역할/NNG+을/JKO
잘	잘/MAG
수행하고	수행하/VV+고/EC
있는지	있/VX+는지/EC
생각해봐야	생각하/VV+여/EC+보/VX+아야/EC
한다	하/VX+ㄴ다/EF

속도와	속도/NNG+와/JC
생산성	생산성/NNG
중심으로	중심/NNG+으로/JKB
가는	가/VV+는/ETM
게	것/NNB+이/JKC
아닌지	아니/VCN+ㄴ지/EC
의문이	의문/NNG+이/JKS
생긴다”고	생기/VV+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

마지막으로	마지막/NNG+으로/JKB
김	김/NNP
교수는	교수/NNG+는/JX
“센터는	“/SL+센터/NNG+는/JX
인증을	인증/NNG+을/JKO
통과하기	통과하/VV+기/ETN
위해	위하/VV+여/EC
일정부분	일정부분/NNG
노력해야	노력하/VV+여야/EC
하고,	하/VX+고/EC+,/SP
한국장애인자립생활센터협의회와	한국장애인자립생활센터협의회/NNP+와/JC
한자연은	한자연/NNP+은/JX
일정부분	일정부분/NNG
같이	같이/MAG
가야한다	가/VV+아야/EC+하/VX+ㄴ다/EF

정치적	정치적/NNG
이념	이념/NNG
때문에	때문/NNB+에/JKB
지역장애인들이	지역장애인/NNG+들/XSN+이/JKS
피해가	피해/NNG+가/JKS
가는	가/VV+는/ETM
부분은	부분/NNG+은/JX
정리가	정리/NNG+가/JKS
필요하다”고	필요하/VA+다”고/EC
인증제의	인증제/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
토론자들은	토론자/NNG+들/XSN+은/JX
김	김/NNP
교수가	교수/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
실태조사의	실태조사/NNG+의/JKG
결과	결과/NNG
보고	보/VV+고/EC
주제와는	주제/NNG+와/JKB+는/JX
상관없이	상관없이/MAG
연초	연초/NNG
뜨거웠던	뜨겁/VA+었/EP+던/ETM
‘인증제’	‘/SL+인증제/NNG+’/SN
논쟁을	논쟁/NNG+을/JKO
이어갔다	이어가/VV+았/EP+다/EF

대구대학교	대구대학교/NNP
사회복지학과	사회복지학과/NNG
조한진	조한진/NNP
교수는	교수/NNG+는/JX
“연구가	“/SN+연구/NNG+가/JKS
자립생활센터의	자립생활센터/NNG+의/JKG
인증을	인증/NNG+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
실시된	실시되/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아닌지	아니/VCN+ㄴ지/EC
의심이	의심/NNG+이/JKS
간다	가/VV+ㄴ다/EF

인증이	인증/NNG+이/JKS
필요함을	필요하/VA+ㅁ/ETN+을/JKO
어느	어느/MM
정도	정도/NNG
인정한다	인정하/VV+ㄴ다/EC
하더라도	하/VV+더라도/EC
인증부여	인증부여/NNG
기준을	기준/NNG+을/JKO
보면	보/VV+면/EC
그	그/MM
기준이	기준/NNG+이/JKS
조직과	조직/NNG+과/JC
운영	운영/NNG
등	등/NNB
센터의	센터/NNG+의/JKG
하드웨어에	하드웨어/NNG+에/JKB
치중해	치중하/VV+여/EC
있고,	있/VX+고/EC+,/SP
사업영역에는	사업영역/NNG+에/JKB+는/JX
상대적으로	상대적/NNG+으로/JKB
비중이	비중/NNG+이/JKS
덜	덜/MAG
가있다”며	가있/VA+다/EC+”/SN+며/EC
“조직과	“/SL+조직/NNG+과/JC
운영을	운영/NNG+을/JKO
잘	잘/MAG
하고	하/VV+고/EC
있는	있/VX+는/ETM
센터라고	센터/NNG+이/VCP+라고/EC
꼭	꼭/MAG
사업을	사업/NNG+을/JKO
잘	잘/MAG
할	하/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
보장이	보장/NNG+이/JKS
없다”고	없/VA+다”고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
조	조/NNP
교수는	교수/NNG+는/JX
“설사	“/SN+설사/NNG
인증이	인증/NNG+이/JKS
필요하다하더라도	필요하/VA+다/EC+하/VV+더라도/EC
인증은	인증/NNG+은/JX
한자연	한자연/NNG
같은	같/VA+은/ETM
성격의	성격/NNG+의/JKG
기구에서	기구/NNG+에서/JKB
자율적으로	자율적/NNG+으로/JKB
해야지	하/VV+여야지/EC
정부에서	정부/NNG+에서/JKB
인증을	인증/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
센터의	센터/NNG+의/JKG
자율성을	자율성/NNG+을/JKO
심히	심히/MAG
침해할	침해하/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다”며	있/VA+다/EC+”/VX+며/EC
“정부는	“/SL+정부/NNG+는/JX
지원을	지원/NNG+을/JKO
받은	받/VV+은/ETM
센터에	센터/NNG+에/JKB
대해	대하/VV+여/EC
사후	사후/NNG
평가만	평가/NNG+만/JX
하면	하/VV+면/EC
된다”고	되/VV+ㄴ다”고/EC
인증제	인증/NNG+제/XSN
도입의	도입/NNG+의/JKG
반대	반대/NNG
입장을	입장/NNG+을/JKO
드러냈다	드러내/VV+었/EP+다/EF

중증장애인독립생활연대	중증장애인독립생활연대/NNG
윤두선	윤두선/NNP
대표는	대표/NNG+는/JX
“센터들의	“/SN+센터/NNG+들/XSN+의/JKG
집합체인	집합체/NNG+이/VCP+ㄴ/ETM
한자연에서	한자연/NNP+에서/JKB
인증을	인증/NNG+을/JKO
받겠다고	받/VV+겠/EP+다고/EC
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
‘자살골’을	‘/SN+자살골/NNG+’/SL+을/JKO
넣는	넣/VV+는/ETM
것과	것/NNB+과/JKB
같다	같/VA+다/EC

배점을	배점/NNG+을/JKO
보면	보/VV+면/EC
조직은	조직/NNG+은/JX
총점이	총점/NNG+이/JKS
450점이고	450/SN+점/NNB+이/VCP+고/EC
운영이	운영/NNG+이/JKS
420점인데,	420/SN+점/NNB+이/VCP+ㄴ데/EC+,/SP
사업은	사업/NNG+은/JX
220점	220/SN+점/NNB
밖에	밖/NNG+에/JKB
되지	되/VV+지/EC
않는다”며	않/VX+는다/EC+”/VV+며/EC
“너무	“/SL+너무/MAG
조직이나	조직/NNG+이나/JC
운영에	운영/NNG+에/JKB
초점이	초점/NNG+이/JKS
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다”고	있/VX+다/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
윤	윤/NNP
대표는	대표/NNG+는/JX
“인증	“/SN+인증/NNG
자체가	자체/NNG+가/JKS
검증이	검증/NNG+이/JKC
돼야하는데	되/VV+어야/EC+하/VX+는데/EC
조직과	조직/NNG+과/JC
운영이	운영/NNG+이/JKS
검증이	검증/NNG+이/JKS
쉬울	쉽/VA+ㄹ/ETM
것인가?	것/NNB+이/VCP+ㄴ가/EF+?/SF
합리적인	합리적/NNG+이/VCP+ㄴ/ETM
수준에서	수준/NNG+에서/JKB
점수가	점수/NNG+가/JKS
제시됐어야	제시되/VV+었/EP+어야/EC
했다”며	하/VX+였/EP+다/EC+”/VV+며/EC
“인증이라는	“/SL+인증/NNG+이/VCP+라는/ETM
것은	것/NNB+은/JX
공신력이	공신력/NNG+이/JKS
있어야	있/VA+어야/EC
한다	하/VX+ㄴ다/EF

누구나	누구/NP+나/JX
인정하는	인정하/VV+는/ETM
기준을	기준/NNG+을/JKO
제시해야	제시하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
생각한다	생각하/VV+ㄴ다/EF

센터인증이	센터인증/NNG+이/JKS
객관적이고	객관적/NNG+이/VCP+고/EC
공평하다는	공평하/VA+다는/ETM
것을	것/NNB+을/JKO
보여주기	보이/VV+어/EC+주/VX+기/ETN
위해서는	위하/VV+여서/EC+는/JX
앞으로	앞/NNG+으로/JKB
한자연	한/MM+자연/NNG
내부만이	내부/NNG+만/JX+이/JKC
아닌	아니/VCN+ㄴ/ETM
외부의	외부/NNG+의/JKG
다양한	다양하/VA+ㄴ/ETM
의견들이	의견/NNG+들/XSN+이/JKS
제시되고	제시되/VV+고/EC
함께	함께/MAG
논의되어야	논의되/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

한국장애인자립생활센터협의회	한국/NNP+장애인자립생활센터협의회/NNG
박홍구	박홍구/NNP
정책위원장은	정책위원장/NNG+은/JX
“실태조사를	“/SN+실태조사/NNG+를/JKO
자세히는	자세히/MAG+는/JX
못보고	못/MAG+보/VV+고/EC
대략적으로	대략적/NNG+으로/JKB
봤는데	보/VV+았/EP+는데/EC
이는	이/NP+는/JX
인증제를	인증제/NNG+를/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
한	하/VV+ㄴ/ETM
것	것/NNB
같다	같/VA+다/EC

인증제를	인증제/NNG+를/JKO
통해	통하/VV+여/EC
규범을	규범/NNG+을/JKO
정하자는	정하/VV+자는/ETM
건	것/NNB+ㄴ/JX
나쁜	나쁘/VA+ㄴ/ETM
게	것/NNB+이/JKC
아닌데,	아니/VCN+ㄴ데/EC+,/SP
차라리	차라리/MAG
자립생활센터를	자립생활센터/NNG+를/JKO
정부기관으로	정부기관/NNG+으로/JKB
만들어	만들/VV+어/EC
달라는	달/VX+라는/ETM
게	것/NNB+이/JKS
맞지	맞/VV+지/EC
않냐”고	않/VX+냐/EC+”/VV+고/EC
첫	첫/MM
마디를	마디/NNG+를/JKO
뗐다	떼/VV+었/EP+다/EC

이어	이어/MAG
박	박/NNP
위원장은	위원장/NNG+은/JX
“자립생활센터가	“/SN+자립생활센터/NNG+가/JKS
인정을	인정/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
것은	것/NNB+은/JX
센터가	센터/NNG+가/JKS
실력이	실력/NNG+이/JKS
없고	없/VA+고/EC
인증을	인증/NNG+을/JKO
못해서가	못하/VV+여서/EC+가/JKC
아니라	아니/VCN+라/EC
정부가	정부/NNG+가/JKS
자립생활정책	자립생활정책/NNG
의지가	의지/NNG+가/JKS
없는	없/VA+는/ETM
게	것/NNB+이/JKS
문제다	문제/NNG+이/VCP+다/EF

공무원들	공무원/NNG+들/XSN
왈	왈/VV
‘우리	‘/SL+우리/NP
윗분들이	위/NNG+분/NNB+들/XSN+이/JKS
자립생활센터	자립생활센터/NNG
돈다발이다,	돈다발/NNG+이/VCP+다/EC+,/SP
말	말/NNG
많고	많/VA+고/EC
시끄럽다’고	시끄럽/VA+다’고/EC
말한다	말하/VV+ㄴ다/EF

문제는	문제/NNG+는/JX
거기에	거기/NP+에/JKB
있다	있/VA+다/EC

실력이	실력/NNG+이/JKS
없고	없/VA+고/EC
인증을	인증/NNG+을/JKO
못해서가	못하/VV+여서/EC+가/JKC
아니라	아니/VCN+라/EC
자립생활을	자립생활/NNG+을/JKO
무시	무시/NNG
하는	하/VV+는/ETM
공무원들의	공무원/NNG+들/XSN+의/JKG
문제인	문제/NNG+이/VCP+ㄴ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

또한	또한/MAG
박	박/NNP
위원장은	위원장/NNG+은/JX
“정부가	“/SN+정부/NNG+가/JKS
충분히	충분히/MAG
센터를	센터/NNG+를/JKO
지원해주고	지원하/VV+여/EC+주/VX+고/EC
나서	나/VX+아서/EC
그때도	그때/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
센터를	센터/NNG+를/JKO
인증제로	인증제/NNG+로/JKB
걸러내야	거르/VV+어/EC+내/VX+어야/EC
한다	하/VX+ㄴ다/EF

어린	어리/VA+ㄴ/ETM
아기를	아기/NNG+를/JKO
입히고	입히/VV+고/EC
가르치지도	가르치/VV+지/EC+도/JX
않고	않/VX+고/EC
‘너는	‘/SL+너/NP+는/JX
내	나/NP+의/JKG
자식이	자식/NNG+이/JKC
아니다’라고	아니/VCN+다/EC+’/SL+라고/EC
하는	하/VV+는/ETM
꼴과	꼴/NNG+과/JKB
같다”며	같/VA+다/EC+”/VX+며/EC
“중증장애인을	“/SL+중증장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
업무지원인이	업무지원/NNG+인/XSN+이/JKS
우선적으로	우선적/NNG+으로/JKB
지원되고,	지원/NNG+되/XSV+고/EC+,/SP
편의제공	편의제공/NNG
등	등/NNB
정부의	정부/NNG+의/JKG
센터	센터/NNG
지원이	지원/NNG+이/JKS
충분히	충분히/MAG
있은	있/VA+은/ETM
후에	후/NNG+에/JKB
(인증을)이야기하자”고	(/SS+인증/NNG+을/JKO+)/SS+이야기하/VV+자”고/EC
강조했다	강조하/VV+였/EP+다/EC
