'돼지처럼	'/SS+돼지/NNG+처럼/JKB
광주장애인자립생활센터	광주/NNP+장애인자립생활센터/NNG
이우승	이우승/NNP
활동가,	활동가/NNG+,/SP
서초장애인자립생활센터	서초장애인자립생활센터/NNG
심규봉	심규봉/NNP
활동가가	활동가/NNG+가/JKS
참여했다	참여하/VV+였/EP+다/EF

삭발을	삭발/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
구근호	구근호/NNP
투쟁위원장은	투쟁위원장/NNG+은/JX
“이번	“/SL+이번/NNG
삭발은	삭발/NNG+은/JX
퍼포먼스가	퍼포먼스/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
법	법/NNG
개정이	개정/NNG+이/JKS
아니면	아니/VCN+면/EC
죽는다는	죽/VV+는다는/ETM
각오로	각오/NNG+로/JKB
이	이/MM
자리에	자리/NNG+에/JKB
섰다	서/VV+었/EP+다/EC

언제까지	언제/NP+까지/JX
국회에	국회/NNG+에/JKB
목소리를	목소리/NNG+를/JKO
전달하기	전달하/VV+기/ETN
위해	위하/VV+여/EC
머리를	머리/NNG+를/JKO
깎아야	깎/VV+아야/EC
하는지	하/VX+는지/EC
갑갑하다”며	갑갑하/VA+다/EC+”/VX+며/EC
“화랑이	“/SN+화랑이/NNG
전쟁을	전쟁/NNG+을/JKO
앞두고	앞두/VV+고/EC
몸	몸/NNG
단장을	단장/NNG+을/JKO
하는	하/VV+는/ETM
것처럼	것/NNB+처럼/JKB
삭발을	삭발/NNG+을/JKO
통해	통하/VV+여/EC
자립생활을	자립생활/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
목숨을	목숨/NNG+을/JKO
다	다/MAG
마쳐	마치/VV+어/EC
투쟁할	투쟁하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
소리	소리/NNG
높였다	높이/VV+었/EP+다/EF

한편,	한편/NNG+,/SP
한자연은	한자연/NNP+은/JX
이번	이번/NNG
결의대회를	결의대회/NNG+를/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
오는	오/VV+는/ETM
26일부터	26/SN+일/NNB+부터/JX
보건복지부와	보건복지부/NNG+와/JC
국회앞에서	국회앞/NNG+에서/JKB
1인시위,	1/SN+인시위/NNG+,/SP
정기	정기/NNG
집회,	집회/NNG+,/SP
전국단위로	전/MM+국단위/NNG+로/JKB
서명운동,	서명운동/NNG+,/SP
천막	천막/NNG
농성	농성/NNG
등	등/NNB
장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투쟁을	투쟁/NNG+을/JKO
추진해	추진하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

결의대회에	결의대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
참가자들의	참가자/NNG+들/XSN+의/JKG
모습	모습/NNG

"호흡기를	"/SS+호흡기/NNG+를/JKO
낀채	끼/VV+ㄴ/ETM+채/NNB
자립생활을	자립생활/NNG+을/JKO
부르짖다"	부르짖/VV+다/EF+"/SS

자립생활	자립생활/NNG
보장의	보장/NNG+의/JKG
장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
삭발식	삭발/NNG+식/XSN

자립생활	자립생활/NNG
보장의	보장/NNG+의/JKG
장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
삭발식	삭발/NNG+식/XSN

"장애인복지법	"/SS+장애인복지법/NNG
개정하라"	개정하/VV+라/EF+"/SS
