“태풍·폭우도	“/SL+태풍/NNG+·/SP+폭우/NNG+도/JX
컨트롤	컨트롤/NNG
쪽의	쪽/NNB+의/JKG
문제였는데	문제/NNG+이/VCP+었/EP+는데/EC
적정하게	적정하/VA+게/EC
조치되어	조치되/VV+어/EC
정상적인	정상적/NNG+이/VCP+ㄴ/ETM
운행이	운행/NNG+이/JKS
가능했다	가능하/VA+었/EP+다/EF

다시	다시/MAG
경험	경험/NNG
많은	많/VA+은/ETM
이강천	이강천/NNP
대원이	대원/NNG+이/JKS
선두에서	선두/NNG+에서/JKB
대열을	대열/NNG+을/JKO
이끌자	이끌/VV+자/EC
금방	금방/MAG
안정감을	안정감/NNG+을/JKO
되찾았고,	되찾/VV+았/EP+고/EC+,/SP
행군속도는	행군속도/NNG+는/JX
최고에	최고/NNG+에/JKB
달했다	달하/VV+였/EP+다/EF

그렇게	그렇/VA+게/EC
한참을	한참/NNG+을/JKO
달렸다	달리/VV+었/EP+다/EF

평택을	평택/NNP+을/JKO
벗어났고,	벗어나/VV+았/EP+고/EC+,/SP
병점을	병점/NNG+을/JKO
지나	지나/VV+아/EC
수원시내에	수원시내/NNG+에/JKB
접어들었다	접어들/VV+었/EP+다/EC

태풍의	태풍/NNG+의/JKG
영향권에	영향/NNG+권/XSN+에/JKB
들어	들/VV+어/EC
길가에	길가/NNG+에/JKB
시민들은	시민/NNG+들/XSN+은/JX
별로	별로/MAG
없었는데	없/VA+었/EP+는데/EC
학생들이	학생/NNG+들/XSN+이/JKS
하교하는	하교하/VV+는/ETM
길에	길/NNG+에/JKB
많은	많/VA+은/ETM
박수를	박수/NNG+를/JKO
보내주어	보내/VV+어/EC+주/VX+어/EC
힘이	힘/NNG+이/JKC
되었다	되/VV+었/EP+다/EC

그렇게	그렇/VA+게/EC
또	또/MAG
한	한/MM
20킬로미터	20/SN+킬/NNB+로미터/JKB
정도를	정도/NNG+를/JKO
한	한/MM
걸음에	걸음/NNG+에/JKB
내달려	내달리/VV+어/EC
드디어	드디어/MAG
최종	최종/NNG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
수원호스텔에	수원호스텔/NNP+에/JKB
도착했다	도착하/VV+였/EP+다/EF

경기도장애인자립생활센터총연합회	경기도/NNP+장애인자립생활센터/NNG+총/XPN+연합회/NNG
한동식	한동식/NNG
회장(한소울장애인자립생활센터	회장/NNG+(/SS+한소울/NNP+장애인자립생활센터/NNG
소장)과	소장/NNG+)/SS+과/JC
직원들이	직원/NNG+들/XSN+이/JKS
우리를	우리/NP+를/JKO
맞아	맞/VV+아/EC
주었다	주/VX+었/EP+다/EF

어느	어느/MM
때보다	때/NNG+보다/JKB
힘든	힘들/VA+ㄴ/ETM
장거리	장거리/NNG
행군을	행군/NNG+을/JKO
훌륭하게	훌륭하/VA+게/EC
수행한	수행하/VV+ㄴ/ETM
대원들의	대원/NNG+들/XSN+의/JKG
피로는	피로/NNG+는/JX
극에	극/NNG+에/JKB
달했다	달하/VV+였/EP+다/EF

체온이	체온/NNG+이/JKS
너무	너무/MAG
떨어져	떨어지/VV+어/EC
있었고	있/VX+었/EP+고/EC
옷도	옷/NNG+도/JX
흠씬	흠씬/MAG
젖어	젖/VV+어/EC
있었다	있/VX+었/EP+다/EF

서둘러	서두르/VV+어/EC
방을	방/NNG+을/JKO
배정	배정/NNG
받은	받/VV+은/ETM
다음	다음/NNG
뜨거운	뜨겁/VA+ㄴ/ETM
물로	물/NNG+로/JKB
샤워하고	샤워하/VV+고/EC
마른	마르/VV+ㄴ/ETM
옷으로	옷/NNG+으로/JKB
갈아입었다	갈아입/VV+었/EP+다/EF

권인자	권인자/NNP
대원은	대원/NNG+은/JX
식사시간을	식사시간/NNG+을/JKO
기다리다가	기다리/VV+다가/EC
귀가를	귀가/NNG+를/JKO
위해	위하/VV+여/EC
자신을	자신/NNG+을/JKO
데리러	데리/VV+러/EC
온	오/VV+ㄴ/ETM
지인이	지인/NNG+이/JKS
일찍	일찍/MAG
도착하는	도착하/VV+는/ETM
바람에	바람/NNB+에/JKB
저녁식사도	저녁식사/NNG+도/JX
못한	못하/VV+ㄴ/ETM
채	채/NNB
천안으로	천안/NNP+으로/JKB
내려갔다	내려가/VV+았/EP+다/EC

내일	내일/NNG
있을	있/VA+을/ETM
수원지역	수원/NNP+지역/NNG
결의대회와	결의대회/NNG+와/JC
시민선전전을	시민선전전/NNG+을/JKO
기대해도	기대하/VV+여도/EC
좋을	좋/VA+을/ETM
듯하다	듯하/VX+다/EC

이놈의	이놈/NP+의/JKG
날씨가	날씨/NNG+가/JKS
도와줘야	도와주/VV+어야/EC
할	하/VX+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
그게	그것/NP+이/JKS
걱정이다	걱정/NNG+이/VCP+다/EC

저녁	저녁/NNG
9시도	9/SN+시/NNB+도/JX
되지	되/VV+지/EC
않아	않/VX+아/EC
모두들	모두/NNG+들/XSN
잠자리를	잠자리/NNG+를/JKO
청하는	청하/VV+는/ETM
분위기다	분위기/NNG+이/VCP+다/EF

대전지역까지	대전/NNP+지역/NNG+까지/JX
행군을	행군/NNG+을/JKO
같이	같이/MAG
했던	하/VV+였/EP+던/ETM
김정영	김정영/NNP
대원이	대원/NNG+이/JKS
9시가	9/SN+시/NNB+가/JKS
조금	조금/MAG
넘자	넘/VV+자/EC
다시	다시/MAG
숙소로	숙소/NNG+로/JKB
결합하였다	결합하/VV+였/EP+다/EF

제발	제발/MAG
자고	자/VV+고/EC
나서도	나/VV+아서/EC+도/JX
대원들의	대원/NNG+들/XSN+의/JKG
컨디션에	컨디션/NNG+에/JKB
문제가	문제/NNG+가/JKS
없기를	없/VA+기/ETN+를/JKO
바란다	바라/VV+ㄴ다/EF

오늘의	오늘/NNG+의/JKG
행군거리는	행군거리/NNG+는/JX
약	약/MM
40킬로미터였다	40/SN+킬로미터/NNB+이/VCP+었/EP+다/EF
