“국내	“/SN+국/NNG+내/NNB
및	및/MAG
지원은	지원/NNG+은/JX
미약하다"고	미약하/VA+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
김	김/NNP
소장은	소장/NNG+은/JX
"사회복지모금회측에게	"/SS+사회복지모금회/NNG+측/NNB+에게/JKB
장애인자립생활센터에	장애인자립생활센터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
후원금을	후원금/NNG+을/JKO
확대해달라고	확대하/VV+여/EC+달/VX+라고/EC
꾸준히	꾸준히/MAG
요구를	요구/NNG+를/JKO
하였고,	하/VV+였/EP+고/EC+,/SP
이에	이/NP+에/JKB
해당	해당/NNG
당국은	당국/NNG+은/JX
구두로	구두/NNG+로/JKB
약속을	약속/NNG+을/JKO
하였으나	하/VV+였/EP+으나/EC
지금까지	지금/NNG+까지/JX
지켜지지	지키/VV+어/EC+지/VX+지/EC
않았다	않/VX+았/EP+다/EF

그	그/MM
이유는	이유/NNG+는/JX
기존의	기존/NNG+의/JKG
복지관과	복지/NNG+관/XSN+과/JC
시설	시설/NNG
측의	측/NNB+의/JKG
반발을	반발/NNG+을/JKO
인식한	인식하/VV+ㄴ/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"정부가	"/SS+정부/NNG+가/JKS
그러한	그러하/VA+ㄴ/ETM
기득권	기득권/NNG
층을	층/NNG+을/JKO
옹호하고	옹호하/VV+고/EC
지지하는	지지하/VV+는/ETM
것을	것/NNB+을/JKO
중단해야	중단하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
비판했다	비판하/VV+였/EP+다/EF

김	김/NNP
소장은	소장/NNG+은/JX
"미국의	"/SS+미국/NNP+의/JKG
경우	경우/NNG
장애인자립생활센터는	장애인자립생활센터/NNG+는/JX
국내에	국내/NNG+에/JKB
비해	비하/VV+여/EC
많은	많/VA+은/ETM
지원금과	지원금/NNG+과/JC
후원금을	후원금/NNG+을/JKO
받고	받/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
특히	특히/MAG
정부	정부/NNG
및	및/MAG
민간	민간/NNG
단체에서	단체/NNG+에서/JKB
공모하는	공모하/VV+는/ETM
펀딩(funding)의	펀딩/NNG+(/SS+funding/SL+)/SS+의/JKG
종류가	종류/NNG+가/JKS
많아	많/VA+아/EC
운영에	운영/NNG+에/JKB
큰	크/VA+ㄴ/ETM
어려움이	어려움/NNG+이/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
국내의	국내/NNG+의/JKG
상황과	상황/NNG+과/JKB
비교했다	비교하/VV+였/EP+다/EC

이에	이/NP+에/JKB
Indy팀은	Indy/SL+팀/NNG+은/JX
"그동안의	"/SS+그동안/NNG+의/JKG
연수	연수/NNG
준비로	준비/NNG+로/JKB
관계자들과의	관계자/NNG+들/XSN+과/JKB+의/JKG
인터뷰	인터뷰/NNG
및	및/MAG
관련	관련/NNG
자료	자료/NNG
조사를	조사/NNG+를/JKO
통해	통하/VV+여/EC
그러한	그러하/VA+ㄴ/ETM
점에	점/NNG+에/JKB
대해	대하/VV+여/EC
인식을	인식/NNG+을/JKO
같이	같이/MAG
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
밝히며	밝히/VV+며/EC
펀딩이	펀딩/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
질문했다	질문하/VV+였/EP+다/EF

김	김/NNP
소장은	소장/NNG+은/JX
"예를	"/SS+예/NNG+를/JKO
들어	들/VV+어/EC
'장애인	'/SS+장애인/NNG
가정의	가정/NNG+의/JKG
화장실에	화장실/NNG+에/JKB
비데를	비데/NNG+를/JKO
설치하겠다'라는	설치하/VV+겠/EP+다/EF+'/SS+라는/ETM
사업계획서를	사업계획서/NNG+를/JKO
작성하여	작성하/VV+여/EC
민간단체나	민간단체/NNG+나/JC
정부의	정부/NNG+의/JKG
심사를	심사/NNG+를/JKO
통해	통하/VV+여/EC
선정이	선정/NNG+이/JKC
되면	되/VV+면/EC
그	그/MM
사업을	사업/NNG+을/JKO
추진할	추진하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
운영비를	운영비/NNG+를/JKO
펀딩을	펀딩/NNG+을/JKO
통해	통하/VV+여/EC
마련할	마련하/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
설명한	설명하/VV+ㄴ/ETM
뒤	뒤/NNG
"국내에는	"/SS+국내/NNG+에/JKB+는/JX
기부문화가	기부문화/NNG+가/JKS
확산되지	확산되/VV+지/EC
않은	않/VX+은/ETM
상황이라	상황/NNG+이/VCP+라/EC
그러한	그러하/VA+ㄴ/ETM
펀딩이	펀딩/NNG+이/JKS
많지	많/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

이어	이어/MAG
김	김/NNP
소장은	소장/NNG+은/JX
"미국의	"/SS+미국/NNP+의/JKG
경우	경우/NNG
그런	그런/MM
후원금,	후원금/NNG+,/SP
지원금을	지원금/NNG+을/JKO
통해서	통하/VV+여서/EC
운영비를	운영비/NNG+를/JKO
쉽게	쉽/VA+게/EC
조달	조달/NNG
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
여건이지만	여건/NNG+이/VCP+지만/EC
국내의	국내/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
그런	그런/MM
사회적,	사회적/NNG+,/SP
제도적인	제도적/NNG+이/VCP+ㄴ/ETM
장치가	장치/NNG+가/JKS
없어	없/VA+어/EC
재원을	재원/NNG+을/JKO
마련하기가	마련하/VV+기/ETN+가/JKS
매우	매우/MAG
어렵다	어렵/VA+다/EF

요근래	요근래/NNG
장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
인증제를	인증제/NNG+를/JKO
통해	통하/VV+여/EC
그러한	그러하/VA+ㄴ/ETM
지원이나	지원/NNG+이나/JC
후원	후원/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
법적,	법적/NNG+,/SP
제도적인	제도적/NNG+이/VCP+ㄴ/ETM
근거를	근거/NNG+를/JKO
마련하고자	마련하/VV+고자/EC
하는	하/VX+는/ETM
움직임이	움직임/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
Indy팀은	Indy/SL+팀/NNG+은/JX
"미국도	"/SS+미국/NNP+도/JX
RA(재활법)에	RA/SL+(/SS+재활법/NNG+)/SS+에/JKB
근거하여	근거하/VV+여/EC
주	주/MM
정부에서	정부/NNG+에서/JKB
장애인자립생활센터에	장애인자립생활센터/NNG+에/JKB
지원을	지원/NNG+을/JKO
하지만	하/VV+지만/EC
엄격한	엄격하/VA+ㄴ/ETM
검사와	검사/NNG+와/JC
관리를	관리/NNG+를/JKO
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
설명하며,	설명하/VV+며/EC+,/SP
의견을	의견/NNG+을/JKO
구했다	구하/VV+였/EP+다/EF

김	김/NNP
소장은	소장/NNG+은/JX
"미국에	"/SS+미국/NNP+에/JKB
가면	가/VV+면/EC
그러한	그러하/VA+ㄴ/ETM
법적,	법적/NNG+,/SP
제도적인	제도적/NNG+이/VCP+ㄴ/ETM
근거에	근거/NNG+에/JKB
대해	대하/VV+여/EC
조사할	조사하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다	있/VA+다/EF

어떻게	어떻/VA+게/EC
주정부로	주정부/NNG+로/JKB
부터	부터/NNG
관리와	관리/NNG+와/JC
검사를	검사/NNG+를/JKO
받는지에	받/VV+는지/EC+에/JKB
대해서도	대하/VV+여서/EC+도/JX
궁금하고	궁금하/VA+고/EC
국내에도	국내/NNG+에/JKB+도/JX
그런	그런/MM
법적,	법적/NNG+,/SP
제도적인	제도적/NNG+이/VCP+ㄴ/ETM
지위를	지위/NNG+를/JKO
마련해야	마련하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
답했다	답하/VV+였/EP+다/EF

김	김/NNP
소장은	소장/NNG+은/JX
또한	또한/MAG
"미국의	"/SS+미국/NNP+의/JKG
장애인자립생활센터	장애인자립생활센터/NNG
운영에	운영/NNG+에/JKB
관해서	관하/VV+여서/EC
세부적으로	세부적/NNG+으로/JKB
연구하여	연구하/VV+여/EC
국내의	국내/NNG+의/JKG
이러한	이러하/VA+ㄴ/ETM
어려운	어렵/VA+ㄴ/ETM
상황을	상황/NNG+을/JKO
개선	개선/NNG
시킬	시키/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
모색해야	모색하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
김	김/NNP
소장은	소장/NNG+은/JX
"미국	"/SS+미국/NNP
장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
역사가	역사/NNG+가/JKS
깊은	깊/VA+은/ETM
만큼	만큼/NNB
다양한	다양하/VA+ㄴ/ETM
자립생활센터의	자립생활센터/NNG+의/JKG
모습이	모습/NNG+이/JKS
존재한다	존재하/VV+ㄴ다/EC

어떤	어떤/MM
곳은	곳/NNG+은/JX
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모니터링을	모니터링/NNG+을/JKO
주로	주로/MAG
하는	하/VV+는/ETM
곳,	곳/NNG+,/SP
활동보조	활동보조/NNG
사업에	사업/NNG+에/JKB
역점을	역점/NNG+을/JKO
두는	두/VV+는/ETM
곳과	곳/NNG+과/JC
시민사회운동을	시민사회운동/NNG+을/JKO
주로	주로/MAG
하는	하/VV+는/ETM
곳	곳/NNG
등이	등/NNB+이/JKS
있으므로	있/VA+으므로/EC
여러	여러/MM
군데를	군데/NNB+를/JKO
방문하여	방문하/VV+여/EC
비교하는	비교하/VV+는/ETM
것도	것/NNB+도/JX
좋다"라고	좋/VA+다/EF+"/SS+라고/JKQ
조언했다	조언하/VV+였/EP+다/EF

Indy팀은	Indy/SL+팀/NNG+은/JX
이전	이전/NNG
강동양지자립생활센터	강동양/NNP+지자립생활센터/NNG
오성섭	오성섭/NNP
소장과의	소장/NNG+과/JKB+의/JKG
인터뷰를	인터뷰/NNG+를/JKO
하면서	하/VV+면서/EC
공감했던	공감하/VV+었/EP+던/ETM
'국내	'/SS+국내/NNG
장애인	장애인/NNG
자립생활센터가	자립생활센터/NNG+가/JKS
미국처럼	미국/NNP+처럼/JKB
활성화하기	활성화하/VV+기/ETN
위해	위하/VV+여/EC
자립생활센터의	자립생활센터/NNG+의/JKG
사회적	사회적/NNG
인지도를	인지도/NNG+를/JKO
높여야	높이/VV+어야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/JX
점을	점/NNG+을/JKO
언급하며,	언급하/VV+며/EC+,/SP
방안이	방안/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
질문했다	질문하/VV+였/EP+다/EF

김	김/NNP
소장은	소장/NNG+은/JX
"국내	"/SS+국내/NNG
장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
인지도를	인지도/NNG+를/JKO
높이기	높이/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
센터가	센터/NNG+가/JKS
지역사회	지역사회/NNG
일원이	일원/NNG+이/JKC
되어야	되/VV+어야/EC
한다	하/VX+ㄴ다/EF

일원이	일원/NNG+이/JKC
되기	되/VV+기/ETN
위해	위하/VV+여/EC
지역	지역/NNG
사회의	사회/NNG+의/JKG
이슈에	이슈/NNG+에/JKB
관해서	관하/VV+여서/EC
캠페인	캠페인/NNG
등의	등/NNB+의/JKG
사회	사회/NNG
참여	참여/NNG
활동을	활동/NNG+을/JKO
꾸준히	꾸준히/MAG
해야	하/VV+여야/EC
하며	하/VX+며/EC
지자체	지자체/NNG
조례에	조례/NNG+에/JKB
개정에	개정/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
참여를	참여/NNG+를/JKO
해야	하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
제시했다	제시하/VV+였/EP+다/EC

김	김/NNP
소장은	소장/NNG+은/JX
일례로	일례/NNG+로/JKB
"길벗장애인자립생활센터에서	"/SS+길벗/NNP+장애인자립생활센터/NNG+에서/JKB
몇	몇/MM
년동안	년/NNB+동안/NNG
지하철	지하철/NNG
4호선	4/SN+호/NNB+선/XSN
명동역에	명동역/NNP+에/JKB
엘리베이터와	엘리베이터/NNG+와/JKB
횡단보도	횡단보도/NNG
설치	설치/NNG
캠페인등의	캠페인/NNG+등/NNB+의/JKG
운동을	운동/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
전개해왔고	전개하/VV+여/EC+오/VX+았/EP+고/EC
마침내	마침내/MAG
그	그/MM
중에서	중/NNB+에서/JKB
횡단보도	횡단보도/NNG
설치를	설치/NNG+를/JKO
관철시켰다	관철/NNG+시키/XSV+었/EP+다/EF

장애인자립생활센터가	장애인자립생활센터/NNG+가/JKS
지역사회	지역사회/NNG
장애인들을	장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
운동을	운동/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
인식을	인식/NNG+을/JKO
심어주게	심/VV+어/EC+주/VX+게/EC
되었고	되/VV+었/EP+고/EC
지역사회의	지역사회/NNG+의/JKG
인지도를	인지도/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되었다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
들었다	듣/VV+었/EP+다/EF

이어	이어/MAG
김	김/NNP
소장은	소장/NNG+은/JX
"사회적	"/SS+사회적/NNG
인지도를	인지도/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
자립생활센터에서	자립생활센터/NNG+에서/JKB
지역사회에서	지역사회/NNG+에서/JKB
정치	정치/NNG
참여,	참여/NNG+,/SP
시민사회	시민사회/NNG
운동을	운동/NNG+을/JKO
적극·지속적으로	적극/NNG+·/SP+지속적/NNG+으로/JKB
전개하고	전개하/VV+고/EC
관철시키다	관철/NNG+시키/XSV+다/EC
보면	보/VX+면/EC
비장애인들의	비장애인/NNG+들/XSN+의/JKG
장애인들에	장애인/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
개선	개선/NNG
시킬	시키/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

끝으로	끝/NNG+으로/JKB
김소장은	김/NNP+소장/NNG+은/JX
Indy팀에게	Indy/SL+팀/NNG+에게/JKB
"연수를	"/SS+연수/NNG+를/JKO
통해	통하/VV+여/EC
미국	미국/NNP
장애인자립생활센터에	장애인자립생활센터/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
많은	많/VA+은/ETM
정보를	정보/NNG+를/JKO
얻고	얻/VV+고/EC
참고하여	참고하/VV+여/EC
국내	국내/NNG
자립생활센터의	자립생활센터/NNG+의/JKG
가이드라인을	가이드라인/NNG+을/JKO
제시할	제시하/VV+ㄹ/ETM
수	수/NNB
있으면	있/VA+으면/EC
좋겠다"라는	좋/VA+겠/EP+다/EF+"/SS+라는/ETM
당부의	당부/NNG+의/JKG
말과	말/NNG+과/JC
격려를	격려/NNG+를/JKO
아끼지	아끼/VV+지/EC
않았다	않/VX+았/EP+다/EF

*이글은	*/SW+이글/NNP+은/JX
'2012장애청년드림팀	'/SS+2012/SN+장애/NNB+청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다'	도전하/VA+다/EF+'/SS
‘Indy팀’의	‘Indy/SL+팀/NNG+’/SL+의/JKG
정승락님이	정승락/NNP+님/XSN+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
